KEY,"Spanish"
LOADING_TEXT_CURRENCY_GOLD,"Una moneda basica que puedes obtener finalizando\nfases o misiones"
LOADING_TEXT_CURRENCY_GOLD2,"Utiliza el Oro para comprar articulos, mejorar habilidades\ny disfrutar varios contenidos!"
LOADING_TEXT_CURRENCY_GEM,"Un cajero automatico en King's Raid.\nSe utiliza para diferentes tipos de contenido especial, no lo desperdicies!"
LOADING_TEXT_CURRENCY_GEM2,"Ahora disponible en la Tienda Premium!"
LOADING_TEXT_CURRENCY_GEM3,"Puedes obtener Rubies como recompensa iniciando sesion y completando misiones!"
LOADING_TEXT_CURRENCY_STAMINA,"Dependiendo de la fase, una cierta cantidad de Energia \nse consume mientras juegas."
LOADING_TEXT_CURRENCY_STAMINA2,"La Energia consumida se recarga en \n1 punto a lo largo del tiempo."
LOADING_TEXT_CURRENCY_STAMINA3,"La Energia maxima aumenta \nmientras los niveles de equipo se incrementen."
LOADING_TEXT_CURRENCY_SWORD,"Se utiliza para pelear con otros jugadores en la\nArena! Se recarga automaticamente a lo largo del tiempo."
LOADING_TITLE_HERO_CONTENT_HEROSETTING,"Como Formar un Grupo?"
LOADING_TEXT_HERO_CONTENT_HEROSETTING,"Un grupo de hasta cuatro miembros se necesita para las batallas en King's Raid.\n Heroes para el frente y retaguardia de batalla se eligen basandose en el tipo de heroe.\n Heroes del mismo tipo pueden tambien unirse en grupo."
LOADING_TITLE_HERO_CONTENT_SKILL,"Habilidades del Heroe"
LOADING_TEXT_HERO_CONTENT_SKILL,"Todos los Heroes en King's Raid pueden aprender cuatro habilidades"
LOADING_TITLE_HERO_CONTENT_UPGRADESKILL,"Mejora Tu Habilidadl!"
LOADING_TEXT_HERO_CONTENT_UPGRADESKILL,"Las Habilidades que has aprendido\n pueden mejorarse para volverse mas poderoso.\n Utiliza el Oro para mejorar tus habilidades, de acuerdo al nivel que posee tu heroe.\n"
LOADING_TITLE_HERO_CONTENT_EQUIPMENT,"Obten Algun Equipo!"
LOADING_TEXT_HERO_CONTENT_EQUIPMENT,"Proporciona equipo que se ajuste a la clase de heroe.\n Tus heroes pueden volverse mas poderosos \n con armas, armadura, equipo secundario y accesorios"
LOADING_TITLE_HERO_CONTENT_EQUIPMENTTYPE,"Tipo de Equipo?"
LOADING_TEXT_HERO_CONTENT_EQUIPMENTTYPE,"Hay 6 tipos de armas: Espadas Grandes, Lanzas, Dagas, Arcos, Armas, y Varitas Magicas ( Magos y Clérigos comparten armas). Y hay 3 tipos diferentes de armadura y equipo secundario: Armadura Pesada, Armadura Liviana, y Tunicas."
LOADING_TITLE_HERO_CONTENT_EQUIUPGRADE,"Mejora el Equipo!"
LOADING_TEXT_HERO_CONTENT_EQUIUPGRADE,"Utiliza varios materiales para mejorar las armas.\n Mejorarlas las hace mas efectivas \n con materiales de alto rango"
LOADING_TITLE_HERO_CONTENT_RUNETPYE,"Tipos de Runas"
LOADING_TEXT_HERO_CONTENT_RUNETPYE,"Hay tres tipos de runas:\n Ataque, Defensa, y Secundaria."
LOADING_TITLE_HERO_CONTENT_RUNE,"Efecto de la runa (dependiendo el color)"
LOADING_TEXT_HERO_CONTENT_RUNE,"Runas de Ataque Rojo solo pueden ser equipadas en armas, Runas de Ataque Azul solo pueden ser equipadas en armadura, y Runas Verdes Secundarias solo pueden ser utilizadas en equipo secundario."
LOADING_TITLE_CONTENT_PARTYDUNGEON,"Calabozo con amigos!"
LOADING_TEXT_CONTENT_PARTYDUNGEON,"Hay monstruos desafiantes en el grupo de calabozos.\nForma un grupo con tus amigos y desafialos.\nRecuerda, no puedes entrar al calabozo sin un grupo!"
LOADING_TITLE_CONTENT_HALLOFHEROES,"Lugar del Despertar"
LOADING_TEXT_CONTENT_HALLOFHEROES,"El Salon de Heroes es un Cuarto de Pruebas,\n donde puedes combatir la obscuridad y adquirir materiales para el despertar, y el Cuarto de Purificacion,\n donde puedes purificar los materiales obtenidos para utilizarlos en el despertar."
LOADING_TITLE_CONTENT_ROOMOFORDEAL,"Cuarto de Pruebas"
LOADING_TEXT_CONTENT_ROOMOFORDEAL,"El Cuarto de Pruebas es el unico lugar donde puedes obtener la Obscuridad Sellada,\n la cual necesitas para despertar a tus heroes."
LOADING_TITLE_CONTENT_ROOMOFORDEAL_ENTRY,"El Cuarto de Pruebas puerta abierta"
LOADING_TEXT_CONTENT_ROOMOFORDEAL_ENTRY,"Para ingresar al Cuarto de Pruebas, necesitas recolectar un cierto numero de fragmentos de tres tipos por cada clase.\n Una vez que hayas recolectado suficientes fragmentos, rompe el Sello! Una vez abierta, la puerta no se cerrara hasta que el Cuarto de Pruebas haya sido terminado."
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION,"Cuarto de Purificacion"
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION,"Puedes purificar la Obscuridad Sellada en el Cuarto de Purificacion."
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_ENTRY,"Cuarto de Purificacion, entrada limitada"
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION_ENTRY,"Heroes que han obtenido la\n Obscuridad Sellada del Cuarto de Pruebas pueden ingresar al Cuarto de Purificacion."
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_OFFERING,"Preparar purificacion"
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION_OFFERING,"Necesitas mucho Oro para purificar la obscuridad.\n Recolecta suficiente Oro e intenta purificar."
LOADING_TITLE_CONTENT_CITY,"Orvel"
LOADING_TEXT_CONTENT_CITY,"Al ser la capital del Reino de Orvelia,\n Orvel ofrece varias caracteristicas y contenido para los heroes.\n Camina por la ciudad y experimenta varias caracteristicas y contenido en la Tienda, La Prision Militar y la Arena!"
LOADING_TITLE_CONTENT_SHOP,"Utiliza la tienda!"
LOADING_TEXT_CONTENT_SHOP,"Hay muchos articulos que se venden en la tienda.\n Armas, armadura, equipo secundario, libros de habilidades, y fragmentos!"
LOADING_TITLE_CONTENT_SHOP_SOLDOUT,"La tienda no posee stock?!"
LOADING_TEXT_CONTENT_SHOP_SOLDOUT,"Que? Sin stock?\n No te preocupes. Puedes utilizar Rubies presionando el boton de Recargar para examinar nuevos productos al instante.\n No te olvides de visitar la tienda regularmente para comprobar la lista actualizada,\n Renovada cada hora."
LOADING_TITLE_CONTENT_UNDERGROUNDDUNGEON,"Prision Militar Tenebrosa"
LOADING_TEXT_CONTENT_UNDERGROUNDDUNGEON,"La prision militar es un calabozo donde puedes luchar contra nuevos monstruos cada dia.\n El nivel de monstruos varia dependiendo el nivel de dificultad del calabozo,\n Por eso preparate antes de entrar en uno.\n"
LOADING_TITLE_CONTENT_UNDERGROUNDDUNGEON_REWARD,"recompensa pision militar"
LOADING_TEXT_CONTENT_UNDERGROUNDDUNGEON_REWARD,"Puedes recolectar mas libros de habilidades \n terminando las prisiones militares."
LOADING_TEXT_HERO_INTRO_TITLE1,"Guerrero de la Espada Sagrada\nKasel"
LOADING_TEXT_HERO_INTRO_COMMENT1,"Muevete! Tenemos que irnos!\n O... Atacaremos lo que se interponga en nuestro camino!"
LOADING_TEXT_HERO_INTRO_TITLE2,"Cleriga de Luz \nFrey"
LOADING_TEXT_HERO_INTRO_COMMENT2,"De ninguna manera! Estar vivo es una bendicion.\nNo permitire que el Señor Obscuro los \ndañe!"
LOADING_TEXT_HERO_INTRO_TITLE3,"Hechicera del Purgatorio\nCleo"
LOADING_TEXT_HERO_INTRO_COMMENT3,"Hazte a un lado. Kasel. Los prendere fuego con mi llama."
LOADING_TEXT_HERO_INTRO_TITLE4,"Asesino Veloz \nRoi"
LOADING_TEXT_HERO_INTRO_COMMENT4,"Solo estoy haciendo mi trabajo"
LOADING_TEXT_HERO_INTRO_TITLE5,"Barbaro de Tierras Congeladas\nGau"
LOADING_TEXT_HERO_INTRO_COMMENT5,"Hablando de eso,\n puedo comprobar tu capacidad?"
