KEY,Thai
LOADING_TEXT_CURRENCY_GOLD,Gold คือค่าเงินพื้นฐานที่คุณได้รับเมื่อเล่นผ่านด่านหรือทำภารกิจต่างๆ
LOADING_TEXT_CURRENCY_GOLD2,ใช้ Gold เพื่อซื้อไอเทม อัพเกรดสกิล\nและใช้ในระบบต่างๆในเกม!
LOADING_TEXT_CURRENCY_GEM,เป็นค่าเงิน Cash ในเกม King's Raid เอาไว้ใช้กับระบบพิเศษ มันสำคัญมาก ใช้อย่างประหยัดหล่ะ!
LOADING_TEXT_CURRENCY_GEM2,ในขณะนี้มีขายอยู่ในร้านค้า Premium แล้ว!
LOADING_TEXT_CURRENCY_GEM3,คุณจะได้รับ Ruby จากกิจกรรมเช็คอิน\nและเมื่อทำภารกิจบางอย่างสำเร็จ!
LOADING_TEXT_CURRENCY_STAMINA,ค่า Stamina จะถูกใช้เมื่อคุณเข้าเล่นในด่านต่างๆ
LOADING_TEXT_CURRENCY_STAMINA2,ค่า Stamina ที่ใช้ไปจะถูกเติมขึ้นมาใหม่\nทีละ1แต้มเมื่อถึงเวลาที่กำหนด
LOADING_TEXT_CURRENCY_STAMINA3,และค่า Stamina สูงสุดจะเพิ่มขึ้นเมื่อทีมของคุณเลเวลสูงขึ้น
LOADING_TEXT_CURRENCY_SWORD,กุญแจสำหรับใช้ต่อสู้กับผู้เล่นคนอื่นในอารีน่า!\nจะถูกเติมโดยอัตโนมัติเมื่อเวลาผ่านไป
LOADING_TITLE_HERO_CONTENT_HEROSETTING,ตั้งปาร์ตี้ยังไง?
LOADING_TEXT_HERO_CONTENT_HEROSETTING,1 ปาร์ตี้มีสามชิกร่วมได้สี่คนซึ่งจำเป็นสำหรับการต่อสู้ ฮีโร่จะถูกแบ่งเป็นทัพหน้าและหลังตามสายอาชีพของฮีโร่นั้นๆ ฮีโร่ที่มีสายอาชีพเดียวกันก็สามารถเข้าร่วมปาร์ตี้เดียวกันได้
LOADING_TITLE_HERO_CONTENT_SKILL,ทักษะของฮีโร่
LOADING_TITLE_HERO_CONTENT_UPGRADESKILL,อัพเกรดสกิล!
LOADING_TEXT_HERO_CONTENT_UPGRADESKILL,สกิลที่เรียนรู้แล้วสามารถอัพเกรดเพื่อเพิ่มอานุภาพได้โดยใช้ Gold และจะอัพเกรดได้สูงสุดตามเลเวลฮีโร่
LOADING_TITLE_HERO_CONTENT_EQUIPMENT,หาอุปกรณ์!
LOADING_TEXT_HERO_CONTENT_EQUIPMENT,"สวมใส่อุปกรณ์ที่เหมาะกับสายอาชีพของฮีโร่. ฮีโร่ของคุณจะแข็งแกร่งขึ้นเมื่อสวมใส่อาวุธ, ชุดเกราะ, อุปกรณ์เสริม และเครื่องประดับ"
LOADING_TITLE_HERO_CONTENT_EQUIPMENTTYPE,ประเภทอุปกรณ์คือ?
LOADING_TEXT_HERO_CONTENT_EQUIPMENTTYPE,"ในเกมนี้มีอาวุธ 6 ชนิดคือดาบใหญ่, หอก, มีด, ธนู, ปืน, คฑา (นักเวทย์และนักบวช ใช้อาวุธร่วมกัน), มีชุดเกราะและอุปกรณ์เสริม 3 ชนิดคือชุดเกราะหนัก, ชุดเกราะเบา, และชุดคลุม"
LOADING_TITLE_HERO_CONTENT_EQUIUPGRADE,อัพเกรดอุปกรณ์!
LOADING_TEXT_HERO_CONTENT_EQUIUPGRADE,ใช้วัตถุดิบเพื่ออัพเกรดอาวุธ โดยอัพเกรดจะมีประสิทธิภาพมากขึ้นเมื่อใช้วัตถุดิบระดับสูงขึ้น
LOADING_TITLE_HERO_CONTENT_RUNETPYE,ชนิดของรูน
LOADING_TEXT_HERO_CONTENT_RUNETPYE,"รูนมี 3 ชนิดคือ: โจมตี, ป้องกัน และ ส่งเสริม "
LOADING_TITLE_HERO_CONTENT_RUNE,เอฟเฟคของรูนแต่ละสี
LOADING_TEXT_HERO_CONTENT_RUNE,"รูนสีแดงสำหรับโจมตี ใช้ได้กับเฉพาะอาวุธ, รูนสีน้ำเงินสำหรับป้องกัน ใช้ได้กับชุดเกราะ, และรูนสีเขียวส่งเสิรม ใช้ได้กับอุปกรณ์เสริม"
LOADING_TITLE_CONTENT_PARTYDUNGEON,ลง Dungeon กับเพื่อน ๆ !
LOADING_TEXT_CONTENT_PARTYDUNGEON,ใน Party Dungeon มีมอนสเตอร์ที่แข็งแกร่งมาก\nสร้างปาร์ตี้กับเพื่อแล้วร่วมท้ายทาย แต่จำไว้ว่าคุณไม่สามารถเข้าร่วม ดันเจี้ยนได้หากไม่มีปาร์ตี้
LOADING_TITLE_CONTENT_HALLOFHEROES,สถานที่สำหรับวิวัฒนาการ
LOADING_TEXT_CONTENT_HALLOFHEROES,"ในวิหารแห่งอัศวินจะประกอบด้วย ห้องแห่งการพิสูจน์, ที่คุณสามารถต่อสู้กับความมืดและได้รับวัตถุดิบเพื่อวิวัฒนาการ และห้องแห่งการชำระล้างที่คุณสามารถชำระล้างวัตถุดิบที่ได้รับมาเพื่อใช้ในการวิวัฒนาการฮีโร่"
LOADING_TITLE_CONTENT_ROOMOFORDEAL,ห้องพิสูจน์ตน
LOADING_TEXT_CONTENT_ROOMOFORDEAL,ห้องแห่งการพิสูจน์คือสถานที่เดียวที่คุณจะสามารถได้รับผนึกแห่งความมืด(Sealed Darkness) ซึ่งใช้ในการวิวัฒนาการฮีโร่
LOADING_TITLE_CONTENT_ROOMOFORDEAL_ENTRY,ห้องพิสูจน์ตน ไขประตูที่ถูกผนึก
LOADING_TEXT_CONTENT_ROOMOFORDEAL_ENTRY,เมื่อเข้าห้องแห่งการพิสูจน์ คุณต้องรวบรวมชิ้นส่วน(Fragment)สามชนิดสำหรับแต่ละอาชีพ. เมื่อคุณสามารถรวบรวมชิ้นส่วนได้เพียงพอแล้วจงใช้มันเปิดประตูผนึกแล้วจัดการกับร่างมืดของตนให้ได้
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION,ห้องแห่งการชำระล้าง
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION,คุณสามารถชำระล้างผนึกแห่งความมืด(Sealed Darkness) ที่ได้มาจากห้องพิสูจน์ตนที่นี่
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_ENTRY,"ห้องแห่งการชำระล้าง, เงื่อนไขการเข้า"
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION_ENTRY,ฮีโร่ที่ได้รับผนึกแห่งความมืด(Sealed Darkness) จากห้องพิสูจน์ตนจะสามารถเข้าห้องแห่งการชำระล้างได้
LOADING_TITLE_CONTENT_ROOMOFPURIFICATION_OFFERING,เตรียมความพร้อมเพื่อชำระล้าง
LOADING_TEXT_CONTENT_ROOMOFPURIFICATION_OFFERING,คุณต้องใช้ทองเพื่อชำระล้างความมืด เก็บรวบรวมทองให้เพียงพอแล้วเริ่มทำการชำระล้าง
LOADING_TITLE_CONTENT_CITY,เมือง Orvel
LOADING_TEXT_CONTENT_CITY,"เมืองหลวงแห่งอาณาจักร Orvelia, Orvel นำเสนอภูมิประเทศและเรื่องราวหลากหลาย ลองเดินไปรอบเมือบและเผชิญสถานที่ต่างๆเช่น ร้านค้า, ดันเจี้ยนคุกใต้ดิน, อารีน่า และอื่นๆ"
LOADING_TITLE_CONTENT_SHOP,ใช้ร้านค้า!
LOADING_TEXT_CONTENT_SHOP,"มีไอเท็มมากมายขายที่ร้านค้าเช่น อาวุธ, ชุดเกราะ, อุปกรณ์เสริม, หนังสือสกิล รวมถึง ชิ้นส่วนวิวัฒนาการ!"
LOADING_TITLE_CONTENT_SHOP_SOLDOUT,สินค้าหมด?!
