KEY,"English"
DAILYMISSION_LOGIN_NAME,"Hero's Visit"
DAILYMISSION_LOGIN_DESC,"Log in {1} time(s)/{1} day(s)"
DAILYMISSION_DUNGEON_CLEAR_NAME,"Never-Ending Adventure"
DAILYMISSION_DUNGEON_CLEAR_DESC,"Clear dungeons {1} time(s)"
DAILYMISSION_ITEM_GET_NAME,"Treasure Hunter"
DAILYMISSION_ITEM_GET_DESC,"Acquire gear or items from dungeons x {1}"
DAILYMISSION_MONSTER_KILL_NAME,"Defeat the Dark Legion!"
DAILYMISSION_MONSTER_KILL_DESC,"Kill {1} monster(s)"
DAILYMISSION_EXPEDITION_NAME,"Set off on an Expedition!"
DAILYMISSION_EXPEDITION_DESC,"Try scouting or plundering x {1}"
DAILYMISSION_ITEM_CRAFT_NAME,"Clever with Your Hands, Are You?"
DAILYMISSION_ITEM_CRAFT_DESC,"Craft items x {1}"
DAILYMISSION_ITEM_ENHANCE_NAME,"Let's Make Gear Powerful!"
DAILYMISSION_ITEM_ENHANCE_DESC,"Enhance gear x {1}"
DAILYMISSION_TRIAL_CLEAR_NAME,"A Place Where the Soul Sleeps"
DAILYMISSION_TRIAL_CLEAR_DESC,"Clear the Room of Ordeals x {1}"
DAILYMISSION_GOLD_GET_NAME,"Many Drops Make a Shower"
DAILYMISSION_GOLD_GET_DESC,"Acquire {1} Gold from dungeons"
DAILYMISSION_PVP_NAME,"Determine the Strongest!"
DAILYMISSION_PVP_DESC,"Participate {1} times in the League of Victory"
DAILYMISSION_GACHA_NAME,"Open Chests"
DAILYMISSION_GACHA_DESC,"Open Treasure Chest x {1}"
DAILYMISSION_ITEM_BUY_NAME,"Supplies are Important!"
DAILYMISSION_ITEM_BUY_DESC,"Buy items x {1} from the Shop"
DAILYMISSION_TOWER_JOIN_NAME,"Climb One by One"
DAILYMISSION_TOWER_JOIN_DESC,"Use the Tower of Ordeals x {1}"
DAILYMISSION_UNDERGROUND_CLEAR_NAME,"Never Quiet in the Stockade!"
DAILYMISSION_UNDERGROUND_CLEAR_DESC,"Clear Stockade x {1}"
MISSION_HERO_LEVEL20_NAME,"Rookie Adventurer {1}"
MISSION_HERO_LEVEL50_NAME,"Stronger {1}"
MISSION_HERO_LEVEL100_NAME,"{1}, Push Yourself to the Limit"
MISSION_HERO_LEVEL_DESC,"{1} reaches level {2}"
MISSION_HERO_STAR_NAME,"Awakened {1} {2}"
MISSION_HERO_STAR_DESC,"{1} achieves Awakening phase {2}!"
MISSION_HERO_GRADE_NAME,"Transcended {1} {2}"
MISSION_HERO_GRADE_DESC,"{1} promoted, achieves {2} grade!"
MISSION_HERO_SKILL_MASTER_NAME,"Skill Master {1} {2}"
MISSION_HERO_SKILL_MASTER_DESC,"{1} achieves skill level {2} for the first time!"
MISSION_HERO_SKILLMASTER_DESC,"{1} masters all skills!"
MISSION_EQUIP_GET_NAME,"Gear Collector {1}"
MISSION_EQUIP_GET_DESC,"Acquire gear x {1}!"
MISSION_EQUIP_GET_GRADE_NAME,"{1} Gear Collector {2}"
MISSION_EQUIP_GET_GRADE_DESC,"Acquire {1} grade gear x {2}!"
MISSION_EQUIP_ENHANCE_NAME,"Make Gear More Powerful! {1}"
MISSION_EQUIP_ENHANCE_DESC,"Enhance gear x {1}!"
MISSION_EQUIP_STAR_NAME,"Awaken the Hidden Power of Gear {1}"
MISSION_EQUIP_STAR_DESC,"Awaken gear x {1}!"
MISSION_ITEM_CRAFT_NAME,"Let's Make it Yourself! {1}"
MISSION_ITEM_CRAFT_DESC,"Craft items x {1}"
MISSION_ITEM_MATERIAL_GET_NAME,"Collect Materials! {1}"
MISSION_ITEM_MATERIAL_GET_DESC,"Acquire materials x {1}"
MISSION_ITEM_RECIPE_GET_NAME,"How to Craft an Item {1}"
MISSION_ITEM_RECIPE_GET_DESC,"Acquire ingredients x {1}"
MISSION_ITEM_EXCHANGE_GET_NAME,"This is Lucrative!"
MISSION_ITEM_EXCHANGE_GET_DESC,"Acquire item(s) for sale x {1}"
MISSION_EQUIP_CRAFT_GREEN_NAME,"Skillful Blacksmith {1}"
MISSION_EQUIP_CRAFT_BLUE_NAME,"Extraordinary Blacksmith {1}"
MISSION_EQUIP_CRAFT_PURPLE_NAME,"Legendary Blacksmith {1}"
MISSION_EQUIP_CRAFT_ORANGE_NAME,"Blacksmith with God's Hammer {1}"
MISSION_EQUIP_CRAFT_DESC,"Acquire {1} grade gear x {2} using Recipes"
MISSION_CONSUME_CRAFT_GREEN_NAME,"Make a Delicious Dish! {1}"
MISSION_CONSUME_CRAFT_BLUE_NAME,"Make a Wonderful Dish! {1}"
MISSION_CONSUME_CRAFT_PURPLE_NAME,"Legendary Cook {1}"
MISSION_CONSUME_CRAFT_ORANGE_NAME,"God's Cook {1}"
MISSION_CONSUME_CRAFT_DESC,"Acquire {1} grade dish x {2} using Recipes"
MISSION_GOLD_NAME,"I Wanna Be Rich! {1}"
MISSION_GOLD_DESC,"Obtain more than {1} Gold"
MISSION_STAMINA_NAME,"Work Harder {1}"
MISSION_STAMINA_DESC,"Use more than {1} stamina"
MISSION_CHAPTER_NORMAL_NAME,"Conquer {1} (Normal)!"
MISSION_CHAPTER_NORMAL_DESC,"Clear chapter {1} (Normal)"
MISSION_CHAPTER_HARD_NAME,"Conquer {1} (Hard)!"
MISSION_CHAPTER_HARD_DESC,"Clear chapter {1} (Hard)"
MISSION_HERO_GET_NAME,"New Companion! {1}"
MISSION_HERO_GET_DESC,"Companion no.{1} joins you!"
MISSION_TRIAL_COUNT_NAME,"Fight Yourself {1}"
MISSION_TRIAL_COUNT_DESC,"Clear the Room of Ordeals x {1}!"
MISSION_HERO_TRIAL_CLEAR1_NAME,"{1} Going through Ordeals"
MISSION_HERO_TRIAL_CLEAR2_NAME,"{1} Seeking Real Power"
MISSION_HERO_TRIAL_CLEAR3_NAME,"{1} Who Overcame the Wall"
MISSION_HERO_TRIAL_CLEAR4_NAME,"{1} Who Overcame the Ordeal"
MISSION_HERO_TRIAL_CLEAR5_NAME,"{1} Who Overcame the Limit"
MISSION_HERO_TRIAL_CLEAR_DESC,"{1} Clears the Room of Ordeals {2} for the first time"
MISSION_COLLECT_EXPLORE_NAME,"Form an Expedition Team! {1}"
MISSION_COLLECT_EXPLORE_DESC,"Expedition team explored x {1}"
MISSION_COLLECT_PLUNDER_NAME,"Law of the Jungle {1}"
MISSION_COLLECT_PLUNDER_DESC,"Expedition team plundered x {1}"
MISSION_WALL_NAME,"Incessant Attacks from Monsters! {1}"
MISSION_WALL_DESC,"Clear Castle Wall Defense {1} wave"
MISSION_PVP_COUNT_NAME,"To Become the Strongest One! {1}"
MISSION_PVP_COUNT_DESC,"Participate in the Arena x {1}"
MISSION_GUILD_JOIN_NAME,"Join a Guild!"
MISSION_GUILD_JOIN_DESC,"Join a guild for the first time."
MISSION_GUILD_CREATE_NAME,"Create a Guild!"
MISSION_GUILD_CREATE_DESC,"Create a guild for the first time."
MISSION_GUILD_MERCENARY_USE_NAME,"Hire a Guild Mercenary! {1}"
MISSION_GUILD_MERCENARY_USE_DESC,"Use guild mercenaries x {1}"
MISSION_GUILD_MERCENARY_REGISTER_NAME,"Part Time Job as a Mercenary {1}"
MISSION_GUILD_MERCENARY_REGISTER_DESC,"Your mercenary is hired by other players x {1}"
MISSION_TEAMLEVEL_NAME,"Stronger Kasel and his Friends {1}"
MISSION_TEAMLEVEL_DESC,"Achieve team level {1}"
MISSION_VIPLEVEL_NAME,"VIP Level Up!"
MISSION_VIPLEVEL_DESC,"Achieve VIP level {1}"
MISSION_TIERINDEX11_NAME,"Achieve Bronze Tier"
MISSION_TIERINDEX11_DESC,"Achieve the Bronze Tier"
MISSION_TIERINDEX21_NAME,"Achieve Silver Tier"
MISSION_TIERINDEX21_DESC,"Achieve the Silver Tier"
MISSION_TIERINDEX31_NAME,"Achieve Gold Tier"
MISSION_TIERINDEX31_DESC,"Achieve the Gold Tier"
MISSION_TIERINDEX41_NAME,"Achieve Platinum Tier"
MISSION_TIERINDEX41_DESC,"Achieve the Platinum Tier"
MISSION_TIERINDEX51_NAME,"Achieve Diamond Tier"
MISSION_TIERINDEX51_DESC,"Achieve the Diamond Tier"
MISSION_TIERINDEX60_NAME,"Achieve Master Tier"
MISSION_TIERINDEX60_DESC,"Achieve the Master Tier"
MISSION_TIERINDEX70_NAME,"Achieve Challenger Tier"
MISSION_TIERINDEX70_DESC,"Achieve the Challenger Tier"
DAILYMISSION_MONTHLY_RUBY_NAME,"Get Monthly Ruby Package"
DAILYMISSION_MONTHLY_RUBY_DESC,"Get the monthly Ruby package"
MISSION_GOLD_BATTLE_NAME,"Collect Money for Heroes {1}"
MISSION_GOLD_BATTLE_DESC,"Acquire {1} Gold from battles"
MISSION_GOLD_ACCUMULATIVE_DESC,"Accumulate {1} Gold or more!"
MISSION_GOLD_SHOP_BUY_NAME,"Wise Spender {1}"
MISSION_GOLD_SHOP_BUY_DESC,"Use {1} Gold at the shop"
MISSION_GOLD_DEPLETION_NAME,"Money Comes and Goes! {1}"
MISSION_GOLD_DEPLETION_DESC,"Spend {1} Gold in total!"
MISSION_EQUIP_UPGRADE_TRY_NAME,"Enhancing Gear is Easy, Huh? {1}"
MISSION_EQUIP_UPGRADE_TRY_DESC,"Try enhancing gear x {1}"
MISSION_EQUIP_UPGRADE_NAME,"Enhance Gear Yourself! {1}"
MISSION_EQUIP_UPGRADE_DESC,"Enhance gear up to +{1}"
MISSION_EQUIP_DROP_STAR_NAME,"Excellent Gear {1}"
MISSION_EQUIP_DROP_STAR_DESC,"Acquire {1} gear for the first time"
