KEY,German
DAILYMISSION_LOGIN_NAME,Besuch eines Helden
DAILYMISSION_LOGIN_DESC,{1} Tag(e) /{1}x eingeloggt
DAILYMISSION_DUNGEON_CLEAR_NAME,Unendliche Abenteuer
DAILYMISSION_DUNGEON_CLEAR_DESC,Klare Dungeons {1}x 
DAILYMISSION_ITEM_GET_NAME,Schatzjäger
DAILYMISSION_ITEM_GET_DESC,Erhalte Ausr. & Gegenst. in Dungeons {1}x 
DAILYMISSION_MONSTER_KILL_NAME,Besiege die Dunklen Mächte!
DAILYMISSION_MONSTER_KILL_DESC,Erledige {1} Monster
DAILYMISSION_EXPEDITION_NAME,"Auf auf, zur Expedition!"
DAILYMISSION_EXPEDITION_DESC,Spähen oder Plündern {1}x 
DAILYMISSION_ITEM_CRAFT_NAME,"Geschickt mit den Händen, hmm?"
DAILYMISSION_ITEM_CRAFT_DESC,Stelle Gegenstände her {1}x 
DAILYMISSION_ITEM_ENHANCE_NAME,Ausrüstung verstärken!
DAILYMISSION_ITEM_ENHANCE_DESC,Vertärke deine Ausrüstung {1}x 
DAILYMISSION_TRIAL_CLEAR_NAME,Ruhestätte der Seele
DAILYMISSION_TRIAL_CLEAR_DESC,Kläre den Raum der Prüfungen {1}x 
DAILYMISSION_GOLD_GET_NAME,Kleinvieh macht auch Mist
DAILYMISSION_GOLD_GET_DESC,Sammle {1} Gold aus Dungeons
DAILYMISSION_PVP_NAME,Wer ist der stärkste?
DAILYMISSION_PVP_DESC,Nimm {1}x an der Siegesliga teil
DAILYMISSION_GACHA_NAME,Kisten öffnen!
DAILYMISSION_GACHA_DESC,Öffne Schatzkiste {1}x
DAILYMISSION_ITEM_BUY_NAME,Nachschub ist wichtig!
DAILYMISSION_ITEM_BUY_DESC,Kaufe Gegenstände im Shop {1}x
DAILYMISSION_TOWER_JOIN_NAME,Schritt bei Schritt
DAILYMISSION_TOWER_JOIN_DESC,Betrete Turm der Prüfungen {1}x
DAILYMISSION_UNDERGROUND_CLEAR_NAME,Niemals Ruhe im Kerker!
DAILYMISSION_UNDERGROUND_CLEAR_DESC,Kläre den Kerker {1}x
MISSION_HERO_LEVEL20_NAME,Grünschnabel-Abenteurer {1}
MISSION_HERO_LEVEL50_NAME,Stärker {1}
MISSION_HERO_LEVEL100_NAME,"{1}, bringe dich an deine Grenzen!"
MISSION_HERO_LEVEL_DESC,{1} erreicht Level {2}
MISSION_HERO_STAR_NAME,Erweckte(r) {1} {2}
MISSION_HERO_STAR_DESC,{1} erreicht Erweckungsphase {2}!
MISSION_HERO_GRADE_NAME,{1} {2} überschritten
MISSION_HERO_GRADE_DESC,"{1} upgegradet, erreicht Grad {2}!"
MISSION_HERO_SKILL_MASTER_NAME,Skill-Meister {1} {2}
MISSION_HERO_SKILL_MASTER_DESC,{1} erreicht zum ersten Mal Skill-Level {2}!
MISSION_HERO_SKILLMASTER_DESC,{1} Meister aller Skills!
MISSION_EQUIP_GET_NAME,Ausrüstungs-Sammler {1}
MISSION_EQUIP_GET_DESC,Sammle Ausrüstung {1}x!
MISSION_EQUIP_GET_GRADE_NAME,{1} Ausrüstungs-Sammler {2}
MISSION_EQUIP_GET_GRADE_DESC,Sammle Grad {1} Ausrüst. {2}x !
MISSION_EQUIP_ENHANCE_NAME,"Verstärken, verstärken! {1}"
MISSION_EQUIP_ENHANCE_DESC,Upgrade deine Ausr. {1}x!
MISSION_EQUIP_STAR_NAME,Erwecke das Potenzial d. Ausr. {1}
MISSION_EQUIP_STAR_DESC,Ausr.-Errweckung {1}x!
MISSION_ITEM_CRAFT_NAME,Mach' es selbst! {1}
MISSION_ITEM_CRAFT_DESC,Stelle Ausr. her {1}x
MISSION_ITEM_MATERIAL_GET_NAME,Material sammeln! {1}
MISSION_ITEM_MATERIAL_GET_DESC,Sammle Ausrüstungsmaterial {1}x
MISSION_ITEM_RECIPE_GET_NAME,Die Kunst d. Gegenst-Herstellung {1}
MISSION_ITEM_RECIPE_GET_DESC,Sammle Bauplan-Material {1}x
MISSION_ITEM_EXCHANGE_GET_NAME,Das lohnt sich!
MISSION_ITEM_EXCHANGE_GET_DESC,Sammle Gegenst. zum Verkaufen {1}x
MISSION_EQUIP_CRAFT_GREEN_NAME,Begabter Schmied {1}
MISSION_EQUIP_CRAFT_BLUE_NAME,Außerordentlicher Schmied {1}
MISSION_EQUIP_CRAFT_PURPLE_NAME,Legendärer Schmied {1}
MISSION_EQUIP_CRAFT_ORANGE_NAME,Schmied mit Gotteshammer {1}
MISSION_EQUIP_CRAFT_DESC,Stelle Grad {1} Ausr. {2}x her
MISSION_CONSUME_CRAFT_GREEN_NAME,Ein leckeres Mahl! {1}
MISSION_CONSUME_CRAFT_BLUE_NAME,Ein köstliches Mahl! {1}
MISSION_CONSUME_CRAFT_PURPLE_NAME,Legendärer Koch {1}
MISSION_CONSUME_CRAFT_ORANGE_NAME,Göttlicher Koch {1}
MISSION_CONSUME_CRAFT_DESC,Sammle {2}x  hergestellte Grad {1} Gerichte
MISSION_GOLD_NAME,Ich will reich sein! {1}
MISSION_GOLD_DESC,Sammle mehr als {1} Gold
MISSION_STAMINA_NAME,Fleißiger arbeiten! {1}
MISSION_STAMINA_DESC,Benutze mehr als {1} Ausd.
MISSION_CHAPTER_NORMAL_NAME,Erobere {1} (NORMAL)
MISSION_CHAPTER_NORMAL_DESC,Schließe Kapitel {1}  (NORMAL) ab
MISSION_CHAPTER_HARD_NAME,Erobere {1} (SCHWER)
MISSION_CHAPTER_HARD_DESC,Kapitel {1} abschließen (SCHWER)
MISSION_HERO_GET_NAME,Neuer Begleiter! {1}
MISSION_HERO_GET_DESC,Neuer Begleiter Nr. {1} schließt sich an!
MISSION_TRIAL_COUNT_NAME,Der Kampf gegen sich selbst {1}
MISSION_TRIAL_COUNT_DESC,Säubere den Raum der Prüfungen {1}x!
MISSION_HERO_TRIAL_CLEAR1_NAME,{1} beginnt die Prüfungen
MISSION_HERO_TRIAL_CLEAR2_NAME,{1} auf der Suche nach wahrer Macht
MISSION_HERO_TRIAL_CLEAR3_NAME,Die Mauer überwunden: {1}
MISSION_HERO_TRIAL_CLEAR4_NAME,Prüfung durchstanden: {1}
MISSION_HERO_TRIAL_CLEAR5_NAME,Grenzüberschreitung: {1}
MISSION_HERO_TRIAL_CLEAR_DESC,{1} besiegt Raum der Prüfungen {2} zum 1. Mal
MISSION_COLLECT_EXPLORE_NAME,Stelle ein Expeditions-Team zusammen! {1}
MISSION_COLLECT_EXPLORE_DESC,Expedition-Spähmission erfolgreich {1}x
MISSION_COLLECT_PLUNDER_NAME,Das Gesetz des Dschungels {1}
MISSION_COLLECT_PLUNDER_DESC,Expeditios-Plünderung erfolgreich {1}x
MISSION_WALL_NAME,Unaufhörliche Monster-Attacken! {1}
MISSION_WALL_DESC,Festungsm.-Verteidigung: Welle {1} abwehren
MISSION_PVP_COUNT_NAME,Ich bin am stärksten! {1}
MISSION_PVP_COUNT_DESC,{1}x in der Arena kämpfen
MISSION_GUILD_JOIN_NAME,Tritt einer Gilde bei!
MISSION_GUILD_JOIN_DESC,Tritt einer Gilde zum 1. Mal ein.
MISSION_GUILD_CREATE_NAME,Erschaffe eine Gilde!
MISSION_GUILD_CREATE_DESC,Erschaffe eine Gilde zum 1. Mal.
MISSION_GUILD_MERCENARY_USE_NAME,Heuere einen Söldner an! {1}
MISSION_GUILD_MERCENARY_USE_DESC,Benutze {1}x Mal Gildensöldner
MISSION_GUILD_MERCENARY_REGISTER_NAME,Nebenjob: Sölder {1}
MISSION_GUILD_MERCENARY_REGISTER_DESC,Dein Söldner wird von anderen Spielern {1}x angeheuert
MISSION_TEAMLEVEL_NAME,"Kasel und Begleiter, stärker denn je {1}"
MISSION_TEAMLEVEL_DESC,Erreiche Team-Level {1}
MISSION_VIPLEVEL_NAME,VIP Level-Aufstieg!
MISSION_VIPLEVEL_DESC,Erreiche VIP-Level {1}
MISSION_TIERINDEX11_NAME,Stufe Bronze!
MISSION_TIERINDEX11_DESC,Erreiche Stufe Bronze
MISSION_TIERINDEX21_NAME,Stufe Silver!
MISSION_TIERINDEX21_DESC,Erreiche Stufe Silver
MISSION_TIERINDEX31_NAME,Stufe Gold!
MISSION_TIERINDEX31_DESC,Erreiche die Gold-Stufe
MISSION_TIERINDEX41_NAME,Stufe Platinum!
MISSION_TIERINDEX41_DESC,Erreiche die Platinum-Stufe
MISSION_TIERINDEX51_NAME,Stufe Diamond!
MISSION_TIERINDEX51_DESC,Erreiche die Diamond-Stufe
MISSION_TIERINDEX60_NAME,Master-Stufe!
MISSION_TIERINDEX60_DESC,Erreiche die Master-Stufe
MISSION_TIERINDEX70_NAME,Herausforderer-Stufe!
MISSION_TIERINDEX70_DESC,Erreiche die Herausforderer-Stufe
DAILYMISSION_MONTHLY_RUBY_NAME,Rubin-Monatsabo
DAILYMISSION_MONTHLY_RUBY_DESC,Erhalte das Rubin-Monatsabo
MISSION_GOLD_BATTLE_NAME,Gold für Heldentaten {1}
MISSION_GOLD_BATTLE_DESC,Sammle {1} Gold durch Kämpfen
MISSION_GOLD_ACCUMULATIVE_DESC,{1} Gold angesammelt!
MISSION_GOLD_SHOP_BUY_NAME,Kluger Ausgeber {1}
MISSION_GOLD_SHOP_BUY_DESC,Gib {1} Gold im Shop aus
MISSION_GOLD_DEPLETION_NAME,Geld kommt und geht! {1}
MISSION_GOLD_DEPLETION_DESC,Gib insgesamt {1} Gold aus!
MISSION_EQUIP_UPGRADE_TRY_NAME,Ausr. verstärken ist einfach! {1}
MISSION_EQUIP_UPGRADE_TRY_DESC,{1}x Ausrüstung verstärken
MISSION_EQUIP_UPGRADE_NAME,Verstärken tu' ich selbst! {1}
MISSION_EQUIP_UPGRADE_DESC,Ausr. auf Stufe +{1} verstärken
MISSION_EQUIP_DROP_STAR_NAME,Hervorragende Ausrüstung {1}
MISSION_EQUIP_DROP_STAR_DESC,Erhalte {1}-Ausr. zum 1. Mal
MISSION_EQUIP_DROP_GRADE_NAME,Mächtige Waffen für Helden! {1}
MISSION_EQUIP_DROP_GRADE_DESC,Erhalte {1}-Ausr. zum 1. Mal
MISSION_EQUIP_DROP_RELEC_NAME,Gegenstand mit geheimen Kräften {1}
MISSION_EQUIP_DROP_RELEC_DESC,Erhalte {1} Artefakt(e)
MISSION_EQUIP_PARTY_NAME,Stärkere Gruppe! {1}
MISSION_EQUIP_PARTY_DESC,Rüste 4 Helden oder mehr mit {1} Ausr. aus
MISSION_BATTLE_MONSTER_NAME,Keine Gnade den dunklen Mächten! {1}
MISSION_BATTLE_MONSTER_DESC,Töte {1} Monster
MISSION_BATTLE_QUEST_NAME,Für den Frieden aller! {1}
MISSION_BATTLE_QUEST_DESC,{1} Eroberungs-Quest(s) erledigen
DAILYMISSION_EXCAVATION_NAME,Goldrausch
DAILYMISSION_EXCAVATION_DESC,Ausgrabung {1}x
MISSION_CHAPTER1_CLEAR_NAME,Erobere die Lamus-Ebene!
MISSION_CHAPTER2_CLEAR_NAME,Erobere den Elidora-Wald!
MISSION_CHAPTER3_CLEAR_NAME,Erobere die Drago-Gebirge!
MISSION_CHAPTER4_CLEAR_NAME,Erobere den Krad-Wald!
MISSION_CHAPTER5_CLEAR_NAME,Erobere die Arrovina-Küste!
MISSION_CHAPTER1_CLEAR_DESC,Kläre alle Punkte in Kapitel 1
MISSION_CHAPTER2_CLEAR_DESC,Kläre alle Punkte in Kapitel 2
MISSION_CHAPTER3_CLEAR_DESC,Kläre alle Punkte in Kapitel 3
MISSION_CHAPTER4_CLEAR_DESC,Kläre alle Punkte in Kapitel 4
MISSION_CHAPTER5_CLEAR_DESC,Kläre alle Punkte in Kapitel 5
MISSION_ARENA_NAME,Ehrenhafte Herausforderung
MISSION_ARENA_DESC,Nimm an der Siegesliga zum 1. Mal teil.
MISSION_ARENA_VICTORY_NAME,Möge der Sieg mit dir sein! {1}
MISSION_ARENA_VICTORY_DESC,{1}x glanzvolle Siege in der Arena
MISSION_ARENA_LOSE_NAME,"Schade, verloren ... {1}"
MISSION_ARENA_LOSE_DESC,{1}x erbärmliche Niederlagen in d. Arena
MISSION_ARENA_RANK_NAME,Zeige deine Ehre!
MISSION_ARENA_RANK_DESC,Rang {1} in der Arena zum 1. Mal erreichen
MISSION_ARENA_FIRSTRANK_NAME,Erobere die Arena!
MISSION_ARENA_FIRSTRANK_DESC,Werde Saison-Champion
MISSION_UNDERGROUND_DUNGEON_NAME,Unterdrücke die Monster! {1}
MISSION_UNDERGROUND_DUNGEON_DESC,Säubere den {1} Teil des Kerkers zum 1. Mal
MISSION_HERO_GROWTH_NAME,Unaufhaltbarer Fortschritt von {1} {2}
MISSION_HERO_GROWTH_DESC,{1} erreicht Level {2}
MISSION_HERO_AWAKENING_NAME,"{1}, Prüfung bestanden unud neue Kraft gewonnen {2}"
MISSION_HERO_AWAKENING_DESC,{1} erreicht Erweckungs-Phase {2}
MISSION_HERO_TRANSCENDENCE_NAME,"{1}, Überwinder eigener Grenzen {2}"
MISSION_HERO_TRANSCENDENCE_DESC,{1} erreicht Transzendenzphase {2}
MISSION_HERO_EQUIP_SET_NAME,Der Geist des Kriegers {1}
MISSION_HERO_EQUIP_SET_DESC,{1} legt 4x {2} Ausr. an
MISSION_HERO_SKILL_NAME,Skill-Beherrschung {1}
MISSION_HERO_SKILL_DESC,Meister der {1} Skill-Eigenschaften
MISSION_HERO_SKILL_ALL_NAME,"{1}, Meister aller Skills"
MISSION_HERO_SKILL_ALL_DESC,Meister aller Skill-Eigenschaften
MISSION_HERO_EXCAVATION_NAME,{1} {2}: Großartige Ausgrabungs-Skills
MISSION_HERO_EXCAVATION_DESC,Versuche {2}x Ausgrabungen mit {1} als Hauptheld
MISSION_HERO_MERCENARY_NAME,"{1}, es geht voran! {2}"
MISSION_HERO_MERCENARY_DESC,Melde {1} als Gilden-Söldner an und lasse sie/ihn {2}x von Gildenmitgl. als Söldner anheuern
MISSION_HERO_PIT_MEMBER_NAME,Schmerzhafter Sieg {1}
MISSION_HERO_PIT_MEMBER_DESC,"Mitglied der Gruppe, das den Kapitel 1-Endgegner besiegt"
MISSION_HERO_UPPER_DUNGEON_NAME,"{1}, Held der hitzigen Kämpfen in {2}"
MISSION_HERO_UPPER_DUNGEON_DESC,{1} betritt ein Großdungeon als Gruppenmitglied {2}x
