KEY,"German"
DAILYMISSION_LOGIN_NAME,"Besuch eines Helden"
DAILYMISSION_LOGIN_DESC,"{1} Mal(e)/{1} Tag(en) eingeloggt"
DAILYMISSION_DUNGEON_CLEAR_NAME,"Unendliche Abenteuer"
DAILYMISSION_DUNGEON_CLEAR_DESC,"Dungeons {1} Mal(e) säubern"
DAILYMISSION_ITEM_GET_NAME,"Schatzjäger"
DAILYMISSION_ITEM_GET_DESC,"{1} Mal(e) Ausr. oder Items in Dungeons finden"
DAILYMISSION_MONSTER_KILL_NAME,"Besiege die Dunklen Mächte!"
DAILYMISSION_MONSTER_KILL_DESC,"{1} Monster töten"
DAILYMISSION_EXPEDITION_NAME,"Auf auf, zur Expedition!"
DAILYMISSION_EXPEDITION_DESC,"Spähen oder Plündern x {1}"
DAILYMISSION_ITEM_CRAFT_NAME,"Geschickt mit den Händen, hmm?"
DAILYMISSION_ITEM_CRAFT_DESC,"Items herstellen x {1}"
DAILYMISSION_ITEM_ENHANCE_NAME,"Ausrüstung verstärken!"
DAILYMISSION_ITEM_ENHANCE_DESC,"Ausrüstung verstärken x {1}"
DAILYMISSION_TRIAL_CLEAR_NAME,"Ruhestätte der Seele"
DAILYMISSION_TRIAL_CLEAR_DESC,"Säubere den Raum der Prüfungen x {1}"
DAILYMISSION_GOLD_GET_NAME,"Kleinvieh macht auch Mist"
DAILYMISSION_GOLD_GET_DESC,"{1} Gold aus Dungeons sammeln"
DAILYMISSION_PVP_NAME,"Wer ist der stärkste?"
DAILYMISSION_PVP_DESC,"Nimm {1} Mal an der Siegesliga teil"
DAILYMISSION_GACHA_NAME,"Kisten öffnen!"
DAILYMISSION_GACHA_DESC,"Schatzkiste öffnen x {1}"
DAILYMISSION_ITEM_BUY_NAME,"Nachschub ist wichtig!"
DAILYMISSION_ITEM_BUY_DESC,"{1} x Items vom Händler kaufen"
DAILYMISSION_TOWER_JOIN_NAME,"Schritt bei Schritt"
DAILYMISSION_TOWER_JOIN_DESC,"{1} x Turm der Prüfungen betreten"
DAILYMISSION_UNDERGROUND_CLEAR_NAME,"Niemals Ruhe im Kerker!"
DAILYMISSION_UNDERGROUND_CLEAR_DESC,"{1} x Kerker säubern"
MISSION_HERO_LEVEL20_NAME,"Grünschnabel-Abenteurer {1}"
MISSION_HERO_LEVEL50_NAME,"Stärker {1}"
MISSION_HERO_LEVEL100_NAME,"{1}, bringe dich an deine Grenzen"
MISSION_HERO_LEVEL_DESC,"{1} erreicht Level {2}"
MISSION_HERO_STAR_NAME,"Erweckt {1} {2}"
MISSION_HERO_STAR_DESC,"{1} erriecht Erweckungsphase {2}!"
MISSION_HERO_GRADE_NAME,"{1} {2} überschritten"
MISSION_HERO_GRADE_DESC,"{1} aufgestiegen, erreicht Grad {2}!"
