KEY,Japanese
DAILYMISSION_LOGIN_NAME,英雄の到来
DAILYMISSION_LOGIN_DESC,{1}回/{1}日ログインする
DAILYMISSION_DUNGEON_CLEAR_NAME,終わりのない旅
DAILYMISSION_DUNGEON_CLEAR_DESC,ダンジョンを{1}回クリアする
DAILYMISSION_ITEM_GET_NAME,トレジャーハンター
DAILYMISSION_ITEM_GET_DESC,ダンジョンで装備かアイテムを{1}個入手する
DAILYMISSION_MONSTER_KILL_NAME,魔王軍を打ち倒せ！
DAILYMISSION_MONSTER_KILL_DESC,モンスターを{1}体倒す
DAILYMISSION_EXPEDITION_NAME,遠征隊を派遣せよ！
DAILYMISSION_EXPEDITION_DESC,偵察か略奪を{1}回行う
DAILYMISSION_ITEM_CRAFT_NAME,器用な手先
DAILYMISSION_ITEM_CRAFT_DESC,アイテムを{1}回製作する
DAILYMISSION_ITEM_ENHANCE_NAME,装備を強化！
DAILYMISSION_ITEM_ENHANCE_DESC,装備を{1}回強化する
DAILYMISSION_TRIAL_CLEAR_NAME,魂の眠る場所
DAILYMISSION_TRIAL_CLEAR_DESC,試練の部屋を{1}回クリアする
DAILYMISSION_GOLD_GET_NAME,雨のごとく落ちる粒
DAILYMISSION_GOLD_GET_DESC,ダンジョンから{1}ゴールドを入手する
DAILYMISSION_PVP_NAME,最強決定戦！
DAILYMISSION_PVP_DESC,ビクトリーリーグに{1}回参加する
DAILYMISSION_GACHA_NAME,宝箱を開けよう
DAILYMISSION_GACHA_DESC,宝箱を{1}回開ける
DAILYMISSION_ITEM_BUY_NAME,物資は重要！
DAILYMISSION_ITEM_BUY_DESC,ショップからアイテムを{1}個購入する
DAILYMISSION_TOWER_JOIN_NAME,着実に登れ
DAILYMISSION_TOWER_JOIN_DESC,試練の塔を{1}回使用する
DAILYMISSION_UNDERGROUND_CLEAR_NAME,騒ぎの絶えない地下監獄
DAILYMISSION_UNDERGROUND_CLEAR_DESC,地下監獄を{1}回クリアする
MISSION_HERO_LEVEL20_NAME,ルーキー冒険者 {1}
MISSION_HERO_LEVEL50_NAME,{1}の成長期
MISSION_HERO_LEVEL100_NAME,限界へ挑戦する{1}
MISSION_HERO_LEVEL_DESC,{1}がレベル{2}に到達
MISSION_HERO_STAR_NAME,覚醒 {1} {2}
MISSION_HERO_STAR_DESC,{1}が{2}に覚醒する
MISSION_HERO_GRADE_NAME,超越 {1} {2}
MISSION_HERO_GRADE_DESC,{1}が昇格し、{2}ランクになった！
MISSION_HERO_SKILL_MASTER_NAME,スキルマスター {1} {2}
MISSION_HERO_SKILL_MASTER_DESC,{1}がはじめてスキルレベル{2}に到達！
MISSION_HERO_SKILLMASTER_DESC,{1}がすべてのスキルを極めた！
MISSION_EQUIP_GET_NAME,装備コレクター {1}
MISSION_EQUIP_GET_DESC,装備を{1}個入手！
MISSION_EQUIP_GET_GRADE_NAME,{1} 装備コレクター {2}
MISSION_EQUIP_GET_GRADE_DESC,{1}ランクの装備を{2}個入手！
