KEY,"Korean"
DAILYMISSION_LOGIN_NAME,"영웅의 방문"
DAILYMISSION_LOGIN_DESC,"{1}일 {1}회 접속"
DAILYMISSION_DUNGEON_CLEAR_NAME,"계속되는 모험"
DAILYMISSION_DUNGEON_CLEAR_DESC,"던전 {1}회 클리어"
DAILYMISSION_ITEM_GET_NAME,"보물 사냥꾼"
DAILYMISSION_ITEM_GET_DESC,"던전에서 장비 및 아이템 {1}회 획득"
DAILYMISSION_MONSTER_KILL_NAME,"마왕군을 물리쳐라!"
DAILYMISSION_MONSTER_KILL_DESC,"몬스터 {1}체 처치"
DAILYMISSION_EXPEDITION_NAME,"원정을 떠나보자!"
DAILYMISSION_EXPEDITION_DESC,"탐색 또는 약탈 {1}회 시도"
DAILYMISSION_ITEM_CRAFT_NAME,"손재주가 좀 있다고 들었어"
DAILYMISSION_ITEM_CRAFT_DESC,"아이템 제작 {1}회"
DAILYMISSION_ITEM_ENHANCE_NAME,"열심히 두들겨 보자고!"
DAILYMISSION_ITEM_ENHANCE_DESC,"장비 강화 {1}회"
DAILYMISSION_TRIAL_CLEAR_NAME,"영혼이 잠들어 있는 곳"
DAILYMISSION_TRIAL_CLEAR_DESC,"시련의 방 {1}회 클리어"
DAILYMISSION_GOLD_GET_NAME,"티끌모아 태산"
DAILYMISSION_GOLD_GET_DESC,"던전에서 {1}골드 획득"
DAILYMISSION_PVP_NAME,"최강을 겨뤄라!"
DAILYMISSION_PVP_DESC,"승리의 리그 {1}회 참여"
DAILYMISSION_GACHA_NAME,"두근두근 상자 열기"
DAILYMISSION_GACHA_DESC,"보물상자 {1}회 열기"
DAILYMISSION_ITEM_BUY_NAME,"보급도 중요하지"
DAILYMISSION_ITEM_BUY_DESC,"상점에서 아이템 {1}회 구입"
DAILYMISSION_TOWER_JOIN_NAME,"한층, 한층 오르다 보면"
DAILYMISSION_TOWER_JOIN_DESC,"시련의 탑 {1}회 이용"
DAILYMISSION_UNDERGROUND_CLEAR_NAME,"지하감옥은 조용한 날이 없군!"
DAILYMISSION_UNDERGROUND_CLEAR_DESC,"지하감옥 클리어 {1}회"
MISSION_HERO_LEVEL20_NAME,"풋내기 모험가 {1}"
MISSION_HERO_LEVEL50_NAME,"강해진 {1}"
MISSION_HERO_LEVEL100_NAME,"{1}, 한계까지 강해지다"
MISSION_HERO_LEVEL_DESC,"{1} {2} 레벨 달성"
MISSION_HERO_STAR_NAME,"각성한 {1} {2}"
MISSION_HERO_STAR_DESC,"{1} 각성 {2}단계 달성!"
MISSION_HERO_GRADE_NAME,"한계를 돌파한 {1} {2}"
MISSION_HERO_GRADE_DESC,"{1} 승급, {2} 등급 달성!"
MISSION_HERO_SKILL_MASTER_NAME,"스킬 마스터 {1} {2}"
MISSION_HERO_SKILL_MASTER_DESC,"{1} 스킬 레벨 최초 {2} 달성!"
MISSION_HERO_SKILLMASTER_DESC,"{1} 모든 스킬 마스터!"
MISSION_EQUIP_GET_NAME,"장비 수집가 {1}"
MISSION_EQUIP_GET_DESC,"장비 획득 {1}회!"
MISSION_EQUIP_GET_GRADE_NAME,"{1} 장비 수집가 {2}"
MISSION_EQUIP_GET_GRADE_DESC,"{1} 등급 장비 획득 {2}회!"
MISSION_EQUIP_ENHANCE_NAME,"두들겨라, 두들겨! {1}"
MISSION_EQUIP_ENHANCE_DESC,"장비 강화 단계 상승 {1}회!"
MISSION_EQUIP_STAR_NAME,"장비의 숨겨진 힘을 일깨우다 {1}"
MISSION_EQUIP_STAR_DESC,"장비 각성 {1}회!"
MISSION_ITEM_CRAFT_NAME,"직접 만들어 볼까? {1}"
MISSION_ITEM_CRAFT_DESC,"아이템 제작 {1}회"
MISSION_ITEM_MATERIAL_GET_NAME,"재료를 모으자! {1}"
MISSION_ITEM_MATERIAL_GET_DESC,"재료 아이템 획득 {1}회"
MISSION_ITEM_RECIPE_GET_NAME,"아이템을 만드는 방법 {1}"
MISSION_ITEM_RECIPE_GET_DESC,"제작서 아이템 획득 {1}회"
MISSION_ITEM_EXCHANGE_GET_NAME,"이런건 돈이 되지!"
MISSION_ITEM_EXCHANGE_GET_DESC,"판매용 아이템 획득 {1}회"
MISSION_EQUIP_CRAFT_GREEN_NAME,"꽤 하는 대장장이 {1}"
MISSION_EQUIP_CRAFT_BLUE_NAME,"경이적인 실력의 대장장이 {1}"
MISSION_EQUIP_CRAFT_PURPLE_NAME,"전설의 대장장이 {1}"
MISSION_EQUIP_CRAFT_ORANGE_NAME,"신의 망치를 가진 대장장이 {1}"
MISSION_EQUIP_CRAFT_DESC,"제작으로 {1} 등급 장비 획득 {2}회"
MISSION_CONSUME_CRAFT_GREEN_NAME,"맛있는 요리를 만들다! {1}"
MISSION_CONSUME_CRAFT_BLUE_NAME,"환성적인 요리를 만들다! {1}"
MISSION_CONSUME_CRAFT_PURPLE_NAME,"전설의 요리사 {1}"
