KEY,Portuguese
DAILYMISSION_LOGIN_NAME,Visita do Herói
DAILYMISSION_LOGIN_DESC,Entrar {1} vez(es)/{1}dia(s)
DAILYMISSION_DUNGEON_CLEAR_NAME,Aventura Sem Fim
DAILYMISSION_DUNGEON_CLEAR_DESC,Concluir a masmorra {1} vez(es)
DAILYMISSION_ITEM_GET_NAME,Caçador de Tesouros
DAILYMISSION_ITEM_GET_DESC,Adquira equipamentos ou itens de masmorras x {1}
DAILYMISSION_MONSTER_KILL_NAME,Derrotar as Forças Escuras!
DAILYMISSION_MONSTER_KILL_DESC,Matar {1} monstro(s)
DAILYMISSION_EXPEDITION_NAME,Partir em uma Expedição!
DAILYMISSION_EXPEDITION_DESC,Experimente explorar ou pilhar x {1}
DAILYMISSION_ITEM_CRAFT_NAME,"Inteligente com suas mãos, né?"
DAILYMISSION_ITEM_CRAFT_DESC,Itens Artesanais x {1}
DAILYMISSION_ITEM_ENHANCE_NAME,Vamos fortalecer o equipamento!
DAILYMISSION_ITEM_ENHANCE_DESC,Realçar equipamento x {1}
DAILYMISSION_TRIAL_CLEAR_NAME,Um lugar onde a Alma dorme
DAILYMISSION_TRIAL_CLEAR_DESC,Concluir a Sala das Provações x {1}
DAILYMISSION_GOLD_GET_NAME,Muitas gotas fazem um banho
DAILYMISSION_GOLD_GET_DESC,Adquirir {1} Ouro das masmorras
DAILYMISSION_PVP_NAME,Determinar o mais forte!
DAILYMISSION_PVP_DESC,Participar na Arena x {1}
DAILYMISSION_GACHA_NAME,Abrir Baús
DAILYMISSION_GACHA_DESC,Abrir Baú do Tesouro x {1}
DAILYMISSION_ITEM_BUY_NAME,Suprimentos são importantes!
DAILYMISSION_ITEM_BUY_DESC,Comprar itens x {1} da Loja
DAILYMISSION_TOWER_JOIN_NAME,Suba Um a Um
DAILYMISSION_TOWER_JOIN_DESC,Use a Torre das Provações x {1}
DAILYMISSION_UNDERGROUND_CLEAR_NAME,Nunca faz silêncio no calabouço!
DAILYMISSION_UNDERGROUND_CLEAR_DESC,Conclua o Calabouço x {1}
MISSION_HERO_LEVEL20_NAME,Recruta Aventureiro {1}
MISSION_HERO_LEVEL50_NAME,Mais forte {1}
MISSION_HERO_LEVEL100_NAME,"{1}, Se force ao limite"
MISSION_HERO_LEVEL_DESC,{1} atinge o nível {2}
MISSION_HERO_STAR_NAME,Despertado {1} {2}
MISSION_HERO_STAR_DESC,{1} atinge a fase de despertar {2}!
MISSION_HERO_GRADE_NAME,Transcendendo {1} {2}
MISSION_HERO_GRADE_DESC,"{1} promovido, alcança {2} grau!"
MISSION_HERO_SKILL_MASTER_NAME,Poder Mestre {1} {2}
MISSION_HERO_SKILL_MASTER_DESC,{1} atinge o nível de poder {2} pela primeira vez!
MISSION_HERO_SKILLMASTER_DESC,{1} domina todos os poderes!
MISSION_EQUIP_GET_NAME,Coletor de Equipamento {1}
MISSION_EQUIP_GET_DESC,Adquirir Equipamento x {1}!
MISSION_EQUIP_GET_GRADE_NAME,{1} Colecionador de Equipamento {2}
MISSION_EQUIP_GET_GRADE_DESC,Adquirir {1} Grau de Equipamento x {2}!
MISSION_EQUIP_ENHANCE_NAME,Vamos fortalecer o equipamento! {1}
MISSION_EQUIP_ENHANCE_DESC,Realçar equipamento x {1}
MISSION_EQUIP_STAR_NAME,Despertar o Poder Oculto dos Equipamentos {1}
MISSION_EQUIP_STAR_DESC,Desperte o Equipamento x {1}
MISSION_ITEM_CRAFT_NAME,Vamos fazer você mesmo! {1}
MISSION_ITEM_CRAFT_DESC,Itens Artesanais x {1}
MISSION_ITEM_MATERIAL_GET_NAME,Coletar Materiais! {1}
MISSION_ITEM_MATERIAL_GET_DESC,Adquirir Materiais x {1}
MISSION_ITEM_RECIPE_GET_NAME,Como criar um item {1}
MISSION_ITEM_RECIPE_GET_DESC,Adquirir ingredientes x {1}
MISSION_ITEM_EXCHANGE_GET_NAME,Muito Lucrativo!
MISSION_ITEM_EXCHANGE_GET_DESC,Adquira item(s) na promoção x {1}
MISSION_EQUIP_CRAFT_GREEN_NAME,Ferreiro Habilidoso {1}
MISSION_EQUIP_CRAFT_BLUE_NAME,Ferreiro Extraordinário {1}
MISSION_EQUIP_CRAFT_PURPLE_NAME,Ferreiro Lendário {1}
MISSION_EQUIP_CRAFT_ORANGE_NAME,Ferreiro com Martelo de Deus {1}
MISSION_EQUIP_CRAFT_DESC,Adquirir {1} grau de Engrenagem x {2} usando Receitas
MISSION_CONSUME_CRAFT_GREEN_NAME,Faca uma Comida Deliciosa! {1}
MISSION_CONSUME_CRAFT_BLUE_NAME,Faca uma Comida Maravilhosa! {1}
