KEY,Russian
DAILYMISSION_LOGIN_NAME,Визит героя
DAILYMISSION_LOGIN_DESC,Подключитесь в {1} д.: {1} р.
DAILYMISSION_DUNGEON_CLEAR_NAME,Долгое приключение
DAILYMISSION_DUNGEON_CLEAR_DESC,Выполните заданий в подземелье: {1}
DAILYMISSION_ITEM_GET_NAME,Кладоискатель
DAILYMISSION_ITEM_GET_DESC,Добудьте снаряжение и предметы в подземелье: {1}
DAILYMISSION_MONSTER_KILL_NAME,Одолей Темные силы!
DAILYMISSION_MONSTER_KILL_DESC,Уничтожьте монстров: {1}
DAILYMISSION_EXPEDITION_NAME,В путь!
DAILYMISSION_EXPEDITION_DESC,Попыток поиска или мародерства: {1}
DAILYMISSION_ITEM_CRAFT_NAME,Про твою ловкость ходят слухи
DAILYMISSION_ITEM_CRAFT_DESC,Изготовьте предмет: {1} р.
DAILYMISSION_ITEM_ENHANCE_NAME,Стучи хорошенько!
DAILYMISSION_ITEM_ENHANCE_DESC,Улучшите снаряжение: {1} р.
DAILYMISSION_TRIAL_CLEAR_NAME,Место упокоения духов
DAILYMISSION_TRIAL_CLEAR_DESC,Выполните задания в Комнате испытаний: {1}
DAILYMISSION_GOLD_GET_NAME,Высокая гора из пылинок сложена
DAILYMISSION_GOLD_GET_DESC,Добудьте в подземелье золото: {1}
DAILYMISSION_PVP_NAME,Померься силой!
DAILYMISSION_PVP_DESC,Примите участие {1} раз в Лиге Победы
DAILYMISSION_GACHA_NAME,Открытие сундуков
DAILYMISSION_GACHA_DESC,Откройте сундук с сокровищами: {1} р.
DAILYMISSION_ITEM_BUY_NAME,Снабжение тоже важно
DAILYMISSION_ITEM_BUY_DESC,Купите предмет в магазине: {1} р.
DAILYMISSION_TOWER_JOIN_NAME,Шаг за шагом
DAILYMISSION_TOWER_JOIN_DESC,Зайдите в Башню испытаний: {1} р.
DAILYMISSION_UNDERGROUND_CLEAR_NAME,В Темнице не бывает светлых дней!
DAILYMISSION_UNDERGROUND_CLEAR_DESC,Выполните задания в Темнице: {1} р.
MISSION_HERO_LEVEL20_NAME,Начинающий странник {1}
MISSION_HERO_LEVEL50_NAME,{1} с улучшением
MISSION_HERO_LEVEL100_NAME,"{1}, сильны как никогда"
MISSION_HERO_LEVEL_DESC,{1} достигает ур. {2}
MISSION_HERO_STAR_NAME,{1} пробуждается {2}
MISSION_HERO_STAR_DESC,{1} достигает ступени пробуждения {2}!
MISSION_HERO_GRADE_NAME,{1} преодолевает пределы {2}
MISSION_HERO_GRADE_DESC,"{1} развивается, {2} класс достигнут!"
MISSION_HERO_SKILL_MASTER_NAME,"{1}, мастер навыка {2}"
MISSION_HERO_SKILL_MASTER_DESC,{1} достигает макс. ур. навыка {2}!
MISSION_HERO_SKILLMASTER_DESC,"{1}, мастер всех навыков!"
MISSION_EQUIP_GET_NAME,Собиратель снаряжения {1}
MISSION_EQUIP_GET_DESC,Добудьте снаряжение: {1} р.
MISSION_EQUIP_GET_GRADE_NAME,{1} Собиратель снаряжения {2}
MISSION_EQUIP_GET_GRADE_DESC,Добудьте снаряжение {1} класса: {2} р.
MISSION_EQUIP_ENHANCE_NAME,"Бей, колоти! {1}"
MISSION_EQUIP_ENHANCE_DESC,Улучшите ступень снаряжения: {1} р.
MISSION_EQUIP_STAR_NAME,Пробуждение силы снаряжения {1}
MISSION_EQUIP_STAR_DESC,Пробудите снаряжение: {1} р.
MISSION_ITEM_CRAFT_NAME,"Ну что, за дело? {1}"
MISSION_ITEM_CRAFT_DESC,Изготовьте предмет: {1} р.
MISSION_ITEM_MATERIAL_GET_NAME,Соберем материал! {1}
MISSION_ITEM_MATERIAL_GET_DESC,Добудьте предметы-материалы: {1}
MISSION_ITEM_RECIPE_GET_NAME,Как создать предмет? {1}
MISSION_ITEM_RECIPE_GET_DESC,Добудьте описания предмета: {1}
MISSION_ITEM_EXCHANGE_GET_NAME,Это денег стоит!
MISSION_ITEM_EXCHANGE_GET_DESC,Добудьте предметы на продажу: {1}
MISSION_EQUIP_CRAFT_GREEN_NAME,Хороший кузнец {1}
MISSION_EQUIP_CRAFT_BLUE_NAME,Замечательный кузнец {1}
MISSION_EQUIP_CRAFT_PURPLE_NAME,Легендарный кузнец {1}
MISSION_EQUIP_CRAFT_ORANGE_NAME,Прирожденный кузнец {1}
MISSION_EQUIP_CRAFT_DESC,Изготовьте снаряжение {1} класса: {2} р.
MISSION_CONSUME_CRAFT_GREEN_NAME,Вкусно готовишь! {1}
MISSION_CONSUME_CRAFT_BLUE_NAME,Отменно готовишь! {1}
MISSION_CONSUME_CRAFT_PURPLE_NAME,Легендарный повар {1}
MISSION_CONSUME_CRAFT_ORANGE_NAME,Прирожденный повар {1}
MISSION_CONSUME_CRAFT_DESC,Изготовьте блюдо {1} класса: {2} р.
MISSION_GOLD_NAME,Мечты о богатстве! {1}
MISSION_GOLD_DESC,Получите золото: {1}
MISSION_STAMINA_NAME,Береги себя {1}
MISSION_STAMINA_DESC,Используйте выносливость: {1}
MISSION_CHAPTER_NORMAL_NAME,Покорите: {1} (норм.)!
MISSION_CHAPTER_NORMAL_DESC,Пройдите главу: {1} (норм.)
MISSION_CHAPTER_HARD_NAME,Покорите: {1} (сложн.)!
MISSION_CHAPTER_HARD_DESC,Пройдите главу: {1} (сложн.)
MISSION_HERO_GET_NAME,Новый друг! {1}
MISSION_HERO_GET_DESC,К команде присоединяется {1}-й герой!
MISSION_TRIAL_COUNT_NAME,Борьба с собой {1}
MISSION_TRIAL_COUNT_DESC,Выполните задания Комнаты испытаний: {1} р.
MISSION_HERO_TRIAL_CLEAR1_NAME,{1} начинает испытания
MISSION_HERO_TRIAL_CLEAR2_NAME,{1} в поисках истинной силы
MISSION_HERO_TRIAL_CLEAR3_NAME,{1} преодолевает преграды
MISSION_HERO_TRIAL_CLEAR4_NAME,{1} преодолевает трудности
