KEY,Spanish
DAILYMISSION_LOGIN_NAME,Visita de Heroe
DAILYMISSION_LOGIN_DESC,Iniciar sesion {1} vez(s)/{1} dia(s)
DAILYMISSION_DUNGEON_CLEAR_NAME,Aventura Sin-Fin
DAILYMISSION_DUNGEON_CLEAR_DESC,Terminar calabozos {1} vez(s)
DAILYMISSION_ITEM_GET_NAME,Cazador de Tesoros
DAILYMISSION_ITEM_GET_DESC,Adquiere equipo o articulos de los calabozos x {1}
DAILYMISSION_MONSTER_KILL_NAME,Derrota a las Fuerzas Obscuras!
DAILYMISSION_MONSTER_KILL_DESC,Matar {1} monstruo(s)
DAILYMISSION_EXPEDITION_NAME,Iniciar una Expedicion!
DAILYMISSION_EXPEDITION_DESC,Intenta explorar o saquear x {1}
DAILYMISSION_ITEM_CRAFT_NAME,"Bueno con Tus Manos, No?"
DAILYMISSION_ITEM_CRAFT_DESC,Articulos de Artesania x {1}
DAILYMISSION_ITEM_ENHANCE_NAME,Hagamos Mas Poderoso el Equipo!
DAILYMISSION_ITEM_ENHANCE_DESC,Mejorar equipo x {1}
DAILYMISSION_TRIAL_CLEAR_NAME,Un Lugar Donde el Alma Duerme
DAILYMISSION_TRIAL_CLEAR_DESC,Terminar el Cuarto de Pruebas x {1}
DAILYMISSION_GOLD_GET_NAME,Muchas Gotas Forman una Ducha
DAILYMISSION_GOLD_GET_DESC,Adquirir {1} Oro de los calabozos
DAILYMISSION_PVP_NAME,Determinar el Mas Fuerte!
DAILYMISSION_PVP_DESC,Participa {1} veces en la Liga de la Victoria
DAILYMISSION_GACHA_NAME,Abrir Cofres
DAILYMISSION_GACHA_DESC,Abrir Cofre del Tesoro x {1}
DAILYMISSION_ITEM_BUY_NAME,Suministros son Importantes!
DAILYMISSION_ITEM_BUY_DESC,Comprar Articulos x {1} de la Tienda
DAILYMISSION_TOWER_JOIN_NAME,Trepar Uno por Uno
DAILYMISSION_TOWER_JOIN_DESC,Utilizar la Torre de Pruebas x {1}
