KEY,"Vietnamese"
DAILYMISSION_LOGIN_NAME,"Anh hùng ghé thăm"
DAILYMISSION_LOGIN_DESC,"Đăng nhập x {1} mỗi {1} ngày."
DAILYMISSION_DUNGEON_CLEAR_NAME,"Cuộc phiêu lưu không có hồi kết"
DAILYMISSION_DUNGEON_CLEAR_DESC,"Vượt qua ngục tối x {1}."
DAILYMISSION_ITEM_GET_NAME,"Người đi săn kho báu"
DAILYMISSION_ITEM_GET_DESC,"Giành được vũ khí hoặc vật phẩm từ ngục tối x {1}."
DAILYMISSION_MONSTER_KILL_NAME,"Đánh bại Lực lượng bóng tối!"
DAILYMISSION_MONSTER_KILL_DESC,"Giết {1} quái vật."
DAILYMISSION_EXPEDITION_NAME,"Bắt đầu chuyến thám hiểm!"
DAILYMISSION_EXPEDITION_DESC,"Thử lùng tìm hoặc cướp x {1}."
DAILYMISSION_ITEM_CRAFT_NAME,"Bạn đã thành thạo đôi tay của mình chưa?"
DAILYMISSION_ITEM_CRAFT_DESC,"Vật phẩm thủ công x {1}."
DAILYMISSION_ITEM_ENHANCE_NAME,"Hãy làm trang bị mạnh hơn!"
DAILYMISSION_ITEM_ENHANCE_DESC,"Cường hoá trang bị x {1}."
DAILYMISSION_TRIAL_CLEAR_NAME,"Nơi linh hồn say ngủ"
DAILYMISSION_TRIAL_CLEAR_DESC,"Vượt qua Phòng thử thách x {1}."
DAILYMISSION_GOLD_GET_NAME,"Nhiều giọt nước tạo thành một trận mưa"
DAILYMISSION_GOLD_GET_DESC,"Thu được {1} Vàng từ ngục tối."
DAILYMISSION_PVP_NAME,"Tìm ra kẻ mạnh nhất!"
DAILYMISSION_PVP_DESC,"Tham gia {1} lần tại Liên Minh Chiến Thắng"
DAILYMISSION_GACHA_NAME,"Mở rương"
DAILYMISSION_GACHA_DESC,"Mở rương kho báu x {1}."
DAILYMISSION_ITEM_BUY_NAME,"Hàng tiếp tế rất quan trọng!"
DAILYMISSION_ITEM_BUY_DESC,"Mua vật phẩm x {1} tại Cửa hàng."
DAILYMISSION_TOWER_JOIN_NAME,"Leo từng tầng một"
