KEY,Korean
E_C19_Oct_Laudia01_01,저쪽은 끝났습니다.
E_C19_Oct_Laudia01_02,여기도 끝났어. 하아... 많이 줄었다곤 해도 몬스터들 퇴치는 끊이질 않네.
E_C19_Oct_Laudia01_03,마족들이 세력을 불려나가는 한 계속되겠지... 고생이 많아.
E_C19_Oct_Laudia01_04,괜찮습니다. 원래 제가 해야 할 일을 하는 것뿐이니까요.
E_C19_Oct_Laudia01_05,"이 정도면 될 것 같으니, 이만 들어가 보시는 건 어떠신가요?"
E_C19_Oct_Laudia01_06,오늘은 라우디아의 생일이잖아요.
E_C19_Oct_Laudia01_07,"괜찮아. 자피르랑 마찬가지로, 나도 이게 해야 할 일인걸."
E_C19_Oct_Laudia01_08,하지만...
E_C19_Oct_Laudia01_09,정말 괜찮아. 가려는 곳도 있고.
E_C19_Oct_Laudia01_10,가려는 곳이요?
E_C19_Oct_Laudia01_11,응. 어릴 때부터 가던 곳인데... 괜찮으면 같이 갈래?
E_C19_Oct_Laudia01_12,특별한 장소인가 보군요. 그럼 잠시 실례하겠습니다.
E_C19_Oct_Laudia01_13,이런 곳이 있었군요...
E_C19_Oct_Laudia01_14,관리가 아주 잘 되어 있군요. 의식에 쓰는 장소입니까?
E_C19_Oct_Laudia01_15,그런 건 아니야. 관리는 하고 있지만.
E_C19_Oct_Laudia01_16,어릴 때 쓰던 비밀기지 같은 건데... 이야기가 좀 길어지네.
E_C19_Oct_Laudia01_17,괜찮으시다면 들려주세요. 궁금하네요.
E_C19_Oct_Laudia01_18,"그러니까, 내가 정말 어릴 때 이야기인데..."
E_C19_Oct_Laudia01_19,너도 들은 적 있지? 흐름의 신전에서 잠자는 신룡님 이야기.
E_C19_Oct_Laudia01_20,"아, 네. 어릴 때 잠자리에서 많이 들었죠."
E_C19_Oct_Laudia01_21,"어릴 때였으니까, 그게 진짜 있었던 일이라곤 생각도 못 했지."
E_C19_Oct_Laudia01_22,"그냥 막연하게, 사막에 비를 내리는 아름다운 신룡님이라고만 생각해서 동경했어."
E_C19_Oct_Laudia01_23,"그리고 신룡님이 깨어났을 때, 지내실 수 있는 장소를 만들어 드려야겠다고 생각했고."
E_C19_Oct_Laudia01_24,지금 생각해보면 말도 안 되는 이야기지만.
E_C19_Oct_Laudia01_25,뭐... 어린아이였으니까요. 라이아스 님이 이 이야기를 들어도 웃고 넘기시지 않을까요?
E_C19_Oct_Laudia01_26,고마워. 그래서 멋진 곳을 찾다가 여기까지 오게 됐어.
E_C19_Oct_Laudia01_27,신룡님이 일어나시면 여기서 같이 놀아야지. 하면서 청소하기 시작했었고.
E_C19_Oct_Laudia01_28,그런데 좀 더 크고 나서 깨달은 거야.
E_C19_Oct_Laudia01_29,뭐를요?
E_C19_Oct_Laudia01_30,여긴 신룡님이 지내시기엔 너무 작다는 거.
E_C19_Oct_Laudia01_31,아하하... 그렇죠.
E_C19_Oct_Laudia01_32,그래도 가지런하게 정리된 꽃이나 깨끗하게 관리되고 있는 바닥은 보기 좋으니까.
E_C19_Oct_Laudia01_33,틈날 때마다 돌보고 있었어.
E_C19_Oct_Laudia01_34,그러셨군요... 그럼 생일 때마다 여기에 오시고 계십니까?
E_C19_Oct_Laudia01_35,"응? 아니야. 그냥 최근 라이아스 님을 찾아뵐 일이 많았으니까, 생각이 나서."
E_C19_Oct_Laudia01_36,"생일 덕에 간만에 틈이 났으니까, 와보고 싶어졌을 뿐이야."
E_C19_Oct_Laudia01_37,"아, 제대로 찾아왔군요."
E_C19_Oct_Laudia01_38,"라, 라이아스 님?! 여기까지 어떻게..."
E_C19_Oct_Laudia01_39,하고 싶은 이야기가 있어서 왔습니다.
E_C19_Oct_Laudia01_40,그럼 저는 잠시 물러나 있겠습니다. 말씀 나누세요.
E_C19_Oct_Laudia01_41,아에기나에 이런 곳이 있었군요. 직접 가꾸고 있는 곳인가요?
E_C19_Oct_Laudia01_42,"네, 틈날 때마다 와서 관리하고 있습니다."
E_C19_Oct_Laudia01_43,"깨끗한 기운이 느껴지는 거로 보아, 오랜 시간 공을 들여 돌보았군요."
E_C19_Oct_Laudia01_44,"아름다운 곳이네요. 괜찮다면, 가끔 찾아와도 될까요?"
E_C19_Oct_Laudia01_45,물론입니다. 편하실 때 찾아와주세요.
E_C19_Oct_Laudia01_46,고마워요. 그리고 하려는 이야기 말인데.
E_C19_Oct_Laudia01_47,네. 말씀해주세요.
E_C19_Oct_Laudia01_48,"생일 축하해요, 라우디아. 흐름의 축복이 함께하기를."
E_C19_Oct_Laudia01_49,그리고... 조금 새삼스럽지만.
E_C19_Oct_Laudia01_50,마족들을 상대하느라 수고 많았습니다.
