KEY,Russian
E_C19_Oct_Laudia01_01,На той стороне всё закончено.
E_C19_Oct_Laudia01_02,"Здесь тоже. Уфф... Хоть монстров и стало меньше, они все идут и идут."
E_C19_Oct_Laudia01_03,"И это будет продолжаться до тех пор, пока демоны взывают к силе... Придётся потрудиться."
E_C19_Oct_Laudia01_04,"Не волнуйтесь. В конце концов, я лишь делаю то, что должен."
E_C19_Oct_Laudia01_05,"Вроде на этом можно закончить, поэтому Вы можете вернуться обратно."
E_C19_Oct_Laudia01_06,"Сегодня же Ваш день рождения, Лаудия."
E_C19_Oct_Laudia01_07,"Ничего страшного. Ведь я, как и ты, тоже делаю то, что должна."
E_C19_Oct_Laudia01_08,Но...
E_C19_Oct_Laudia01_09,"Все в порядке. К тому же, я хочу кое-куда заглянуть..."
E_C19_Oct_Laudia01_10,Кое-куда?
E_C19_Oct_Laudia01_11,"Да. Место, куда я ходила с самого детства... Ты не против составить мне компанию?"
E_C19_Oct_Laudia01_12,"Видимо, это какое-то особенное место. Тогда, если Вы не против, я бы хотел пойти с Вами."
E_C19_Oct_Laudia01_13,"Вот, значит, что это за место."
E_C19_Oct_Laudia01_14,Как здесь всё хорошо убрано. Здесь проводят какие-то ритуалы?
E_C19_Oct_Laudia01_15,Вовсе нет. Хотя я стараюсь наводить здесь порядок.
E_C19_Oct_Laudia01_16,В детстве это было для меня чем-то вроде секретной базы... Но это долгий разговор.
E_C19_Oct_Laudia01_17,"Если Вам не сложно, расскажите. Я хотел бы послушать."
E_C19_Oct_Laudia01_18,"Так вот, это было, когда я была ещё совсем маленькой..."
E_C19_Oct_Laudia01_19,"Ты ведь тоже слышал о боге-драконе, спящем в Храме Потока?"
E_C19_Oct_Laudia01_20,"Да, в детстве, перед сном мне часто доводилось слушать эту историю."
E_C19_Oct_Laudia01_21,"Так как я была маленькой, я и подумать не могла, что это правда."
E_C19_Oct_Laudia01_22,"Лишь туманно представляла себе и почитала прекрасного бога-дракона, проливающего дождь над пустыней."
E_C19_Oct_Laudia01_23,"И подумала, что необходимо приготовить место, где дракон бы жил, когда проснётся."
E_C19_Oct_Laudia01_24,"Сейчас, если подумать, это было очень по-детски."
E_C19_Oct_Laudia01_25,"Ну, Вы ведь были маленькой. Даже если Лайас услышит это, она, наверное, лишь посмеётся и забудет, не так ли?"
E_C19_Oct_Laudia01_26,"Спасибо. Так вот, поиски подходящего места привели меня сюда."
E_C19_Oct_Laudia01_27,"Думала, вот проснётся дракон, и будем мы вместе играть. С такими мыслями и привела здесь все в порядок."
E_C19_Oct_Laudia01_28,"И уже став немного взрослее, я поняла одну вещь."
E_C19_Oct_Laudia01_29,Какую?
E_C19_Oct_Laudia01_30,Это место слишком мало для бога-дракона.
E_C19_Oct_Laudia01_31,А-ха-ха-ха... Это верно.
E_C19_Oct_Laudia01_32,"Но всё равно, приятно смотреть на цветы, расставленные в ряд, и на чистый пол."
E_C19_Oct_Laudia01_33,"Поэтому, как только выдастся минутка, я стараюсь наводить здесь порядок."
E_C19_Oct_Laudia01_34,"Вот как... Значит, Вы приходите сюда в каждый свой день рождения?"
E_C19_Oct_Laudia01_35,"М? Вовсе нет. Просто в последнее время я часто хожу к Лайас по разным делам, вот и вспомнилось."
E_C19_Oct_Laudia01_36,"И как раз сегодня, в день рождения, у меня появилось время, поэтому я решила заглянуть сюда."
E_C19_Oct_Laudia01_37,"Охо, как хорошо, я вас нашла."
E_C19_Oct_Laudia01_38,Ла... Лайас? Как Вы здесь...
E_C19_Oct_Laudia01_39,"Мне хотелось бы кое-что сказать, поэтому пришла сюда."
E_C19_Oct_Laudia01_40,"Я тогда отойду, не буду беспокоить, а вы продолжайте."
E_C19_Oct_Laudia01_41,"В Аэгине было, значит, подобное место. Ты сама здесь всё обустроила?"
E_C19_Oct_Laudia01_42,"Да, в свободное время приходила сюда и наводила порядок."
E_C19_Oct_Laudia01_43,"Судя по чистой энергии, что витает в воздухе, ты, похоже, уже давно за всем ухаживаешь."
E_C19_Oct_Laudia01_44,"Какое красивое место. Если не против, можно я буду иногда приходить сюда?"
E_C19_Oct_Laudia01_45,Разумеется. Когда Вам только будет удобно.
E_C19_Oct_Laudia01_46,"Спасибо. Так вот, я хотела тебе кое-что сказать."
E_C19_Oct_Laudia01_47,"Да, слушаю."
E_C19_Oct_Laudia01_48,"С днём рождения, Лаудия. Желаю, чтобы благословение Потока всегда было с тобой."
E_C19_Oct_Laudia01_49,"Также, немного отклонюсь от темы,"
E_C19_Oct_Laudia01_50,но ты очень хорошо справилась в битвах с демонами.
E_C19_Oct_Laudia01_51,"К людям снова вернулась радость, и твою заслугу в этом сложно недооценить."
E_C19_Oct_Laudia01_52,"Как хранительница пустыни, я хочу выразить благодарность."
E_C19_Oct_Laudia01_53,Не... не стоит... Спасибо большое.
E_C19_Oct_Laudia01_54,"Извини, что я прервала тебя во время отдыха. В оставшееся время желаю тебе провести прекрасный день."
E_C19_Oct_Laudia01_55,"Нет-нет, я очень счастлива, что Вы пришли сюда, и даже поздравили меня."
E_C19_Oct_Laudia01_56,О чём вы беседовали?
E_C19_Oct_Laudia01_57,"Лайас сказала, что здесь очень красиво... И что хотела бы иногда приходить сюда."
E_C19_Oct_Laudia01_58,"Даже в детстве я и мечтать не могла о том, чтобы бог-дракон меня похвалила."
E_C19_Oct_Laudia01_59,Какие дела...
E_C19_Oct_Laudia01_60,Сама Лайас пришла сюда. Сбылась Ваша мечта детства.
E_C19_Oct_Laudia01_61,"Действительно... Хорошо все-таки, что я не сдалась на полпути и приложила столько усилий."
E_C19_Oct_Clause01_01,"Клаус, брат мой, с днём рождения!!"
E_C19_Oct_Clause01_02,"С днём рождения, Клаус!!"
E_C19_Oct_Clause01_03,Мы лично это сделали. Как тебе?
E_C19_Oct_Clause01_04,"Хи-хи, Кассель неправильно написал."
E_C19_Oct_Clause01_05,"Уф, зачем ты так? Ты же обещала не смеяться надо мной!"
E_C19_Oct_Clause01_06,Ха-ха! Оба мне очень нравятся!
E_C19_Oct_Clause01_07,"Большое спасибо! Как и ожидалось от вас, ребята!!"
E_C19_Oct_Clause01_08,В то время мы могли поздравить его первыми...
E_C19_Oct_Clause01_09,Да...
E_C19_Oct_Clause01_10,"С днём рождения, Клаус!"
E_C19_Oct_Clause01_11,Ты - гордость нашего Орвела! Поздравляем!
E_C19_Oct_Clause01_12,Ха-ха... Спасибо вам большое!!
E_C19_Oct_Clause01_13,"Я буду делать все возможное, чтобы оправдать ваши надежды."
