KEY,ChineseTraditional
E_C19_Dec_Pavel01_01,…
E_C19_Dec_Pavel01_02,這麼看來…還真是令人百感交集。
E_C19_Dec_Pavel01_03,雖然虛幻卻不想放過…
E_C19_Dec_Pavel01_04,那種隱約的感覺…似乎一直在腦海中盤旋。
E_C19_Dec_Pavel01_05,（阿萊特的軀體應該會永遠在這冰冷的土地中長眠吧。）
E_C19_Dec_Pavel01_06,（僅是冰冷僵硬的屍體…就能代替她的位子。）
E_C19_Dec_Pavel01_07,（但是…）
E_C19_Dec_Pavel01_08,好冷…
E_C19_Dec_Pavel01_09,我以為我永遠都不會觸碰到這裡的寒氣…
E_C19_Dec_Pavel01_10,冷至骨髓裡的酷寒正鑽進我身體的各個角落…
E_C19_Dec_Pavel01_11,當我睜開眼的時候，正面臨第九十個冬天。
E_C19_Dec_Pavel01_12,然後…今天是第一百個冬天。
E_C19_Dec_Pavel01_13,…原來是那樣。
E_C19_Dec_Pavel01_14,明知道有可能會死，仍舉槍瞄準我的樣子…
E_C19_Dec_Pavel01_15,就好像是在無限流逝的時間裡，即便萬蟻鑽心仍無法棄之不顧的…
E_C19_Dec_Pavel01_16,那悲痛的迫切感。
E_C19_Dec_Pavel01_17,但那男人當時所感受到的思念…
E_C19_Dec_Pavel01_18,與現在的我所感受到的思念有著十分明顯的差異。
E_C19_Dec_Pavel01_19,而正如那份差距，
E_C19_Dec_Pavel01_20,我們必須忍受的痛苦果然也有所差別。
E_C19_Dec_Pavel01_21,（想要再次和在某處生活的重要之人碰面的情感和…）
E_C19_Dec_Pavel01_22,（不得不送走再也見不到的人的情感…）
E_C19_Dec_Pavel01_23,我很擔心你。
E_C19_Dec_Pavel01_24,雖然我們現在在一起…
E_C19_Dec_Pavel01_25,但若我們離開的話…你會不會又變成孤身一人？
E_C19_Dec_Pavel01_26,（是啊…想起當時。）
E_C19_Dec_Pavel01_27,（當時和某個已滅絕的王國的倖存者一起出現的妳，那憔悴無比的容貌。）
E_C19_Dec_Pavel01_28,（但妳和其他人類不同。）
E_C19_Dec_Pavel01_29,（我把你們視為阻礙，一心只想趕走你們…但妳卻始終以溫柔相待。）
E_C19_Dec_Pavel01_30,（說實話，我有好幾次也感到煩躁不耐…）
E_C19_Dec_Pavel01_31,（即便如此，我還是覺得那段和妳聊天的時光很愉快。）
E_C19_Dec_Pavel01_32,這樣一想就讓我想起來了。
E_C19_Dec_Pavel01_33,那個時候都是說一些今天有什麼樣的零食，從何時喜歡上凱爾…
E_C19_Dec_Pavel01_34,還有小時候凱爾曾帶著自己跟瑪莉亞四處去玩…
E_C19_Dec_Pavel01_35,回想起來都只是些非常個人的事情。
E_C19_Dec_Pavel01_36,（但奇怪的是聽她說這些…好像也沒那麼無聊。）
E_C19_Dec_Pavel01_37,那個，帕菲…
E_C19_Dec_Pavel01_38,總有一天…理解你的人…
E_C19_Dec_Pavel01_39,剛剛那是什麼？不知為何好像是非常重要的回憶…
E_C19_Dec_Pavel01_40,…沒有人在嗎？
E_C19_Dec_Pavel01_41,露伊希亞好像到現在都沒有消息…
E_C19_Dec_Pavel01_42,羅迪娜…
E_C19_Dec_Pavel01_43,欸嘿嘿～幸好比我想像中的還要快找到。
E_C19_Dec_Pavel01_44,希望帕菲會喜歡！
E_C19_Dec_Pavel01_45,羅迪娜。
E_C19_Dec_Pavel01_46,帕菲，原來你已經到了啊！太好了，正好要給你…
E_C19_Dec_Pavel01_47,帕菲？
E_C19_Dec_Pavel01_48,…果然像今天這樣刮著暴風雪的日子，還是早點回來比較好。
E_C19_Dec_Pavel01_49,帕菲，難道你是在擔心我嗎？
E_C19_Dec_Pavel01_50,只是村裡有些事要辦，所以才晚了點，不用這麼擔心我也沒關係的。
E_C19_Dec_Pavel01_51,先不說這個，我有東西一定要給你！
E_C19_Dec_Pavel01_52,要給我東西？
E_C19_Dec_Pavel01_53,生日快樂，帕菲！你最近好像有很多煩惱，所以我特地為你準備了這個。
E_C19_Dec_Pavel01_54,生日…？
E_C19_Dec_Pavel01_55,你前陣子不是有跟我說嗎？
E_C19_Dec_Pavel01_56,說你想起曾在這個時候，從某個人那裡收到了祝福。
E_C19_Dec_Pavel01_57,難道不是在說今天是你的生日嗎？
E_C19_Dec_Pavel01_58,該…該不會是我搞錯了？
E_C19_Dec_Pavel01_59,即便將來我不在了…
E_C19_Dec_Pavel01_60,若有能理解你的人出現就好了。
E_C19_Dec_Pavel01_61,會為你抱不平，會偶爾為你準備禮物…
E_C19_Dec_Pavel01_62,希望你身邊會有那樣的人在。
E_C19_Dec_Pavel01_63,（原來是那樣啊…當時阿萊特…明明就對我說了那樣的話。）
E_C19_Dec_Pavel01_64,（理解我…並且陪伴著我的人…）
E_C19_Dec_Pavel01_65,帕菲…？
E_C19_Dec_Pavel01_66,我會好好使用的。
E_C19_Dec_Rodina01_01,……
E_C19_Dec_Rodina01_02,羅迪娜，好久不見啊。生日當天就被派到新的地方工作，真是辛苦了。
