KEY,English
E_C19_Dec_Pavel01_01,...
E_C19_Dec_Pavel01_02,"Now, this... brings back feelings."
E_C19_Dec_Pavel01_03,"It’s meaningless, but something I don't want to let go..."
E_C19_Dec_Pavel01_04,This obscure feeling... is lingering inside my head.
E_C19_Dec_Pavel01_05,"(Here, in this frozen land, Arlette’s body will rest forever.)"
E_C19_Dec_Pavel01_06,(Only the still frozen corpse... will remain in her stead.)
E_C19_Dec_Pavel01_07,(But...)
E_C19_Dec_Pavel01_08,Such cold...
E_C19_Dec_Pavel01_09,I thought the frozen wind of this place could never touch me...
E_C19_Dec_Pavel01_10,This extreme cold that is enough to freeze my bones... It’s invading my every skin.
E_C19_Dec_Pavel01_11,"When I woke up, it was going to be the ninetieth winter."
E_C19_Dec_Pavel01_12,And... today is the hundredth winter.
E_C19_Dec_Pavel01_13,... Now I see.
E_C19_Dec_Pavel01_14,He pointed his spear at me even though he knew he could die...
E_C19_Dec_Pavel01_15,It was out of sad desperation that even the exploited heart from all the constant waiting
E_C19_Dec_Pavel01_16,could not even dismiss.
E_C19_Dec_Pavel01_17,Though I have to say that his feeling of longing...
E_C19_Dec_Pavel01_18,and mine are clearly different.
E_C19_Dec_Pavel01_19,Being different
E_C19_Dec_Pavel01_20,means the weight of pain to endure is also different...
E_C19_Dec_Pavel01_21,(A feeling of wanting to see someone who might be alive...)
E_C19_Dec_Pavel01_22,(And a feeling of saying farewell to someone who will never return...)
E_C19_Dec_Pavel01_23,I am worried about you.
E_C19_Dec_Pavel01_24,"We are here with you now,"
E_C19_Dec_Pavel01_25,"But if we leave, you will be left all alone again, right?"
E_C19_Dec_Pavel01_26,(Yes... I remember.)
E_C19_Dec_Pavel01_27,(You came here with survivors of a fallen nation. You were exhausted and weak.)
E_C19_Dec_Pavel01_28,(But you were different from other humans.)
E_C19_Dec_Pavel01_29,"(Even though I treated you as a nuisance and tried to drive you out, you always treated me kindly.)"
E_C19_Dec_Pavel01_30,"(To be honest, there were many times when I was annoyed with you...)"
E_C19_Dec_Pavel01_31,(But those conversations we had... They were quite meaningful.)
E_C19_Dec_Pavel01_32,That reminds me.
E_C19_Dec_Pavel01_33,"You told me what you put inside those cookies you made, and how you met Kyle..."
E_C19_Dec_Pavel01_34,You told me about those places Kyle took you and Maria to...
E_C19_Dec_Pavel01_35,"To think back, all the conversations were about your personal life."
E_C19_Dec_Pavel01_36,(But listening to her speak... Those conversations weren't boring.)
E_C19_Dec_Pavel01_37,"Hey, Pavel..."
E_C19_Dec_Pavel01_38,I hope... you meet someone who understands...
E_C19_Dec_Pavel01_39,What was that? That felt like a very important piece of memory...
E_C19_Dec_Pavel01_40,...No one’s around.
E_C19_Dec_Pavel01_41,No words from Lewisia too...
E_C19_Dec_Pavel01_42,and where’s Rodina?
E_C19_Dec_Pavel01_43,Hehehe. The search ended rather quick.
E_C19_Dec_Pavel01_44,Hope Pavel likes this one!
E_C19_Dec_Pavel01_45,Rodina.
E_C19_Dec_Pavel01_46,"Oh, Pavel, you were here first! It’s good that you are here. I have something-"
E_C19_Dec_Pavel01_47,Pavel?
E_C19_Dec_Pavel01_48,...The blizzard is strong today. You should come back early in days like this.
E_C19_Dec_Pavel01_49,"Wow, were you actually worried about me, Pavel?"
E_C19_Dec_Pavel01_50,It’s okay. I had some things to take care of in the village. That’s all.
E_C19_Dec_Pavel01_51,I have something I wish to give you.
E_C19_Dec_Pavel01_52,Something to give me?
E_C19_Dec_Pavel01_53,"Happy birthday, Pavel! You were looking a bit down as of recent. I prepared something special to cheer you up."
E_C19_Dec_Pavel01_54,Birthday?
E_C19_Dec_Pavel01_55,"You told me a while ago, remember?"
E_C19_Dec_Pavel01_56,That you were congratulated around this time of the year in the past.
E_C19_Dec_Pavel01_57,That only explains one thing: Your birthday is today.
E_C19_Dec_Pavel01_58,...Wait... Don't tell me I got it all wrong.
E_C19_Dec_Pavel01_59,"I hope that one day,"
E_C19_Dec_Pavel01_60,you would find someone who understands you other than me...
E_C19_Dec_Pavel01_61,I hope you find someone who gets angry for you and gets you gifts from time to time...
E_C19_Dec_Pavel01_62,I hope you find someone like that who will stay by your side...
E_C19_Dec_Pavel01_63,"(Now I remember... Arlette, she... told me that in the past.)"
E_C19_Dec_Pavel01_64,(Someone who understands... and stays by my side...)
E_C19_Dec_Pavel01_65,...Pavel?
E_C19_Dec_Pavel01_66,I will put it to good use.
E_C19_Dec_Rodina01_01,.....
E_C19_Dec_Rodina01_02,"It’s been a while, Rodina. Bit sad though, that you are getting transferred to a new post on your birthday."
E_C19_Dec_Rodina01_03,"Sergeant Rodina Klein! It is an honor to serve, Vice Commander Fluss!"
E_C19_Dec_Rodina01_04,"Hey, hey, easy there. No need to get so tight out in private."
E_C19_Dec_Rodina01_05,"T-then... It’s been a while, Fluss."
E_C19_Dec_Rodina01_06,Uh-huh. So what brings you here? Are you here for your gift? Or is it the mission you were assigned to?
E_C19_Dec_Rodina01_07,"Ah, I-I do not need any presents. I visited you for the mission."
E_C19_Dec_Rodina01_08,"I definitely heard that it’s an escort mission,"
E_C19_Dec_Rodina01_09,"but the more I look into it after accepting it, this mission... It’s..."
E_C19_Dec_Rodina01_10,"Yeah, you are basically monitoring him."
E_C19_Dec_Rodina01_11,.....
E_C19_Dec_Rodina01_12,"You do know who you are moni- pardon me, escorting, right?"
E_C19_Dec_Rodina01_13,"Yes, sir. I heard that he is a very powerful wizard whom the Empire is keeping eyes on."
E_C19_Dec_Rodina01_14,Correct. There’s no one in the Empire who can defeat him in his magic range. At least until now.
E_C19_Dec_Rodina01_15,That’s why the Empire gave you this order.
E_C19_Dec_Rodina01_16,"As the best sniper in the Empire, you can easily snipe him outside his magic range."
E_C19_Dec_Rodina01_17,.....
E_C19_Dec_Rodina01_18,"I know what you are thinking; that you picked up your rifle not to kill people, but to protect them."
E_C19_Dec_Rodina01_19,"If it’s that, then don't worry."
E_C19_Dec_Rodina01_20,Just be yourself and do your job as a soldier like you always have.
E_C19_Dec_Rodina01_21,"I... see. Understood, sir. I shall do my best to successfully conclude this mission, sir."
E_C19_Dec_Rodina01_22,It’s pretty... far... and pretty... cold too!
E_C19_Dec_Rodina01_23,A Wizard of Ice Dragon that lives in a place like this...
E_C19_Dec_Rodina01_24,.....
E_C19_Dec_Rodina01_25,.........That must be him...
E_C19_Dec_Rodina01_26,"Salutations, I am Rodina Klein, Sergeant First Class. The Empire dispatched me here."
E_C19_Dec_Rodina01_27,Are you Pavel?
E_C19_Dec_Rodina01_28,...Yes.
E_C19_Dec_Rodina01_29,I am here to fulfill my duty as your escort. Pleased to meet you.
E_C19_Dec_Rodina01_30,"...I don’t really need escorting, but fair enough."
E_C19_Dec_Rodina01_31,Just a reminder: I hate noisy people. Keep this in mind.
E_C19_Dec_Rodina01_32,Understood!
E_C19_Dec_Rodina01_33,I have a feeling that this mission will not be an easy one.
E_C19_Dec_Rodina01_34,I’m worried if I will be able to befriend him...
E_C19_Dec_Rodina01_35,"Rodina, are you here?"
E_C19_Dec_Rodina01_36,"Good day, Yanne! Welcome."
E_C19_Dec_Rodina01_37,What brings you here this time?
E_C19_Dec_Rodina01_38,So I received this mission from a high-ranking official of the Empire.
E_C19_Dec_Rodina01_39,He told me to hand you his birthday present.
E_C19_Dec_Rodina01_40,A present from a high-ranking official? Could it be...
E_C19_Dec_Rodina01_41,Tcha!
E_C19_Dec_Rodina01_42,This is all... for me?
E_C19_Dec_Rodina01_43,Yep. Though not all of them are from him.
E_C19_Dec_Rodina01_44,Here. Some letters for you.
E_C19_Dec_Rodina01_45,I knew it was from Fluss.
E_C19_Dec_Rodina01_46,.....Again with these corny remarks... As expected...
E_C19_Dec_Rodina01_47,And these are... from my family.
E_C19_Dec_Rodina01_48,All of this? That’s a lot. Mind if I have a look?
E_C19_Dec_Rodina01_49,Oh... So you are the youngest daughter of a big family. No wonder you have so many letters delivered to you!
E_C19_Dec_Rodina01_50,And um... I also have something to give you.
E_C19_Dec_Rodina01_51,You would like to give me something?
E_C19_Dec_Rodina01_52,Sorry it’s something cheap. I prepared it rather hastily. Happy birthday.
E_C19_Dec_Rodina01_53,"No, no, don’t apologize. Thank you so much for this!"
E_C19_Dec_Rodina01_54,"Oh, look at this mountain of presents. Don't tell me the birthday party is over so soon."
E_C19_Dec_Rodina01_55,"Lewisia? Come in, come in. How did you know it was my birthday today?"
E_C19_Dec_Rodina01_56,"Well, someone asked me what do you usually give for birthdays. I naturally figured it out that it was someone’s birthday."
E_C19_Dec_Rodina01_57,"Here you go. Happy birthday, Rodina."
E_C19_Dec_Rodina01_58,Huh? Wow... I can’t believe I just got a present from the princess...
E_C19_Dec_Rodina01_59,It is thanks to you that Pavel is doing much much better.
E_C19_Dec_Rodina01_60,"It’s something even his old friends, us, couldn’t do."
E_C19_Dec_Rodina01_61,I-I’m honored by your compliment... Thank you sincerely.
E_C19_Dec_Rodina01_62,...Noisy.
E_C19_Dec_Rodina01_63,"Oh, Pavel. Was it too noisy?"
E_C19_Dec_Rodina01_64,It's okay... Happy birthday.
E_C19_Dec_Rodina01_65,"Hmm? Well, this is something I didn’t expect to see... You didn't follow my advice."
E_C19_Dec_Rodina01_66,...I did take note of it. I just thought this would fit Rodina more.
E_C19_Dec_Rodina01_67,Hmmm...
E_C19_Dec_Rodina01_68,......I remember......
E_C19_Dec_Rodina01_69,Um... Sorry to bother you...
E_C19_Dec_Rodina01_70,...What is it?
E_C19_Dec_Rodina01_71,Well... Today is my birthday...
E_C19_Dec_Rodina01_72,...So?
E_C19_Dec_Rodina01_73,My family sent me a cake. Would you like to have some?
E_C19_Dec_Rodina01_74,No.
E_C19_Dec_Rodina01_75,O... kay...
E_C19_Dec_Rodina01_76,"Pavel, are you home?"
E_C19_Dec_Rodina01_77,What is it?
E_C19_Dec_Rodina01_78,I received a birthday cake.
E_C19_Dec_Rodina01_79,Would you like to have some?
E_C19_Dec_Rodina01_80,...I refuse.
E_C19_Dec_Rodina01_81,Understood...
