KEY,French
E_C19_Dec_Pavel01_01,...
E_C19_Dec_Pavel01_02,Maintenant que je la vois ainsi... Diverses émotions m'assaillent.
E_C19_Dec_Pavel01_03,"Un sentiment de vide, que pourtant je n'ai aucunement envie de lâcher..."
E_C19_Dec_Pavel01_04,C'est une sensation brumeuse... qui ne cesse de tournoyer dans mon esprit
E_C19_Dec_Pavel01_05,"(Ici, sur cette terre froide, le corps d'Arlette s'endormira pour l'éternité.)"
E_C19_Dec_Pavel01_06,(Un cadavre givré sans vie... prendra désormais sa place.)
E_C19_Dec_Pavel01_07,(Cependant...)
E_C19_Dec_Pavel01_08,Il fait froid...
E_C19_Dec_Pavel01_09,J'ai toujours cru que le froid de cet endroit ne pourrait jamais m'atteindre...
E_C19_Dec_Pavel01_10,Mais le froid glacial m'étreint et me pénètre jusqu'au tréfonds de mes os...
E_C19_Dec_Pavel01_11,"Quand j'ai ouvert les yeux, quatre-vingt-dixième hiver était en train de s'approcher."
E_C19_Dec_Pavel01_12,"Et... Aujourd'hui, c'est le centième hiver."
E_C19_Dec_Pavel01_13,"... Je vois, à présent."
E_C19_Dec_Pavel01_14,"Tout en sachant qu'il pouvait en mourir, il a pointé sa lance vers moi..."
E_C19_Dec_Pavel01_15,Cette attitude était due au désespoir poignant...
E_C19_Dec_Pavel01_16,"dont il n'avait jamais pu se défaire, bien que l'écoulement du temps sans promesse rongeât son esprit."
E_C19_Dec_Pavel01_17,"Néanmoins, il existe une grande différence..."
E_C19_Dec_Pavel01_18,"entre la nostalgie qu'il ressentait, et celle que je ressens à présent."
E_C19_Dec_Pavel01_19,Et tout comme cette différence...
E_C19_Dec_Pavel01_20,L'affliction que nous éprouvons doit peser d'une manière différente sur chacun de nous.
E_C19_Dec_Pavel01_21,"(Le sentiment de vouloir rencontrer la précieuse personne qui est en vie, quelque part dans le monde...)"
E_C19_Dec_Pavel01_22,(Et celui de devoir lâcher l'être qu'on ne pourrait jamais plus revoir...)
E_C19_Dec_Pavel01_23,Je suis inquiète pour vous.
E_C19_Dec_Pavel01_24,"Nous sommes ensemble, pour le moment..."
E_C19_Dec_Pavel01_25,"Mais quand nous partirons, vous vous retrouverez seul de nouveau, n'est-ce pas ?"
E_C19_Dec_Pavel01_26,(Oui... Je m'en souviens.)
E_C19_Dec_Pavel01_27,"(Apparue en compagnie des survivants d'un pays anéanti, tu avais l'air émacié."
E_C19_Dec_Pavel01_28,(Mais tu ne ressemblais en rien aux autres humains.)
E_C19_Dec_Pavel01_29,"(Bien que j'avais tenté de vous chasser, vous trouvant encombrants... Tu t'étais toujours montrée aimable envers moi.)"
E_C19_Dec_Pavel01_30,"(À dire vrai, tu m'agaçais parfois, et il m'arrivait de m'énerver à ton encontre...)"
E_C19_Dec_Pavel01_31,"(Pourtant, je pense que nous avons passé d'agréables moments en conversant.)"
E_C19_Dec_Pavel01_32,"Je m'en rappelle, maintenant."
E_C19_Dec_Pavel01_33,"Elle me racontait ce que contenaient les biscuits du jour, ou depuis quand elle s'était mise à aimer Kyle..."
E_C19_Dec_Pavel01_34,"Ou encore, elle me parlait aussi de son enfance, où Kyle avait emmené Maria et elle, pour une promenade..."
E_C19_Dec_Pavel01_35,"Des histoires personnelles, maintenant que j'y pense."
E_C19_Dec_Pavel01_36,"(Mais écouter son histoire... Étrangement, cela ne m'avait jamais paru ennuyeux.)"
E_C19_Dec_Pavel01_37,"Écoutez, Pavel..."
E_C19_Dec_Pavel01_38,Un jour... une personne qui vous comprendra...
E_C19_Dec_Pavel01_39,"Qu'était-ce donc ? Le souvenir me paraît important, pourtant..."
E_C19_Dec_Pavel01_40,... N'y a-t-il personne ?
E_C19_Dec_Pavel01_41,Lewisia n'a pas encore donné de ses nouvelles...
E_C19_Dec_Pavel01_42,Quant à Rodina...
E_C19_Dec_Pavel01_43,"Ehéhé... J'ai pu me le procurer sans trop perdre de temps, heureusement !"
E_C19_Dec_Pavel01_44,J'espère que Pavel l'appréciera !
E_C19_Dec_Pavel01_45,Rodina.
E_C19_Dec_Pavel01_46,"Pavel, vous êtes déjà de retour ! Tant mieux. Justement, je veux vous..."
E_C19_Dec_Pavel01_47,Pavel ?
E_C19_Dec_Pavel01_48,"... La tempête de neige est violente, aujourd'hui. À l'avenir, tu ferais mieux de revenir tôt en un jour comme celui-ci."
E_C19_Dec_Pavel01_49,"Pavel, êtes-vous en train de vous inquiéter pour moi ?"
E_C19_Dec_Pavel01_50,"Ne vous en faites pas, je suis en retard parce que j'avais à faire au village."
E_C19_Dec_Pavel01_51,"Mise à part cela, j'aimerais vous offrir quelque chose."
E_C19_Dec_Pavel01_52,M'offrir quelque chose ?
E_C19_Dec_Pavel01_53,"Joyeux anniversaire, Pavel ! Comme vous sembliez esseulé, je l'ai préparé spécialement pour vous."
E_C19_Dec_Pavel01_54,Anniversaire... ?
E_C19_Dec_Pavel01_55,"Ne me l'avez-vous pas dit, il y a peu de temps ?"
E_C19_Dec_Pavel01_56,"Que vous aviez le souvenir que quelqu'un vous ait félicité, à cette époque de l'année."
E_C19_Dec_Pavel01_57,"Cela signifie que c'est votre anniversaire, aujourd'hui !"
E_C19_Dec_Pavel01_58,Euh... Me serais-je trompée ?
E_C19_Dec_Pavel01_59,"Un jour, quand je ne serai plus là..."
E_C19_Dec_Pavel01_60,J'aimerais que vous rencontriez une personne qui vous comprendra...
E_C19_Dec_Pavel01_61,"Qui se mettra en colère pour vous, et qui parfois pensera à vous offrir des cadeaux..."
E_C19_Dec_Pavel01_62,Je souhaiterais qu'une telle personne reste à vos côtés.
E_C19_Dec_Pavel01_63,"(C'était donc cela... À l'époque, Arlette... Elle m'avait adressé ces paroles.)"
E_C19_Dec_Pavel01_64,(Quelqu'un qui me comprend... et qui restera auprès de moi...)
E_C19_Dec_Pavel01_65,Pavel... ?
E_C19_Dec_Pavel01_66,Je l'utiliserai à bon escient.
E_C19_Dec_Rodina01_01,...
E_C19_Dec_Rodina01_02,"Cela faisait longtemps, Rodina. Et dire que tu es affectée à un nouveau poste le jour de ton anniversaire, tu n'as pas de chance."
E_C19_Dec_Rodina01_03,Sergente Rodina Klein ! Aux ordres du vice-capitaine de la Garde impériale !
E_C19_Dec_Rodina01_04,"En privé, tu n'as pas besoin de te montrer aussi formelle."
E_C19_Dec_Rodina01_05,"D-Dans ce cas... Cela faisait longtemps, Fluss."
E_C19_Dec_Rodina01_06,Bien. Est-ce pour le cadeau d'anniversaire ? Ou est-ce pour la mission que tu dois effectuer ?
E_C19_Dec_Rodina01_07,"Ah, euh, ce n'est pas pour le cadeau. Je suis là à cause de la mission."
E_C19_Dec_Rodina01_08,"Au début, j'ai cru entendre que c'était une mission d'escorte."
E_C19_Dec_Rodina01_09,"Mais après l'avoir acceptée, selon les détails que j'ai appris, c'est une..."
E_C19_Dec_Rodina01_10,"Une mission de surveillance, en réalité."
E_C19_Dec_Rodina01_11,...
E_C19_Dec_Rodina01_12,"Celui que tu dois surv... Pardon, celui que tu dois escorter, sais-tu au moins de qui il s'agit ?"
E_C19_Dec_Rodina01_13,Oui. J'ai entendu dire que c'est un mage si puissant que l'empire doit le surveiller de près.
E_C19_Dec_Rodina01_14,"Effectivement. Une fois à la portée de ce mage, personne ne peut le vaincre. Du moins, dans l'empire actuel."
E_C19_Dec_Rodina01_15,C'est pour cette raison que tu as reçu cette mission.
E_C19_Dec_Rodina01_16,"Étant la meilleure tireuse d'élite de tout l'empire, tu es capable de l'atteindre, tout en restant en dehors de la portée de sa magie."
E_C19_Dec_Rodina01_17,...
E_C19_Dec_Rodina01_18,"Ce qui te tourmente doit être le fait que tu as pris les armes dans le but de protéger des personnes, n'est-ce pas ?"
E_C19_Dec_Rodina01_19,"Si c'est ainsi, tu n'as pas à t'angoisser."
E_C19_Dec_Rodina01_20,"Tu n'as qu'à te comporter comme d'habitude, en brave petit soldat."
