KEY,Thai
E_C19_Dec_Pavel01_01,...
E_C19_Dec_Pavel01_02,ถ้าเป็นแบบนี้... ความรู้สึกมากมายย้อนกลับมา
E_C19_Dec_Pavel01_03,ถึงจะไร้ประโยชน์แต่ก็ไม่อยากปล่อยไป...
E_C19_Dec_Pavel01_04,ความรู้สึกเลือนลางนั้น... รู้สึกเหมือนมันหมุนติ้วอยู่ในหัวตลอดเวลา
E_C19_Dec_Pavel01_05,(ร่างกายของ Arlette คงหลับใหลตลอดกาลอยู่ในพื้นดินเย็นยะเยือกแห่งนี้)
E_C19_Dec_Pavel01_06,(ซากเย็นยะเยือกที่ไม่ขยับ… กลายมาแทนที่ว่างเปล่าของเธอผู้นั้น)
E_C19_Dec_Pavel01_07,(แต่ว่า...)
E_C19_Dec_Pavel01_08,เย็นยะเยือก...
E_C19_Dec_Pavel01_09,ที่แห่งนี้นอกจากความเย็นแล้วข้าก็ไม่รับรู้ถึงสิ่งอื่น
E_C19_Dec_Pavel01_10,ความหนาวเย็นคืบคลานเข้าไปภายในกระดูกทุกส่วนของข้า...
E_C19_Dec_Pavel01_11,พอลืมตาขึ้นมา ฤดูหนาวที่เก้าสิบก็ใกล้คืบคลานเข้ามา
E_C19_Dec_Pavel01_12,และ... และ วันนี้ก็เป็นฤดูหนาวที่ร้อย
E_C19_Dec_Pavel01_13,...เป็นแบบนั้นนี่เอง
E_C19_Dec_Pavel01_14,ถึงจะรู้ว่าตายได้ แต่ก็ยังเล็งหอกมายังข้า...
E_C19_Dec_Pavel01_15,ในเวลาที่คืบคลานเข้ามาแบบไม่บอกกล่าว ไม่สามารถกำจัดสิ่งนั้นที่กลืนกินจิตใจของข้าได้
E_C19_Dec_Pavel01_16,จิตใจที่กระเสือกกระสน
E_C19_Dec_Pavel01_17,ความคิดถึงที่ผู้นั้นรู้สึก...
E_C19_Dec_Pavel01_18,ช่างแตกต่างอย่างชัดเจนเมื่อเทียบกับความคิดถึงที่ข้ารู้สึก
E_C19_Dec_Pavel01_19,แล้วก็ความแตกต่างนั้น
E_C19_Dec_Pavel01_20,ความเจ็บปวดมากมายที่จะต้องเก็บซ่อนนั้น ก็คงแตกต่าง...
E_C19_Dec_Pavel01_21,(และความรู้สึกอยากเจอคนสำคัญที่อยู่ที่ไหนซักแห่ง...)
E_C19_Dec_Pavel01_22,(เป็นความรู้สึกที่ต้องจากกันและไม่อาจได้พบเจอกันอีก...)
E_C19_Dec_Pavel01_23,ข้าเป็นห่วงท่าน
E_C19_Dec_Pavel01_24,ถึงจะอยู่ด้วยกันตอนนี้...
E_C19_Dec_Pavel01_25,หากพวกข้าไปแล้ว... ท่านจะอยู่คนเดียวได้หรือไม่
E_C19_Dec_Pavel01_26,(ใช่…  ยังจำได้)
E_C19_Dec_Pavel01_27,(เจ้าที่อยู่ด้วยกันกับผู้รอดชีวิตจากประเทศที่ล่มสลายในสภาพอิดโรย)
E_C19_Dec_Pavel01_28,(แต่ว่าข้าไม่เหมือนมนุษย์คนอื่น)
E_C19_Dec_Pavel01_29,(เจ้าที่คอยช่วยข้าเผชิญหน้าเรื่องต่างๆอยู่เสมอ... แม้ว่าข้าจะคิดว่าเจ้าเป็นอุปสรรคก็ตาม)
E_C19_Dec_Pavel01_30,(ข้าเคยหงุดหงิดและรำคาญมาก...)
E_C19_Dec_Pavel01_31,(แต่ช่วงเวลาที่คุยกับเจ้านั้น มันไม่เป็นไร)
E_C19_Dec_Pavel01_32,พอคิดๆแล้ว
E_C19_Dec_Pavel01_33,ที่ท่านคอยถามว่าขนมวันนี้มีอะไร แล้วก็เล่าว่าพบกับ Kyle ได้ยังไง...
E_C19_Dec_Pavel01_34,ถ้าเป็นเมื่อก่อน Kyle ก็มักจะพาข้ากับ Maria ไปเที่ยวที่ต่างๆ...
E_C19_Dec_Pavel01_35,ถ้ามองกลับไปในอดีต นี่ก็เป็นแค่เรื่องส่วนตัว
E_C19_Dec_Pavel01_36,(แต่พอได้ยินเรื่องเล่าของเธอ… น่าแปลกที่กลับไม่เบื่อเลย)
E_C19_Dec_Pavel01_37,นี่ Pavel…
E_C19_Dec_Pavel01_38,คนที่... เข้าใจท่าน...
E_C19_Dec_Pavel01_39,ตะกี้อะไรกันน่ะ เหมือนเป็นความทรงจำที่สำคัญ...
E_C19_Dec_Pavel01_40,… ไม่มีใครอยู่เลยซักคน
E_C19_Dec_Pavel01_41,ยังไม่ได้ข่าว Lewisia เลย...
E_C19_Dec_Pavel01_42,Rodina ล่ะ...
E_C19_Dec_Pavel01_43,แหะแหะ~ โชคดีที่หาได้ไวกว่าที่คิด
E_C19_Dec_Pavel01_44,แล้วก็ถ้า Pavel ชอบก็คงดี!
E_C19_Dec_Pavel01_45,Rodina
E_C19_Dec_Pavel01_46,Pavel มาแล้วหรอ! ดีเลย พอดีว่า...
E_C19_Dec_Pavel01_47,Pavel?
E_C19_Dec_Pavel01_48,... วันนี้พายุหิมะรุนแรง ดีที่กลับมาเร็ว
E_C19_Dec_Pavel01_49,Pavel เป็นห่วงข้าหรอตอนนี้
E_C19_Dec_Pavel01_50,มีเรื่องที่หมู่บ้านเลยช้านิดหน่อย แต่ไม่มีอะไรต้องกังวล
E_C19_Dec_Pavel01_51,ข้ามีของที่อยากจะให้ท่าน
E_C19_Dec_Pavel01_52,ของที่อยากให้หรอ
E_C19_Dec_Pavel01_53,สุขสันวันเกิด Pavel! ช่วงนี้ดูเหงาๆ ข้าเลยเตรียมของขวัญมาให้ท่าน
E_C19_Dec_Pavel01_54,วันเกิด...?
E_C19_Dec_Pavel01_55,Pavel บอกเองเมื่อไม่นานมานี้ไม่ใช่หรอ
E_C19_Dec_Pavel01_56,ที่บอกว่าจำได้ว่าเคยได้รับการฉลองจากใครบางคนในช่วงเวลานี้
E_C19_Dec_Pavel01_57,คำนั้นไม่ได้หมายความว่าใกล้จะถึงวันเกิดหรอ
E_C19_Dec_Pavel01_58,ข้า... ข้าเข้าใจผิดงั้นหรอ
E_C19_Dec_Pavel01_59,ถึงจะไม่มีข้า...
E_C19_Dec_Pavel01_60,ก็จะต้องมีคนที่เข้าใจท่าน
E_C19_Dec_Pavel01_61,คนที่โกรธเพื่อตัวท่านและเตรียมของขวัญเพื่อท่าน...
E_C19_Dec_Pavel01_62,ถ้ามีคนแบบนั้นอยู่ข้างท่านก็คงดี
E_C19_Dec_Pavel01_63,(เป็นแบบนั้นนี่เอง… Arlette ในตอนนั้น... พูดแบบนั้นกับข้า)
E_C19_Dec_Pavel01_64,(คนที่เข้าใจข้า… และคนที่อยู่กับข้า...)
E_C19_Dec_Pavel01_65,Pavel…?
E_C19_Dec_Pavel01_66,ข้าจะใช้อย่างดี
E_C19_Dec_Rodina01_01,......
E_C19_Dec_Rodina01_02,ไม่ได้เจอกันนานเลย Rodina ได้รับตำแหน่งย้ายมาที่ทำงานใหม่หรอ เก่งจังเลยนะ
E_C19_Dec_Rodina01_03,ข้าสิบโท Rodina Klein! ยินดีที่ได้พบรองผู้บัญชาการแห่งหน่วยอัศวินอารักขา!
E_C19_Dec_Rodina01_04,ไม่ใช่งานทางการไม่จำเป็นต้องทางการก็ได้นี่
E_C19_Dec_Rodina01_05,ชะ ใช่... ไม่ได้เจอกันนานเลย พี่ Fluss
E_C19_Dec_Rodina01_06,อืม ธุระคือของขวัญวันเกิด? หรือมาเพราะงานที่ได้รับมอบหมาย
E_C19_Dec_Rodina01_07,เอ่อ คือ ของขวัญไม่เป็นไร ข้ามาเพราะงานที่ได้รับมอบหมาย
E_C19_Dec_Rodina01_08,ตอนแรกข้าได้ยินว่าเป็นหน้าที่อารักขา
E_C19_Dec_Rodina01_09,แต่พอตกลงและได้ฟังเรื่องราวทั้งหมด...
E_C19_Dec_Rodina01_10,จริงๆแล้วเป็นการเฝ้าสังเกตุการณ์
E_C19_Dec_Rodina01_11,......
E_C19_Dec_Rodina01_12,ที่เจ้าต้องสังเกตุการณ์... รู้แล้วใช่ไหมว่าเป็นผู้ใด
E_C19_Dec_Rodina01_13,ข้าได้ยินว่าเป็นจอมเวทยิ่งใหญ่จากจักรวรรดิที่ถึงกับต้องคอยเฝ้าสังเกตุการณ์
E_C19_Dec_Rodina01_14,ใช่ เรียกได้ว่าที่จักรวรรดิยังไม่มีใครสามารถเอาชนะได้
E_C19_Dec_Rodina01_15,เพราะงั้นก็เลยเป็นคำสั่งมาถึงเจ้า
E_C19_Dec_Rodina01_16,ถ้าเป็นเจ้าผู้เป็นสไนเปอร์ที่สุดยอดของประเทศ นอกระยะเขตเวทก็คงจะสามารถยิงได้
E_C19_Dec_Rodina01_17,......
E_C19_Dec_Rodina01_18,แต่ปัญหาคือ เจ้าต้องถือไรเฟิลเพื่อดูแลคนนี้สินะ
