KEY,"Korean"
E_C19_Jan_Fray01_01,"...올해도 또 와버렸네..."
E_C19_Jan_Fray01_02,"아무것도 기억날 리 없는데...나도 참..."
E_C19_Jan_Fray01_03,"그대는?? ...빛의 사제 프레이?"
E_C19_Jan_Fray01_04,"로레인님, 그동안 안녕하셨어요?"
E_C19_Jan_Fray01_05,"후후...그대들의 노고로 무탈하게 지내고 있다네. "
E_C19_Jan_Fray01_06,"...벌써 어엿한 성인이 되다니... 정말 작은 아기였는데."
E_C19_Jan_Fray01_07,"네??? 그걸 어떻게???"
E_C19_Jan_Fray01_08,"아이리스가 말하지 않았나? "
E_C19_Jan_Fray01_09,"그댈 이 세계수 밑에서 처음 발견한 게 바로 나였다네. "
E_C19_Jan_Fray01_10,"전...아무것도...그저 세계수 아래 버려진 절 발견했다는 것밖에.."
E_C19_Jan_Fray01_11,"저런...어째서 아이리스가...하지만 난 아직도 생생히 기억하고 있는 걸."
E_C19_Jan_Fray01_12,"그날은 유난히 따듯한 날이었어. 이 추운 겨울에도 말이야."
E_C19_Jan_Fray01_13,"덕분에 이른 아침부터 서둘러 세계수를 돌아보고 있었지."
E_C19_Jan_Fray01_14,"그런데...그곳에 황금빛의 천사가 있었어."
E_C19_Jan_Fray01_15,"천사요??"
E_C19_Jan_Fray01_16,"그래! 세계수 뿌리가 성스러운 아우라로 빛나는걸 보고 "
E_C19_Jan_Fray01_17,"가보니 온통 황금빛을 뿜는 어여쁜 아기가 있었네."
E_C19_Jan_Fray01_18,"처음엔 천족인가 생각했지만 날개가 없었지. "
E_C19_Jan_Fray01_19,"하지만 그 아기가 뿜는 빛은 보통의 사람이 가질 수 없는 것이었다네."
E_C19_Jan_Fray01_20,"......................................."
E_C19_Jan_Fray01_21,"그래서 서둘러 아이리스에게 연락했지."
E_C19_Jan_Fray01_22,"그 후엔 성기사장이 운영하는 고아원으로 갔단 소식을 들었었지. "
E_C19_Jan_Fray01_23,"네. 전 그 후 리카르도 할아버지 밑에서 자랐어요."
E_C19_Jan_Fray01_24,"클라우스 오빠, 카셀과 함께요. "
