KEY,"Russian"
E_C19_Jan_Fray01_01,"Прошел еще один год... И я снова здесь..."
E_C19_Jan_Fray01_02,"Вряд ли мои воспоминания вернутся, но..."
E_C19_Jan_Fray01_03,"Ты же Фрэй? Тебя еще называют жрицей света?"
E_C19_Jan_Fray01_04,"Великий мудрец Элидоры, приветствую тебя от лица служителей Луа."
E_C19_Jan_Fray01_05,"Благодарю тебе, мое дитя."
E_C19_Jan_Fray01_06,"Как ты выросла... В нашу первую встречу ты была еще совсем крохой."
E_C19_Jan_Fray01_07,"Крохой? Как…"
E_C19_Jan_Fray01_08,"Разве Айрис тебе не рассказала?"
E_C19_Jan_Fray01_09,"Это же я нашла тебя под Древом мира."
E_C19_Jan_Fray01_10,"Я... Я знаю только, что меня нашли под Древом мира."
E_C19_Jan_Fray01_11,"Странно, что Айрис тебе ничего не рассказала. Я до сих пор помню тот день, как будто все случилось только вчера."
E_C19_Jan_Fray01_12,"Была уже середина зимы, но погода стояла на редкость теплая."
E_C19_Jan_Fray01_13,"Ранним утром я прогуливалась у Древа мира."
E_C19_Jan_Fray01_14,"И... там я нашла тебя, ангелочка в золотом сиянии."
E_C19_Jan_Fray01_15,"Ангелочка?"
E_C19_Jan_Fray01_16,"Самого настоящего! Я заметила, что в одном месте корни Древа мира мерцали священным светом."
E_C19_Jan_Fray01_17,"Я подошла поближе и обнаружила там милого младенца, излучавшего золотое сияние."
E_C19_Jan_Fray01_18,"Я решила, что это ангел, но у ребенка не было крыльев."
E_C19_Jan_Fray01_19,"Тем не менее, аура вокруг него была очень необычной."
E_C19_Jan_Fray01_20,"..."
E_C19_Jan_Fray01_21,"Я поспешила отнести тебя к Айрис."
E_C19_Jan_Fray01_22,"Слышала, что тебя отдали в приют, которым заведовал капитан Священных рыцарей."
E_C19_Jan_Fray01_23,"Да, меня вырастил дедушка Рикардо."
E_C19_Jan_Fray01_24,"Со мной там еще росли Клаус и Кассель."
E_C19_Jan_Fray01_25,"Но... почему жрица Айрис ничего мне не рассказала?"
E_C19_Jan_Fray01_26,"Наверняка на то есть причина."
E_C19_Jan_Fray01_27,"Все, что делает Айрис, она делает по воле Луа."
E_C19_Jan_Fray01_28,"Верно... Спасибо. Я была очень рада узнать хоть что-то о своем прошлом."
E_C19_Jan_Fray01_29,"Это меньшее, что я могу для тебя сделать. Прости, если испортила важный для тебя день."
E_C19_Jan_Fray01_30,"Да наполнит свет... Ой, кажется, люди говорят по-другому."
E_C19_Jan_Fray01_31,"С днем рождения, Фрэй."
E_C19_Jan_Fray01_32,"Спасибо..."
E_C19_Jan_Fray01_33,"..."
E_C19_Jan_Fray01_34,"Не хочу жаловаться."
E_C19_Jan_Fray01_35,"Но... Луа, кто же я на самом деле?.."
E_C19_Jan_Fray01_36,"А вот и я."
E_C19_Jan_Fray01_37,"Увидимся ли мы снова?"
E_C19_Jan_Fray01_38,"Даже если ты сильно изменишься, я всегда тебя найду."
E_C19_Jan_Tanya01_01,"Рой, ты все так же хорошо заметаешь свои следы."
E_C19_Jan_Tanya01_02,"Но тебе не удастся меня обмануть."
E_C19_Jan_Tanya01_03,"…"
E_C19_Jan_Tanya01_04,"Почему ты ушел, Рой?.."
E_C19_Jan_Tanya01_05,"Ушел и не сказал ни слова..."
E_C19_Jan_Tanya01_06,"Несколькими годами ранее"
E_C19_Jan_Tanya01_07,"Ох. Они и не думают сдаваться!"
E_C19_Jan_Tanya01_08,"Ох!"
E_C19_Jan_Tanya01_09,"Ух!"
E_C19_Jan_Tanya01_10,"Ты ранена?"
E_C19_Jan_Tanya01_11,"Это всего лишь царапина."
E_C19_Jan_Tanya01_12,"Вот возьми, вытри кровь."
E_C19_Jan_Tanya01_13,"…"
E_C19_Jan_Tanya01_14,"Думаешь, мне нравится с тобой нянчиться?"
E_C19_Jan_Tanya01_15,"Не забывай, у нас общее задание."
E_C19_Jan_Tanya01_16,"Потеря одного бойца может поставить под удар всю операцию."
E_C19_Jan_Tanya01_17,"Ух, какой ты деловой."
E_C19_Jan_Tanya01_18,"Я выполнила столько заданий, что тебе и не снилось."
E_C19_Jan_Tanya01_19,"Все знают, что ты отличная убийца."
E_C19_Jan_Tanya01_20,"Но время от времени неприятности случаются со всеми. И сегодня именно такой день."
