KEY,"Vietnamese"
E_C19_Jan_Fray01_01,"Ta lại quay lại nơi đây... Cũng vẫn năm này..."
E_C19_Jan_Fray01_02,"Thế này cũng chẳng khiến ta nhớ ra điều gì, nhưng..."
E_C19_Jan_Fray01_03,"Có phải cô là Frey, người mang danh hiệu Nữ linh mục của ánh sáng?"
E_C19_Jan_Fray01_04,"Đại học giả của Elidora, bề tôi Lua xin được gửi lời chào."
E_C19_Jan_Fray01_05,"Ha ha ha, tôi khỏe, nhờ có cô cả."
E_C19_Jan_Fray01_06,"Cô giờ đã thành thiếu nữ rồi... Còn nhớ lần đầu hai ta gặp mặt, cô vẫn chỉ là đứa trẻ."
E_C19_Jan_Fray01_07,"Đứa trẻ ư? Có phải cô..."
E_C19_Jan_Fray01_08,"Iris không bảo với cô à?"
E_C19_Jan_Fray01_09,"Tôi chính là người đầu tiên tìm thấy cô dưới gốc Cây thế giới này."
E_C19_Jan_Fray01_10,"Tôi... tôi chỉ biết mình được tìm thấy dưới gốc Cây thế giới."
E_C19_Jan_Fray01_11,"Iris không nói gì sao, lạ thật. Chuyện hôm ấy tôi vẫn còn nhớ như in."
E_C19_Jan_Fray01_12,"Đó là một ngày giữa đông ấm áp lạ thường."
E_C19_Jan_Fray01_13,"Tôi đang đi dạo quanh Cây thế giới vào buổi sớm mai,"
E_C19_Jan_Fray01_14,"thì thấy... cô nằm đó, một thiên thần tỏa ánh hoàng kim rực rỡ."
E_C19_Jan_Fray01_15,"Thiên thần ư?"
E_C19_Jan_Fray01_16,"Đúng vậy! Tôi nhìn thấy ánh sáng linh thiêng bừng lên từ rễ Cây thế giới."
E_C19_Jan_Fray01_17,"Tôi đi thẳng tới chỗ đó, và thấy một cô bé kháu khỉnh lấp lánh ánh vàng."
E_C19_Jan_Fray01_18,"Tôi cứ tưởng đứa bé đó là thiên thần, nhưng lại không thấy đôi cánh nào cả."
E_C19_Jan_Fray01_19,"Hào quang xung quanh đứa bé không hề bình thường."
E_C19_Jan_Fray01_20,"......................................."
E_C19_Jan_Fray01_21,"Tôi liền vội báo cho Iris."
E_C19_Jan_Fray01_22,"Tôi nghe nói cô được đưa đến cô nhi viện của đội trưởng đội Thánh hiệp sĩ."
E_C19_Jan_Fray01_23,"Đúng thế, chính ông Ricardo đã nuôi dạy tôi."
E_C19_Jan_Fray01_24,"Clause và Kasel cũng ở chỗ đó."
E_C19_Jan_Fray01_25,"Nhưng... sao Nữ tu Iris lại không kể gì với tôi về chuyện này?"
E_C19_Jan_Fray01_26,"Nhất định phải có lý do nào đó."
E_C19_Jan_Fray01_27,"Mọi điều Iris làm đều là do Lua dẫn dắt."
E_C19_Jan_Fray01_28,"Tôi hiểu rồi... Cảm ơn cô. Đây đúng là câu chuyện tôi muốn được nghe nhất."
E_C19_Jan_Fray01_29,"Đó là điều tối thiểu tôi có thể làm. Tôi e là đúng vào ngày quan trọng của cô mà lại làm cô bối rối."
E_C19_Jan_Fray01_30,"Nguyện cho ánh sáng tràn ngập... À quên, loài người lại nói kiểu khác nhỉ."
E_C19_Jan_Fray01_31,"Chúc mừng sinh nhật, Frey."
E_C19_Jan_Fray01_32,"Cảm ơn cô..."
E_C19_Jan_Fray01_33,"..................................................."
E_C19_Jan_Fray01_34,"Tôi không định trách cứ gì đâu."
E_C19_Jan_Fray01_35,"Nhưng... hỡi Lua, tôi là ai...?"
E_C19_Jan_Fray01_36,"...Tôi lại về rồi đây."
E_C19_Jan_Fray01_37,"Liệu chúng ta có còn được gặp nhau nữa không...?"
E_C19_Jan_Fray01_38,"Dù cô có thay đổi thế nào, tôi vẫn sẽ tìm ra cô."
E_C19_Jan_Tanya01_01,"...Roi, anh vẫn giỏi trò xóa dấu vết."
E_C19_Jan_Tanya01_02,"Nhưng không qua mắt được tôi đâu."
E_C19_Jan_Tanya01_03,"…"
E_C19_Jan_Tanya01_04,"Sao anh lại bỏ đi, Roi...?"
E_C19_Jan_Tanya01_05,"Anh đi mà chẳng nói nửa lời..."
E_C19_Jan_Tanya01_06,"Vài năm trước đó"
E_C19_Jan_Tanya01_07,"*Hộc, hộc* Chúng quyết không bỏ cuộc!"
E_C19_Jan_Tanya01_08,"Hự...!"
E_C19_Jan_Tanya01_09,"*Rên rỉ*"
E_C19_Jan_Tanya01_10,"Vết thương sao rồi?"
E_C19_Jan_Tanya01_11,"...Chỉ trầy da tí thôi."
E_C19_Jan_Tanya01_12,"Lấy cái này lau vết máu đi đã."
E_C19_Jan_Tanya01_13,"…"
E_C19_Jan_Tanya01_14,"Cô nghĩ tôi thích giúp cô lắm à?"
E_C19_Jan_Tanya01_15,"Hãy nhớ đây là một chiến dịch hiệp đồng."
E_C19_Jan_Tanya01_16,"Chỉ cần mất một thành viên thôi là cả nhiệm vụ sẽ thất bại."
E_C19_Jan_Tanya01_17,"Hừ, đừng có hống hách thế."
E_C19_Jan_Tanya01_18,"Chúng ta thành danh chủ yếu đều là nhờ có tôi."
E_C19_Jan_Tanya01_19,"Ai mà chẳng biết cô là một sát thủ thiện nghệ."
E_C19_Jan_Tanya01_20,"Cũng có lúc mọi chuyện không suôn sẻ, ví dụ như hôm nay đây."
E_C19_Jan_Tanya01_21,"Hãy cầm máu rồi rời khỏi đây. Tôi sẽ xóa dấu vết."
E_C19_Jan_Tanya01_22,"Đây là lệnh."
E_C19_Jan_Tanya01_23,"Lúc nào anh cũng phải ra cái vẻ chỉ huy ấy nhỉ?"
E_C19_Jan_Tanya01_24,"Tôi cũng chẳng cần khăn tay của anh đâu. Cầm lấy này."
E_C19_Jan_Tanya01_25,"Vậy lúc nào thoát về được thì cô cứ vứt nó đi."
E_C19_Jan_Tanya01_26,"Rồi nghỉ ngơi một chút, hôm nay là sinh nhật cô mà."
E_C19_Jan_Tanya01_27,"...Làm sao anh biết?"
E_C19_Jan_Tanya01_28,"Sao mình lại nhớ đến chuyện này chứ...?"
