KEY,"French"
E_C19_Feb_Lewisia01_01,"La lune de sang... c'est cette nuit, non ?"
E_C19_Feb_Lewisia01_02,"Hi hi,"
E_C19_Feb_Lewisia01_03,"j'ai envie de faire quelque chose d'extraordinaire, ce soir !"
E_C19_Feb_Lewisia01_04,"(Quelques instants plus tard)"
E_C19_Feb_Lewisia01_05,"Lei... Ah, non, Lewisia. Qu'y a-t-il ?"
E_C19_Feb_Lewisia01_06,"Hum, hum. Appelle-moi Lei, Gau. Au fond, je suis toujours Lei."
E_C19_Feb_Lewisia01_07,"D-d'accord. Alors, je vais t'appeler Lei, comme avant."
E_C19_Feb_Lewisia01_08,"Très bien."
E_C19_Feb_Lewisia01_09,"Une invitation, Lewisia ? De quoi s'agit-il ? Et puis nous avons notre jeune ami barbare."
E_C19_Feb_Lewisia01_10,"Toi, envoyer une invitation ? J'aurai tout vu."
E_C19_Feb_Lewisia01_11,"Phillop, Pavel, je suis contente de vous voir."
E_C19_Feb_Lewisia01_12,"(Un roi nain et le sorcier du dragon de glace...)"
E_C19_Feb_Lewisia01_13,"Je suis la dernière, Lewisia ?"
E_C19_Feb_Lewisia01_14,"Bienvenue, Lorraine."
E_C19_Feb_Lewisia01_15,"(Sage de la forêt...)"
E_C19_Feb_Lewisia01_16,"Ça faisait longtemps, Lewisia."
E_C19_Feb_Lewisia01_17,"En venant ici, je me disais justement que ton anniversaire arrivait bientôt."
E_C19_Feb_Lewisia01_18,"L'anniversaire de Lei !"
E_C19_Feb_Lewisia01_19,"C'est vrai. Aujourd'hui, je vais voir la lune de sang."
E_C19_Feb_Lewisia01_20,"Je vis parmi les humains depuis si longtemps... J'imagine que cela a développé mon côté humain."
E_C19_Feb_Lewisia01_21,"J'ai soudainement ressenti le besoin de recevoir des vœux pour mon anniversaire, comme les humains."
E_C19_Feb_Lewisia01_22,"C'est drôle que tu aies ressenti le besoin de te plier à une tradition humaine,"
E_C19_Feb_Lewisia01_23,"et que, parmi tes invités, le seul humain, c'est ce jeunot, ah ah ah !"
E_C19_Feb_Lewisia01_24,"*Hi hi* Gau m'est très cher."
E_C19_Feb_Lewisia01_25,"Lorsque je résidais à l'orphelinat, je voyais Gau s'occuper gentiment des enfants le jour de leur anniversaire."
E_C19_Feb_Lewisia01_26,"C'est... c'est un honneur d'être aux côtés des héros qui ont sauvé le monde."
E_C19_Feb_Lewisia01_27,"Ah ah ah, quelle pureté d'âme ! Je sens la bénédiction des élémentaux de glace qui t'accompagne."
E_C19_Feb_Lewisia01_28,"Euh... Hum..."
E_C19_Feb_Lewisia01_29,"C'est juste un gamin. Il doit encore faire ses preuves."
E_C19_Feb_Lewisia01_30,"Passons plutôt à la fête."
E_C19_Feb_Lewisia01_31,"Oui, volontiers."
E_C19_Feb_Lewisia01_32,"Au nom des elfes et des esprits de la forêt, félicitations à la maîtresse du rouge pur."
E_C19_Feb_Lewisia01_33,"*Pfff* Lorraine, je t'en prie, réservons le ton solennel pour les événements solennels."
E_C19_Feb_Lewisia01_34,"Tu mets tout le monde mal à l'aise."
E_C19_Feb_Lewisia01_35,"Pardon, je ne voulais pas..."
E_C19_Feb_Lewisia01_36,"Bien, faisons simple. Bon anniversaire, Lewisia. Voici pour toi."
E_C19_Feb_Lewisia01_37,"Ce sont des gouttes de rosée renfermant l'énergie de jeunes élémentaux. Elles amélioreront ta récupération de mana."
E_C19_Feb_Lewisia01_38,"Ah ah ah. Lorraine a eu la même idée que moi."
E_C19_Feb_Lewisia01_39,"Je me suis dit qu'une pierre de mana renfermant du mana pur ferait un bon cadeau pour Lewisia. En voici une."
E_C19_Feb_Lewisia01_40,"Félicitations, Lewisia. C'est pour toi."
