KEY,"German"
E_C19_Feb_Lewisia01_01,"Blutvollmond … Ist das nicht heute?"
E_C19_Feb_Lewisia01_02,"Thihi,"
E_C19_Feb_Lewisia01_03,"ich würde heute gerne etwas Außergewöhnliches erleben!"
E_C19_Feb_Lewisia01_04,"(Einige Augenblicke später)"
E_C19_Feb_Lewisia01_05,"Lei … Ach, nein, Lewisia. Was soll das …?"
E_C19_Feb_Lewisia01_06,"Mhm. Nenn mich Lei, Gau. Egal, was geschehen mag: Ich bin auch Lei."
E_C19_Feb_Lewisia01_07,"O-Okay. Dann werde ich dich L-Lei nennen, so wie früher."
E_C19_Feb_Lewisia01_08,"Gut."
E_C19_Feb_Lewisia01_09,"Eine Einladung, Lewisia? Worum geht es? Und wir haben hier einen jungen Barbarenfreund."
E_C19_Feb_Lewisia01_10,"Du verschickst eine Einladung. Jetzt habe ich wirklich alles gesehen."
E_C19_Feb_Lewisia01_11,"Phillop, Pavel. Schön, euch zu sehen."
E_C19_Feb_Lewisia01_12,"(Zwergenkönig und Magier des Eisdrachen …)"
E_C19_Feb_Lewisia01_13,"Bin ich die Letzte, Lewisia?"
E_C19_Feb_Lewisia01_14,"Willkommen, Lorraine."
E_C19_Feb_Lewisia01_15,"(Weise des Waldes …)"
E_C19_Feb_Lewisia01_16,"Es ist lange her, Lewisia."
E_C19_Feb_Lewisia01_17,"Auf meinem Weg hierher erinnerte ich mich daran, dass du irgendwann um diese Jahreszeit Geburtstag feierst."
E_C19_Feb_Lewisia01_18,"Leis Geburtstag …!"
E_C19_Feb_Lewisia01_19,"Ja. Heute ist der Tag, an dem ich den Blutmond sehen kann."
E_C19_Feb_Lewisia01_20,"Ich schätze, dass meine menschliche Seite immer stärker wird, je länger ich unter den Menschen lebe."
E_C19_Feb_Lewisia01_21,"Plötzlich ergriff mich der Wunsch, Glückwünsche zu meinem Geburtstag zu erhalten – wie andere Menschen auch."
E_C19_Feb_Lewisia01_22,"Es ist lustig, dass du zwar eine menschliche Tradition fortführen wolltest,"
E_C19_Feb_Lewisia01_23,"aber nur einen einzigen Menschen eingeladen hast: diesen Jungen hier. Hahaha!"
E_C19_Feb_Lewisia01_24,"*Schmunzelt* Gau ist etwas Besonderes. Er bedeutet mir viel."
E_C19_Feb_Lewisia01_25,"Als ich für einige Zeit im Waisenhaus blieb, sah ich, wie rührend sich Gau um Kinder kümmerte, die gerade Geburtstag hatten."
E_C19_Feb_Lewisia01_26,"Es … Es ist mir eine Ehre, in Gesellschaft der Helden zu sein, die die Welt gerettet haben."
E_C19_Feb_Lewisia01_27,"Hahaha … Wie rein deine Seele ist. Ich kann den Segen der Eis-Elementare in dir spüren."
E_C19_Feb_Lewisia01_28,"Äh … Hmm …"
E_C19_Feb_Lewisia01_29,"Er ist nur ein Knabe, der noch einen weiten Weg vor sich hat."
E_C19_Feb_Lewisia01_30,"Warum lassen wir die Feierlichkeiten nicht beginnen?"
E_C19_Feb_Lewisia01_31,"Oh, stimmt."
E_C19_Feb_Lewisia01_32,"Im Namen der Elfen und Waldgeister entbiete ich der Herrscherin des reinen Blutes die allerbesten Glückwünsche zum Geburtstag."
E_C19_Feb_Lewisia01_33,"*Seufz* Lorraine, bitte nicht so förmlich. Heb dir das für offizielle Anlässe auf."
E_C19_Feb_Lewisia01_34,"Es soll hier schließlich nicht ungemütlich und steif sein."
E_C19_Feb_Lewisia01_35,"Oh, das wollte ich nicht …"
E_C19_Feb_Lewisia01_36,"Dann lass es mich frei heraussagen: Alles Gute zum Geburtstag, Lewisia. Das hier ist für dich."
E_C19_Feb_Lewisia01_37,"Es ist eine Sammlung von Tautropfen, welche die Energie junger Elementare enthalten. Sie werden dir bei der Mana-Erholung behilflich sein."
