KEY,"Portuguese"
E_C19_Feb_Lewisia01_01,"A Lua Cheia de Sangue... Era hoje?"
E_C19_Feb_Lewisia01_02,"Hee hee,"
E_C19_Feb_Lewisia01_03,"Acho que vou fazer algo extraordinário hoje à noite!"
E_C19_Feb_Lewisia01_04,"(Pouco tempo depois)"
E_C19_Feb_Lewisia01_05,"Lei... Ah, não, Lewisia. O que é isso...?"
E_C19_Feb_Lewisia01_06,"Hum hum. Pode me chamar de Lei, Gau. Apesar de tudo, eu sou Lei também."
E_C19_Feb_Lewisia01_07,"T-tá bom. Então, vou te chamar de L-Lei, como eu costumava fazer."
E_C19_Feb_Lewisia01_08,"Está bem."
E_C19_Feb_Lewisia01_09,"Um convite, Lewisia? Do que se trata? E vejo que temos um jovem amigo Bárbaro aqui."
E_C19_Feb_Lewisia01_10,"Você mandando um convite. Agora eu já vi de tudo."
E_C19_Feb_Lewisia01_11,"Phillop, Pavel. Fico feliz em vê-los."
E_C19_Feb_Lewisia01_12,"(O Rei Anão e o Feiticeiro do Dragão de Gelo...)"
E_C19_Feb_Lewisia01_13,"Sou a última a chegar, Lewisia?"
E_C19_Feb_Lewisia01_14,"Seja bem-vinda, Lorraine."
E_C19_Feb_Lewisia01_15,"(A Sábia da Floresta...)"
E_C19_Feb_Lewisia01_16,"Há quanto tempo, Lewisia."
E_C19_Feb_Lewisia01_17,"Enquanto eu vinha para cá, acabei me lembrando de que seu aniversário é mais ou menos nessa época."
E_C19_Feb_Lewisia01_18,"O Aniversário da Lei...!"
E_C19_Feb_Lewisia01_19,"Sim. Hoje é o dia no qual posso ver a Lua de Sangue."
E_C19_Feb_Lewisia01_20,"Acho que viver em meio aos humanos por tanto tempo está fazendo meu lado humano aflorar."
E_C19_Feb_Lewisia01_21,"Do nada senti uma vontade enorme de receber votos de parabéns no meu aniversário, como fazem os humanos."
E_C19_Feb_Lewisia01_22,"É engraçado você querer vivenciar uma tradição humana,"
E_C19_Feb_Lewisia01_23,"mas há apenas um humano aqui, esse jovem, em meio aos convidados. Hahaha!"
E_C19_Feb_Lewisia01_24,"*Risos* Gau tem um significado especial para mim."
E_C19_Feb_Lewisia01_25,"Quando eu fiquei por um tempo no orfanato, eu vi Gau cuidando muito bem das crianças em seus aniversários."
E_C19_Feb_Lewisia01_26,"É... É uma honra para mim poder estar ao lado dos heróis que salvaram o mundo."
E_C19_Feb_Lewisia01_27,"Hahaha... Mas que alma mais pura você tem. Posso sentir a bênção dos Elementais de Gelo em você."
E_C19_Feb_Lewisia01_28,"Uh... Hum..."
E_C19_Feb_Lewisia01_29,"Ele é só um jovem garoto com um longo caminho pela frente."
E_C19_Feb_Lewisia01_30,"Por que não começamos a celebração agora?"
E_C19_Feb_Lewisia01_31,"Oh, certo."
E_C19_Feb_Lewisia01_32,"Em nome dos Elfos e espíritos da Floresta, congratulações à governante do vermelho puro."
E_C19_Feb_Lewisia01_33,"*Suspiro* Lorraine, por favor, deixe a linguagem formal para os eventos formais."
E_C19_Feb_Lewisia01_34,"Você está deixando o clima meio tenso."
E_C19_Feb_Lewisia01_35,"Oh, não foi minha intensão..."
E_C19_Feb_Lewisia01_36,"Então, serei mais casual. Feliz aniversário, Lewisia. Isso aqui é pra você."
E_C19_Feb_Lewisia01_37,"É uma coleção de gotas de orvalho que contém a energia de jovens elementais. Ajudará com sua recuperação de Mana."
E_C19_Feb_Lewisia01_38,"Hahaha. Lorraine pensou na mesma coisa que eu."
E_C19_Feb_Lewisia01_39,"Pensei que uma Pedra de Mana com energia pura de Mana seria um bom presente para Lewisia, então trouxe uma."
E_C19_Feb_Lewisia01_40,"Parabéns, Lewisia. Aceite isso."
E_C19_Feb_Lewisia01_41,"Parabéns. Isso é um cristal nevado repleto de Mana dos Dragões de Gelo."
E_C19_Feb_Lewisia01_42,"Acho que não preciso explicar o seu valor."
E_C19_Feb_Lewisia01_43,"Ah... Hum... eu não pude preparar um presente, mas feliz aniversário, Lei."
E_C19_Feb_Lewisia01_44,"Eles me conheciam e sabiam a data do meu aniversário, pois são velhos amigos."
E_C19_Feb_Lewisia01_45,"Eu não convidei você esperando um presente. Não se preocupe com isso."
E_C19_Feb_Lewisia01_46,"Eu só queria comemorar da mesma forma que vocês humanos."
E_C19_Feb_Lewisia01_47,"Mas..."
E_C19_Feb_Lewisia01_48,"Vou me lembrar do seu aniversário e trazer um presente bem legal no próximo!"
E_C19_Feb_Lewisia01_49,"*Risos* Justo. Obrigada pela gentileza."
E_C19_Feb_Lewisia01_50,"Agora, vamos começar a festa de aniversário. Aproveitem a noite e sirvam-se!"
E_C19_Feb_Sonia01_01,"Mirianne!"
E_C19_Feb_Sonia01_02,"Mirianne!"
E_C19_Feb_Sonia01_03,"Hum... Onde ela está?"
E_C19_Feb_Sonia01_04,"(Pop!)"
E_C19_Feb_Sonia01_05,"Mirianne?"
E_C19_Feb_Sonia01_06,"Oops. Oh, Sonia!"
E_C19_Feb_Sonia01_07,"Por que tanta pressa?"
E_C19_Feb_Sonia01_08,"Ah, Vovô. Você viu a Mirianne?"
E_C19_Feb_Sonia01_09,"Mirianne?"
E_C19_Feb_Sonia01_10,"Hum... Não faço ideia."
E_C19_Feb_Sonia01_11,"Hum... tudo bem. Obrigada, Vovô!"
E_C19_Feb_Sonia01_12,"Eu não deveria usar meus poderes para esse tipo de coisa, mas..."
E_C19_Feb_Sonia01_13,"... (Zumbido)"
E_C19_Feb_Sonia01_14,"..."
E_C19_Feb_Sonia01_15,"...Encontrei. A reação elétrica da adaga mágica da Mirianne..."
E_C19_Feb_Sonia01_16,"É por aqui."
E_C19_Feb_Sonia01_17,"Hum? O que é essa garrafa?"
E_C19_Feb_Sonia01_18,"!!!"
E_C19_Feb_Sonia01_19,"*Cof, cof* O que é esse pó?"
E_C19_Feb_Sonia01_20,"Acho que sei o que isso pode ser... É, a Mirianne deve estar querendo pregar uma peça em mim."
E_C19_Feb_Sonia01_21,"Vamos tentar outra vez..."
E_C19_Feb_Sonia01_22,"Urgh...! (Zumbido)"
E_C19_Feb_Sonia01_23,"O que é esse pó? Está interrompendo a detecção do sinal!"
E_C19_Feb_Sonia01_24,"A detecção não vai funcionar, pelo menos por enquanto..."
E_C19_Feb_Sonia01_25,"Hum? Um bilhete?"
E_C19_Feb_Sonia01_26,"Ela mordeu a isca!"
E_C19_Feb_Sonia01_27,"Hahaha! Valeu o esforço, coletar pó de Yanadis!"
E_C19_Feb_Sonia01_28,"Agora que ela não consegue mais usar a detecção, me pergunto como ela vai me encontrar!"
E_C19_Feb_Sonia01_29,"Mirianne... Resolveu brincar de esconde-esconde assim do nada? O que você tem em mente?"
E_C19_Feb_Sonia01_30,"Bem, que seja."
E_C19_Feb_Sonia01_31,"Você esconde, eu procuro."
E_C19_Feb_Sonia01_32,"Não posso usar detecção, então devo usar outro método."
E_C19_Feb_Sonia01_33,"Encontrei você, Mirianne!"
E_C19_Feb_Sonia01_34,"...Heeein? Rápido assim? Como você...?"
E_C19_Feb_Sonia01_35,"Já se esqueceu?"
E_C19_Feb_Sonia01_36,"Eu tenho esse anel aqui!"
E_C19_Feb_Sonia01_37,"..."
E_C19_Feb_Sonia01_38,"Aaaa, isso é trapaça!"
E_C19_Feb_Sonia01_39,"Trapaça? Eu não sabia que esconde-esconde tinha tantas regras assim."
E_C19_Feb_Sonia01_40,"Eu peguei você, Mirianne. Então eu venci, não é?"
E_C19_Feb_Sonia01_41,"...Haha."
E_C19_Feb_Sonia01_42,"Não! Eu venci!"
E_C19_Feb_Sonia01_43,"Sonia! Feliz aniversário!"
E_C19_Feb_Sonia01_44,"Sonia, minha querida, feliz aniversário! / Feliz aniversário, Sonia!"
E_C19_Feb_Sonia01_45,"...Hã?"
E_C19_Feb_Sonia01_46,"Você sempre estava viajando nessa época do ano, então as crianças não podiam comemorar o seu aniversário."
E_C19_Feb_Sonia01_47,"Elas queriam fazer uma grande comemoração esse ano."
E_C19_Feb_Sonia01_48,"A Mirianne fez bem em distrair você enquanto preparávamos tudo."
E_C19_Feb_Sonia01_49,"Bom trabalho, Mirianne!"
E_C19_Feb_Sonia01_50,"*Risos* Obrigada, Vovô!"
E_C19_Feb_Sonia01_51,"Brincar de esconde-esconde com ela foi bem divertido."
E_C19_Feb_Sonia01_52,"…."
E_C19_Feb_Sonia01_53,"...Obrigada."
