KEY,"Thai"
E_C19_Mar_Veronica01_01,"อ้า มีอะไรให้ทำในกิลด์หลายอย่างเกินไป"
E_C19_Mar_Veronica01_02,"ข้าจะไม่มีวันได้หยุดงานในวันเกิดของข้าแน่..."
E_C19_Mar_Veronica01_03,"อ้า! ไม่มีเวลาสำหรับเรื่องนี้แล้ว ข้าควรเริ่มลงมือสักที!"
E_C19_Mar_Veronica01_04,"หือ เจ้าจัดเรียงคู่มือการฝึกฝนเสร็จแล้วเหรอ"
E_C19_Mar_Veronica01_05,"ถูกต้อง วันนี้เรามีคนช่วยน่ะ"
E_C19_Mar_Veronica01_06,"คนช่วยเหรอ"
E_C19_Mar_Veronica01_07,"ใครบางคนที่เชื่อถือได้มากๆ มาช่วย ไม่ต้องห่วงหรอก"
E_C19_Mar_Veronica01_08,"อืมม... ก็ได้ งั้นเจอกันพรุ่งนี้นะ"
E_C19_Mar_Veronica01_09,"อืมม... ข้าคิดว่าคนถัดไปก็คือ Turan... โอ้ ตายแล้ว! นางไม่ได้เข้าเวรในวันนี้นี่!"
E_C19_Mar_Veronica01_10,"งั้นก็ต้องเป็นคุณ Kumuro"
E_C19_Mar_Veronica01_11,"หืม เมื่อกี้มันอะไรน่ะ"
E_C19_Mar_Veronica01_12,"หือ วันนี้ไม่มีงานเก็บหนังสือแล้วเหรอ"
E_C19_Mar_Veronica01_13,"แน่นอน! ทุกอย่างเสร็จหมดแล้ว!"
E_C19_Mar_Veronica01_14,"เรียบร้อยแล้วแน่เหรอ ปกติเจ้ามักจะมอบหมายงานพวกนั้นให้ข้าก่อนที่ข้าจะเลิกงานนี่"
E_C19_Mar_Veronica01_15,"ไม่ต้องห่วงเรื่องนั้นหรอก ที่จริงแล้วเรามีคนสองคนที่ทำงานนี้ในวันนี้น่ะ"
E_C19_Mar_Veronica01_16,"...ตกลง งั้นเจอกันพรุ่งนี้"
E_C19_Mar_Veronica01_17,"แล้วเจอกัน ขอให้วันนี้เป็นวันที่แสนผ่อนคลายของเจ้านะ!"
E_C19_Mar_Veronica01_18,"อืมม... วันนี้เกิดอะไรขึ้นเนี่ย..."
E_C19_Mar_Veronica01_19,"................................"
E_C19_Mar_Veronica01_20,"ข้าขอโทษนะคุณ Havelock คราวนี้ข้าหาอาหารโปรดของ Ikko มาให้ไม่ได้"
E_C19_Mar_Veronica01_21,"หืม เจ้าหมายความว่ายังไง ข้าได้รับปลาไหลแดงแล้วนะ"
E_C19_Mar_Veronica01_22,"Ikko เพิ่งกินมันเสร็จเนี่ย ฮ่าฮ่าฮ่า!"
E_C19_Mar_Veronica01_23,"ปลาไหลนั่นมีแผลเป็นประหลาดบนตัวด้วย ข้าไม่เคยเห็นฝีมือที่ยอดเยี่ยมขนาดนั้นในทวีปนี้มาก่อนเลย"
E_C19_Mar_Veronica01_24,"ฮ่าฮ่าฮ่า... ข้าไม่แปลกใจเลย"
E_C19_Mar_Veronica01_25,"สุขสันต์วันเกิด เจ้ามีเพื่อนที่ดีทีเดียว"
E_C19_Mar_Veronica01_26,"ขอบคุณนะ ฮ่าฮ่า ข้าก็คิดอย่างนั้นเหมือนกัน"
E_C19_Mar_Veronica01_27,"นี่ เดี๋ยวก่อน! Turan หยุดก่อน!"
E_C19_Mar_Veronica01_28,"อ้า โดนจับได้ซะแล้ว"
E_C19_Mar_Veronica01_29,"ข้าไม่รู้เรื่องนี้ได้ยังไงกัน เจ้ามาช่วยงานข้าในวันหยุดของเจ้าเนี่ยนะ"
E_C19_Mar_Veronica01_30,"วันนี้คือวันเกิดของเจ้า แต่งานมันเยอะเกินไป"
E_C19_Mar_Veronica01_31,"เจ้าช่วยเหลือข้าไว้ แม้ว่าข้าจะเป็นคนแปลกหน้าที่นี่ ข้าเลยอยากช่วยเหมือนกัน"
E_C19_Mar_Veronica01_32,"ข้าอยากให้เจ้าพักผ่อนบ้าง อย่างน้อยก็ในวันนี้"
E_C19_Mar_Veronica01_33,"เฮะ เฮะ ขอบคุณนะ แต่นี่เป็นวิถีทางของข้านั่นแหละ"
E_C19_Mar_Veronica01_34,"คราวหน้าไม่ต้องปิดบังล่ะ"
E_C19_Mar_Veronica01_35,"ข้าขอโทษนะ Veronica"
E_C19_Mar_Veronica01_36,"ไม่ต้องขอโทษหรอก ขอบคุณสำหรับคำพูดดีๆ นะ"
E_C19_Mar_Veronica01_37,"ข้าสามารถเลิกงานได้แล้ว ต้องขอบคุณเจ้า! ไปหาอะไรอร่อยๆ กินกันเถอะ!"
E_C19_Mar_Veronica01_38,"ข้าแค่อยากพูดคำนี้"
