KEY,Vietnamese
E_C19_Mar_Veronica01_01,"Trời, trong guild có nhiều việc phải làm quá."
E_C19_Mar_Veronica01_02,Sinh nhật nào mình cũng không được nghỉ...
E_C19_Mar_Veronica01_03,Á! Giờ đâu phải lúc nghĩ đến chuyện đó. Phải bắt đầu ngay thôi!
E_C19_Mar_Veronica01_04,Ớ? Cô đã sắp xếp xong bộ bí kíp huấn luyện rồi à?
E_C19_Mar_Veronica01_05,"Đúng vậy, hôm nay chúng ta có người giúp đỡ mà."
E_C19_Mar_Veronica01_06,Có người giúp ư?
E_C19_Mar_Veronica01_07,Có người rất đáng tin cậy đã xắn tay trợ giúp. Đừng lo nữa nhé.
E_C19_Mar_Veronica01_08,Ừm... Được thôi. Vậy mai gặp lại.
E_C19_Mar_Veronica01_09,Để xem...Hình như tiếp theo là Turan...? ...À quên! Hôm nay cô ấy không trực!
E_C19_Mar_Veronica01_10,Vậy thì đến chỗ ông Kumuro vậy.
E_C19_Mar_Veronica01_11,Hử? Vừa xong là gì thế?
E_C19_Mar_Veronica01_12,Ủa? Hôm nay không còn việc ghi sổ sách nữa à?
E_C19_Mar_Veronica01_13,Tất nhiên! Xong cả rồi mà!
E_C19_Mar_Veronica01_14,Đã xong rồi ư? Bình thường chưa kịp chấm công mà ông đã giao việc cho tôi rồi.
E_C19_Mar_Veronica01_15,Đừng lo lắng. Thực ra hôm nay chúng ta có 2 người khác nhau cùng làm việc.
E_C19_Mar_Veronica01_16,...Được thôi. Vậy mai gặp ông sau.
E_C19_Mar_Veronica01_17,Hẹn gặp lại. Chúc cô có một ngày thư thái!
E_C19_Mar_Veronica01_18,Hừm... Hôm nay làm sao ấy nhỉ...?
E_C19_Mar_Veronica01_19,................................
E_C19_Mar_Veronica01_20,"Xin thứ lỗi, Ông Havelock. Lần này tôi không thể lấy được món ăn ưa thích của Ikko."
E_C19_Mar_Veronica01_21,Hả? Cô nói gì vậy? Tôi đã nhận được món lươn đỏ rồi mà.
E_C19_Mar_Veronica01_22,Ikko vừa mới chén xong. Ha ha ha!
E_C19_Mar_Veronica01_23,Con lươn ấy có một vết sẹo rất đặc biệt. Ở lục địa này ta chưa thấy ai điêu luyện đến vậy.
E_C19_Mar_Veronica01_24,Ha ha ha... Tài thật.
E_C19_Mar_Veronica01_25,Chúc mừng sinh nhật. Cô có một người bạn rất tốt đấy.
E_C19_Mar_Veronica01_26,"Cảm ơn ông. Ha ha, tôi cũng nghĩ thế."
E_C19_Mar_Veronica01_27,"Này, đợi đã! Turan, dừng lại!"
E_C19_Mar_Veronica01_28,"A, cô phát hiện ra tôi rồi."
E_C19_Mar_Veronica01_29,Sao tôi lại không biết chứ? Cô giúp tôi làm việc vào đúng hôm mình được nghỉ?
E_C19_Mar_Veronica01_30,Hôm nay là sinh nhật cô mà vẫn còn nhiều việc quá.
E_C19_Mar_Veronica01_31,Dù tôi chỉ là người lạ ở đây nhưng cô vẫn giúp tôi. Tôi cũng muốn giúp lại.
E_C19_Mar_Veronica01_32,"Tôi muốn cô được nghỉ ngơi, ít nhất là trong hôm nay."
E_C19_Mar_Veronica01_33,"Hê hê. Cảm ơn cô, nhưng đó là cách tôi làm việc."
E_C19_Mar_Veronica01_34,Lần sau đừng có giấu giếm.
E_C19_Mar_Veronica01_35,"Xin lỗi nhé, Veronica."
E_C19_Mar_Veronica01_36,Không cần xin lỗi đâu. Cảm ơn tấm lòng của cô.
E_C19_Mar_Veronica01_37,Nhờ có cô mà tôi xong hết việc rồi! Đi ăn món gì ngon ngon nào!
E_C19_Mar_Veronica01_38,Tôi chỉ muốn nói câu này thôi.
E_C19_Mar_Veronica01_39,"Chúc mừng sinh nhật, Veronica! Năm tới tôi sẽ lại nói câu đó."
E_C19_Mar_Veronica01_40,"*Khúc khích* Cảm ơn, Turan! Tôi rất mong đến dịp đó!"
E_C19_Mar_Kaulah01_01,"Ha ha ha, một hòn đảo vắng vẻ! Nơi này thật đẹp và ấm áp."
E_C19_Mar_Kaulah01_02,"Mình cũng không hoàn toàn có ý định đi nghỉ mát,"
E_C19_Mar_Kaulah01_03,nhưng mà tuyệt thật! Được một ngày thư giãn trên bãi biển thì còn gì bằng!
