KEY,"ChineseSimplified"
E_C19_Apr_Morrah09_01,"…"
E_C19_Apr_Morrah09_02,"玛莉亚大人…不在啊。"
E_C19_Apr_Morrah09_03,"啊啊，今天是那个日子啊…"
E_C19_Apr_Morrah09_04,"那么…她应该在那个地方…"
E_C19_Apr_Morrah09_05,"他的坟墓…"
E_C19_Apr_Morrah09_06,"感觉就像是走在浓重的血雾之中。"
E_C19_Apr_Morrah09_07,"没有思考的理由。"
E_C19_Apr_Morrah09_08,"也没有思考的必要。"
E_C19_Apr_Morrah09_09,"只要有能战斗的对手，那就足够了。"
E_C19_Apr_Morrah09_10,"魔王下命猎杀龙族，将大地夷为平地。"
E_C19_Apr_Morrah09_11,"我吃掉了数十条龙并获得了它们的力量。"
E_C19_Apr_Morrah09_12,"嗜血成性的恶龙部队的力量日渐强大。"
E_C19_Apr_Morrah09_13,"但是，我在与勇者和他的同伴们的最后决战中…"
E_C19_Apr_Morrah09_14,"…唔？怎么站在那发愣呢？"
E_C19_Apr_Morrah09_15,"…？！玛莉亚大人，您没有去奥里卡纳的坟墓…"
E_C19_Apr_Morrah09_16,"去过了，就像我在过去的一百年里一直做的一样…"
E_C19_Apr_Morrah09_17,"…"
E_C19_Apr_Morrah09_18,"可以问您一件事情吗？玛莉亚大人。"
E_C19_Apr_Morrah09_19,"唔？"
E_C19_Apr_Morrah09_20,"您不怨恨…我吗？"
E_C19_Apr_Morrah09_21,"我把那位…几乎可以称作是您的另一半的人…杀死了…"
E_C19_Apr_Morrah09_22,"…"
E_C19_Apr_Morrah09_23,"唉，那件事我之前没说过吗？"
E_C19_Apr_Morrah09_24,"…当然，过去我是怨恨过你。"
E_C19_Apr_Morrah09_25,"但是…他最后留下的遗产，就是你。"
E_C19_Apr_Morrah09_26,"更何况…你现在已经不是过去的那个你了。"
E_C19_Apr_Morrah09_27,"你变了很多…过去的罪不该向现在的你追究。"
E_C19_Apr_Morrah09_28,"…"
E_C19_Apr_Morrah09_29,"从魔王的支配中解放…还有真正的自我觉醒…"
E_C19_Apr_Morrah09_30,"是奥里卡纳留下来的最后…礼物。"
E_C19_Apr_Morrah09_31,"我们两人的旅程虽然是从怨恨和诅咒开始的…"
E_C19_Apr_Morrah09_32,"但现在已经变得有些不同了。"
E_C19_Apr_Morrah09_33,"现在奥里卡纳虽然不在了…但有你在。"
E_C19_Apr_Morrah09_34,"所以他离开的那天…相当于你的生日。"
E_C19_Apr_Morrah09_35,"虽然这只是毫无意义的人类的风俗…"
E_C19_Apr_Morrah09_36,"但在过去的这段时间里…我都没有为你庆生，抱歉。"
E_C19_Apr_Morrah09_37,"…"
E_C19_Apr_Morrah09_38,"谢谢您…玛莉亚大人。"
E_C19_Apr_Mediana07_01,"呵呵呵～把这个混合一下…啊，下一个组合是…"
E_C19_Apr_Mediana07_02,"呵呵，新的注射剂就快完成了呢…"
E_C19_Apr_Mediana07_03,"啊啊，好想立刻进行实验啊…"
