KEY,"ChineseTraditional"
E_C19_Apr_Morrah09_01,"…"
E_C19_Apr_Morrah09_02,"瑪莉亞大人…不在啊。"
E_C19_Apr_Morrah09_03,"啊啊，今天是那個日子…"
E_C19_Apr_Morrah09_04,"那麼…她應該在那裡…"
E_C19_Apr_Morrah09_05,"他的墳墓…"
E_C19_Apr_Morrah09_06,"感覺就像在濃濃的血霧之中穿梭。"
E_C19_Apr_Morrah09_07,"沒有思考的理由。"
E_C19_Apr_Morrah09_08,"也不需要思考。"
E_C19_Apr_Morrah09_09,"只要有能戰鬥的對手，那就夠了。"
E_C19_Apr_Morrah09_10,"魔王下令獵殺龍族，將大地夷為平地。"
E_C19_Apr_Morrah09_11,"我抓了幾十隻的龍來吃，獲取牠們的力量。"
E_C19_Apr_Morrah09_12,"嗜血的惡龍部隊逐漸壯大力量。"
E_C19_Apr_Morrah09_13,"但是，我在與勇者和他的同伴們的最後決戰中…"
E_C19_Apr_Morrah09_14,"…嗯？妳站在那裡發什麼呆？"
E_C19_Apr_Morrah09_15,"瑪莉亞大人？！您不是去了奧里卡納的墓地嗎…"
E_C19_Apr_Morrah09_16,"我去過啦，一如過去百年來我一直在做的事…"
E_C19_Apr_Morrah09_17,"…"
E_C19_Apr_Morrah09_18,"瑪莉亞大人，我可以問您一件事嗎？"
E_C19_Apr_Morrah09_19,"嗯？"
E_C19_Apr_Morrah09_20,"…您…不恨我嗎？"
E_C19_Apr_Morrah09_21,"我把那位…幾乎可以稱做是您的另一半的人…殺死了…"
E_C19_Apr_Morrah09_22,"…"
E_C19_Apr_Morrah09_23,"哎，那件事我之前不是也說過了嗎？"
E_C19_Apr_Morrah09_24,"…當然，我以前是恨過妳。"
E_C19_Apr_Morrah09_25,"但是...他最後留給我的遺產…就是妳。"
E_C19_Apr_Morrah09_26,"而且…妳現在已經不是以前的妳了。"
E_C19_Apr_Morrah09_27,"妳變了很多…過去的罪不該向現在的妳追究。"
E_C19_Apr_Morrah09_28,"…"
E_C19_Apr_Morrah09_29,"解脫魔王的控制…還有真正的自我覺醒…"
E_C19_Apr_Morrah09_30,"是奧里卡納最後留下來的…禮物。"
E_C19_Apr_Morrah09_31,"雖然我們兩人的旅程始於怨恨和詛咒…"
E_C19_Apr_Morrah09_32,"但如今有些不同了。"
E_C19_Apr_Morrah09_33,"雖然奧里卡納不在了…但我現在有妳。"
E_C19_Apr_Morrah09_34,"所以他離開的那天…等於是妳的生日。"
E_C19_Apr_Morrah09_35,"雖然這只是人類無意義的習俗…"
E_C19_Apr_Morrah09_36,"但過去這段時間…我都沒能替妳慶生，對不起。"
E_C19_Apr_Morrah09_37,"…"
E_C19_Apr_Morrah09_38,"謝謝您…瑪莉亞大人。"
E_C19_Apr_Mediana07_01,"呵呵呵～加一點這個…啊，接下來的組合是…"
E_C19_Apr_Mediana07_02,"呵呵，新的注射藥物就快大功告成了…"
E_C19_Apr_Mediana07_03,"啊啊，好想立刻進行實驗啊…"
E_C19_Apr_Mediana07_04,"…"
E_C19_Apr_Mediana07_05,"嘿嘿。"
E_C19_Apr_Mediana07_06,"生日快樂～～！！！！"
E_C19_Apr_Mediana07_07,"?!"
E_C19_Apr_Mediana07_08,"咦？您是什麼時候來的？"
