KEY,"Japanese"
E_C19_Apr_Morrah09_01,"…"
E_C19_Apr_Morrah09_02,"マリア様は…いらっしゃらないか。"
E_C19_Apr_Morrah09_03,"ああ、そういえば今日はあの日か…"
E_C19_Apr_Morrah09_04,"ならば…あそこへ行ってらっしゃるのだろう。"
E_C19_Apr_Morrah09_05,"彼の墓に…"
E_C19_Apr_Morrah09_06,"深い血霧の中を歩いているような気分だった。"
E_C19_Apr_Morrah09_07,"考える理由などなかった。"
E_C19_Apr_Morrah09_08,"考える必要もなかった。"
E_C19_Apr_Morrah09_09,"ただ、戦う相手がいればそれで十分だった。"
E_C19_Apr_Morrah09_10,"魔王はドラゴンを狩り、地上を蹂躙せよと命じた。"
E_C19_Apr_Morrah09_11,"私は数十体のドラゴンを貪り食い、その力を吸収した。"
E_C19_Apr_Morrah09_12,"血に飢えた邪竜部隊は、ますます勢力を増していった。"
E_C19_Apr_Morrah09_13,"だが、私は勇士とその仲間との最後の決戦で…"
E_C19_Apr_Morrah09_14,"…あら？そんなところに立って、何をぼうっとしているのかしら。"
E_C19_Apr_Morrah09_15,"…！？マリア様、オリカーナの墓に向かわれたのでは…"
E_C19_Apr_Morrah09_16,"行ってきたわ。今までの100年間、そうしてきたようにね…"
E_C19_Apr_Morrah09_17,"…"
E_C19_Apr_Morrah09_18,"ひとつお尋ねしてもよろしいでしょうか、マリア様。"
E_C19_Apr_Morrah09_19,"ん？"
E_C19_Apr_Morrah09_20,"…私を…恨んでいないのですか。"
E_C19_Apr_Morrah09_21,"あなたの半身とも言える彼を…殺した私のことを…"
E_C19_Apr_Morrah09_22,"…"
E_C19_Apr_Morrah09_23,"ふぅ。その話、前にもしたはずよね？"
E_C19_Apr_Morrah09_24,"…もちろん、かつてはあなたを憎んでいた。"
E_C19_Apr_Morrah09_25,"でも…彼が最後に残した遺産もつまり、あなた。"
E_C19_Apr_Morrah09_26,"それにあなたはもう…過去のあなたではない。"
E_C19_Apr_Morrah09_27,"過去の罪を今のあなたに問い正すには…あなたは変わりすぎた。"
E_C19_Apr_Morrah09_28,"…"
E_C19_Apr_Morrah09_29,"魔王の支配力からの解放…そして、真の自我の覚醒…"
E_C19_Apr_Morrah09_30,"オリカーナが最後に残してくれた贈り物…でしたね。"
E_C19_Apr_Morrah09_31,"私たち2人の旅は、怨恨と呪いから始まったけれど…"
E_C19_Apr_Morrah09_32,"今は違うわ。"
E_C19_Apr_Morrah09_33,"オリカーナはもういないけど…今はあなたがいる。"
E_C19_Apr_Morrah09_34,"だから、彼を失った日は…あなたの誕生日でもあるの。"
E_C19_Apr_Morrah09_35,"こんなの、意味のない人間の風習だけれど…"
E_C19_Apr_Morrah09_36,"今まで…何もしてあげられなくて悪かったわね。"
E_C19_Apr_Morrah09_37,"…"
E_C19_Apr_Morrah09_38,"ありがとうございます…マリア様。"
E_C19_Apr_Mediana07_01,"ふんふふ～ん♪これを少し混ぜて…えっと、次の調合は…"
E_C19_Apr_Mediana07_02,"うふふ、新しい注射薬の完成まであと少しですわね…"
E_C19_Apr_Mediana07_03,"ああ～♪早く実験がしたくてたまりませんわ…"
E_C19_Apr_Mediana07_04,"…"
E_C19_Apr_Mediana07_05,"オホン。"
E_C19_Apr_Mediana07_06,"お誕生日、おめでとさ～ん！！！"
E_C19_Apr_Mediana07_07,"?!"
E_C19_Apr_Mediana07_08,"あら？いつからそこにいたのですか？"
E_C19_Apr_Mediana07_09,"それより、誕生日だなんて…"
E_C19_Apr_Mediana07_10,"もうそんなに時間が経ったんですか？"
E_C19_Apr_Mediana07_11,"ふふふ、まぁ～た研究に没頭しすぎて、誕生日ってこと忘れとるんやね？"
E_C19_Apr_Mediana07_12,"今回が初めてじゃないんですよ～えへへ…"
E_C19_Apr_Mediana07_13,"去年は急に薬材を探しにいくって飛び出して、パーティーもちゃんと開けなかったじゃないですか？"
E_C19_Apr_Mediana07_14,"だから今年は、機会があったら絶対パーティーをやるって言うたやんか！"
E_C19_Apr_Mediana07_15,"エヘン、もちろんプレゼントも用意したんよ～！"
E_C19_Apr_Mediana07_16,"ジャジャ～ン！"
E_C19_Apr_Mediana07_17,"あら！これは…"
E_C19_Apr_Mediana07_18,"本当に、こんな貴重なものをいただいていいんですか…？"
E_C19_Apr_Mediana07_19,"モッチロン！入手困難な品やけど、商人は情報通やからね～？"
E_C19_Apr_Mediana07_20,"いくらでもまた手に入れられるしね。"
E_C19_Apr_Mediana07_21,"あははは…"
E_C19_Apr_Mediana07_22,"私はメディアナが研究に使えるような…毒とかは用意してないけど…"
E_C19_Apr_Mediana07_23,"誕生日のお祝いにと思って、ケーキを作ったんですよ。"
E_C19_Apr_Mediana07_24,"あら！ステキなケーキですね。"
E_C19_Apr_Mediana07_25,"お二人とも、本当にありがとうございます。"
E_C19_Apr_Mediana07_26,"自分でも忘れていた誕生日を…"
E_C19_Apr_Mediana07_27,"へへへ…"
E_C19_Apr_Mediana07_28,"わぁっ！"
E_C19_Apr_Mediana07_29,"…？ええと…"
E_C19_Apr_Mediana07_30,"いやぁ、ごめんごめん。"
E_C19_Apr_Mediana07_31,"なにせ重たいヤツだからさぁ、引っ張ってくるのに苦労したんだ。"
E_C19_Apr_Mediana07_32,"ふええ、おっきいモンスターですね…"
E_C19_Apr_Mediana07_33,"あ、うん。つまりあれさ、火山の方に棲む巨大なヘルハウンドっていうモンスターなんだけど、"
E_C19_Apr_Mediana07_34,"すっごく生命力の強いヤツで、性格も乱暴なことで有名なんだよ。"
E_C19_Apr_Mediana07_35,"ほえぇ…ところでなんでソイツを連れてきたん？"
E_C19_Apr_Mediana07_36,"ああ、この子は正式に言うと、魔界からやってきた魔獣なんだけどね。"
E_C19_Apr_Mediana07_37,"魔族や魔獣によく効く薬を実験してみたいっていうメディアナの話を思い出して…"
E_C19_Apr_Mediana07_38,"それにほら、誕生日だろう？"
E_C19_Apr_Mediana07_39,"手ぶらで来るのもあれかなって思ってねぇ。"
E_C19_Apr_Mediana07_40,"…"
