KEY,"Japanese"
E_C19_May_Lucias_01,"お探しでしたか、リカルド様。"
E_C19_May_Lucias_02,"最近は席を外すことが多いようだな。"
E_C19_May_Lucias_03,"ええ。最近、魔族との戦いで聖騎士はもちろん、多くの民間人が痛手を負いましたから。"
E_C19_May_Lucias_04,"助けが必要な方々を探し回っているうちに、帰ることをすっかり忘れました。申し訳ありません。"
E_C19_May_Lucias_05,"ワハハ！謝る必要などないわい！"
E_C19_May_Lucias_06,"君が困っている人々を放っておけないことは、皆知っているからな。"
E_C19_May_Lucias_07,"そういえば、今日は君の誕生日ではないか！"
E_C19_May_Lucias_08,"普段なら、もっと早く祝ってやったはずだが、"
E_C19_May_Lucias_09,"歳をとったら、こんな大事なこともうっかりしてしまってな。ガハハ！"
E_C19_May_Lucias_10,"お祝いの言葉が遅れてすまなかったよ。"
E_C19_May_Lucias_11,"大したものではないが、これは俺からのプレゼントだ。"
E_C19_May_Lucias_12,"ありがとうございます。"
E_C19_May_Lucias_13,"…ところで、私が今日誕生日だということをどうして…？"
E_C19_May_Lucias_14,"今日「星砂の魔術師」から俺に手紙が届いてな。"
E_C19_May_Lucias_15,"君の誕生日を知ってるから知り合いだろう。面白い友を持ったものだな。"
E_C19_May_Lucias_16,"はは…ええ、まぁ…そうですね。"
E_C19_May_Lucias_17,"そうだろう。君は自分の故郷に帰ったりしているのか？"
E_C19_May_Lucias_18,"いいえ、帰ることはありませんでしたね。"
E_C19_May_Lucias_19,"両親は、家族のもとを離れて巣立っていった子を何十回、何百回も思うものだ。"
E_C19_May_Lucias_20,"元気でいるか、危険なことに巻き込まれていないか…"
E_C19_May_Lucias_21,"つまらぬ心配事で夜も眠れなくなるのだ。"
E_C19_May_Lucias_22,"しかも今日は君が生まれた大切な日じゃあないか！"
E_C19_May_Lucias_23,"あいさつがてら、故郷に戻って一休みしてきたらどうだ？"
E_C19_May_Lucias_24,"ルシアス。これをお前の両親のところに持っていってあげなさい。"
E_C19_May_Lucias_25,"いつも作物を分けていただき、ありがとうございます。"
E_C19_May_Lucias_26,"ほっほ。何を言う、こんなに村が平和で安全なのもお前のおかげだし。"
E_C19_May_Lucias_27,"女神様にいつも心から感謝しているんだよ。"
E_C19_May_Lucias_28,"お前のような祝福されし子を、私たちに送ってくださるとは…"
E_C19_May_Lucias_29,"皆さんがいつもそう言ってくれるので、気恥ずかしいですね…"
E_C19_May_Lucias_30,"村の外は、いつも悲しみと苦しみでいっぱいだよ。"
E_C19_May_Lucias_31,"私たちもお前が生まれる前までは、そのような苦しみの中にいた。"
E_C19_May_Lucias_32,"今、私たちがこうして笑えるのは、すべてお前のおかげなの。"
E_C19_May_Lucias_33,"皆が喜んでくれるなら…私も…"
E_C19_May_Lucias_34,"(私の弱い力で、村を幸せへと導けたのなら…)"
E_C19_May_Lucias_35,"(外の世界に出て、苦しんでいる人々を救うことはできないだろうか？)"
E_C19_May_Lucias_36,"(苦しみも、悲しみもない…皆が笑って幸せになれる、そんな世界へと…)"
E_C19_May_Lucias_37,"まだ世の中には、助けることのできていない苦しむ人々が大勢います。"
E_C19_May_Lucias_38,"今この王城でも、混沌と恐怖に震えている人々の声が絶え間なく聴こえてきます。"
E_C19_May_Lucias_39,"私はまだ、故郷に戻ることができません。"
E_C19_May_Lucias_40,"(すべての苦しむ人々の救済と)"
E_C19_May_Lucias_41,"(彼らに平穏をもたらす、私の…使命をまっとうするまでは)"
E_C19_May_Lucias_42,"わざわざ勧めてくださったのに、申し訳ありません。"
E_C19_May_Lucias_43,"ガハハ！謝ることはない！"
E_C19_May_Lucias_44,"君にそういう意志があるなら、無理強いすることでもないからな。"
E_C19_May_Lucias_45,"はっきりとは書かれていなかったが…この手紙にな、"
E_C19_May_Lucias_46,"君が1日くらい、ゆっくり休めるようにと願う気持ちが感じられたから提案してみたのだ。"
E_C19_May_Lucias_47,"休むのは、ちょっと難しいかもしれませんね。ははは。"
E_C19_May_Lucias_48,"ガハハハ！わしの小言はここまでにするから、今日くらいは休んでくれよ。"
E_C19_May_Lucias_49,"…努力してみます。女神の祝福が共にあらんことを。"
E_C19_May_Lucias_50,"ふぅ…"
E_C19_May_Lucias_51,"おや？これは…？"
E_C19_May_Lucias_52,"そう来ると思ってたよ。誕生日ゆっくり過ごしな。"
E_C19_May_Lucias_53,"ははは。君も相変わらずだな…"
E_C19_May_Lavril_01,"……"
E_C19_May_Lavril_02,"わぁ！大っきいケーキ！いいな～誕生日おめでとう！"
E_C19_May_Lavril_03,"お誕生日おめでとう！はいこれ、プレゼント！大事なものだけどあげるね！誕生日だもん！"
E_C19_May_Lavril_04,"ありがとう！ケーキ食べよ！みてみて、ママがあたしの大好きなもので作ってくれたの！"
E_C19_May_Lavril_05,"わー待って！いきなり食べるんじゃなくて、お歌は？花火は？"
E_C19_May_Lavril_06,"早く歌ってケーキ食べよ～！"
E_C19_May_Lavril_07,"ハッピバースデートゥーユー♪ハッピバースデートゥーユー♪"
E_C19_May_Lavril_08,"たんじょうび…？"
E_C19_May_Lavril_09,"あら？いらっしゃい、ラブリル。"
E_C19_May_Lavril_10,"どうしたんです？"
E_C19_May_Lavril_11,"こん…にちは。あの…聞きたいことがあるの。"
E_C19_May_Lavril_12,"あ、あのね…今日、村で何かお祭りでもしてるの？"
E_C19_May_Lavril_13,"お祭り、ですか？"
