KEY,ChineseSimplified
E_C19_July_Maria01_1,…这个应该肯定没问题了吧。
E_C19_July_Maria01_2,呵呵，是啊，可以实现你的愿望了。
E_C19_July_Maria01_3,她对我来说也是既特别又珍贵的存在。
E_C19_July_Maria01_4,你可是她的亲信，我怎么会对你开这种玩笑呢。
E_C19_July_Maria01_5,......
E_C19_July_Maria01_6,可是我有点好奇。为什么你不自己直接去祝贺呢？
E_C19_July_Maria01_7,我是猎食圣龙奥里卡纳的恶龙。
E_C19_July_Maria01_8,没有庆祝那位生日的资格。
E_C19_July_Maria01_9,呵呵，看不出来你也有这么可爱的一面。
E_C19_July_Maria01_10,哼，吵死了。
E_C19_July_Maria01_11,事情做完了，也付出代价了，你可以走了。
E_C19_July_Maria01_12,呵呵呵…我怎么可能这样就走？
E_C19_July_Maria01_13,现在好戏才正要上场～
E_C19_July_Maria01_14,你去哪里了，莫拉？我找你半天了。
E_C19_July_Maria01_15,对不起。为了给您带礼物耽误了点时间。
E_C19_July_Maria01_16,礼物？
E_C19_July_Maria01_17,希望您会喜欢。
E_C19_July_Maria01_18,呃…！
E_C19_July_Maria01_19,等等，这是什么？
E_C19_July_Maria01_20,莫拉，停下来！！
E_C19_July_Maria01_21,…玛莉亚大人…
E_C19_July_Maria01_22,你是谁…？
E_C19_July_Maria01_23,是我，奥里卡纳…
E_C19_July_Maria01_24,我向被我附身的她
E_C19_July_Maria01_25,还有您的朋友借了一点力量…
E_C19_July_Maria01_26,因此争取到了一点时间。
E_C19_July_Maria01_27,奥里卡纳…
E_C19_July_Maria01_28,衷心地祝您生日快乐。
E_C19_July_Maria01_29,即使是用这种方式向您祝贺，我也已经很满足了。
E_C19_July_Maria01_30,…嗯。谢谢，奥里卡纳。
E_C19_July_Maria01_31,那么请给我一个微笑吧。我想看见您的笑容。
E_C19_July_Maria01_32,我在她的体内，也会一直关注着您。
E_C19_July_Maria01_33,直到您获得幸福的日子到来…
E_C19_July_Maria01_34,奥里卡纳…！别走！
E_C19_July_Maria01_35,啊…！！
E_C19_July_Maria01_36,啊…你…
E_C19_July_Maria01_37,呜呜…
E_C19_July_Maria01_38,头就像要裂开了。玛莉亚大人…
E_C19_July_Maria01_39,玛莉亚大人，您还好吗？
E_C19_July_Maria01_40,…那…礼物您还满意吧。
E_C19_July_Maria01_41,......
E_C19_July_Maria01_42,…玛莉亚大人？
E_C19_July_Maria01_43,莫拉。
E_C19_July_Maria01_44,我不会说我不喜欢你的礼物。
E_C19_July_Maria01_45,…好久没能和那孩子说话了。虽然很短暂…但是很幸福。
E_C19_July_Maria01_46,玛莉亚大人…！
E_C19_July_Maria01_47,但是，
E_C19_July_Maria01_48,这实在太危险了！！你是强制性地把在你体内的那孩子的意识拉出来的吧？
E_C19_July_Maria01_49,虽然我明知是谁怂恿你使用那种方法的…
E_C19_July_Maria01_50,你的意识差一点就崩溃了！谁让你做那种危险的事的？
E_C19_July_Maria01_51,对、对不起！！
E_C19_July_Maria01_52,我以为他比我更适合陪您度过这个特别的日子。
E_C19_July_Maria01_53,是我的错。对不起，玛莉亚大人。
E_C19_July_Maria01_54,…你帮我过也没关系。
E_C19_July_Maria01_55,嗯？
E_C19_July_Maria01_56,我说就算是你帮我过生日也没关系，不管是礼物，或是祝福。
E_C19_July_Maria01_57,现在在我身边的不是只有你嘛，而不是那孩子。
E_C19_July_Maria01_58,玛莉亚大人…
E_C19_July_Maria01_59,所以今后禁止做这种危险的事，知道了吗？
E_C19_July_Maria01_60,…我不想再看到你痛苦的样子。
E_C19_July_Maria01_61,…是，我会铭记于心的，还有…
E_C19_July_Maria01_62,衷心地祝您生日快乐，玛莉亚大人！！
E_C19_Jul_Ophelia01_01,艾斯克哥哥到底去哪里了…
E_C19_Jul_Ophelia01_02,大家都忙着准备演出呢，他又消失了！
E_C19_Jul_Ophelia01_03,我在这呢，欧菲莉亚。
E_C19_Jul_Ophelia01_04,…！哥哥！
E_C19_Jul_Ophelia01_05,是洛尼恩派你来找我的吗？
E_C19_Jul_Ophelia01_06,因为哥哥不在的话就不能排练，
E_C19_Jul_Ophelia01_07,他要你赶紧回去！
E_C19_Jul_Ophelia01_08,好吧，好吧。跟我到这里来。
E_C19_Jul_Ophelia01_09,嗯？得赶紧回去才行！
E_C19_Jul_Ophelia01_10,真是的～！
E_C19_Jul_Ophelia01_11,吁…要走到什么时候啊？
E_C19_Jul_Ophelia01_12,好像离剧团越来越远了，回去的路还记得吧？
E_C19_Jul_Ophelia01_13,再等一下。
E_C19_Jul_Ophelia01_14,啊，在那里。
E_C19_Jul_Ophelia01_15,到这种地方来做什么…
E_C19_Jul_Ophelia01_16,哎呀。
E_C19_Jul_Ophelia01_17,那不是魔像嘛！
E_C19_Jul_Ophelia01_18,看上去好像还没看见我们，我们还是悄悄回去吧…
E_C19_Jul_Ophelia01_19,嗯？就是为了那家伙来的，为什么要回去？
E_C19_Jul_Ophelia01_20,为了来找那魔像？为什么？？
E_C19_Jul_Ophelia01_21,哥哥…你又要搞什么鬼…
E_C19_Jul_Ophelia01_22,哈哈，没什么。
E_C19_Jul_Ophelia01_23,打倒了那家伙可以拿到好东西。
E_C19_Jul_Ophelia01_24,加油，看你的了。
E_C19_Jul_Ophelia01_25,哥…哥哥？！！你别丢下我啊！！！！
E_C19_Jul_Ophelia01_26,…
E_C19_Jul_Ophelia01_27,你…你好，魔像先生…？
E_C19_Jul_Ophelia01_28,虽然艾斯克哥哥要我伤害你…
E_C19_Jul_Ophelia01_29,可是我并没有想要伤害你的意思…
E_C19_Jul_Ophelia01_30,呀啊！
E_C19_Jul_Ophelia01_31,哔哔叭哔叭哔
E_C19_Jul_Ophelia01_32,请冷静一点，魔像先生！！
E_C19_Jul_Ophelia01_33,艾斯克哥哥～～～～～～！！
E_C19_Jul_Ophelia01_34,太过分了～～～～！！！
E_C19_Jul_Ophelia01_35,信誓，维雷基亚！
E_C19_Jul_Ophelia01_36,砰砰哔叭
E_C19_Jul_Ophelia01_37,吁…对不起魔像先生…
E_C19_Jul_Ophelia01_38,哇，你的身手又进步了。
E_C19_Jul_Ophelia01_39,看来就算离开剧团，自己独立也不用担心了。
E_C19_Jul_Ophelia01_40,哥哥！这玩笑也太恶劣了…
E_C19_Jul_Ophelia01_41,等等，这件事晚点再说。
E_C19_Jul_Ophelia01_42,需要的东西已经到手了，我们走吧。
E_C19_Jul_Ophelia01_43,又要去哪里啊～！真是的！！
E_C19_Jul_Ophelia01_44,好，把这个连接到这里的话…
E_C19_Jul_Ophelia01_45,行了。
E_C19_Jul_Ophelia01_46,生日快乐，欧菲莉亚。
E_C19_Jul_Ophelia01_47,每次移动都得重新搭帐篷，很麻烦对吧？
E_C19_Jul_Ophelia01_48,所以我趁这个机会帮你准备了专用马车。
E_C19_Jul_Ophelia01_49,哥哥…
E_C19_Jul_Ophelia01_50,怎么了？感动得说不出话来了？
E_C19_Jul_Ophelia01_51,刚才太危险了吧！！
E_C19_Jul_Ophelia01_52,把我丢下自己丢掉，我真的很害怕！
E_C19_Jul_Ophelia01_53,你吓到啦？其实那魔像也只是个幻影罢了。
E_C19_Jul_Ophelia01_54,真的魔像我已经下手解决了，所以很安全…
E_C19_Jul_Ophelia01_55,你一个人对付魔像？一定要做这么危险的事吗？
E_C19_Jul_Ophelia01_56,冷静点，欧菲莉亚，嗯？
E_C19_Jul_Ophelia01_57,还有，比起独立，我更喜欢跟剧团的人在一起！
E_C19_Jul_Ophelia01_58,哈哈…我又做了惹人厌的事了…
E_C19_Jul_Ophelia01_59,哥哥真是讨厌！！！！！
E_C19_Jul_Crow01_01,…
E_C19_Jul_Crow01_02,呃，老…老头！
E_C19_Jul_Crow01_03,啊，老头！你知道今天是什么日…
E_C19_Jul_Crow01_04,疼啊，你这个笨狗！！
E_C19_Jul_Crow01_05,（安静点，你这个傻瓜…！）
E_C19_Jul_Crow01_06,（老头知道了肯定会骂我们无聊、浪费时间！）
E_C19_Jul_Crow01_07,啊哈哈，反正丢脸的就只有你这条笨狗啊～！
E_C19_Jul_Crow01_08,（你这疯女人，叫谁笨狗呢！！）
E_C19_Jul_Crow01_09,唔…
E_C19_Jul_Crow01_10,啊哈…哈哈哈哈…
E_C19_Jul_Crow01_11,什么！？菲尔奇诺司！你浑身酸痛得要死？
E_C19_Jul_Crow01_12,好～～吧！现在马上就去射个痛快吧！
E_C19_Jul_Crow01_13,（这个无耻的家伙！！）
E_C19_Jul_Crow01_14,…
E_C19_Jul_Crow01_15,诶嘿嘿…嘿嘿…
E_C19_Jul_Crow01_16,啊，我也该给我的小可爱喂饭了～！
