KEY,Japanese
E_C19_July_Maria01_1,…これで、確実なんだろうな？
E_C19_July_Maria01_2,ふふふ、もちろん。あなたの望みが叶えられますよ。
E_C19_July_Maria01_3,私にとっても、彼女は特別で大切な存在。
E_C19_July_Maria01_4,彼女の忠実な腹心であるあなたに、ヘタな冗談なんかするはずないでしょう？
E_C19_July_Maria01_5,......
E_C19_July_Maria01_6,それにしても気になりますね…どうして直接お祝いしようとしないんです？
E_C19_July_Maria01_7,私は聖竜オリカーナを喰らった邪竜だ。
E_C19_July_Maria01_8,あの方の誕生をお祝いする資格などない。
E_C19_July_Maria01_9,ふふふ…あなたって、意外と可愛らしいところがあったんですね。
E_C19_July_Maria01_10,フン…うるさい。
E_C19_July_Maria01_11,用事は済んだぞ。対価も支払った、もう行っていい。
E_C19_July_Maria01_12,ふふふ…そんな冷たいこと言わないでください。
E_C19_July_Maria01_13,これからが一番面白いのに…
E_C19_July_Maria01_14,どこに行ってたの？モーラ。探したのよ。
E_C19_July_Maria01_15,申し訳ありません。マリア様に差し上げる贈り物を準備するのに手間取っていました。
E_C19_July_Maria01_16,贈り物ですって？
E_C19_July_Maria01_17,どうか、お受け取りください。
E_C19_July_Maria01_18,うっ…！
E_C19_July_Maria01_19,ちょっと、これは何なの？
E_C19_July_Maria01_20,モーラ、止めなさい！
E_C19_July_Maria01_21,…マリア様…
E_C19_July_Maria01_22,あなたは誰…？
E_C19_July_Maria01_23,私です。オリカーナ…
E_C19_July_Maria01_24,私が宿っているこの者と、
E_C19_July_Maria01_25,あなたの友人の力を少し借りて…
E_C19_July_Maria01_26,わずかですが、時間が生まれました。
E_C19_July_Maria01_27,オリカーナ…
E_C19_July_Maria01_28,お誕生日を心からお祝い申し上げます。
E_C19_July_Maria01_29,このような形ですが、お伝えできて光栄です。
E_C19_July_Maria01_30,…ええ、ありがとう…オリカーナ。
E_C19_July_Maria01_31,でしたら、お笑いになってください。笑顔が見たいのです。
E_C19_July_Maria01_32,私も彼女の中で、あなたを見守っています。
E_C19_July_Maria01_33,あなたが幸せになれる日まで…
E_C19_July_Maria01_34,オリカーナ…！行かないで！
E_C19_July_Maria01_35,あぁ…！
E_C19_July_Maria01_36,あ…あなたは…
E_C19_July_Maria01_37,うぅ…
E_C19_July_Maria01_38,頭が割れそうだ。マリア様は…
E_C19_July_Maria01_39,マリア様、大丈夫ですか？
E_C19_July_Maria01_40,…その…贈り物はお気に召しましたか？
E_C19_July_Maria01_41,......
E_C19_July_Maria01_42,…マリア様？
E_C19_July_Maria01_43,モーラ。
E_C19_July_Maria01_44,あなたの贈り物が気に入らなかったとは言わないわ。
E_C19_July_Maria01_45,…久しぶりに、あの子と話すことができたから。つかの間だったけど…幸せだったわ。
E_C19_July_Maria01_46,マリア様…！
E_C19_July_Maria01_47,でもね。
E_C19_July_Maria01_48,あまりにも危険すぎるわ！あなたの中にいるオリカーナの意識を強引に引き出したのね？
E_C19_July_Maria01_49,誰がそんな方法を勧めたのかは目に見えてるけど…
E_C19_July_Maria01_50,ヘタをすればあなたの意識が崩壊するところだったのよ！そんな危険な真似をするなんて…！
E_C19_July_Maria01_51,も、申し訳ありません！！
E_C19_July_Maria01_52,私よりも、オリカーナのほうがあなたの特別な日にふさわしいと思ったのです。
E_C19_July_Maria01_53,私の不覚でした。申し訳ありません、マリア様。
E_C19_July_Maria01_54,…あなたでもいいのよ。
E_C19_July_Maria01_55,はっ？
E_C19_July_Maria01_56,あなたがしてくれてもいいって言ったの。贈り物も、お祝いの言葉も。
E_C19_July_Maria01_57,今、私の側にいるのはあなただもの。あの子じゃなくてね。
E_C19_July_Maria01_58,マリア様…
E_C19_July_Maria01_59,だから、これからはこんな危険な真似はしないように。いいわね？
E_C19_July_Maria01_60,…あなたが苦しむ姿なんて、見たくないの。
E_C19_July_Maria01_61,…はっ。肝に銘じておきます。それから…
E_C19_July_Maria01_62,心からお祝い申し上げます、マリア様！
E_C19_Jul_Ophelia01_01,エスカー、どこに行ったんでしょうか…
E_C19_Jul_Ophelia01_02,みんな公演の準備で忙しいのに、またどこかへ行っちゃいましたね！
E_C19_Jul_Ophelia01_03,ここだよ、オペリア。
E_C19_Jul_Ophelia01_04,…！エスカー！
E_C19_Jul_Ophelia01_05,ロニアンから俺を探すように言われたのか？
E_C19_Jul_Ophelia01_06,エスカーがいないと練習にならないから、
E_C19_Jul_Ophelia01_07,早く戻ってこいって言ってましたよ！
E_C19_Jul_Ophelia01_08,分かった、分かった。こっちについてこいよ。
E_C19_Jul_Ophelia01_09,えっ？早く戻ってって言ってるんですよ！
E_C19_Jul_Ophelia01_10,もう～！
E_C19_Jul_Ophelia01_11,ふぅ…どこまで行くんですか？
E_C19_Jul_Ophelia01_12,劇団からかなり離れちゃいましたけど。戻る道は分かってるんですよね？
E_C19_Jul_Ophelia01_13,ちょっと待ってろ。
E_C19_Jul_Ophelia01_14,お、いたぞ。
E_C19_Jul_Ophelia01_15,こんな場所まで何をしに来たんですか…
E_C19_Jul_Ophelia01_16,えっ…
E_C19_Jul_Ophelia01_17,あれ、ゴーレムじゃないですか！
E_C19_Jul_Ophelia01_18,まだこっちに気づいてないみたいだし、こっそり戻りましょう…
E_C19_Jul_Ophelia01_19,ん？あいつのためにここまで来たんだぞ。
E_C19_Jul_Ophelia01_20,あのゴーレムですか？どうして？
E_C19_Jul_Ophelia01_21,エスカー…またいたずらをするつもりじゃ…
E_C19_Jul_Ophelia01_22,ハハ、大したことじゃないさ。
E_C19_Jul_Ophelia01_23,あいつを倒したらいいモンをやるからさ。
E_C19_Jul_Ophelia01_24,頑張れよ。
E_C19_Jul_Ophelia01_25,エ…エスカー！？私を1人にしないでください！
E_C19_Jul_Ophelia01_26,…
E_C19_Jul_Ophelia01_27,こ…こんにちは…ゴーレムさん…？
E_C19_Jul_Ophelia01_28,エスカーはあなたを倒せって言ってたけど…
E_C19_Jul_Ophelia01_29,私はあなたにそんなことするつもりは…
E_C19_Jul_Ophelia01_30,キャーッ！
E_C19_Jul_Ophelia01_31,ピ★※ガ？＠！ビビ…￥
E_C19_Jul_Ophelia01_32,落ち着いてください！ゴーレムさん！
E_C19_Jul_Ophelia01_33,エスカー！！！！
E_C19_Jul_Ophelia01_34,ヒドいです～～～！！
E_C19_Jul_Ophelia01_35,カルタ、ヴェレキア！
E_C19_Jul_Ophelia01_36,ピ＠？ガ…※！
E_C19_Jul_Ophelia01_37,ふぅ…ごめんなさい、ゴーレムさん…
E_C19_Jul_Ophelia01_38,おぉー、また腕が上がったな。
E_C19_Jul_Ophelia01_39,そろそろ劇団から独立しても心配なさそうだ。
E_C19_Jul_Ophelia01_40,エスカー！まったくなんて冗談を…
E_C19_Jul_Ophelia01_41,待て。それは後で聞くよ。
E_C19_Jul_Ophelia01_42,必要なものは手に入れたし、行こう。
E_C19_Jul_Ophelia01_43,今度はどこに行くんですか～！もう！
E_C19_Jul_Ophelia01_44,よし、これをここにつなげれば…
E_C19_Jul_Ophelia01_45,できたぞ。
E_C19_Jul_Ophelia01_46,誕生日おめでとう、オペリア。
E_C19_Jul_Ophelia01_47,移動しながら毎回テントを張り直すのも面倒だったろ？
E_C19_Jul_Ophelia01_48,だから、この機会にお前専用の馬車を準備してみたよ。
E_C19_Jul_Ophelia01_49,エスカー…
E_C19_Jul_Ophelia01_50,ん？感動しすぎて言葉も出ないのか？
E_C19_Jul_Ophelia01_51,危ないじゃないですかっ！！
E_C19_Jul_Ophelia01_52,1人で置いてけぼりにされて、怖かったんですから！
E_C19_Jul_Ophelia01_53,びっくりしたか？実はあのゴーレムもイリュージョンなんだ。
E_C19_Jul_Ophelia01_54,本物は俺が先に手を打っておい…
E_C19_Jul_Ophelia01_55,1人でゴーレムの相手をしたんですか？どうしてそんな危ないことを！
E_C19_Jul_Ophelia01_56,落ち着いてくれよ、オペリア、な？
E_C19_Jul_Ophelia01_57,それに私は、独立よりも劇団のみんなと一緒にいるほうがいいんです！
E_C19_Jul_Ophelia01_58,はは…また嫌われちまったな…
E_C19_Jul_Ophelia01_59,エスカー、大嫌い！！！
E_C19_Jul_Crow01_01,…
E_C19_Jul_Crow01_02,ッ！セ…センパイ！
E_C19_Jul_Crow01_03,あっ、おじさん！今日は何の日か知っ…
E_C19_Jul_Crow01_04,痛いわね、この雑犬が！
E_C19_Jul_Crow01_05,(静かにしろって、このバカ…！)
E_C19_Jul_Crow01_06,(センパイに知られたら、ムダなことを、って嘆かれるぞ！)
E_C19_Jul_Crow01_07,キャハハ！どうせ雑犬のアンタだけが干されるだけでしょ～？
E_C19_Jul_Crow01_08,(このイカれ女、俺のことを雑犬だと！)
E_C19_Jul_Crow01_09,ゴホン…
E_C19_Jul_Crow01_10,あは、あははは…
E_C19_Jul_Crow01_11,なに！？ベルキノス！全身が凝って死にそうだって？
E_C19_Jul_Crow01_12,そっかぁー！なら今すぐ楽しくぶっ放してこないとなぁ！
E_C19_Jul_Crow01_13,(あの恥知らずめ！！)
E_C19_Jul_Crow01_14,…
E_C19_Jul_Crow01_15,えへへ…へへ…
E_C19_Jul_Crow01_16,ああっ、私もペットにエサをあげなきゃー！
E_C19_Jul_Crow01_17,ほ～ら、ご飯の時間よ～
E_C19_Jul_Crow01_18,…
E_C19_Jul_Crow01_19,この…！
E_C19_Jul_Crow01_20,義理のかけらもない雑犬がっ！！
E_C19_Jul_Crow01_21,義理も何も、俺たちゃそんな仲じゃねぇだろ！？
E_C19_Jul_Crow01_22,チッ！何も言い返せないから余計ムカつく！死ね！
E_C19_Jul_Crow01_23,テメェこそな！
E_C19_Jul_Crow01_24,アンタが先に言い出したんだから、おじさんのバースデーケーキの材料は
E_C19_Jul_Crow01_25,アンタがぜ～んぶ用意しなさいね？私は手を出さないから！
E_C19_Jul_Crow01_26,言われなくても、もう全部用意したんだよマヌケ！
