KEY,"ChineseTraditional"
E_C19_August_Phillop01_01,"生日快樂！菲洛普！"
E_C19_August_Phillop01_02,"生日快樂。哈哈。"
E_C19_August_Phillop01_03,"謝謝啦～！野蠻人朋友們！"
E_C19_August_Phillop01_04,"又是怎麼知道我喜歡喝酒的啊，哈哈！"
E_C19_August_Phillop01_05,"矮人之王是個蓋世酒豪的傳聞誰不知道啊。"
E_C19_August_Phillop01_06,"若不是我這野蠻人，哪有人能跟得上矮人族的酒量啊！"
E_C19_August_Phillop01_07,"作為生日禮物我來請客，你就別客氣了！"
E_C19_August_Phillop01_08,"我以前也賺了不少錢啊。"
E_C19_August_Phillop01_09,"可別小看我菲洛普啊！"
E_C19_August_Phillop01_10,"如果喝光你的財產我也不管哦？哈哈哈"
E_C19_August_Phillop01_drink1,"1杯"
E_C19_August_Phillop01_drink2,"5杯"
E_C19_August_Phillop01_drink3,"13杯"
E_C19_August_Phillop01_11,"從特利那丘陵的那一邊，惡龍部隊第35回合攻過來了！！！"
E_C19_August_Phillop01_12,"我用這斧頭！！！將他們的頭殼擊碎啊！！"
E_C19_August_Phillop01_13,"愚蠢的傢伙們，落荒而逃的樣子真是可笑！！哈哈哈！！"
E_C19_August_Phillop01_14,"剛才不是說第28回合是最後一次了嗎？"
E_C19_August_Phillop01_15,"呵呵呵，應該是你聽錯了吧！第35回合才是最後啦！"
E_C19_August_Phillop01_16,"嗯…傳聞中的酒豪，看來都是自己編出來的吧。"
E_C19_August_Phillop01_17,"可是我獲得了如此輝煌的勝利！！"
E_C19_August_Phillop01_18,"我的女兒們居然嫌我的汗臭味要我離遠一點啊！！！"
E_C19_August_Phillop01_19,"怎能這樣對待爸爸呢！！嗚嗚嗚！！"
E_C19_August_Phillop01_20,"高爾，我們要不回去吧？"
E_C19_August_Phillop01_21,"看來不能再喝下去了。"
E_C19_August_Phillop01_22,"可…可是他哭成這樣…如果留他獨自…"
E_C19_August_Phillop01_23,"等等！！！！！"
E_C19_August_Phillop01_24,"嚇我一跳！"
E_C19_August_Phillop01_25,"我還有重要的沒說呢！！"
E_C19_August_Phillop01_26,"這是個天大的秘密，得偷偷地說。"
E_C19_August_Phillop01_27,"你們務必要保守秘密。"
E_C19_August_Phillop01_29,"從特利那丘陵的那一邊，惡龍部隊第41回合攻過來了…"
E_C19_August_Phillop01_30,"朱諾，這裡要買單。"
E_C19_August_Phillop01_31,"他喝醉了，麻煩帶他回房。"
E_C19_August_Phillop01_32,"哎呦～～菲洛普！又喝這麼多久啊？"
E_C19_August_Phillop01_33,"趕緊醒醒，該回祖國去啊～！！"
E_C19_August_Phillop01_34,"沒錯，該處理的事情太多是該回去啊。嗝！"
E_C19_August_Phillop01_35,"身為一國之王真是苦啊！！"
E_C19_August_Phillop01_36,"該顧慮的事情太多了！嗚嗚嗚！！"
E_C19_August_Phillop01_37,"我下輩子要是可以選，我絕對不會當王的。嗝！"
E_C19_August_Phillop01_38,"下輩子的話…！！"
E_C19_August_Phillop01_39,"對了，我很會唱歌啊！！"
E_C19_August_Phillop01_40,"歌手！！！要成為矮人族最棒的歌手！！！"
E_C19_August_Phillop01_41,"哎呦，知道了，知道了。"
E_C19_August_Phillop01_42,"朱諾！這裡再來一盤牛排！"
E_C19_August_Phillop01_43,"好～馬上就上菜～！"
E_C19_August_Phillop01_44,"唉唷，請稍等一下。先別碰酒瓶！"
E_C19_August_Phillop01_45,"擊敗敵人～～～高唱吧～矮人族的驕傲～～！！♬"
E_C19_August_Phillop01_46,"受夠了～～～～！"
E_C19_August_Phillop01_47,"吵死了，真是的！"
E_C19_August_Phillop01_48,"這死老頭子，從100年前到現在的曲目根本一模一樣啊？！"
