KEY,"Russian"
E_C19_August_Phillop01_01,"C днём рождения! Филлоп!"
E_C19_August_Phillop01_02,"С днём рождения. Ха-ха!"
E_C19_August_Phillop01_03,"Благодарю! Друзья варвары!"
E_C19_August_Phillop01_04,"Но как вы узнали, что я люблю бывать в тавернах? Ха-ха!"
E_C19_August_Phillop01_05,"Ходят слухи, что король дворфов тот ещё пьяница."
E_C19_August_Phillop01_06,"Кто ещё, если не варвары, сможет посоревноваться в количестве выпитого спиртного с великими дворфами!"
E_C19_August_Phillop01_07,"В качестве подарка я оплачу всю выпивку, так что пейте вдоволь!"
E_C19_August_Phillop01_08,"Ранее, я заработала довольно много денег."
E_C19_August_Phillop01_09,"Не недооценивай меня!"
E_C19_August_Phillop01_10,"Останешься на мели, я не виноват. Ха-ха-ха!"
E_C19_August_Phillop01_drink1,"1й стакан"
E_C19_August_Phillop01_drink2,"5й стакан"
E_C19_August_Phillop01_drink3,"13й стакан"
E_C19_August_Phillop01_11,"Когда из-за холмов надвигался 35й заход армии дракониксов!!! "
E_C19_August_Phillop01_12,"Размахивая этим топором!!! Я крушил черепа!!"
E_C19_August_Phillop01_13,"Глупцы убегали от растерянности, это так смешно!! Ха-ха-ха!!"
E_C19_August_Phillop01_14,"Разве Вы только что не говорили, что 28й заход был последним?"
E_C19_August_Phillop01_15,"Ха-ха-ха, наверняка ты неправильно расслышал! Последним был 35й заход!"
E_C19_August_Phillop01_16,"Хм... Видимо Филлоп сам и пустил слухи о том, что он пьяница."
E_C19_August_Phillop01_17,"Но я же вернулся со столь великой победой!!"
E_C19_August_Phillop01_18,"А дочери мне сказали, что от меня пахнет и прогнали прочь!!!"
E_C19_August_Phillop01_19,"Сказать такое отцу!! Хнык-хнык..."
E_C19_August_Phillop01_20,"Гау, может уже пойдём?"
E_C19_August_Phillop01_21,"Кажется не стоит больше пить."
E_C19_August_Phillop01_22,"Но... Но он ведь так плачет... Оставить его одного..."
E_C19_August_Phillop01_23,"Погодите!!!!!!!"
E_C19_August_Phillop01_24,"(Испугались)"
E_C19_August_Phillop01_25,"Мне надо поделиться с вами кое-чем очень важным!!"
E_C19_August_Phillop01_26,"Это строжайший секрет, поэтому никто не должен нас услышать."
E_C19_August_Phillop01_27,"Об этом только вы должны знать. "
E_C19_August_Phillop01_29,"Когда из-за холмов надвигался 41й заход армии дракониксов,"
E_C19_August_Phillop01_30,"Джуно, можно счёт, пожалуйста."
E_C19_August_Phillop01_31,"Он слишком пьян, прошу, проведите его в комнату."
E_C19_August_Phillop01_32,"Ох~~ Филлоп! Опять Вы так напились?"
E_C19_August_Phillop01_33,"Вставайте, приходите в себя, Вам пора отправляться домой~!!"
E_C19_August_Phillop01_34,"И вправду, ведь нужно разрешить целую гору дел по возвращению. (Икнул)"
E_C19_August_Phillop01_35,"Быть королём целой страны очень утомительное дело!!"
E_C19_August_Phillop01_36,"Ведь нужно постоянно о многом думать! Хнык-хнык..."
E_C19_August_Phillop01_37,"В следующей жизни, ни в коем случае не стану королём! (Икнул)"
E_C19_August_Phillop01_38,"В следующей жизни!.."
E_C19_August_Phillop01_39,"А я же хорошо пою!!"
E_C19_August_Phillop01_40,"Певец!!! Стану лучшим дворфом-певцом!!"
E_C19_August_Phillop01_41,"Эх... Поняла, поняла."
E_C19_August_Phillop01_42,"Джуно! Нам ещё один стейк!"
E_C19_August_Phillop01_43,"Да~ Уже иду!~"
E_C19_August_Phillop01_44,"Эх, подождите немножко. Не смейте притрагиваться к алкоголю!"
E_C19_August_Phillop01_45,"Разбивай врагов~~~ Высоко-высоко~ Гордость дворфов!~~♬"
E_C19_August_Phillop01_46,"Ну и ну!~~~"
E_C19_August_Phillop01_47,"Здесь шумно до смерти!"
E_C19_August_Phillop01_48,"Что сейчас, что 100 лет назад, репертуар того старика не меняется?! "
E_C19_August_Phillop01_49,"Как напьётся, так начинает петь свои песни!"
E_C19_August_Phillop01_50,"Хо... Что это за высококачественный алкоголь!!"
E_C19_August_Phillop01_51,"Ух... Ничего себе!!! Ха-ха!!!"
E_C19_August_Phillop01_52,"Оу"
E_C19_August_Phillop01_53,"Я лучший мужчина среди дворфов - Филлоп!"
E_C19_August_Phillop01_54,"Безумный дракон и Дракониксы - моя еда!"
E_C19_August_Phillop01_55,"Кому бы я не противостоял "
E_C19_August_Phillop01_56,"Моя голова ещё крепче!!!"
E_C19_August_Phillop01_57,"Моя голова ещё крепче....."
E_C19_August_Phillop01_58,"Вставайте!!"
E_C19_August_Phillop01_59,"Эх.. Что же Вам там снится..."
E_C19_August_Phillop01_60,"zZZ..."
E_C19_August_Cleo01_01,"Вчерашняя ночь"
E_C19_August_Cleo01_02,"Рой! Какое сегодня число?"
E_C19_August_Cleo01_03,"Сама посмотри. До каких пор, ты думаешь, я должен тебе всё напоминать?!"
E_C19_August_Cleo01_04,"Сегодня 30... Нет, 31!"
E_C19_August_Cleo01_05,"Хм~ Точно?~ Правда?~ Поняла!"
E_C19_August_Cleo01_06,"... Я сказал ей проверить «самой», а она так и не проверила..."
E_C19_August_Cleo01_07,"Кассель, Фрэй. У вас есть минутка?"
E_C19_August_Cleo01_08,"В чем дело?"
E_C19_August_Cleo01_09,"У меня есть к вам просьба."
E_C19_August_Cleo01_10,"Следующий день"
E_C19_August_Cleo01_11,"Фрэй~ Сегодня же~ "
E_C19_August_Cleo01_12,"Сегодня~ Какой же сегодня день?~ "
E_C19_August_Cleo01_13,"Сегодня?! Даже не знаю~... Я и вправду не знаю!"
E_C19_August_Cleo01_14,"Точно. Нужно собрать немного дров в лесу!"
E_C19_August_Cleo01_15,"Хе-хе-хе~ Фрэй как всегда не умеет врать~"
E_C19_August_Cleo01_16,"В любом случае, все так суетятся~"
E_C19_August_Cleo01_17,"Могли бы и простенько поздравить. А они внезапную вечеринку решили устроить~"
E_C19_August_Cleo01_18,"Ну такую вечеринку ведь и заслуживает великий архимаг. "
E_C19_August_Cleo01_19,"А, Клео."
E_C19_August_Cleo01_20,"Кассель! Что это позади тебя?"
E_C19_August_Cleo01_21,"С... Слизь! Хотим сделать пудинг из слизи!!"
E_C19_August_Cleo01_22,"Фрэй!! Я принёс слизь!!"
E_C19_August_Cleo01_23,"(Лёгкая насмешка) Они такие милые!"
E_C19_August_Cleo01_24,"Все так старательно готовят мне подарок~"
E_C19_August_Cleo01_25,"Сделаю вид, что ничего не замечаю и пойду прогуляюсь!"
E_C19_August_Cleo01_26,"(Что?..)"
E_C19_August_Cleo01_27,"Ребята! Я пришла!~"
E_C19_August_Cleo01_28,"Вернулись? Вы поужинали?"
E_C19_August_Cleo01_29,"Мы хотели позвать, однако Вас нигде не было видно... Поэтому мы поели первыми."
E_C19_August_Cleo01_30,"Что!?!?"
E_C19_August_Cleo01_31,"Клео, мы отложили Вашу порцию, обязательно покушайте!"
E_C19_August_Cleo01_32,"Погодите! Вы уже поели?!"
E_C19_August_Cleo01_33,"А вечеринка??"
E_C19_August_Cleo01_34,"Вечеринка? А в честь чего?.."
E_C19_August_Cleo01_35,"Да конечно же в честь моего!!.."
E_C19_August_Cleo01_36,"(Так ведь?.. Не может быть, чтобы Фрэй покушала без меня?!)"
E_C19_August_Cleo01_37,"(Аха! Хочет обмануть меня, сказав, что покушала вперёд?)"
E_C19_August_Cleo01_38,"Всё нормально, Фрэй. Я уже покушала!"
E_C19_August_Cleo01_39,"А да? Тогда я всё уберу."
E_C19_August_Cleo01_40,"Ага!!"
E_C19_August_Cleo01_41,"(Надо будет сделать удивлённый вид, ведь они же так стараются?)"
E_C19_August_Cleo01_42,"(Когда же они начнут? Сейчас?)"
E_C19_August_Cleo01_43,"... (А может сейчас?!)"
E_C19_August_Cleo01_44,"... (Вот сейчас?!)"
E_C19_August_Cleo01_45,"(Хм?.. Скоро ведь полночь?)"
E_C19_August_Cleo01_46,"(Неужели все забыли, что сегодня мой день рождения?..)"
E_C19_August_Cleo01_47,"(Но ведь Рой то знает?.. Все ведь знают про мой день рождения...)"
E_C19_August_Cleo01_48,"..."
E_C19_August_Cleo01_49,"Уф... Друзья называются..."
E_C19_August_Cleo01_50,"Им и без меня весь день было хорошо..."
E_C19_August_Cleo01_51,"В итоге... Никому нет дела до моего дня рождения..."
E_C19_August_Cleo01_52,"С днём рождения, Клео!!!"
E_C19_August_Cleo01_53,"Как... Что..."
E_C19_August_Cleo01_54,"Клео... Вы в слезах?"
