KEY,Spanish
E_C19_August_Phillop01_01,¡Feliz cumpleaños! ¡Phillop!
E_C19_August_Phillop01_02,¡Feliz cumpleaños! Jaja.
E_C19_August_Phillop01_03,¡Graaacias! ¡Mis amigos bárbaros!
E_C19_August_Phillop01_04,¿Cómo supieron que disfruto beber? ¡Jojo!
E_C19_August_Phillop01_05,El rumor que dice que el rey de los enanos es un gran bebedor es bien conocido. 
E_C19_August_Phillop01_06,¡Quienes si no los bárbaros serán capaces de resistir ese aguante tan famoso de los enanos!
E_C19_August_Phillop01_07,"¡Estoy pagando por esto como regalo de cumpleaños, así que bebe a tu gusto!"
E_C19_August_Phillop01_08,Hace poco gané montones de dinero.
E_C19_August_Phillop01_09,¡No subestimes al gran Phillop!
E_C19_August_Phillop01_10,¡No vaya a ser que termines sin dinero! Jojojo.
E_C19_August_Phillop01_drink1,1º Copa
E_C19_August_Phillop01_drink2,5º Copa
E_C19_August_Phillop01_drink3,13º Copa
E_C19_August_Phillop01_11,"¡¡¡Una tropa de Draconics venía del otro lado de las Colinas Trina por 35º vez,"
E_C19_August_Phillop01_12,yo tomé mi hacha... y partí sus cabezas!!!
E_C19_August_Phillop01_13,¡¡Fue de lo más divertido verlos huir con la cola entre las patas después de llevarse el susto de sus vidas!! ¡¡¡Jojojo!!!
E_C19_August_Phillop01_14,¿Qué no dijo antes que la 28º vez había sido la última?
E_C19_August_Phillop01_15,Jojojo. ¡Has escuchado mal mi amigo! ¡La 35º vez fue la última!
E_C19_August_Phillop01_16,Umm... Parece que el rumor de que era un gran bebedor no era más que su opinión.
E_C19_August_Phillop01_17,"¡¡Pero después de regresar de mi gran victoria,"
E_C19_August_Phillop01_18,mis hijas me dijeron que olía a sudor y que me alejara!!
E_C19_August_Phillop01_19,¡¡¿Cómo han podido decirle eso a su padre?!! ¡¡Waaaaa!!
E_C19_August_Phillop01_20,"Gau, ¿deberíamos regresar ahora?"
E_C19_August_Phillop01_21,No creo que deba de beber más.
E_C19_August_Phillop01_22,Pe... pero no podemos dejarlo aquí... cuando está llorando...
E_C19_August_Phillop01_23,¡¡¡ESPEREN!!!
E_C19_August_Phillop01_24,¡¿Esperen?!
E_C19_August_Phillop01_25,¡¡Aún tengo algo importante que decir!!
E_C19_August_Phillop01_26,Esto es un secreto tremendo así que hablaré con discreción.
E_C19_August_Phillop01_27,No deben decirle a nadie bajo ninguna circunstancia.
E_C19_August_Phillop01_29,Una tropa de Draconics venía del otro lado de las Colinas Trina por 41º vez...
E_C19_August_Phillop01_30,"Juno, la cuenta por favor."
E_C19_August_Phillop01_31,"Ha bebido demasiado, por favor asegúrate de que vaya a su cuarto."
E_C19_August_Phillop01_32,¡Vaaaya! ¡Phillop! ¿Volvió a beber así?
E_C19_August_Phillop01_33,¡¡Por favor reaccione ya y regrese a su país!!
E_C19_August_Phillop01_34,"Buena idea, tengo que regresar y lidiar con una montaña de que haceres. ¡Hic!"
E_C19_August_Phillop01_35,¡¡Esto de ser rey de una nación es realmente desgastante!!
E_C19_August_Phillop01_36,¡¡Tengo tanto en que pensar!! ¡¡Waaaaa!!
E_C19_August_Phillop01_37,Si vuelvo a nacer nunca tomaré nuevamente el puesto de rey. ¡Hic!
E_C19_August_Phillop01_38,¡¡Si vuelvo a nacer...!!
E_C19_August_Phillop01_39,¡Eso es! ¡Tengo una buena voz!
E_C19_August_Phillop01_40,¡¡Cantante!! ¡¡Seré el mejor cantante de los enanos!!
E_C19_August_Phillop01_41,"Muy bien, muy bien. Ya entendí."
E_C19_August_Phillop01_42,¡Juno! ¡Otro bistec por aquí por favor!
E_C19_August_Phillop01_43,¡A la orden! 
E_C19_August_Phillop01_44,"Fiu, por favor espere un segundo. ¡Y no se atreva a poner un dedo en la bebida!"
E_C19_August_Phillop01_45,"♬¡¡Acaba con los enemigos, sube más alto, el orgullo de los enanos!!♬"
E_C19_August_Phillop01_46,¡Agh!
E_C19_August_Phillop01_47,¡De verdad que eres ruidoso!
E_C19_August_Phillop01_48,"Abuelo, ¡tu repertorio sigue siendo el mismo de hace 100 años!"
E_C19_August_Phillop01_49,¡Tomate esto y ve a cantar todo lo que quieras en tus sueños!
E_C19_August_Phillop01_50,Wojoo... ¡¿Qué es este alcohol tan fino?!
E_C19_August_Phillop01_51,Pff... ¡¡Está para morirse de bueno!! ¡¡Jojojo!!
E_C19_August_Phillop01_52,Hou
E_C19_August_Phillop01_53,¡Yo Phillop el mejor hombre de los enanos!
