KEY,English
MONTHLYHERO_FREY_BIRTHDAY_TITLE,- Silent Morning -
MONTHLYHERO_TANYA_BIRTHDAY_TITLE,"- On the Hunt, As Usual -"
MONTHLYHERO_LOMAN_BIRTHDAY_TITLE,- No Issues to Report -
MONTHLYHERO_PRISCILLA_BIRTHDAY_TITLE,- Cute Woman (?) -
MONTHLYHERO_DEMIA_BIRTHDAY_TITLE,- Boss's Birthday -
MONTHLYHERO_LEWISIA_BIRTHDAY_TITLE,- A Night of Red Light -
MONTHLYHERO_SONIA_BIRTHDAY_TITLE,- Hide and Seek With Mirianne! -
MONTHLYHERO_VERONICA_BIRTHDAY_TITLE,- An Unexpected Rest -
MONTHLYHERO_KAULAH_BIRTHDAY_TITLE,- Kaulah in Wonderland -
MONTHLYHERO_YURIA_BIRTHDAY_TITLE,- The Queen's Visit -
MONTHLYHERO_ARTEMIA_BIRTHDAY_TITLE,- Time for Dessert -
MONTHLYHERO_LEO_BIRTHDAY_TITLE,"- No Overdues, Please -"
MONTHLYHERO_CASSANDRA_BIRTHDAY_TITLE,- You Are Invited -
MONTHLYHERO_ROI_BIRTHDAY_TITLE,- One Lucky Day -
MONTHLYHERO_MEDIANA_BIRTHDAY_TITLE,- Experiment Party -
MONTHLYHERO_MORRAH_BIRTHDAY_TITLE,- Draconic Commander's Recollection -
MONTHLYHERO_THEO_BIRTHDAY_TITLE,- The Maker -
MONTHLYHERO_ANNETTE_BIRTHDAY_TITLE,- A Happy Gift -
MONTHLYHERO_JANE_BIRTHDAY_TITLE,- Forgotten Dream of Pure White -
MONTHLYHERO_GLENWYS_BIRTHDAY_TITLE,- Knights of the Empire -
MONTHLYHERO_LAKRAK_BIRTHDAY_TITLE,- Gunpowder 4 Life -
MONTHLYHERO_LUCIAS_BIRTHDAY_TITLE,- Saint's Agony -
MONTHLYHERO_LORRAINE_BIRTHDAY_TITLE,- All Gathered for the Sage -
MONTHLYHERO_LAVRIL_BIRTHDAY_TITLE,- Very First Birthday -
MONTHLYHERO_KARA_BIRTHDAY_TITLE,- Surprise! -
MONTHLYHERO_MIRURU_BIRTHDAY_TITLE,- Celebration From the Pirates -
MONTHLYHERO_SHAMILLA_BIRTHDAY_TITLE,- For One's Purpose -
MONTHLYHERO_EZEKIEL_BIRTHDAY_TITLE,- One Who Tries to Be a Maker -
MONTHLYHERO_FLUSS_BIRTHDAY_TITLE,- Urgent Call! -
MONTHLYHERO_DIMAEL_BIRTHDAY_TITLE,- Feelings Conveyed -
MONTHLYHERO_SHEA_BIRTHDAY_TITLE,- I-I'm Ready -
MONTHLYHERO_NICKY_BIRTHDAY_TITLE,- A League of Their Own -
MONTHLYHERO_YANNE_BIRTHDAY_TITLE,- Cook for the Day -
MONTHLYHERO_FREY_BIRTHDAY_DESC,It's been several years since Frey has gone missing every morning on her birthday. Where could she be going in secret?
MONTHLYHERO_TANYA_BIRTHDAY_DESC,"Neglecting her duties as an assassin, Tanya is chasing after Roi. Suddenly, a memory of a birthday she spent with Roi suddenly flashes through her mind.."
MONTHLYHERO_LOMAN_BIRTHDAY_DESC,"It's Loman's birthday, but he is on duty just like any other day. A group of people plans to celebrate his birthday."
MONTHLYHERO_PRISCILLA_BIRTHDAY_DESC,"Aisha, a royal VVIP, visits May's shop with Priscilla! What is it that she asked May to make?"
MONTHLYHERO_DEMIA_BIRTHDAY_DESC,"Demia wants to have a quiet birthday, but the Captain of the Guardian Knights deserves a real celebration."
MONTHLYHERO_LEWISIA_BIRTHDAY_DESC,It's a night with a full moon. A small but great meeting takes place in a cozy lakeside.
MONTHLYHERO_SONIA_BIRTHDAY_DESC,"Mirianne has been missing since morning, and Sonia is doing everything to find her! Uncover Mirianne's secret!"
MONTHLYHERO_VERONICA_BIRTHDAY_DESC,"It's her birthday, but Veronica is just as busy as any other day. Will a helping hand reach out to her?"
MONTHLYHERO_KAULAH_BIRTHDAY_DESC,Kaulah is enjoying his birthday in a warm southern island. What would happen to him on his peaceful day off?
MONTHLYHERO_YURIA_BIRTHDAY_DESC,"Yuria came back home after traveling for a long time, but there's something going on in her room."
MONTHLYHERO_ARTEMIA_BIRTHDAY_DESC,Artemia is invited to Hero's Inn on her birthday. Who could it be that's secretly waiting for her?
MONTHLYHERO_LEO_BIRTHDAY_DESC,Leo is left alone on his birthday. Will a visitor save Leo from his loneliness?
MONTHLYHERO_CASSANDRA_BIRTHDAY_DESC,"Cassandra is the owner of Goldbar, the biggest bar in the Empire. How does she celebrate her birthday?"
MONTHLYHERO_ROI_BIRTHDAY_DESC,"Roi has had strange incidents on every birthday. What's it going to be this year? Will weird things happen this year, too?"
MONTHLYHERO_MEDIANA_BIRTHDAY_DESC,"Mediana is doing experiments all day every day, but she finds a new opportunity on this year's birthday."
MONTHLYHERO_MORRAH_BIRTHDAY_DESC,The past and the present. Morrah is agonizing over what she was and what she has become.
MONTHLYHERO_THEO_BIRTHDAY_DESC,"Someone asked Theo when his birthday was, and he replies that it was that very day."
MONTHLYHERO_ANNETTE_BIRTHDAY_DESC,"Annette wakes up from her sleep on her birthday, and someone familiar comes knocking her door."
MONTHLYHERO_JANE_BIRTHDAY_DESC,Once upon a time...
MONTHLYHERO_GLENWYS_BIRTHDAY_DESC,"Glenwys goes to a restaurant that she always likes to visit. There, she meets..."
MONTHLYHERO_LAKRAK_BIRTHDAY_DESC,"Roi prepares a surprise event for Lakrak's birthday. However, Lakrak condemns Roi as blasphemous for his misuse of gunpowder."
MONTHLYHERO_LUCIAS_BIRTHDAY_DESC,"Lucias is granted a day off on his birthday, but he has reasons for not being able to relax yet."
MONTHLYHERO_LORRAINE_BIRTHDAY_DESC,"There's a birthday party for the sage, Lorraine. Dryads and Treants are gathered to celebrate her birthday with Selene. Then, another party joins the celebration."
MONTHLYHERO_LAVRIL_BIRTHDAY_DESC,Lavril found out about the concept of birthdays. But Lavril's birthday is...
MONTHLYHERO_KARA_BIRTHDAY_DESC,Android Kara is learning about the human mind and emotions. What special project did Annette prepare for Kara's birthday?
MONTHLYHERO_MIRURU_BIRTHDAY_DESC,"It's the long-waited birthday of the Captain! The Miruru Pirates gave Miruru the gift they prepared, and..."
MONTHLYHERO_SHAMILLA_BIRTHDAY_DESC,"The Demon of curses is lurking in the shadows, watching for an opportunity. Then, she asks an unexpected person for help."
MONTHLYHERO_EZEKIEL_BIRTHDAY_DESC,Crème brûlée in the midst of the desert? Really?
MONTHLYHERO_FLUSS_BIRTHDAY_DESC,"A new day dawns in Windland Snow Mountain, and big shots in the Empire gather in answer to some unknown request. The host of this meeting was no other than Fluss!"
MONTHLYHERO_DIMAEL_BIRTHDAY_DESC,Dimael dreams about the men he worked with when he was dispatched to the desert. Epigael wakes him and worries what he was dreaming about.
MONTHLYHERO_SHEA_BIRTHDAY_DESC,"Shea has always been too shy to perform in front of a crowd. And this year, she decides to do some street performing in the plaza to mark her 16th birthday."
MONTHLYHERO_NICKY_BIRTHDAY_DESC,"In the dead of night, what is happening in the Arena underground?"
MONTHLYHERO_YANNE_BIRTHDAY_DESC,"For her birthday, Yanne decides to show people her culinary talent. She presents delicacies made with gourmet ingredients that she obtained from the hunt."
MONTHLYHERO_SERIA_BIRTHDAY_TITLE,- Nightmare -
MONTHLYHERO_ERZE_BIRTHDAY_TITLE,- Bloody Cake -
MONTHLYHERO_OPHELIA_BIRTHDAY_TITLE,- Treasure in the Forest -
MONTHLYHERO_CROW_BIRTHDAY_TITLE,- Hell's Kitchen -
MONTHLYHERO_LAIAS_BIRTHDAY_TITLE,~ The 2nd War of the Shrine of Flow ~
MONTHLYHERO_SELENE_BIRTHDAY_TITLE,- A Short Break -
MONTHLYHERO_MARIA_BIRTHDAY_TITLE,- Double Celebration -
MONTHLYHERO_ZAFIR_BIRTHDAY_TITLE,- A Gift from Hoabis -
MONTHLYHERO_SERIA_BIRTHDAY_DESC,"Seria was lost in memories, and her sister comes to celebrate her birthday."
MONTHLYHERO_ERZE_BIRTHDAY_DESC,"Erze receives sweet blood as a present, but she never satisfies."
MONTHLYHERO_OPHELIA_BIRTHDAY_DESC,Ophelia is heading to the mystical forest with Esker. Where is Esker taking her with such an impish smile?
MONTHLYHERO_CROW_BIRTHDAY_DESC,Mitra and Pansirone are trying to bake a birthday cake for Crow's birthday. Will they be able to make the cake without any trouble?
MONTHLYHERO_LAIAS_BIRTHDAY_DESC,Lilia and Neraxis form an alliance for Laias's birthday. What will happen this year?
MONTHLYHERO_SELENE_BIRTHDAY_DESC,"The denizens of the forest gather to celebrate the Princess's birthday, and an unexpected guest comes to join them."
MONTHLYHERO_MARIA_BIRTHDAY_DESC,"Morrah prepares a small birthday present for Maria. However, Maria gets angry at Morrah after receiving the present."
MONTHLYHERO_ZAFIR_BIRTHDAY_DESC,Hoabis prepared something for Zafir's birthday on the day they arrived at Orvel!
MONTHLYHERO_CLEO_BIRTHDAY_TITLE,- Time Spent Together Now Is the Greatest Gift -
MONTHLYHERO_PHILLOP_BIRTHDAY_TITLE,- A Strange Day -
MONTHLYHERO_LUNA_BIRTHDAY_TITLE,- Legend of the Snowfield -
MONTHLYHERO_EPIS_BIRTHDAY_TITLE,- I Want to Return the Favor -
MONTHLYHERO_CECILIA_BIRTHDAY_TITLE,- No Rest for the Wicked -
MONTHLYHERO_RICARDO_BIRTHDAY_TITLE,- Good Bye Retirement -
MONTHLYHERO_DOSARTA_BIRTHDAY_TITLE,- Anyone Is a Welcomed Guest -
MONTHLYHERO_GLADI_BIRTHDAY_TITLE,- Welcome to the Arena Shop! -
MONTHLYHERO_CLEO_BIRTHDAY_DESC,"Cleo is looking forward to a birthday party prepared by Kasel and the others. She even gives them time for preparations, but what awaits her is..."
MONTHLYHERO_PHILLOP_BIRTHDAY_DESC,"Yanne and Gau prepare a special drinking party for Phillop's birthday. But as the party goes on, he becomes a bit strange..."
MONTHLYHERO_LUNA_BIRTHDAY_DESC,"Yanne, Juno, and May secretly set out to find a birthday gift for Luna. However, the path to finding the legendary carrot is a perilous one..."
MONTHLYHERO_EPIS_BIRTHDAY_DESC,"Epis heads out to enjoy her birthday. After seeing her off, Jane prepares to go somewhere..."
MONTHLYHERO_CECILIA_BIRTHDAY_DESC,Cecilia is patrolling the town even on her birthday...
MONTHLYHERO_RICARDO_BIRTHDAY_DESC,"Since it's his 71st birthday, Ricardo pulls out his retirement letter. However, what awaits him is..."
MONTHLYHERO_DOSARTA_BIRTHDAY_DESC,"An unexpected guest appears before a lonely Dosarta, who has been waiting for Selene. Dosarta eagerly crafts an Artifact for him, but..."
MONTHLYHERO_GLADI_BIRTHDAY_DESC,Another peaceful day at the Arena Shop... or is it? A sudden trial confronts the laid-back Gladi!
MONTHLYHERO_ARCH_BIRTHDAY_TITLE,- We Welcome You -
MONTHLYHERO_SCARLET_BIRTHDAY_TITLE,- A Drowned Heart -
MONTHLYHERO_ARCH_BIRTHDAY_DESC,"Arch never considered his birthday as anything special, but one boy congratulates his birthday for the first time. A heartwarming story about Arch's memory with the boy."
MONTHLYHERO_SCARLET_BIRTHDAY_DESC,"Scarlet officially becomes an adult this birthday. Seeing their princess wandering gloomily for most of the day, Chase and Clause come up with a brilliant gift..."
MONTHLYHERO_GAU_BIRTHDAY_TITLE,- Deserves to Be Celebrated -
MONTHLYHERO_GAU_BIRTHDAY_DESC,"It is Gau's birthday, but he doesn't seem all that happy. To cheer him up, Gau's friends proceed to prepare a surprise party."
MONTHLYHERO_CHRISHA_BIRTHDAY_TITLE,- Why Not Enjoy it Like a Holiday?! -
MONTHLYHERO_CHRISHA_BIRTHDAY_DESC,"Glenwys and Fluss visit Chrisha to celebrate her birthday. However, what they witness is Chrisha on her duty as usual..."
MONTHLYHERO_BAUDOUIN_BIRTHDAY_TITLE,- A Story to Remember -
MONTHLYHERO_BAUDOUIN_BIRTHDAY_DESC,"Baudouin, the most infamous ruffian priest in all of Church of Lua, visits a quiet place while holding off his dose of alcohol for the day."
MONTHLYHERO_LILIA_BIRTHDAY_TITLE,- A Fine Day to the Daughter of Water -
MONTHLYHERO_LILIA_BIRTHDAY_DESC,"Lilia waited so long for her birthday to come, and it's finally here. On that very day, an unexpected gift arrives at the doorstep of delighted Lilia."
MONTHLYHERO_NYX_BIRTHDAY_TITLE,- There's Plenty of Time! -
MONTHLYHERO_NYX_BIRTHDAY_DESC,"Rephy and Oddy decide to prepare a special birthday for Nyx, who does not seem to care much about his birthday."
MONTHLYHERO_ASELICA_BIRTHDAY_TITLE,- The Day the Angel Awakened -
MONTHLYHERO_ASELICA_BIRTHDAY_DESC,"Even her birthday could not stop Aselica from training. However, while taking a break, Aselica reminisces about her past as she hears a familiar song."
MONTHLYHERO_CLAUSE_BIRTHDAY_TITLE,- You Guys Are the Best -
MONTHLYHERO_CLAUSE_BIRTHDAY_DESC,"On Clause's birthday, Kasel and Frey try to congratulate him but they fail every time since Clause is too busy. Meanwhile, Clause reminisces about the present Kasel and Frey gave him a long time ago..."
MONTHLYHERO_KASEL_BIRTHDAY_TITLE,- The Best Birthday Ever -
MONTHLYHERO_KASEL_BIRTHDAY_DESC,"Near the end of their journey, Frey and Kasel reminisce about Kasel's past birthday. Frey discusses with the others about Kasel, who suddenly is burdened with being the Warrior of the Holy Sword. Then, Roi suggests something..."
MONTHLYHERO_MIRIANNE_BIRTHDAY_TITLE,"- Memories, Presents, and Restoration -"
MONTHLYHERO_MIRIANNE_BIRTHDAY_DESC,"Mirianne celebrates her birthday on the road with Sonia. She is reminded of old memories, and is gifted with new ones."
MONTHLYHERO_LAUDIA_BIRTHDAY_TITLE,- The Old Stories of the Desert -
MONTHLYHERO_LAUDIA_BIRTHDAY_DESC,"Laudia plans to quietly spend her birthday this year like always. She visits her secret base full of fond memories, but an unexpected guest visits her."
MONTHLYHERO_NERAXIS_BIRTHDAY_TITLE,- A Great Day to the Black Lightning -
MONTHLYHERO_NERAXIS_BIRTHDAY_DESC,"It's the morning of his birthday, but Neraxis seems to be in a foul mood. Someone brings a rather extraordinary gift to celebrate his birthday."
MONTHLYHERO_REPHY_BIRTHDAY_TITLE,- Celebrating Birthday All Together -
MONTHLYHERO_REPHY_BIRTHDAY_DESC,"Rephy passes out from exhaustion while guiding the corrupted spirits of the Plains of Galluah. While his consciousness drifts away, his dear family, the chief of Tamia visits to encourage him."
