KEY,"English"
MONTHLYHERO_FREY_BIRTHDAY_TITLE,"Frey - Silent Morning -"
MONTHLYHERO_TANYA_BIRTHDAY_TITLE,"Tanya - On the Hunt, As Usual -"
MONTHLYHERO_LOMAN_BIRTHDAY_TITLE,"Loman - No Issues to Report -"
MONTHLYHERO_PRISCILLA_BIRTHDAY_TITLE,"Priscilla - Cute Woman (?) -"
MONTHLYHERO_DEMIA_BIRTHDAY_TITLE,"Demia - Boss's Birthday -"
MONTHLYHERO_LEWISIA_BIRTHDAY_TITLE,"Lewisia - A Night of Red Light -"
MONTHLYHERO_SONIA_BIRTHDAY_TITLE,"Sonia - Hide and Seek with Mirianne! -"
MONTHLYHERO_VERONICA_BIRTHDAY_TITLE,"Veronica - An Unexpected Rest -"
MONTHLYHERO_KAULAH_BIRTHDAY_TITLE,"Kaulah - Kaulah in Wonderland -"
MONTHLYHERO_YURIA_BIRTHDAY_TITLE,"Yuria - Queen's Visit -"
MONTHLYHERO_ARTEMIA_BIRTHDAY_TITLE,"Artemia - Time for Dessert -"
MONTHLYHERO_LEO_BIRTHDAY_TITLE,"Leo - No Overdues, Please -"
MONTHLYHERO_CASSANDRA_BIRTHDAY_TITLE,"Cassandra - You Are Invited -"
MONTHLYHERO_ROI_BIRTHDAY_TITLE,"Roi - One Lucky Day -"
MONTHLYHERO_MEDIANA_BIRTHDAY_TITLE,"Mediana - Experiment Party -"
MONTHLYHERO_MORRAH_BIRTHDAY_TITLE,"Morrah - Draconic Commander's Recollection -"
MONTHLYHERO_THEO_BIRTHDAY_TITLE,"Theo - The Maker -"
MONTHLYHERO_ANNETTE_BIRTHDAY_TITLE,"Annette - A Happy Gift -"
MONTHLYHERO_JANE_BIRTHDAY_TITLE,"Jane - Forgotten Dream of Pure White -"
MONTHLYHERO_GLENWYS_BIRTHDAY_TITLE,"Glenwys - Knights of the Empire -"
MONTHLYHERO_LAKRAK_BIRTHDAY_TITLE,"Lakrak - Gunpowder 4 Life -"
MONTHLYHERO_LUCIAS_BIRTHDAY_TITLE,"Lucias - Saint's Agony -"
MONTHLYHERO_LORRAINE_BIRTHDAY_TITLE,"Lorraine - All Gathered for the Sage -"
MONTHLYHERO_LAVRIL_BIRTHDAY_TITLE,"Lavril - Very First Birthday -"
MONTHLYHERO_KARA_BIRTHDAY_TITLE,"Kara - Surprise! -"
MONTHLYHERO_MIRURU_BIRTHDAY_TITLE,"Miruru - Celebration from the Pirates -"
MONTHLYHERO_SHAMILLA_BIRTHDAY_TITLE,"Shamilla - For One's Purpose-"
MONTHLYHERO_EZEKIEL_BIRTHDAY_TITLE,"Ezekiel - One Who Tries to Be a Maker -"
MONTHLYHERO_FLUSS_BIRTHDAY_TITLE,"Fluss - Urgent Call! -"
MONTHLYHERO_DIMAEL_BIRTHDAY_TITLE,"Dimael - Feelings Conveyed -"
MONTHLYHERO_SHEA_BIRTHDAY_TITLE,"Shea - I-I'm Ready -"
MONTHLYHERO_NICKY_BIRTHDAY_TITLE,"Nicky - A League of Their Own -"
MONTHLYHERO_YANNE_BIRTHDAY_TITLE,"Yanne - Cook for the Day -"
MONTHLYHERO_FREY_BIRTHDAY_DESC,"It's been several years since Frey has gone missing every morning on her birthday. Where could she be going in secret?"
MONTHLYHERO_TANYA_BIRTHDAY_DESC,"Neglecting her duties as an assassin, Tanya is chasing after Roi. Suddenly, a memory of a birthday she spent with Roi suddenly flashes through her mind.."
MONTHLYHERO_LOMAN_BIRTHDAY_DESC,"It's Loman's birthday, but he is on duty just like any other day. A group of people plans to celebrate his birthday."
MONTHLYHERO_PRISCILLA_BIRTHDAY_DESC,"Aisha, a royal VVIP, visits May's shop with Priscilla! What is it that she asked May to make?"
MONTHLYHERO_DEMIA_BIRTHDAY_DESC,"Demia wants to have a quiet birthday, but the Captain of the Guardian Knights deserves a real celebration."
MONTHLYHERO_LEWISIA_BIRTHDAY_DESC,"It's a night with a full moon. A small but great meeting takes place in a cozy lakeside."
MONTHLYHERO_SONIA_BIRTHDAY_DESC,"Mirianne has been missing since morning, and Sonia is doing everything to find her! Uncover Mirianne's secret!"
MONTHLYHERO_VERONICA_BIRTHDAY_DESC,"It's her birthday, but Veronica is just as busy as any other day. Will a helping hand reach out to her?"
MONTHLYHERO_KAULAH_BIRTHDAY_DESC,"Kaulah is enjoying his birthday in a warm southern island. What would happen to him on his peaceful day off?"
MONTHLYHERO_YURIA_BIRTHDAY_DESC,"Yuria came back home after traveling for a long time, but there's something going on in her room."
MONTHLYHERO_ARTEMIA_BIRTHDAY_DESC,"Artemia is invited to Hero's Inn on her birthday. Who could it be that's secretly waiting for her?"
MONTHLYHERO_LEO_BIRTHDAY_DESC,"Leo is left alone on his birthday. Will a visitor save Leo from his loneliness?"
MONTHLYHERO_CASSANDRA_BIRTHDAY_DESC,"Cassandra is the owner of Goldbar, the biggest bar in the Empire. How does she celebrate her birthday?"
MONTHLYHERO_ROI_BIRTHDAY_DESC,"Roi has had strange incidents on every birthday. What's it going to be this year? Will weird things happen this year, too?"
MONTHLYHERO_MEDIANA_BIRTHDAY_DESC,"Mediana is doing experiments all day every day, but she finds a new opportunity on this year's birthday."
MONTHLYHERO_MORRAH_BIRTHDAY_DESC,"The past and the present. Morrah is agonizing over what she was and what she has become."
MONTHLYHERO_THEO_BIRTHDAY_DESC,"Someone asked Theo when his birthday was, and he replies that it was that very day."
MONTHLYHERO_ANNETTE_BIRTHDAY_DESC,"Annette wakes up from her sleep on her birthday, and someone familiar comes knocking her door."
MONTHLYHERO_JANE_BIRTHDAY_DESC,"Once upon a time..."
MONTHLYHERO_GLENWYS_BIRTHDAY_DESC,"Glenwys goes to a restaurant that she always likes to visit. There, she meets..."
MONTHLYHERO_LAKRAK_BIRTHDAY_DESC,"Roi prepares a surprise event for Lakrak's birthday. However, Lakrak condemns Roi as blasphemous for his misuse of gunpowder."
MONTHLYHERO_LUCIAS_BIRTHDAY_DESC,"Lucias is granted a day off on his birthday, but he has reasons for not being able to relax yet."
MONTHLYHERO_LORRAINE_BIRTHDAY_DESC,"There's a birthday party for the sage, Lorraine. Dryads and Treants are gathered to celebrate her birthday with Selene. Then, another party joins the celebration."
MONTHLYHERO_LAVRIL_BIRTHDAY_DESC,"Lavril found out about the concept of birthdays. But Lavril's birthday is..."
MONTHLYHERO_KARA_BIRTHDAY_DESC,"Android Kara is learning about the human mind and emotions. What special project did Annette prepare for Kara's birthday?"
MONTHLYHERO_MIRURU_BIRTHDAY_DESC,"It's the long-waited birthday of the Captain! The Miruru Pirates gave Miruru the gift they prepared, and..."
MONTHLYHERO_SHAMILLA_BIRTHDAY_DESC,"The Demon of curses is lurking in the shadows, watching for an opportunity. Then, she asks an unexpected person for help."
MONTHLYHERO_EZEKIEL_BIRTHDAY_DESC,"Creme brûlee in the midst of the desert? Really?"
MONTHLYHERO_FLUSS_BIRTHDAY_DESC,"A new day dawns in Windland Snow Mountain, and big shots in the Empire gather in answer to some unknown request. The host of this meeting was no other than Fluss!"
MONTHLYHERO_DIMAEL_BIRTHDAY_DESC,"Dimael dreams about the men he worked with when he was dispatched to the desert. Epigael wakes him and worries what he was dreaming about."
