KEY,French
MONTHLYHERO_FREY_BIRTHDAY_TITLE,- Matin paisible -
MONTHLYHERO_TANYA_BIRTHDAY_TITLE,- Toujours en quête -
MONTHLYHERO_LOMAN_BIRTHDAY_TITLE,- Rien à signaler -
MONTHLYHERO_PRISCILLA_BIRTHDAY_TITLE,- Charmante demoiselle (?) -
MONTHLYHERO_DEMIA_BIRTHDAY_TITLE,- L'anniversaire du capitaine -
MONTHLYHERO_LEWISIA_BIRTHDAY_TITLE,- Une nuit teintée de lueur rouge -
MONTHLYHERO_SONIA_BIRTHDAY_TITLE,- Cache-cache avec Mirianne ! -
MONTHLYHERO_VERONICA_BIRTHDAY_TITLE,- Un repos inattendu -
MONTHLYHERO_KAULAH_BIRTHDAY_TITLE,- Kaulah au pays des merveilles -
MONTHLYHERO_YURIA_BIRTHDAY_TITLE,- Visite de la reine -
MONTHLYHERO_ARTEMIA_BIRTHDAY_TITLE,- L'heure du dessert -
MONTHLYHERO_LEO_BIRTHDAY_TITLE,- Pas de retard SVP -
MONTHLYHERO_CASSANDRA_BIRTHDAY_TITLE,- Je vous invite -
MONTHLYHERO_ROI_BIRTHDAY_TITLE,- Jour de chance -
MONTHLYHERO_MEDIANA_BIRTHDAY_TITLE,- Festival des expériences -
MONTHLYHERO_MORRAH_BIRTHDAY_TITLE,- Souvenir du commandant draconic -
MONTHLYHERO_THEO_BIRTHDAY_TITLE,- Celui qui crée -
MONTHLYHERO_ANNETTE_BIRTHDAY_TITLE,- Joyeux cadeau -
MONTHLYHERO_JANE_BIRTHDAY_TITLE,- Rêve oublié d'une blancheur immaculée -
MONTHLYHERO_GLENWYS_BIRTHDAY_TITLE,- Chevaliers de l'Empire -
MONTHLYHERO_LAKRAK_BIRTHDAY_TITLE,"- J'♥ la poudre à canon, plus que tout -"
MONTHLYHERO_LUCIAS_BIRTHDAY_TITLE,- Tourment d'un saint -
MONTHLYHERO_LORRAINE_BIRTHDAY_TITLE,- Tous ensemble pour la savante -
MONTHLYHERO_LAVRIL_BIRTHDAY_TITLE,- Premier anniversaire -
MONTHLYHERO_KARA_BIRTHDAY_TITLE,- Surprise ! -
MONTHLYHERO_MIRURU_BIRTHDAY_TITLE,- Fête d'anniversaire entre pirates -
MONTHLYHERO_SHAMILLA_BIRTHDAY_TITLE,- Pour l'objectif ultime -
MONTHLYHERO_EZEKIEL_BIRTHDAY_TITLE,- Celui qui veut cuisiner -
MONTHLYHERO_FLUSS_BIRTHDAY_TITLE,- Appel urgent ! -
MONTHLYHERO_DIMAEL_BIRTHDAY_TITLE,- Transmission de sentiments -
MONTHLYHERO_SHEA_BIRTHDAY_TITLE,- J-Je suis prête -
MONTHLYHERO_NICKY_BIRTHDAY_TITLE,- Une ligue personnelle -
MONTHLYHERO_YANNE_BIRTHDAY_TITLE,- Le chef du jour -
