KEY,German
MONTHLYHERO_FREY_BIRTHDAY_TITLE,Morgenstille
MONTHLYHERO_TANYA_BIRTHDAY_TITLE,"Treibjagd, wie immer"
MONTHLYHERO_LOMAN_BIRTHDAY_TITLE,Nichts Bedeutsames zu berichten
MONTHLYHERO_PRISCILLA_BIRTHDAY_TITLE,Schöne Frau (?)
MONTHLYHERO_DEMIA_BIRTHDAY_TITLE,Der Boss hat Geburtstag
MONTHLYHERO_LEWISIA_BIRTHDAY_TITLE,Eine Nacht roten Lichts
MONTHLYHERO_SONIA_BIRTHDAY_TITLE,Versteckspiel mit Mirianne!
MONTHLYHERO_VERONICA_BIRTHDAY_TITLE,Unerwartete Rast
MONTHLYHERO_KAULAH_BIRTHDAY_TITLE,Kaulah im Wunderland
MONTHLYHERO_YURIA_BIRTHDAY_TITLE,Besuch der Königin
MONTHLYHERO_ARTEMIA_BIRTHDAY_TITLE,Zeit für das Dessert
MONTHLYHERO_LEO_BIRTHDAY_TITLE,"Keine Überfälligkeiten, bitte"
MONTHLYHERO_CASSANDRA_BIRTHDAY_TITLE,Du bist eingeladen
MONTHLYHERO_ROI_BIRTHDAY_TITLE,Ein Glückstag
MONTHLYHERO_MEDIANA_BIRTHDAY_TITLE,Partyexperiment
MONTHLYHERO_MORRAH_BIRTHDAY_TITLE,Erinnerung der drakonischen Kommandantin
MONTHLYHERO_THEO_BIRTHDAY_TITLE,Der Schöpfer
MONTHLYHERO_ANNETTE_BIRTHDAY_TITLE,Ein fröhliches Geschenk
MONTHLYHERO_JANE_BIRTHDAY_TITLE,Vergessener Traum von reinem Weiß
MONTHLYHERO_GLENWYS_BIRTHDAY_TITLE,Ritter des Kaiserreichs
MONTHLYHERO_LAKRAK_BIRTHDAY_TITLE,Schießpulver fürs Leben
MONTHLYHERO_LUCIAS_BIRTHDAY_TITLE,Qual des Heiligen
MONTHLYHERO_LORRAINE_BIRTHDAY_TITLE,Gemeinsam für den Weisen
MONTHLYHERO_LAVRIL_BIRTHDAY_TITLE,Allererster Geburtstag
MONTHLYHERO_KARA_BIRTHDAY_TITLE,Überraschung!
MONTHLYHERO_MIRURU_BIRTHDAY_TITLE,Piraten-Feierstunde
MONTHLYHERO_SHAMILLA_BIRTHDAY_TITLE,Zielorientiert
MONTHLYHERO_EZEKIEL_BIRTHDAY_TITLE,Er möchte ein Schöpfer sein
MONTHLYHERO_FLUSS_BIRTHDAY_TITLE,Dringender Ruf!
MONTHLYHERO_DIMAEL_BIRTHDAY_TITLE,Vermittelte Gefühle
MONTHLYHERO_SHEA_BIRTHDAY_TITLE,I-Ich bin bereit
MONTHLYHERO_NICKY_BIRTHDAY_TITLE,Eine Liga für sich
MONTHLYHERO_YANNE_BIRTHDAY_TITLE,Koch für einen Tag
MONTHLYHERO_FREY_BIRTHDAY_DESC,"Frey wird jeden Morgen an ihrem Geburtstag vermisst, und sie macht das schon seit Jahren. Was treibt sie nur?"
MONTHLYHERO_TANYA_BIRTHDAY_DESC,"Tanya jagt Roi hinterher und vernachlässigt ihre Pflichten als Assassine. Eine Erinnerung an einen Geburtstag, den sie mit ihm verbracht hat, blitzt plötzlich durch ihren Kopf."
MONTHLYHERO_LOMAN_BIRTHDAY_DESC,"Es ist Lomans Geburtstag, und er schiebt Dienst, genau wie an jedem anderen Tag. Eine Gruppe von Leuten plant seine Geburtstagsparty."
MONTHLYHERO_PRISCILLA_BIRTHDAY_DESC,"Aisha, eine königliche VVIP, besucht Mais Geschäft gemeinsam mit Priscilla! Was ist es, worum sie May gebeten hat?"
MONTHLYHERO_DEMIA_BIRTHDAY_DESC,"Demia will einen ruhigen Geburtstag haben, aber der Kapitän der Wächterritter verdient eine echte Feier."
MONTHLYHERO_LEWISIA_BIRTHDAY_DESC,"Es ist eine Vollmondnacht am Seeufer, und es findet ein kleines, aber feines Treffen statt."
MONTHLYHERO_SONIA_BIRTHDAY_DESC,"Mirianne wird seit dem Morgen vermisst, und Sonia tut alles, um sie zu finden! Entdecke Miriannes Geheimnis!"
MONTHLYHERO_VERONICA_BIRTHDAY_DESC,"Es ist ihr Geburtstag, aber Veronica ist genauso beschäftigt wie an jedem anderen Tag. Wird man ihr eine helfende Hand reichen?"
MONTHLYHERO_KAULAH_BIRTHDAY_DESC,Kaulah genießt seinen Geburtstag auf einer warmen Südseeinsel. Was würde mit ihm an seinem friedlichen freien Tag passieren?
MONTHLYHERO_YURIA_BIRTHDAY_DESC,"Yuria kam nach langer Zeit nach Hause zurück, und in ihrem Zimmer ist etwas los."
MONTHLYHERO_ARTEMIA_BIRTHDAY_DESC,"Artemia ist an ihrem Geburtstag in die Helden-Schenke eingeladen. Wer könnte es sein, der heimlich auf sie wartet?"
MONTHLYHERO_LEO_BIRTHDAY_DESC,Leo wurde an seinem Geburtstag alleingelassen. Wird ein Besucher ihn vor seiner Frustration bewahren?
MONTHLYHERO_CASSANDRA_BIRTHDAY_DESC,"Cassandra ist die Besitzerin der Goldbar, der größten Bar des Imperiums. Wie feiert sie ihren Geburtstag?"
MONTHLYHERO_ROI_BIRTHDAY_DESC,Roi hatte an jedem Geburtstag seltsame Vorfälle. Was wird es dieses Jahr sein? Werden auch in diesem Jahr seltsame Dinge passieren?
MONTHLYHERO_MEDIANA_BIRTHDAY_DESC,"Mediana führt täglich und den ganzen Tag über Experimente durch. Ist es eine neue Gelegenheit, die sich ihr an ihrem diesjährigen Geburtstag eröffnet?"
MONTHLYHERO_MORRAH_BIRTHDAY_DESC,"Die Vergangenheit und die Gegenwart. Morrah quält sich wegen dem, was sie war und was sie geworden ist."
MONTHLYHERO_THEO_BIRTHDAY_DESC,"Jemand fragte Theo, wann sein Geburtstag war, und er antwortet, dass es eben dieser Tag war."
MONTHLYHERO_ANNETTE_BIRTHDAY_DESC,"Annette erwacht an ihrem Geburtstag aus dem Schlaf, und jemand Vertrautes klopft an ihre Tür."
MONTHLYHERO_JANE_BIRTHDAY_DESC,Es war einmal ...
MONTHLYHERO_GLENWYS_BIRTHDAY_DESC,"Glenwys geht in ein Restaurant, das sie immer gerne besucht. Dort trifft sie ..."
MONTHLYHERO_LAKRAK_BIRTHDAY_DESC,Roi bereitet eine Überraschungsaktion für Lakraks Geburtstag vor. Lakrak kritisiert Roi jedoch für seinen Missbrauch von Schießpulver.
MONTHLYHERO_LUCIAS_BIRTHDAY_DESC,"Lucias erhält an seinem Geburtstag einen freien Tag, aber er hat seinen Grund, warum er sich noch nicht erholen kann."
MONTHLYHERO_LORRAINE_BIRTHDAY_DESC,"Es gibt eine Geburtstagsfeier für die Weise, Lorraine. Dryaden und Ents sind versammelt, um ihren Geburtstag mit Selene zu feiern. Doch es gibt noch eine andere Gruppe, die an der Feier teilnehmen möchte."
MONTHLYHERO_LAVRIL_BIRTHDAY_DESC,Lavril hat sich über das Konzept der Geburtstage informiert. Aber Lavrils Geburtstag ist ...
MONTHLYHERO_KARA_BIRTHDAY_DESC,Androidin Kara lernt etwas über den menschlichen Geist und Emotionen. Was hat Annette für Karas Geburtstag vorbereitet?
MONTHLYHERO_MIRURU_BIRTHDAY_DESC,"Es ist der lang erwartete Geburtstag der Kapitänin! Die Miruru-Piraten gaben Miruru das Geschenk, das sie vorbereitet hatten, und ..."
MONTHLYHERO_SHAMILLA_BIRTHDAY_DESC,Die Dämonin der Flüche lauert im Schatten und ist auf der Suche nach einer Gelegenheit. Dann bittet sie eine unerwartete Person um Hilfe.
MONTHLYHERO_EZEKIEL_BIRTHDAY_DESC,"Creme brûlee, mitten in der Wüste? Wirklich?"
MONTHLYHERO_FLUSS_BIRTHDAY_DESC,"Ein neuer Tag beginnt im Windland-Schneegebirge, und die Großen des Imperiums versammeln sich als Antwort auf eine unbekannte Anfrage. Der Gastgeber dieses Treffens war kein Geringerer als Fluss!"
MONTHLYHERO_DIMAEL_BIRTHDAY_DESC,"Dimael träumt von den Männern, mit denen er arbeitete, als er in die Wüste entsandt wurde. Epigael weckt ihn und macht sich Sorgen wegen des Traums."
MONTHLYHERO_SHEA_BIRTHDAY_DESC,"Shea war schon immer zu schüchtern, um vor Publikum aufzutreten. Und in diesem Jahr beschließt sie, anlässlich ihres 16. Geburtstages auf der Plaza eine Straßenaufführung zu geben."
MONTHLYHERO_NICKY_BIRTHDAY_DESC,Was passiert mitten in der Nacht in der Arena unter der Erde?
MONTHLYHERO_YANNE_BIRTHDAY_DESC,"Zu ihrem Geburtstag beschließt Yanne, den Menschen ihr kulinarisches Talent zu demonstrieren. Sie präsentiert Köstlichkeiten aus Gourmet-Zutaten, die sie auf der Jagd erhalten hat."
MONTHLYHERO_SERIA_BIRTHDAY_TITLE,– Albtraum –
MONTHLYHERO_ERZE_BIRTHDAY_TITLE,– Blutiger Kuchen –
MONTHLYHERO_OPHELIA_BIRTHDAY_TITLE,– Schatz im Wald –
MONTHLYHERO_CROW_BIRTHDAY_TITLE,– Teufelsküche –
MONTHLYHERO_LAIAS_BIRTHDAY_TITLE,~ Kampf am Schrein des Flusses Runde 2 ~
MONTHLYHERO_SELENE_BIRTHDAY_TITLE,– Eine kurze Pause –
MONTHLYHERO_MARIA_BIRTHDAY_TITLE,– Doppelter Grund zum Feiern –
MONTHLYHERO_ZAFIR_BIRTHDAY_TITLE,– Ein Geschenk von Hoabis –
MONTHLYHERO_SERIA_BIRTHDAY_DESC,"Seria ist in Gedanken versunken und ihre Schwester erscheint, um ihr zum Geburtstag zu gratulieren."
MONTHLYHERO_ERZE_BIRTHDAY_DESC,"Erze hat süßes Blut als Geschenk erhalten, doch sie ist niemals zufrieden."
MONTHLYHERO_OPHELIA_BIRTHDAY_DESC,Ophelia begibt sich mit Esker zum mystischen Wald. Wohin bringt Esker sie mit diesem schelmischen Lächeln?
MONTHLYHERO_CROW_BIRTHDAY_DESC,"Mitra und Pansirone wollen Crow zu dessen Geburtstag einen Geburtstagskuchen backen. Werden sie es schaffen, den Kuchen ohne Schwierigkeiten hinzubekommen?"
MONTHLYHERO_LAIAS_BIRTHDAY_DESC,Lilia und Neraxis schließen anlässlich Laias Geburtstags ein Bündnis. Was wird in diesem Jahr passieren?
MONTHLYHERO_SELENE_BIRTHDAY_DESC,"Die Bewohner des Waldes versammeln sich, um den Geburtstag der Prinzessin zu feiern. Ein unerwarteter Gast erscheint und gesellt sich dazu."
MONTHLYHERO_MARIA_BIRTHDAY_DESC,"Morrah bereitet ein kleines Geburtstagsgeschenk für Maria vor. Doch nachdem Maria das Geschenk erhält, wird sie wütend auf Morrah."
MONTHLYHERO_ZAFIR_BIRTHDAY_DESC,Hoabis hat bei der Ankunft in Orvel etwas für Zafirs Geburtstag vorbereitet!
MONTHLYHERO_CLEO_BIRTHDAY_TITLE,Freunde sind das beste Geschenk!
MONTHLYHERO_PHILLOP_BIRTHDAY_TITLE,Ein merkwürdiger Tag ...
MONTHLYHERO_LUNA_BIRTHDAY_TITLE,Die Legende des Schneefelds
MONTHLYHERO_EPIS_BIRTHDAY_TITLE,Ich möchte mich bedanken!
MONTHLYHERO_CECILIA_BIRTHDAY_TITLE,Schurken machen keine Ferien!
MONTHLYHERO_RICARDO_BIRTHDAY_TITLE,Ruhestand? Von wegen!
MONTHLYHERO_DOSARTA_BIRTHDAY_TITLE,Ihr seid alle willkommen!
