KEY,Korean
MONTHLYHERO_FREY_BIRTHDAY_TITLE,~ 고요한 아침 ~
MONTHLYHERO_TANYA_BIRTHDAY_TITLE,~ 오늘도 추격 중 ~
MONTHLYHERO_LOMAN_BIRTHDAY_TITLE,~ 근무 중 이상 무 ~
MONTHLYHERO_PRISCILLA_BIRTHDAY_TITLE,~ 귀여운 여인 (?) ~
MONTHLYHERO_DEMIA_BIRTHDAY_TITLE,~ 상사의 생일이란? ~
MONTHLYHERO_LEWISIA_BIRTHDAY_TITLE,~ 붉은 빛의 하룻밤 ~
MONTHLYHERO_SONIA_BIRTHDAY_TITLE,~ 미리안느 잡기! ~
MONTHLYHERO_VERONICA_BIRTHDAY_TITLE,~ 뜻밖의 휴식 ~
MONTHLYHERO_KAULAH_BIRTHDAY_TITLE,~ 이상한 나라의 카울라? ~
MONTHLYHERO_YURIA_BIRTHDAY_TITLE,~ 여왕의 방문 ~
MONTHLYHERO_ARTEMIA_BIRTHDAY_TITLE,~ 디저트 타임 ~
MONTHLYHERO_LEO_BIRTHDAY_TITLE,~ 연체는 안돼요 ~
MONTHLYHERO_CASSANDRA_BIRTHDAY_TITLE,~ 당신을 초대합니다 ~
MONTHLYHERO_ROI_BIRTHDAY_TITLE,~ 운수 좋은 날 ~
MONTHLYHERO_MEDIANA_BIRTHDAY_TITLE,~ 실험 파티 ~
MONTHLYHERO_MORRAH_BIRTHDAY_TITLE,~ 악룡대장군의 회상 ~
MONTHLYHERO_THEO_BIRTHDAY_TITLE,~ 만들어주는 사람 ~
MONTHLYHERO_ANNETTE_BIRTHDAY_TITLE,~ 행복한 선물 ~
MONTHLYHERO_JANE_BIRTHDAY_TITLE,~ 잊혀진 순백의 꿈 ~
MONTHLYHERO_GLENWYS_BIRTHDAY_TITLE,~ 제국의 기사들 ~
MONTHLYHERO_LAKRAK_BIRTHDAY_TITLE,~ 기승전화약 ~
MONTHLYHERO_LUCIAS_BIRTHDAY_TITLE,~ 성자의 고뇌 ~
MONTHLYHERO_LORRAINE_BIRTHDAY_TITLE,"~ 현자님을 위해서, 다 함께 ~"
MONTHLYHERO_LAVRIL_BIRTHDAY_TITLE,~ 처음 맞는 생일 ~
MONTHLYHERO_KARA_BIRTHDAY_TITLE,~ 놀랐지! ~
MONTHLYHERO_MIRURU_BIRTHDAY_TITLE,~ 해적단원들의 생일축하 ~
MONTHLYHERO_SHAMILLA_BIRTHDAY_TITLE,~ 목적을 위해 ~
MONTHLYHERO_EZEKIEL_BIRTHDAY_TITLE,~ 만들어보려는 사람 ~
MONTHLYHERO_FLUSS_BIRTHDAY_TITLE,~ 긴급 호출! ~
MONTHLYHERO_DIMAEL_BIRTHDAY_TITLE,~ 전해진 마음 ~
MONTHLYHERO_SHEA_BIRTHDAY_TITLE,~ 준… 준비됐어요 ~
MONTHLYHERO_NICKY_BIRTHDAY_TITLE,~ 그들만의 리그 ~
MONTHLYHERO_YANNE_BIRTHDAY_TITLE,~ 오늘 하루는 요리사 ~
MONTHLYHERO_FREY_BIRTHDAY_DESC,몇 년 전부터 생일 아침이면 홀연 사라지는 프레이.  그녀가 은밀히 향한 곳은?
MONTHLYHERO_TANYA_BIRTHDAY_DESC,"암살단의 임무를 뒤로 한 채, 독단으로 로이를 추격 중인 타냐. 문득, 과거 로이와 있었던 생일의 기억이 떠오르는데..."
MONTHLYHERO_LOMAN_BIRTHDAY_DESC,생일날도 아무 동요 없이 근무 중인 로만. 그런 로만의 생일을 축하하고 싶은 이들이 있었는데...
MONTHLYHERO_PRISCILLA_BIRTHDAY_DESC,메이의 가게에 최고급 VVIP손님 방문! 프리실라를 대동한 아이샤가 메이에게 주문한 '그것'은?
MONTHLYHERO_DEMIA_BIRTHDAY_DESC,조용한 생일을 보내고 싶은 데미아. 하지만 왕국 수호기사단 대장에게 조용한 생일은 있을 수 없다.
MONTHLYHERO_LEWISIA_BIRTHDAY_DESC,만월의 밤. 아늑한 호숫가에서 이루어지는 작지만 큰 만남의 장이 펼쳐진다.
MONTHLYHERO_SONIA_BIRTHDAY_DESC,아침부터 보이지 않는 미리안느. 그녀를 추적하는 소니아! 미리안느의 음모를 파헤쳐라!
MONTHLYHERO_VERONICA_BIRTHDAY_DESC,일부자 베로니카는 생일날도 변함없이 바쁘다. 그런 베로니카에게 도움의 손길이?
MONTHLYHERO_KAULAH_BIRTHDAY_DESC,따듯한 남쪽 섬에서 생일을 보내는 카울라. 평화롭기만 하던 휴가에 무슨 일이?
MONTHLYHERO_YURIA_BIRTHDAY_DESC,오랜 여행 이후로 고국을 찾아온 유리아. 허나 그녀의 방에는...
MONTHLYHERO_ARTEMIA_BIRTHDAY_DESC,생일날 영웅의 여관으로 초대받은 아르테미아. 비밀리에 그녀를 기다리고 있는 사람은?
MONTHLYHERO_LEO_BIRTHDAY_DESC,왕실 식구들이 자릴 비운 레오의 생일. 홀로 생일을 보낼 생각에 우울한 레오에게 찾아온 손님은?
MONTHLYHERO_CASSANDRA_BIRTHDAY_DESC,제국의 가장 큰 술집 '골드바'의 주인 카산드라. 미스터리한 그녀가 생일을 보내는 방법은?
MONTHLYHERO_ROI_BIRTHDAY_DESC,생일마다 해괴한 사건에 휘말리는 로이. 이번 생일은 과연 무사히 지나갈 수 있을까?
MONTHLYHERO_MEDIANA_BIRTHDAY_DESC,매일이 실험의 계속인 메디아나. 그녀의 생일에 찾아온 새로운 기회는...?!
MONTHLYHERO_MORRAH_BIRTHDAY_DESC,과거와 현재. 너무나도 다른 자신을 돌아보는 모라...
MONTHLYHERO_THEO_BIRTHDAY_DESC,"우연히 나온, 생일이 언제냐는 질문에 테오는 오늘이라고 답하는데..."
MONTHLYHERO_ANNETTE_BIRTHDAY_DESC,생일날 아침 막 잠에서 깬 아네트를 찾아온 익숙한 실루엣은 누구?
MONTHLYHERO_JANE_BIRTHDAY_DESC,옛날 옛적에...
MONTHLYHERO_GLENWYS_BIRTHDAY_DESC,홀로 늘 찾아가던 식당을 찾아간 글렌위스. 거기서 그녀를 기다린 것은...
MONTHLYHERO_LAKRAK_BIRTHDAY_DESC,"라크락의 생일을 축하하기 위해 깜짝 이벤트를 준비한 로이, 하지만 라크락은 화약을 함부로 다룬다며 그를 신성모독이라고 매도하는데..."
MONTHLYHERO_LUCIAS_BIRTHDAY_DESC,생일을 맞이하여 휴식을 권유받은 루시아스. 그러나 그에겐 아직 쉴 수 없는 이유가 있는데...
MONTHLYHERO_LORRAINE_BIRTHDAY_DESC,"현자 로레인을 위해 마련된 생일 잔치. 셀레네와 드라이어드, 트렌트들이 모여서 생일을 축하하고 있었다. 그러나 축하를 하는 건 그들만이 아니었는데..."
MONTHLYHERO_LAVRIL_BIRTHDAY_DESC,생일이란 것의 존재를 알게 된 라브릴. 그런데 라브릴의 생일은...
MONTHLYHERO_KARA_BIRTHDAY_DESC,인간의 감정을 학습 중인 안드로이드 카라. 카라의 생일을 맞아 준비한 아네트의 특급 프로젝트는?
