KEY,Portuguese
MONTHLYHERO_FREY_BIRTHDAY_TITLE,- Manhã silenciosa -
MONTHLYHERO_TANYA_BIRTHDAY_TITLE,- Na caçada hoje também -
MONTHLYHERO_LOMAN_BIRTHDAY_TITLE,- Nada a relatar -
MONTHLYHERO_PRISCILLA_BIRTHDAY_TITLE,- Uma linda mulher (?) -
MONTHLYHERO_DEMIA_BIRTHDAY_TITLE,- Aniversário da capitã? -
MONTHLYHERO_LEWISIA_BIRTHDAY_TITLE,- Uma noite de luzes rubras -
MONTHLYHERO_SONIA_BIRTHDAY_TITLE,- Esconde-esconde com Mirianne! -
MONTHLYHERO_VERONICA_BIRTHDAY_TITLE,- Descanso inesperado -
MONTHLYHERO_KAULAH_BIRTHDAY_TITLE,- Kaulah no País das Maravilhas? -
MONTHLYHERO_YURIA_BIRTHDAY_TITLE,- A visita da rainha -
MONTHLYHERO_ARTEMIA_BIRTHDAY_TITLE,- Hora da sobremesa -
MONTHLYHERO_LEO_BIRTHDAY_TITLE,"- Sem atrasos, por favor -"
MONTHLYHERO_CASSANDRA_BIRTHDAY_TITLE,- Você está convidado -
MONTHLYHERO_ROI_BIRTHDAY_TITLE,- Um dia de sorte -
MONTHLYHERO_MEDIANA_BIRTHDAY_TITLE,- Festa experimental -
MONTHLYHERO_MORRAH_BIRTHDAY_TITLE,- Recordação da comandante draconiana -
MONTHLYHERO_THEO_BIRTHDAY_TITLE,- Um criador -
MONTHLYHERO_ANNETTE_BIRTHDAY_TITLE,- Um presente agradável -
MONTHLYHERO_JANE_BIRTHDAY_TITLE,- Sonho puro agora esquecido -
MONTHLYHERO_GLENWYS_BIRTHDAY_TITLE,- Cavaleiros do Império -
MONTHLYHERO_LAKRAK_BIRTHDAY_TITLE,- Pólvora é tudo -
MONTHLYHERO_LUCIAS_BIRTHDAY_TITLE,- A agonia do santo -
MONTHLYHERO_LORRAINE_BIRTHDAY_TITLE,"- Todos juntos, pela sábia -"
MONTHLYHERO_LAVRIL_BIRTHDAY_TITLE,- O primeiro aniversário -
MONTHLYHERO_KARA_BIRTHDAY_TITLE,- Surpresa! -
MONTHLYHERO_MIRURU_BIRTHDAY_TITLE,- Como os piratas comemoram aniversários -
MONTHLYHERO_SHAMILLA_BIRTHDAY_TITLE,- Objetivos claros -
MONTHLYHERO_EZEKIEL_BIRTHDAY_TITLE,- Aquele que tenta criar -
