KEY,"Portuguese"
MONTHLYHERO_FREY_BIRTHDAY_TITLE,"Frey - Manhã Silenciosa -"
MONTHLYHERO_TANYA_BIRTHDAY_TITLE,"Tanya - Na Caçada, Como Sempre -"
MONTHLYHERO_LOMAN_BIRTHDAY_TITLE,"Loman - Nada de Importante a Relatar -"
MONTHLYHERO_PRISCILLA_BIRTHDAY_TITLE,"Priscilla - Uma Linda Mulher -"
MONTHLYHERO_DEMIA_BIRTHDAY_TITLE,"Demia - Aniversário da Chefe -"
MONTHLYHERO_LEWISIA_BIRTHDAY_TITLE,"Lewisia - Uma Noite de Luzes Rubras -"
MONTHLYHERO_SONIA_BIRTHDAY_TITLE,"Sonia - Esconde-Esconde com Mirianne! -"
MONTHLYHERO_VERONICA_BIRTHDAY_TITLE,"Veronica - Descanso Inesperado -"
MONTHLYHERO_KAULAH_BIRTHDAY_TITLE,"Kaulah - Kaulah no País das Maravilhas -"
MONTHLYHERO_YURIA_BIRTHDAY_TITLE,"Yuria - A Visita da Rainha -"
MONTHLYHERO_ARTEMIA_BIRTHDAY_TITLE,"Artemia - Hora da Sobremesa -"
MONTHLYHERO_LEO_BIRTHDAY_TITLE,"Leo - Sem Atrasos, Por Favor -"
MONTHLYHERO_CASSANDRA_BIRTHDAY_TITLE,"Cassandra - Você Está Convidado -"
MONTHLYHERO_ROI_BIRTHDAY_TITLE,"Roi - Um Dia de Sorte -"
MONTHLYHERO_MEDIANA_BIRTHDAY_TITLE,"Mediana - Festa Experimental -"
MONTHLYHERO_MORRAH_BIRTHDAY_TITLE,"Morrah - Recordação da Comandante Draconiana"
MONTHLYHERO_THEO_BIRTHDAY_TITLE,"Theo - O Criador -"
MONTHLYHERO_ANNETTE_BIRTHDAY_TITLE,"Annette - Um Presente Feliz -"
MONTHLYHERO_JANE_BIRTHDAY_TITLE,"Jane - Sonho Esquecido do Branco Mais Puro -"
MONTHLYHERO_GLENWYS_BIRTHDAY_TITLE,"Glenwys - Cavaleiros do Império -"
MONTHLYHERO_LAKRAK_BIRTHDAY_TITLE,"Lakrak - Pólvora é Vida -"
MONTHLYHERO_LUCIAS_BIRTHDAY_TITLE,"Lucias - A Agonia do Santo -"
MONTHLYHERO_LORRAINE_BIRTHDAY_TITLE,"Lorraine - Juntos pela Sábia -"
MONTHLYHERO_LAVRIL_BIRTHDAY_TITLE,"Lavril - O Primeiro Aniversário de Todos -"
MONTHLYHERO_KARA_BIRTHDAY_TITLE,"Kara - Surpresa! -"
MONTHLYHERO_MIRURU_BIRTHDAY_TITLE,"Miruru - Como os Piratas Comemoram -"
MONTHLYHERO_SHAMILLA_BIRTHDAY_TITLE,"Shamilla - Objetivos Claros -"
MONTHLYHERO_EZEKIEL_BIRTHDAY_TITLE,"Ezekiel - Aquele Que Tenta Ser um Criador -"
MONTHLYHERO_FLUSS_BIRTHDAY_TITLE,"Fluss - Chamado Urgente! -"
MONTHLYHERO_DIMAEL_BIRTHDAY_TITLE,"Dimael - Sentimentos Transmitidos -"
MONTHLYHERO_SHEA_BIRTHDAY_TITLE,"Shea - E-estou Pronta -"
MONTHLYHERO_NICKY_BIRTHDAY_TITLE,"Nicky - Sua Própria Liga -"
MONTHLYHERO_YANNE_BIRTHDAY_TITLE,"Yanne - Cozinheira por um Dia -"
MONTHLYHERO_FREY_BIRTHDAY_DESC,"A Frey sempre desaparece nas manhãs de seu aniversário e já faz isso há anos. O que ela está fazendo em segredo?"
MONTHLYHERO_TANYA_BIRTHDAY_DESC,"Tanya está atrás do Roi, negligenciando suas obrigações como assassina. Uma lembrança de um aniversário que ela passou com Roi, de repente, surge em sua mente."
MONTHLYHERO_LOMAN_BIRTHDAY_DESC,"É o aniversário do Loman e ele está de guarda, como todos os dias. Um grupo de pessoas planeja comemorar seu aniversário."
MONTHLYHERO_PRISCILLA_BIRTHDAY_DESC,"Aisha, membro da realeza, visita a loja da May com Priscilla! O que é que ela pediu para a May fazer?"
MONTHLYHERO_DEMIA_BIRTHDAY_DESC,"Demia quer ter um aniversário tranquilo, mas a Capitã dos Cavaleiros Guardiões merece uma comemoração de verdade."
MONTHLYHERO_LEWISIA_BIRTHDAY_DESC,"É noite de lua cheia nas margens do lago e há uma pequena, porém, ótima reunião acontecendo."
MONTHLYHERO_SONIA_BIRTHDAY_DESC,"Mirianne está desaparecida desde manhã e a Sonia está fazendo o possível para encontrá-la! Descubra o segredo de Mirianne!"
MONTHLYHERO_VERONICA_BIRTHDAY_DESC,"É o aniversário dela, mas a Veronica está muito ocupada, como sempre. Será que ela vai receber uma mãozinha?"
MONTHLYHERO_KAULAH_BIRTHDAY_DESC,"Kaulah está curtindo seu aniversário em uma calorosa ilha sulista. O que poderia ter acontecido com ele nesse dia de folga tão tranquilo?"
MONTHLYHERO_YURIA_BIRTHDAY_DESC,"Yuria voltou para casa após muito tempo viajando e tem alguma coisa acontecendo em seu quarto."
MONTHLYHERO_ARTEMIA_BIRTHDAY_DESC,"Artemia é convidada para a Estalagem do Herói em seu aniversário. Quem será que está esperando secretamente por ela?"
