KEY,Russian
MONTHLYHERO_FREY_BIRTHDAY_TITLE,~ Безмолвное утро ~
MONTHLYHERO_TANYA_BIRTHDAY_TITLE,"~ Как всегда, на охоте ~"
MONTHLYHERO_LOMAN_BIRTHDAY_TITLE,~ На посту все спокойно ~
MONTHLYHERO_PRISCILLA_BIRTHDAY_TITLE,~ Красотка (?) ~
MONTHLYHERO_DEMIA_BIRTHDAY_TITLE,~ День рождения капитана ~
MONTHLYHERO_LEWISIA_BIRTHDAY_TITLE,~ Ночь красного света ~
MONTHLYHERO_SONIA_BIRTHDAY_TITLE,~ Игра в прятки с Мириам! ~
MONTHLYHERO_VERONICA_BIRTHDAY_TITLE,~ Неожиданный отдых ~
MONTHLYHERO_KAULAH_BIRTHDAY_TITLE,~ Каула в Стране чудес ~
MONTHLYHERO_YURIA_BIRTHDAY_TITLE,~ Аудиенция у королевы ~
MONTHLYHERO_ARTEMIA_BIRTHDAY_TITLE,~ Пора подавать десерт ~
MONTHLYHERO_LEO_BIRTHDAY_TITLE,~ Книги нужно сдавать в срок ~
MONTHLYHERO_CASSANDRA_BIRTHDAY_TITLE,~ Загадочное приглашение ~
MONTHLYHERO_ROI_BIRTHDAY_TITLE,~ Удачный день ~
MONTHLYHERO_MEDIANA_BIRTHDAY_TITLE,~ Вечеринка экспериментов ~
MONTHLYHERO_MORRAH_BIRTHDAY_TITLE,~ Воспоминания командира дракониксов ~
MONTHLYHERO_THEO_BIRTHDAY_TITLE,~ Подарок своими руками ~
MONTHLYHERO_ANNETTE_BIRTHDAY_TITLE,~ Подарок счастья ~
MONTHLYHERO_JANE_BIRTHDAY_TITLE,~ Забытый белоснежный сон ~
MONTHLYHERO_GLENWYS_BIRTHDAY_TITLE,~ Имперские рыцари ~
MONTHLYHERO_LAKRAK_BIRTHDAY_TITLE,~ Порох навсегда ~
MONTHLYHERO_LUCIAS_BIRTHDAY_TITLE,~ Муки святого ~
MONTHLYHERO_LORRAINE_BIRTHDAY_TITLE,"~ Ради мудреца, все вместе ~"
MONTHLYHERO_LAVRIL_BIRTHDAY_TITLE,~ Самый первый день рождения ~
MONTHLYHERO_KARA_BIRTHDAY_TITLE,~ Сюрприз! ~
MONTHLYHERO_MIRURU_BIRTHDAY_TITLE,~ Празднование по-пиратски ~
MONTHLYHERO_SHAMILLA_BIRTHDAY_TITLE,~ Ради цели ~
MONTHLYHERO_EZEKIEL_BIRTHDAY_TITLE,~ Попытка не пытка ~
MONTHLYHERO_FLUSS_BIRTHDAY_TITLE,~ Срочный вызов! ~
MONTHLYHERO_DIMAEL_BIRTHDAY_TITLE,~ Откровенный разговор ~
MONTHLYHERO_SHEA_BIRTHDAY_TITLE,~ Волнение перед выступлением ~
MONTHLYHERO_NICKY_BIRTHDAY_TITLE,~ Собственная лига ~
MONTHLYHERO_YANNE_BIRTHDAY_TITLE,~ Повар на день ~
MONTHLYHERO_FREY_BIRTHDAY_DESC,Утром в свой день рождения Фрэй вечно куда-то пропадает. Чем же она занимается втайне от всех?
MONTHLYHERO_TANYA_BIRTHDAY_DESC,"Таня преследует Роя, забывая о своем долге наемной убийцы. Воспоминания о дне рождения, проведенном когда-то с Роем, всплывают в ее памяти."
MONTHLYHERO_LOMAN_BIRTHDAY_DESC,"У Ломана сегодня день рождения, а он все на посту. Как и всегда. Но друзья не бросят и сделают этот день особенным."
MONTHLYHERO_PRISCILLA_BIRTHDAY_DESC,"Аиша, одна из самых привилегированных покупательниц, заглянула в лавку Мэй вместе с Присциллой! О чем же она договорилась с Мэй?"
MONTHLYHERO_DEMIA_BIRTHDAY_DESC,"Дэмия хотела скромно отметить день рождения, но капитан рыцарей-защитников заслуживает настоящего праздника."
MONTHLYHERO_LEWISIA_BIRTHDAY_DESC,"В эту ночь над озером видна полная луна, а на его берегу собралась небольшая, но замечательная компания."
MONTHLYHERO_SONIA_BIRTHDAY_DESC,"Мириам куда-то запропастилась с самого утра, и Соня изо всех сил пытается ее найти! Какой секрет скрывает Мириам?"
MONTHLYHERO_VERONICA_BIRTHDAY_DESC,"У Вероники сегодня день рождения, но у нее, как и всегда, полно дел. Но этот день станет особенным благодаря неожиданной помощи."
MONTHLYHERO_KAULAH_BIRTHDAY_DESC,Свой день рождения Каула проводит в уединении на тропическом острове. Что может пойти не так в этот спокойный день?
MONTHLYHERO_YURIA_BIRTHDAY_DESC,"Юрия возвращается домой после долгого путешествия, и что же она там видит?"
MONTHLYHERO_ARTEMIA_BIRTHDAY_DESC,На свой день рождения Артемиа получила приглашение в Таверну героев. Что за тайная личность ждет ее там?
MONTHLYHERO_LEO_BIRTHDAY_DESC,"Лео остался в библиотеке совсем один. Может, какой-нибудь посетитель скрасит его одиночество в этот особенный день?"
MONTHLYHERO_CASSANDRA_BIRTHDAY_DESC,"Кассандра владеет «Золотым слитком», самой крупной таверной в империи. Интересно, как она отмечает свой день рождения?"
MONTHLYHERO_ROI_BIRTHDAY_DESC,Каждый день рождения Рой попадает в какие-нибудь странные переделки. Что же будет в этом году? Очередное неожиданное приключение?
MONTHLYHERO_MEDIANA_BIRTHDAY_DESC,Медиана вечно проводит какие-то опыты. И день рождения – это не повод расслабляться.
MONTHLYHERO_MORRAH_BIRTHDAY_DESC,"Прошлое и настоящее. Мора с болью думает о том, кем она была и кем стала."
MONTHLYHERO_THEO_BIRTHDAY_DESC,"У Тэо спросили, когда у него день рождения, и выяснилось, что именно сегодня."
MONTHLYHERO_ANNETTE_BIRTHDAY_DESC,Аннет проснулась утром в свой день рождения от чьего-то стука в дверь.
MONTHLYHERO_JANE_BIRTHDAY_DESC,Давным-давно...
MONTHLYHERO_GLENWYS_BIRTHDAY_DESC,"Гленвис отправилась в свой любимый ресторан, и кого же она там встретила..."
MONTHLYHERO_LAKRAK_BIRTHDAY_DESC,"Рой приготовил подарок Лакраку на день рождения, но Лакрак недоволен, что Рой потратил порох на какую-то «ерунду»."
MONTHLYHERO_LUCIAS_BIRTHDAY_DESC,"Люций получил выходной в свой день рождения, но ему пока не до отдыха."
MONTHLYHERO_LORRAINE_BIRTHDAY_DESC,"У мудреца Лорейн сегодня день рождения. Ее пришли поздравить дриады, энты и Селена. Затем к празднованию присоединилась еще одна немалая компания."
MONTHLYHERO_LAVRIL_BIRTHDAY_DESC,Лавриль впервые узнала о днях рождения. Но когда же день рождения у самой Лавриль?..
