KEY,Spanish
MONTHLYHERO_FREY_BIRTHDAY_TITLE,-Mañana Silenciosa-
MONTHLYHERO_TANYA_BIRTHDAY_TITLE,"-En Cacería, Como Siempre-"
MONTHLYHERO_LOMAN_BIRTHDAY_TITLE,-Nada Que Reportar-
MONTHLYHERO_PRISCILLA_BIRTHDAY_TITLE,-Mujer Bonita (?)-
MONTHLYHERO_DEMIA_BIRTHDAY_TITLE,-¿El Cumpleaños de la Capitana?-
MONTHLYHERO_LEWISIA_BIRTHDAY_TITLE,-Una Noche de Luz Roja-
MONTHLYHERO_SONIA_BIRTHDAY_TITLE,-Escondidas con Mirianne-
MONTHLYHERO_VERONICA_BIRTHDAY_TITLE,-Descanso Inesperado-
MONTHLYHERO_KAULAH_BIRTHDAY_TITLE,-Kaulah en el País de las Maravillas-
MONTHLYHERO_YURIA_BIRTHDAY_TITLE,-Visita de la Reina-
MONTHLYHERO_ARTEMIA_BIRTHDAY_TITLE,-Hora del Postre-
MONTHLYHERO_LEO_BIRTHDAY_TITLE,"-Sin Retrasos, Por Favor-"
MONTHLYHERO_CASSANDRA_BIRTHDAY_TITLE,-Estás Invitado-
MONTHLYHERO_ROI_BIRTHDAY_TITLE,-Un Día de Suerte-
MONTHLYHERO_MEDIANA_BIRTHDAY_TITLE,-Fiesta Experimental-
MONTHLYHERO_MORRAH_BIRTHDAY_TITLE,-Recuerdos de la Comandante Dracónica-
MONTHLYHERO_THEO_BIRTHDAY_TITLE,-El Creador-
MONTHLYHERO_ANNETTE_BIRTHDAY_TITLE,-Un Regalo Feliz-
MONTHLYHERO_JANE_BIRTHDAY_TITLE,-Sueño de Blanco Puro Olvidado-
MONTHLYHERO_GLENWYS_BIRTHDAY_TITLE,-Caballeros del Imperio-
MONTHLYHERO_LAKRAK_BIRTHDAY_TITLE,-Pólvora Por Siempre-
MONTHLYHERO_LUCIAS_BIRTHDAY_TITLE,-La Agonía del Santo-
MONTHLYHERO_LORRAINE_BIRTHDAY_TITLE,-Todos Juntos por la Sabia-
MONTHLYHERO_LAVRIL_BIRTHDAY_TITLE,-Primer Cumpleaños-
MONTHLYHERO_KARA_BIRTHDAY_TITLE,-¡Sorpresa!-
MONTHLYHERO_MIRURU_BIRTHDAY_TITLE,-Celebración de los Piratas-
MONTHLYHERO_SHAMILLA_BIRTHDAY_TITLE,-Por su Objetivo-
MONTHLYHERO_EZEKIEL_BIRTHDAY_TITLE,-Intentando Crear-
MONTHLYHERO_FLUSS_BIRTHDAY_TITLE,-Llamada Urgente-
MONTHLYHERO_DIMAEL_BIRTHDAY_TITLE,-Sentimientos Comunicados-
MONTHLYHERO_SHEA_BIRTHDAY_TITLE,-Es... Estoy Lista-
