KEY,"Spanish"
MONTHLYHERO_FREY_BIRTHDAY_TITLE,"Frey - Mañana silenciosa -"
MONTHLYHERO_TANYA_BIRTHDAY_TITLE,"Tanya - En la cacería, como siempre -"
MONTHLYHERO_LOMAN_BIRTHDAY_TITLE,"Loman - Nada importante para informar -"
MONTHLYHERO_PRISCILLA_BIRTHDAY_TITLE,"Priscilla - Mujer bonita -"
MONTHLYHERO_DEMIA_BIRTHDAY_TITLE,"Demia - El cumpleaños del jefe -"
MONTHLYHERO_LEWISIA_BIRTHDAY_TITLE,"Lewisia - Una noche de luz roja -"
MONTHLYHERO_SONIA_BIRTHDAY_TITLE,"Sonia - ¡A las escondidas con Mirianne! -"
MONTHLYHERO_VERONICA_BIRTHDAY_TITLE,"Veronica - Descanso inesperado -"
MONTHLYHERO_KAULAH_BIRTHDAY_TITLE,"Kaulah - Kaulah en el País de las Maravillas -"
MONTHLYHERO_YURIA_BIRTHDAY_TITLE,"Yuria - Visita de la reina -"
MONTHLYHERO_ARTEMIA_BIRTHDAY_TITLE,"Artemia - Hora del postre -"
MONTHLYHERO_LEO_BIRTHDAY_TITLE,"Leo - Sin retrasos, por favor -"
MONTHLYHERO_CASSANDRA_BIRTHDAY_TITLE,"Cassandra - Estás invitado -"
MONTHLYHERO_ROI_BIRTHDAY_TITLE,"Roi - Un día de suerte -"
MONTHLYHERO_MEDIANA_BIRTHDAY_TITLE,"Mediana - Fiesta experimental -"
MONTHLYHERO_MORRAH_BIRTHDAY_TITLE,"Morrah - Recuerdos de la Comandante dracónica -"
MONTHLYHERO_THEO_BIRTHDAY_TITLE,"Theo - El creador -"
MONTHLYHERO_ANNETTE_BIRTHDAY_TITLE,"Annette - Un regalo feliz -"
MONTHLYHERO_JANE_BIRTHDAY_TITLE,"Jane - El sueño olvidado de blanco puro -"
MONTHLYHERO_GLENWYS_BIRTHDAY_TITLE,"Glenwys - Caballeros del imperio -"
MONTHLYHERO_LAKRAK_BIRTHDAY_TITLE,"Lakrak - Pólvora por siempre -"
MONTHLYHERO_LUCIAS_BIRTHDAY_TITLE,"Lucias - La agonía del santo -"
MONTHLYHERO_LORRAINE_BIRTHDAY_TITLE,"Lorraine - Juntos por la sabia -"
MONTHLYHERO_LAVRIL_BIRTHDAY_TITLE,"Lavril - Primer cumpleaños -"
MONTHLYHERO_KARA_BIRTHDAY_TITLE,"Kara - ¡Sorpresa! -"
MONTHLYHERO_MIRURU_BIRTHDAY_TITLE,"Miruru - Celebración pirata -"
MONTHLYHERO_SHAMILLA_BIRTHDAY_TITLE,"Shamilla - Concentrada en su objetivo -"
MONTHLYHERO_EZEKIEL_BIRTHDAY_TITLE,"Ezekiel - Él que intenta ser un creador -"
MONTHLYHERO_FLUSS_BIRTHDAY_TITLE,"Fluss - ¡Llamada urgente! -"
MONTHLYHERO_DIMAEL_BIRTHDAY_TITLE,"Dimael - Sentimientos encontrados -"
MONTHLYHERO_SHEA_BIRTHDAY_TITLE,"Shea - E-Estoy lista -"
MONTHLYHERO_NICKY_BIRTHDAY_TITLE,"Nicky - Un equipo muy especial -"
MONTHLYHERO_YANNE_BIRTHDAY_TITLE,"Yanne - Cocinera por un día -"
MONTHLYHERO_FREY_BIRTHDAY_DESC,"En cada cumpleaños, Frey desaparece por la mañana. Hace años que lo hace. ¿Cuál es su secreto?"
MONTHLYHERO_TANYA_BIRTHDAY_DESC,"Tanya persigue a Roi y deja de lado sus deberes como asesina. De pronto, recuerda un cumpleaños que pasó con Roi."
MONTHLYHERO_LOMAN_BIRTHDAY_DESC,"Hoy es el cumpleaños de Loman, y está de guardia, como cualquier otro día. Un grupo de personas planea celebrarlo."
MONTHLYHERO_PRISCILLA_BIRTHDAY_DESC,"¡Aisha, una VVIP real, visita la tienda de May con Priscilla! ¿Qué le pidió a May que haga?"
MONTHLYHERO_DEMIA_BIRTHDAY_DESC,"Demia le pidió un cumpleaños tranquilo, pero el capitán de los Caballeros guardianes merece una celebración real."
MONTHLYHERO_LEWISIA_BIRTHDAY_DESC,"Hoy hay luna llena junto al lago, donde se celebra una increíble reunión con poca gente."
MONTHLYHERO_SONIA_BIRTHDAY_DESC,"¡Mirianne está desaparecida desde la mañana, pero Sonia está haciendo todo lo posible para encontrarla! ¡Descubre el secreto de Mirianne!"
MONTHLYHERO_VERONICA_BIRTHDAY_DESC,"En el día de su cumpleaños, Veronica está tan ocupada como cualquier día. ¿Podrá recibir ayuda?"
