KEY,"ChineseTraditional"
INFORM,"公告"
LEAGUE,"賽區"
ERROR,"錯誤"
SCORE_POSTFIX,"分數"
OVER_POSTFIX,"以上"
UNDER_POSTFIX,"以下"
MATCH.RANK_POSTFIX,"名"
MATCH.RANK_POSTFIX_1,"名"
MATCH.RANK_POSTFIX_2,"名"
MATCH.RANK_POSTFIX_3,"名"
BUY,"購買"
NUMBER_COUNT,"{1}次"
NICK_VALID_MESSAGE,"[00FF00]此暱稱可以使用。"
NICK_INVALID_MESSAGE,"[FF0000]此暱稱無法使用。"
NICK_CONFIRM_TITLE,"使用暱稱"
NICK_CONFIRM_MESSAGE,"是否要使用此暱稱？\n[FFFF00]{1}[-]"
LOGIN_BY_GUEST,"訪客登入"
UI_ENTER_NICKNAME,"請輸入暱稱。"
UI_NICKNAME_RULE_DESC,"可以使用中文字、英文字、數字，限2~12字元。"
GUILD_REQTEAMLEVEL,"隊伍等級{1}以上"
GUILD_RANK_MEMBER,"公會成員"
GUILD_RANK_ADMIN,"管理員"
GUILD_RANK_MASTER,"會長"
GUILD_LASTLOGINTIME_TODAY,"今日"
GUILD_LASTLOGINTIME_DAY,"{1}日"
GUILD_MERCENARY_REGISTER_ELAPSED_HOUR,"{1}小時"
GUILD_MERCENARY_REGISTER_HOUR_NOT_ELAPSED,"未滿1小時"
GUILD_MERCENARY_REGISTER_CONFIRM,"被指派為傭兵的英雄無法參與遠征任務。\n\n是否要將英雄指派為傭兵？"
GUILD_WITHDRAW_POPUP_MESSAGE,"是否要退出公會?\n退出公會後，{1}小時內無法使用公會功能。"
GUILD_DESTROY_CONFIRM,"[FF7F00]若解散公會，您目前的努力成果都將會歸零。\n\n即使如此，仍要解散公會嗎？\n\n解散公會時，7日內將無法使用公會系統。"
GUILD_MERCENARY_RETURN_REWARD,"英雄結束任務歸來了。"
GUILD_DELEGATE_MASTER,"是否要轉讓會長職位給{1}？"
GUILD_FREE_JOIN,"自由加入"
GUILD_ACCEPT_JOIN,"審核加入"
GUILD_ACTIVITY_RANKING,"{1}名"
GUILD_CHECK_NAME_MIN_LENGTH,"至少需要輸入3個字。"
GUILD_MERCENARY_RETURN_REWARD_GUILDPOINT,"獲得{1}公會點數"
RESCOLLECT_PLUNDER_END_DAY_UNIT,"日"
RESCOLLECT_PLUNDER_END_HOUR_UNIT,"小時"
RESCOLLECT_PLUNDER_END_MINUTE_UNIT,"分"
RESCOLLECT_PLUNDER_END_BEFORE,"前"
RESCOLLECT_NO_TEAM,"沒有可以進行遠征的隊伍。"
