KEY,French
INFORM,Notification
LEAGUE,Ligue
ERROR,Erreur
SCORE_POSTFIX,Points
OVER_POSTFIX,Supérieur
UNDER_POSTFIX,Inférieur
MATCH.RANK_POSTFIX,e
MATCH.RANK_POSTFIX_1,e
MATCH.RANK_POSTFIX_2,e
MATCH.RANK_POSTFIX_3,e
BUY,Acheter
NUMBER_COUNT,x{1}
NICK_VALID_MESSAGE,[00FF00]Vous pouvez utiliser ce pseudo.
NICK_INVALID_MESSAGE,[FF0000]Vous ne pouvez pas utiliser ce pseudo.
NICK_CONFIRM_TITLE,Utiliser
NICK_CONFIRM_MESSAGE,Souhaitez-vous utiliser ce pseudo?\n[FFFF00]{1}[-]
LOGIN_BY_GUEST,Connexion en mode : INVITÉ
UI_ENTER_NICKNAME,Veuillez créer un pseudo.
UI_NICKNAME_RULE_DESC,Les pseudos peuvent contenir de 2 à 12 caractères.
GUILD_REQTEAMLEVEL,Niveau d'Équipe requis au minimum : {1}
GUILD_RANK_MEMBER,Membre
GUILD_RANK_ADMIN,Manager
GUILD_RANK_MASTER,Maître
GUILD_LASTLOGINTIME_TODAY,Aujourd'hui
GUILD_LASTLOGINTIME_DAY,{1}j
GUILD_MERCENARY_REGISTER_ELAPSED_HOUR,{1}h
GUILD_MERCENARY_REGISTER_HOUR_NOT_ELAPSED,Moins de 1h
GUILD_MERCENARY_REGISTER_CONFIRM,Un Héros inscrit comme mercenaire ne peut pas participer à une mission d'expédition.\nVoulez-vous inscrire ce Héros comme mercenaire?
GUILD_WITHDRAW_POPUP_MESSAGE,"[FF7F00]Êtes-vous sûr de vouloir quitter la guilde ?\nSi vous quittez la guilde, votre accès aux contenus de guilde sera restreint pendant 7 jours."
GUILD_DESTROY_CONFIRM,[FF0000]Dissoudre la Guilde réduira à néant\ntous vous efforts effectués pour celle-ci depuis le début.\nVoulez-vous dissoudre la Guilde ?\n\nVotre accès aux contenus de guilde sera restreint pendant 7 jours.
