KEY,German
INFORM,Hinweis
LEAGUE,Liga
ERROR,Fehler
SCORE_POSTFIX,Punkte
OVER_POSTFIX,Über
UNDER_POSTFIX,Unter
MATCH.RANK_POSTFIX,Rang
MATCH.RANK_POSTFIX_1,Rang
MATCH.RANK_POSTFIX_2,Rang
MATCH.RANK_POSTFIX_3,Rang
BUY,Kaufen
NUMBER_COUNT,{1} Mal(e)
NICK_VALID_MESSAGE,[00FF00]Nutzername verfügbar.
NICK_INVALID_MESSAGE,[FF0000]Nutzername nicht verfügbar.
NICK_CONFIRM_TITLE,Nutzername benutzen
NICK_CONFIRM_MESSAGE,Diesen Nutzername benutzen?\n[FFFF00]{1}[-]
LOGIN_BY_GUEST,Als Gast einloggen
UI_ENTER_NICKNAME,Bitte erstellen einen Nutzername.
UI_NICKNAME_RULE_DESC,Namen können aus 2-12 Zahlen und Buchstaben bestehen.
GUILD_REQTEAMLEVEL,Über Team Level {1}
GUILD_RANK_MEMBER,Gildenmitglied
GUILD_RANK_ADMIN,Verwalter
GUILD_RANK_MASTER,Meister
GUILD_LASTLOGINTIME_TODAY,Heute
GUILD_LASTLOGINTIME_DAY,Tag {1}
GUILD_MERCENARY_REGISTER_ELAPSED_HOUR,{1} Std.
GUILD_MERCENARY_REGISTER_HOUR_NOT_ELAPSED,Weniger als 1 Std.
GUILD_MERCENARY_REGISTER_CONFIRM,Ein als Söldner registrierter Held kann nicht an Expeditionen teilnehmen.\nDiesen Helden als Söldner registrieren?
GUILD_WITHDRAW_POPUP_MESSAGE,"Möchtest du die Gilde wirklich verlassen?\nVerlässt du die Gilde, wird dein Zugang zu Gildeninhalten für 7 Tagen gesperrt."
GUILD_DESTROY_CONFIRM,[FF0000]Beim Auflösen der Gilde werden\ndeine bisherigen Erfolge verschwinden.\nSoll die Gilde trotzdem aufgelöst werden?\n \nNach dem Auflösen einer Gilde wird dein Zugang zu Gildeninhalten für 7 Tagen gesperrt.
GUILD_MERCENARY_RETURN_REWARD,Held hat Mission erledigt und ist wieder zurück.
GUILD_DELEGATE_MASTER,Willst du die Meisterposition\nan {1} übergeben?
GUILD_FREE_JOIN,Keine Beitrittsbegrenzung
GUILD_ACCEPT_JOIN,Eintritt nach Zustimmung
GUILD_ACTIVITY_RANKING,Rang {1}
GUILD_CHECK_NAME_MIN_LENGTH,Gib mindestens 3 Zeichen ein.
GUILD_MERCENARY_RETURN_REWARD_GUILDPOINT,{1} Gildenpunkt(e) erhalten
RESCOLLECT_PLUNDER_END_DAY_UNIT,T.
RESCOLLECT_PLUNDER_END_HOUR_UNIT,Std.
RESCOLLECT_PLUNDER_END_MINUTE_UNIT,Min.
RESCOLLECT_PLUNDER_END_BEFORE,Vor
RESCOLLECT_NO_TEAM,Keine Expeditionsgruppe verfügbar.
RESCOLLECT_COLLECT_STARTED,Die Expedition hat begonnen.
RESCOLLECT_START_COLLECT,Mission beginnen
RESCOLLECT_START_PLUNDER,Plünderung beginnen
RESCOLLECT_START_CHASE,Verfolgen
RESCOLLECT_COLLECT_RESULT_GOLD,[FFFF00]Gold[-]
RESCOLLECT_NOGUILD,Keine Gilde
RESCOLLECT_ITEMCOUNT,{1}
RESCOLLECT_COLLECTPERHOUR,({1}/Std.)
RESCOLLECT_COLLECTING_REMAIN_TIME,Sammelt Resourcen durch Suche ...\nKehrt in {1} Std. {2} Min. zurück.
RESCOLLECT_COLLECT_COMPLETED,Suche abgeschlossen
RESCOLLECT_COLLECT_COMPLETE_MSG,Die Suche hat {1} ergeben!
RESCOLLECT_COLLECTING,Suche ...
RESCOLLECT_PLUNDER_SUCCESS,Plünderung erfolgreich
RESCOLLECT_PLUNDER_SUCCESS_MSG,{1} durch Plünderung erhalten.
RESCOLLECT_BUY_CHEESE,{1} Plünderung-Ausdauer kaufen.
RESCOLLECT_GIVEUP_PLUNDER_CONFIRM,Willst du die aktuelle Plünderung abbrechen?
ENTER_TRIAL_DUNGEON,Dungeon betreten
TRIAL_DUNGEON_HERO_KNIGHT,Prüfungen des Ritters
TRIAL_DUNGEON_HERO_WARRIOR,Prüfungen des Kriegers
TRIAL_DUNGEON_HERO_ASSASSIN,Prüfungen des Assassinen
TRIAL_DUNGEON_HERO_ARCHER,Prüfungen des Bogenschützen
TRIAL_DUNGEON_HERO_MECHANIC,Prüfungen des Mechanikers
TRIAL_DUNGEON_HERO_WIZARD,Prüfungen des Zauberers
TRIAL_DUNGEON_HERO_PRIEST,Prüfungen des Priesters
TRIAL_RESET_CHALLENGE_CHANCE_CONFIRM,Du hast alle Herausforderungschancen für {1} verbraucht.\nWillst du dich wieder der Prüfung stellen?
TRIAL_RESET_PLAY_KEY_CONFIRM,Nicht genug Schlüssel vorhanden.\nWillst du zusätzliche Schlüssel erwerben?
TRIAL_RESET_PLAY_KEY_CONFIRM_COUNT,"Der Zugang wurde verwehrt, weil nicht genug Schlüssel vorhanden sind.\n{1} zusätzliche Schlüssel erwerben?"
INVENTORY_ITEM_ACTION_SELL,Verkaufen
INVENTORY_ASK_SELL_COUNT_MESSAGE,Bestimme die Verkaufsmenge.
INVENTORY_ORIGIN_DESC,Kapite {1}-{2}
EQUIP_ASK_UNLOCK_WEAPON_EQUIP,Willst du ein zweites Waffenfach freischalten?
EQUIP_ASK_UNLOCK_ARMOR_EQUIP,Willst du ein zweites Rüstungsfach freischalten?
EQUIP_UNLOCK_ACTION,Freischalten
EQUIP_ASK_EXTEND_MESSAGE,Inventar um {1} Fächer erweitern?
EQUIP_ASK_EXTEND_MESSAGE_1,Die max. Inventargröße liegt bei {1} Fächer.
EQUIP_ASK_EXTEND_MESSAGE_2,(Derz. Status : {1} / {2} )
EQUIP_EXTEND_ACTION,Erweitern
EQUIP_ASK_SELL,Verkaufe {1}.
EQUIP_ASK_EQUIP_TITLE,Ausrüstung anlegen
EQUIP_ASK_UNEQUIP_TITLE,Ausrüstung ablegen
EQUIP_ASK_EQUIP,{1} anlegen?
EQUIP_ERROR_ALREADY_EQUIPPED,Eine Ausrüstung ist bereits angelegt.
EQUIP_ASK_SELECT_EQUIP_MESSAGE,"Wähle das Fach, in dem du die Ausrüstung anlegen willst."
EQUIP_ASK_SELECT_EQUIP_FIRST,1. Fach
EQUIP_ASK_SELECT_EQUIP_SECOND,2. Fach
EQUIP_ASK_EQUIP_OVERWRITE_MESSAGE,Du hast bereits eine Ausrüstung angelegt.\nWillst du die jetztige Ausrüstung ablegen und die neue anlegen?
EQUIP_ASK_EQUIP_REMOVE,Entfernen
EQUIP_ASK_EQUIP_PRESERVE,Behalten
EQUIP_ASK_EQUIP_PRESERVE_CONFIRM,Willst du die bereits angelegte Ausrüstung behalten\nund die neue Ausrüstung anlegen?
EQUIP_ASK_EQUIP_REMOVE_CONFIRM,Willst du die bereits angelegte Ausrüstung entfernen\nund die neue Ausrüstung anlegen?
EQUIP_ASK_UNEQUIP_MESSAGE,Du kannst die Ausrüstung entweder behalten oder entfernen.
EQUIP_ASK_UNEQUIP_PRESERVE_CONFIRM,Willst du die Ausrüstung behalten?
EQUIP_ASK_UNEQUIP_REMOVE_CONFIRM,Willst du die Ausrüstung entfernen?
EQUIP_ERROR_NOT_EQUIPPED,Ausrüstung nicht angelegt.
EQUIP_ASK_ENCHANT_OPTION_TITLE,Neu bewerten
EQUIP_ASK_ENCHANT_OPTION,Willst du die Optionen neu bewerten?
EQUIP_ASK_ENCHANT_OPTION_CONFIRM_TITLE,Optionen benutzen
EQUIP_ASK_ENCHANT_OPTION_CONFIRM,Willst du diese Optionen benutzen?
EQUIP_ASK_ENCHANT_OPTION_CANCEL_TITLE,Optionen wiederherstellen
EQUIP_ASK_ENCHANT_OPTION_CANCEL,Willst du diese Optionen rückgängig machen?
EQUIP_ASK_ENCHANT_RESULT_MESSAGE,[FF8000][00FF00]{1}[-] [FFFFFF]{2}[-] Option wurde geändert zur\n[00FF00]{3}[-] [FFFFFF]{4}[-] Option\nnach der Neubewertung.[-]
EQUIP_UPGRADE_PROGRESSING,[FFFF00]Verstärke ...[-]
EQUIP_ERROR_UPGRADE_EXP_FULL,Übersteigt die nötige EP für die Verstärkung.
EQUIP_ERROR_MATERIAL_FULL,Zuviel Material.
RANDOM_OPTION,Zus. Optionen
EQUIP_RANDOM_OPTION_COUNT,Zus. Optionen
START_BATTLE,Kampf beginnen
MATCH_START_BUTTON_LABEL,Kampf registrieren
MATCH_TOP_PERCENTAGE,Top {1} %
MATCH_SEASON_REMAIN_LABEL,{1} T. {2} Std. verbleibend
MATCH_BATTLE_SERVER_CONNECT_FAIL,Verbindung zum Kampfserver fehlgeschlagen.
MATCH_BATTLE_SERVER_DISCONNECTED,Verbindung zum Kampfserver abgebrochen.
MATCH_BATTLE_SERVER_START_FAIL,Kampfbeginn gescheitert.
MATCH_OFFLINE_PVP_RESULT_FAILED,Kampfergebnis konnte nicht abgerufen werden.
MATCH_DAILY_REWARD_SENDERNAME,Arena-Verwalter
MATCH_DAILY_REWARD_TITLE,Siegesliga-Tagesbelohnung
MATCH_DAILY_REWARD_CONTENT,Siegesliga-Tagesbelohnung. Stufe {1} Phase {2}. Rang {3}
MATCH_DAILY_REWARD_NOLEVEL_CONTENT,Siegesliga-Tagesbelohnung. Stufe {1}. Rang {2}
MATCH_SEASON_REWARD_SENDERNAME,Saison-Verwalter
MATCH_SEASON_REWARD_TITLE,Siegesliga-Saisonbelohnung
MATCH_SEASON_REWARD_CONTENT,Siegesliga-Saisonbelohnung. Stufe {1} Phase {2}. Rang {3}
MATCH_SEASON_REWARD_NOLEVEL_CONTENT,Siegesliga-Saisonbelohnung. Stufe {1}. Rang {2}
MATCH_HISTORY_WIN_SCORE,Sieg! Deine Punkte sind um [FFFF20]{1} Pkt.[-] gestiegen.
MATCH_HISTORY_WIN,Kampf gewonnen.
MATCH_HISTORY_LOSE_SCORE,Niederlage! Deine Punkte sind um [FFFF20]{1} Pkt.[-] gefallen.
MATCH_HISTORY_LOSE,Kampf verloren.
MATCH_HISTORY_TIME_MINUTE,Vor {1} Min.
MATCH_HISTORY_TIME_HOUR,Vor {1} Std.
MATCH_HISTORY_TIME_DAY,Vor {1} T.
MATCH_RANKING_SCORE,{1} Pkt.
MATCH_FINDING_TARGET,Suche nach Gegner.
MATCH_FOUND_TARGET,Gegner gefunden.
