KEY,"Japanese"
INFORM,"通知"
LEAGUE,"リーグ"
ERROR,"エラー"
SCORE_POSTFIX,"点"
OVER_POSTFIX,"以上"
UNDER_POSTFIX,"以下"
MATCH.RANK_POSTFIX,"位"
MATCH.RANK_POSTFIX_1,"位"
MATCH.RANK_POSTFIX_2,"位"
MATCH.RANK_POSTFIX_3,"位"
BUY,"購入"
NUMBER_COUNT,"{1} 回"
NICK_VALID_MESSAGE,"[00FF00]使用可能なニックネームです"
NICK_INVALID_MESSAGE,"[FF0000]使用不可能なニックネームです"
NICK_CONFIRM_TITLE,"ニックネーム使用"
NICK_CONFIRM_MESSAGE,"このニックネームを使いますか？\n[FFFF00]{1}[-]"
LOGIN_BY_GUEST,"ゲストログイン"
UI_ENTER_NICKNAME,"ニックネームを入力してください"
UI_NICKNAME_RULE_DESC,"数字、英字、日本語で、2~12文字以内で入力してください"
GUILD_REQTEAMLEVEL,"チームレベル{1}以上"
GUILD_RANK_MEMBER,"ギルドメンバー"
GUILD_RANK_ADMIN,"管理者"
GUILD_RANK_MASTER,"マスター"
GUILD_LASTLOGINTIME_TODAY,"今日"
GUILD_LASTLOGINTIME_DAY,"{1}日"
GUILD_MERCENARY_REGISTER_ELAPSED_HOUR,"{1}時間"
GUILD_MERCENARY_REGISTER_HOUR_NOT_ELAPSED,"1時間未満"
GUILD_MERCENARY_REGISTER_CONFIRM,"傭兵に登録されている英雄は、遠征任務に参加できません。\nこの英雄を傭兵に登録しますか？"
GUILD_WITHDRAW_POPUP_MESSAGE,"ギルドを退会しますか？\nギルド退会時、{1}時間ギルドコンテンツの利用が制限されます。"
GUILD_DESTROY_CONFIRM,"[FF0000]ギルドを解散すると、今までの努力が\n無駄になります。\nそれでも本当に解散しますか？\n\nギルドを解散すると、7日間、ギルドコンテンツの利用が制限されます。"
GUILD_MERCENARY_RETURN_REWARD,"英雄が任務を終えて復帰しました"
GUILD_DELEGATE_MASTER,"{1}さんに\nマスターを委譲しますか？"
GUILD_FREE_JOIN,"自由入会"
GUILD_ACCEPT_JOIN,"承認入会"
GUILD_ACTIVITY_RANKING,"{1}位"
GUILD_CHECK_NAME_MIN_LENGTH,"最小3文字以上入力してください"
GUILD_MERCENARY_RETURN_REWARD_GUILDPOINT,"ギルドポイント{1}獲得"
RESCOLLECT_PLUNDER_END_DAY_UNIT,"日"
RESCOLLECT_PLUNDER_END_HOUR_UNIT,"時間"
RESCOLLECT_PLUNDER_END_MINUTE_UNIT,"分"
