KEY,Korean
INFORM,알림
LEAGUE,리그
ERROR,에러
SCORE_POSTFIX,점
OVER_POSTFIX,이상
UNDER_POSTFIX,이하
MATCH.RANK_POSTFIX,위
MATCH.RANK_POSTFIX_1,위
MATCH.RANK_POSTFIX_2,위
MATCH.RANK_POSTFIX_3,위
BUY,구입
NUMBER_COUNT,{1} 회
NICK_VALID_MESSAGE,[00FF00]사용 가능한 닉네임 입니다.
NICK_INVALID_MESSAGE,[FF0000]사용 불가능한 닉네임 입니다.
NICK_CONFIRM_TITLE,닉네임 사용
NICK_CONFIRM_MESSAGE,해당 닉네임을 사용하시겠습니까?\n[FFFF00]{1}[-]
LOGIN_BY_GUEST,GUEST로 로그인
UI_ENTER_NICKNAME,닉네임을 입력하세요.
UI_NICKNAME_RULE_DESC,"숫자, 영문, 한글만 2~12자 이내로 사용 가능합니다."
GUILD_REQTEAMLEVEL,팀레벨 {1}이상
GUILD_RANK_MEMBER,길드원
GUILD_RANK_ADMIN,관리자
GUILD_RANK_MASTER,마스터
GUILD_LASTLOGINTIME_TODAY,오늘
GUILD_LASTLOGINTIME_DAY,{1}일
GUILD_MERCENARY_REGISTER_ELAPSED_HOUR,{1}시간
GUILD_MERCENARY_REGISTER_HOUR_NOT_ELAPSED,1시간미만
GUILD_MERCENARY_REGISTER_CONFIRM,용병으로 등록된 영웅은 원정 임무에 참가할 수 없습니다.\n이 영웅을 용병으로 등록하겠습니까?
GUILD_WITHDRAW_POPUP_MESSAGE,[FF7F00]길드를 정말 탈퇴하겠습니까?\n길드 탈퇴 시 7일간 길드 컨텐츠 이용이 제재됩니다.
GUILD_DESTROY_CONFIRM,[FF0000]길드를 해체하면 지금까지의 노력이\n물거품이 될 수 있습니다.\n그래도 정말 해체 하겠습니까?\n \n길드 해체 시 7일간 길드 컨텐츠 이용이 제재됩니다.
GUILD_MERCENARY_RETURN_REWARD,영웅이 임무를 마치고 복귀했습니다.
GUILD_DELEGATE_MASTER,{1} 님에게\n마스터 직급을 이양하겠습니까?
GUILD_FREE_JOIN,자유가입
GUILD_ACCEPT_JOIN,승인가입
GUILD_ACTIVITY_RANKING,{1}위
GUILD_CHECK_NAME_MIN_LENGTH,최소 3글자 이상 입력해야 합니다.
GUILD_MERCENARY_RETURN_REWARD_GUILDPOINT,길드 포인트 {1} 획득
RESCOLLECT_PLUNDER_END_DAY_UNIT,일
RESCOLLECT_PLUNDER_END_HOUR_UNIT,시간
RESCOLLECT_PLUNDER_END_MINUTE_UNIT,분
RESCOLLECT_PLUNDER_END_BEFORE,전
RESCOLLECT_NO_TEAM,원정 가능한 팀이 없습니다.
RESCOLLECT_COLLECT_STARTED,원정임무가 시작되었습니다.
RESCOLLECT_START_COLLECT,임무시작
RESCOLLECT_START_PLUNDER,약탈시작
RESCOLLECT_START_CHASE,추격
RESCOLLECT_COLLECT_RESULT_GOLD,[FFFF00]골드[-]
RESCOLLECT_NOGUILD,소속길드 없음
RESCOLLECT_ITEMCOUNT,{1}개
RESCOLLECT_COLLECTPERHOUR,({1}개 / 시간)
RESCOLLECT_COLLECTING_REMAIN_TIME,탐색을 통해 자원 확보중..\n{1}시간 {2}분 후 귀환
RESCOLLECT_COLLECT_COMPLETED,탐색완료
RESCOLLECT_COLLECT_COMPLETE_MSG,탐색을 통해 {1}을(를) 발견했습니다!
RESCOLLECT_COLLECTING,탐색중..
RESCOLLECT_PLUNDER_SUCCESS,약탈성공
RESCOLLECT_PLUNDER_SUCCESS_MSG,약탈을 통해 {1}을(를) 빼앗았습니다!
RESCOLLECT_BUY_CHEESE,약탈 스태미너 {1}개를 구입합니다.
RESCOLLECT_GIVEUP_PLUNDER_CONFIRM,현재 탐색한 상대의 약탈을 포기하시겠습니까?
ENTER_TRIAL_DUNGEON,던전입장
TRIAL_DUNGEON_HERO_KNIGHT,기사의 시련
TRIAL_DUNGEON_HERO_WARRIOR,전사의 시련
TRIAL_DUNGEON_HERO_ASSASSIN,암살자의 시련
TRIAL_DUNGEON_HERO_ARCHER,궁수의 시련
TRIAL_DUNGEON_HERO_MECHANIC,기계공의 시련
TRIAL_DUNGEON_HERO_WIZARD,마법사의 시련
TRIAL_DUNGEON_HERO_PRIEST,사제의 시련
TRIAL_RESET_CHALLENGE_CHANCE_CONFIRM,{1}의 도전 가능 횟수를 모두 소진했습니다.\n시련에 다시 도전하겠습니까?
TRIAL_RESET_PLAY_KEY_CONFIRM,열쇠가 부족하여 입장할 수 없습니다.\n열쇠를 충전하겠습니까?
TRIAL_RESET_PLAY_KEY_CONFIRM_COUNT,열쇠가 부족하여 입장할 수 없습니다.\n열쇠를 {1}개 충전하겠습니까?
INVENTORY_ITEM_ACTION_SELL,판매
INVENTORY_ASK_SELL_COUNT_MESSAGE,판매 개수를 정하세요.
INVENTORY_ORIGIN_DESC,{1} 챕터 {2}
EQUIP_ASK_UNLOCK_WEAPON_EQUIP,두번째 무기 슬롯을 개방하겠습니까?
EQUIP_ASK_UNLOCK_ARMOR_EQUIP,두번째 방어구 슬롯을 개방하겠습니까?
EQUIP_UNLOCK_ACTION,개방하기
EQUIP_ASK_EXTEND_MESSAGE,장비가방을 {1} 칸 확장하겠습니까?
EQUIP_ASK_EXTEND_MESSAGE_1,최대 {1}칸까지 확장 가능합니다.
