KEY,Portuguese
INFORM,Aviso
LEAGUE,Liga
ERROR,Erro
SCORE_POSTFIX,Pontos
OVER_POSTFIX,Acima
UNDER_POSTFIX,Abaixo
MATCH.RANK_POSTFIX,°
MATCH.RANK_POSTFIX_1,°
MATCH.RANK_POSTFIX_2,°
MATCH.RANK_POSTFIX_3,°
BUY,Comprar
NUMBER_COUNT,{1} vez(es)
NICK_VALID_MESSAGE,[00FF00]Pode usar este apelido.
NICK_INVALID_MESSAGE,[FF0000]Não pode usar este apelido.
NICK_CONFIRM_TITLE,Usar apelido
NICK_CONFIRM_MESSAGE,Você quer usar este apelido?\n[FFFF00]{1}[-]
LOGIN_BY_GUEST,Entrar com usuário
UI_ENTER_NICKNAME,Crie um apelido.
UI_NICKNAME_RULE_DESC,Os apelidos podem conter somente de 2-12 caracteres alfanuméricos.
GUILD_REQTEAMLEVEL,Acima do nível da equipe {1}
GUILD_RANK_MEMBER,Membro da Guilda
GUILD_RANK_ADMIN,Gerente
GUILD_RANK_MASTER,Mestre
GUILD_LASTLOGINTIME_TODAY,Hoje
GUILD_LASTLOGINTIME_DAY,{1}d
GUILD_MERCENARY_REGISTER_ELAPSED_HOUR,{1} hr
GUILD_MERCENARY_REGISTER_HOUR_NOT_ELAPSED,Menos de 1 hora
GUILD_MERCENARY_REGISTER_CONFIRM,Um herói registrado como mercenário não pode participar em uma missão expedicionária.\nVocê quer registrar esse herói como mercenário?
GUILD_WITHDRAW_POPUP_MESSAGE,"Tem certeza de que deseja sair da Guilda?\nSe sair da Guilda, o seu acesso ao conteúdo de Guildas será restrito por {1} hora(s)."
GUILD_DESTROY_CONFIRM,"[FF0000] Se sair da guilda, tudo o que você fez\npode ser em vão.\n\nVocê realmente quer sair da Guilda?"
GUILD_MERCENARY_RETURN_REWARD,Adquiriu {1} Ouro
GUILD_DELEGATE_MASTER,Você quer repassar\na posição Mestre para {1}?
GUILD_FREE_JOIN,Admissão Grátis
GUILD_ACCEPT_JOIN,Admitido após a Aprovação
GUILD_ACTIVITY_RANKING,Classificado em {1}
GUILD_CHECK_NAME_MIN_LENGTH,Digitar pelo menos 3 caracteres.
