KEY,Spanish
INFORM,Aviso
LEAGUE,Liga
ERROR,Error
SCORE_POSTFIX,Puntos
OVER_POSTFIX,Encima
UNDER_POSTFIX,Debajo
MATCH.RANK_POSTFIX,to
MATCH.RANK_POSTFIX_1,ro
MATCH.RANK_POSTFIX_2,do
MATCH.RANK_POSTFIX_3,ro
BUY,Comprar
NUMBER_COUNT,{1} vez(s)
NICK_VALID_MESSAGE,[00FF00]Puede utilizar este apodo.
NICK_INVALID_MESSAGE,[FF0000]No Puede utilizar este apodo.
NICK_CONFIRM_TITLE,Utilizar Apodo
NICK_CONFIRM_MESSAGE,Deseas utilizar este apodo?\n[FFFF00]{1}[-]
LOGIN_BY_GUEST,Iniciar Sesion como Invitado
UI_ENTER_NICKNAME,Por favor crea un apodo.
UI_NICKNAME_RULE_DESC,Los apodos deben contener caracteres alfanumericos del 2-12
GUILD_REQTEAMLEVEL,Sobre el Nivel de Equipo {1}
GUILD_RANK_MEMBER,Miembro del Clan
GUILD_RANK_ADMIN,Administrador
GUILD_RANK_MASTER,Amo
GUILD_LASTLOGINTIME_TODAY,Hoy
GUILD_LASTLOGINTIME_DAY,{1}d
GUILD_MERCENARY_REGISTER_ELAPSED_HOUR,{1} hr(s)
GUILD_MERCENARY_REGISTER_HOUR_NOT_ELAPSED,Menos de 1 Hora
GUILD_MERCENARY_REGISTER_CONFIRM,Un heroe registrado como mercenario no puede participar de una mision de expedicion.\nDeseas registrar a este heroe como un mercenario?
GUILD_WITHDRAW_POPUP_MESSAGE,"¿Confirmas que quieres abandonar el clan?\nSi lo abandonas, el acceso al contenido del clan quedará restringido durante {1} hora(s)."
GUILD_DESTROY_CONFIRM,"[FF0000] Cerrar este Clan hará que tus esfuerzos hasta ahora sean inútiles.\n¿Deseas cerrar este Clan? \n \nCuando se cierra un Clan, no se puede utilizar el Contenido del Clan durante 7 días."
GUILD_MERCENARY_RETURN_REWARD,Adquirir {1} Oro
GUILD_DELEGATE_MASTER,Deseas entregar \nla posicion de Amo a {1}?
GUILD_FREE_JOIN,Admision Gratis
GUILD_ACCEPT_JOIN,"Sera admitido, al Aprobarse."
