KEY,Thai
INFORM,ประกาศ
LEAGUE,ลีค
ERROR,Error
SCORE_POSTFIX,แต้ม
OVER_POSTFIX,เกิน
UNDER_POSTFIX,ต่ำกว่า
MATCH.RANK_POSTFIX,th
MATCH.RANK_POSTFIX_1,st
MATCH.RANK_POSTFIX_2,nd
MATCH.RANK_POSTFIX_3,rd
BUY,ซื้อ
NUMBER_COUNT,{1} ครั้ง
NICK_VALID_MESSAGE,[00FF00] สามารถใช้ชื่อนี้ได้
NICK_INVALID_MESSAGE,[FF0000] ไม่สามารถใช้ชื่อนี้ได้
NICK_CONFIRM_TITLE,ใช้ชื่อเล่น
NICK_CONFIRM_MESSAGE,คุณต้องการจะใช้ป็นชื่อเล่นหรือไม่?\n[FFFF00]{1}[-]
LOGIN_BY_GUEST,เข้าเกมแบบ Guest
UI_ENTER_NICKNAME,โปรดใส่ชื่อเล่น
UI_NICKNAME_RULE_DESC,ชื่อเล่นสามารถใช้ได้เฉพาะตัวเลข และตัวอักษร ตั้งแต่ 2-12 ตัว
GUILD_REQTEAMLEVEL,ทีมเลเวลมากกว่า {1}
GUILD_RANK_MEMBER,สมาชิกกิลด์
GUILD_RANK_ADMIN,ผู้ดูแล
GUILD_RANK_MASTER,หัวหน้า
GUILD_LASTLOGINTIME_TODAY,วันนี้
GUILD_LASTLOGINTIME_DAY,{1} วัน
GUILD_MERCENARY_REGISTER_ELAPSED_HOUR,{1} ชั่วโมง
GUILD_MERCENARY_REGISTER_HOUR_NOT_ELAPSED,ต่ำกว่า 1 ชั่วโมง
GUILD_MERCENARY_REGISTER_CONFIRM,ฮีโร่ที่สมัครเป็นทหารรับจ้าง\nจะไม่สามารถเข้าร่วมค้นหาภารกิจ\n\nคุณต้องการที่สมัครฮีโร่ตัวนี้เป็นทหารรับจ้างหรือไม่?
GUILD_WITHDRAW_POPUP_MESSAGE,คุณแน่ใจหรือไม่ว่าต้องการออกจากกิลด์\nถ้าคุณออกจากกิลด์ คุณจะถูกจำกัดการเข้าถึงเนื้อหาของกิลด์เป็นเวลา {1} ชั่วโมง
GUILD_DESTROY_CONFIRM,[FF0000] เมื่อลบกิลด์แล้ว\nไม่สามารถกู้คืนได้ \nจะลบกิลด์หรือไม่?\n \nไม่สามารถใช้คอนเท้นกิลด์เป็น 7วัน เมื่อลบออก
GUILD_MERCENARY_RETURN_REWARD,ฮีโร่ทำภารกิจสำเร็จแล้วและกำลังกลับ
GUILD_DELEGATE_MASTER,คุณต้องการยกตำแหน่งหัวหน้ากิลด์\nให้กับ {1} ใช่หรือไม่?
GUILD_FREE_JOIN,เข้าได้ทันที
GUILD_ACCEPT_JOIN,ต้องได้รับการอนุมัติ
GUILD_ACTIVITY_RANKING,อันดับ {1}
GUILD_CHECK_NAME_MIN_LENGTH,ต้องมีอย่างน้อย 3 ตัวอักษร
GUILD_MERCENARY_RETURN_REWARD_GUILDPOINT,ได้รับคะแนนกิลด์ {1}
RESCOLLECT_PLUNDER_END_DAY_UNIT,วัน
RESCOLLECT_PLUNDER_END_HOUR_UNIT,ช.ม.
RESCOLLECT_PLUNDER_END_MINUTE_UNIT,นาที
RESCOLLECT_PLUNDER_END_BEFORE,ก่อน
RESCOLLECT_NO_TEAM,ไม่พบทีมที่สามารถสำรวจได้
RESCOLLECT_COLLECT_STARTED,ภารกิจสำรวจเริ่มแล้ว
RESCOLLECT_START_COLLECT,เริ่มภารกิจ
RESCOLLECT_START_PLUNDER,เริ่มขโมย
RESCOLLECT_START_CHASE,การล่า
RESCOLLECT_COLLECT_RESULT_GOLD,[FFFF00]Gold[-]
RESCOLLECT_NOGUILD,ไม่มีกิลด์
RESCOLLECT_ITEMCOUNT,{1} ชิ้น
RESCOLLECT_COLLECTPERHOUR,({1}ชิ้น /ชม.)
RESCOLLECT_COLLECTING_REMAIN_TIME,สะสมวัตถุดิบจากการค้นหา.....\nจะหมดเวลาใน {1} ชั่วโมง {2} นาที
RESCOLLECT_COLLECT_COMPLETED,การค้นหาสำเร็จ
RESCOLLECT_COLLECT_COMPLETE_MSG,พบ {1} จากการค้นหา!
RESCOLLECT_COLLECTING,ค้นหา…
RESCOLLECT_PLUNDER_SUCCESS,การขโมยสำเร็จ
RESCOLLECT_PLUNDER_SUCCESS_MSG,ต้องการ {1} จากการขโมย
RESCOLLECT_BUY_CHEESE,ซื้อ {1} จำนวนขโมย
RESCOLLECT_GIVEUP_PLUNDER_CONFIRM,ต้องการจะยกเลิกขโมยเป้าหมายที่หามาได้หรือไม่?
ENTER_TRIAL_DUNGEON,เข้าดันเจี้ยน
TRIAL_DUNGEON_HERO_KNIGHT,การพิสูจน์ตนแห่ง Knight
TRIAL_DUNGEON_HERO_WARRIOR,การพิสูจน์ตนแห่ง Warrior
TRIAL_DUNGEON_HERO_ASSASSIN,การพิสูจน์ตนแห่ง Assassin
TRIAL_DUNGEON_HERO_ARCHER,การพิสูจน์ตนแห่ง Archer
TRIAL_DUNGEON_HERO_MECHANIC,การพิสูจน์ตนแห่ง Mechanic
TRIAL_DUNGEON_HERO_WIZARD,การพิสูจน์ตนแห่ง Wizard
TRIAL_DUNGEON_HERO_PRIEST,การพิสูจน์ตนแห่ง Priest
TRIAL_RESET_CHALLENGE_CHANCE_CONFIRM,คุณได้ใช้โอกาสในการท้าทาย{1}ทั้งหมดแล้ว\nคุณต้องการที่จะลองอีกครั้งหรือไม่?
TRIAL_RESET_PLAY_KEY_CONFIRM,ไม่สามารถเข้าร่วมได้เนื่องจากกุญแจไม่เพียงพอ\nคุณต้องการที่จะเติมกุญแจหรือไม่?
TRIAL_RESET_PLAY_KEY_CONFIRM_COUNT,ไม่สามารถเข้าได้เนื่องจากกุญแจไม่เพียงพอ\nเติมกุญแจ {1} หรือไม่
INVENTORY_ITEM_ACTION_SELL,ขาย
INVENTORY_ASK_SELL_COUNT_MESSAGE,กรุณาระบุจำนวนที่จะขาย
INVENTORY_ORIGIN_DESC,{1} Chapter {2}
EQUIP_ASK_UNLOCK_WEAPON_EQUIP,คุณต้องการจะเปิดอาวุธช่องที่ 2 หรือไม่?
EQUIP_ASK_UNLOCK_ARMOR_EQUIP,คุณต้องการจะเปิดช่องอุปกรณ์ป้องกันช่องที่ 2 หรือไม่?
EQUIP_UNLOCK_ACTION,เปิด
EQUIP_ASK_EXTEND_MESSAGE,คุณต้องการที่จะขยายช่องในกระเป๋า {1} ช่องหรือไม่?
EQUIP_ASK_EXTEND_MESSAGE_1,สามารถขยายได้มากสุด {1} ช่อง
EQUIP_ASK_EXTEND_MESSAGE_2,[ ช่องในกระเป๋า : {1} / {2} ]
EQUIP_EXTEND_ACTION,ขยาย
EQUIP_ASK_SELL,ขาย {1}
EQUIP_ASK_EQUIP_TITLE,สวมอุปกรณ์
EQUIP_ASK_UNEQUIP_TITLE,ถอดอุปกรณ์
EQUIP_ASK_EQUIP,คุณต้องการสวมใส่ {1}
EQUIP_ERROR_ALREADY_EQUIPPED,สวมใส่อุปกรณ์แล้ว
EQUIP_ASK_SELECT_EQUIP_MESSAGE,โปรดเลือกช่องที่คุณต้องการสวมใส่อุปกรณ์
EQUIP_ASK_SELECT_EQUIP_FIRST,ช่องมาตรฐาน
EQUIP_ASK_SELECT_EQUIP_SECOND,ช่องเพิ่มเติม
