KEY,Vietnamese
INFORM,Thông báo
LEAGUE,Liên minh
ERROR,Lỗi
SCORE_POSTFIX,Điểm
OVER_POSTFIX,Trên
UNDER_POSTFIX,Dưới
MATCH.RANK_POSTFIX,th
MATCH.RANK_POSTFIX_1,st
MATCH.RANK_POSTFIX_2,nd
MATCH.RANK_POSTFIX_3,rd
BUY,Mua
NUMBER_COUNT,{1} lần
NICK_VALID_MESSAGE,[00FF00]Có thể sử dụng nickname này.
NICK_INVALID_MESSAGE,[FF0000]Không thể sử dụng nickname này.
NICK_CONFIRM_TITLE,Sử dụng nickname.
NICK_CONFIRM_MESSAGE,Bạn có muốn sử dụng nickname này không?\n[FFFF00]{1}[-]
LOGIN_BY_GUEST,Đăng nhập là Khách
UI_ENTER_NICKNAME,Vui lòng nhập nickname.
UI_NICKNAME_RULE_DESC,Một biệt hiệu có thể chứa 2-12 ký tự chữ số và chữ cái .
GUILD_REQTEAMLEVEL,Trên cấp độ nhóm {1}
GUILD_RANK_MEMBER,Thành viên Guild
GUILD_RANK_ADMIN,Quản lý
GUILD_RANK_MASTER,Chủ Guild
GUILD_LASTLOGINTIME_TODAY,Hôm nay
GUILD_LASTLOGINTIME_DAY,{1}ngày
GUILD_MERCENARY_REGISTER_ELAPSED_HOUR,{1} giờ
GUILD_MERCENARY_REGISTER_HOUR_NOT_ELAPSED,Dưới 1 giờ
GUILD_MERCENARY_REGISTER_CONFIRM,Một anh hùng được đăng ký làm lính đánh thuê không thể tham gia một nhiệm vụ thám hiểm.\nBạn có muốn đăng ký anh hùng này làm lính đánh thuê?
GUILD_WITHDRAW_POPUP_MESSAGE,"Bạn có chắc chắn muốn rời khỏi Guild không?\nNếu rời Guild, bạn sẽ bị hạn chế khả năng truy cập nội dung Guild trong {1} giờ."
GUILD_DESTROY_CONFIRM,"[FF0000] Nếu thực hiện giải thể Guild\nnhững nỗ lực từ trước đến nay sẽ thành vô hiệu hóa.\nBạn có muốn giải thể Guild không?\n \nTính từ thời gian giải thể Guild, không thể sử dụng nội dung Guild trong 7 ngày."
GUILD_MERCENARY_RETURN_REWARD,{1} Vàng thu nạp được
GUILD_DELEGATE_MASTER,Bạn muốn chuyển giao chức \nChủ Guild cho {1} ?
GUILD_FREE_JOIN,Miễn phí kết nạp
GUILD_ACCEPT_JOIN,Được kết nạp sau khi duyệt
GUILD_ACTIVITY_RANKING,Xếp hạng {1}
GUILD_CHECK_NAME_MIN_LENGTH,Nhập ít nhất 3 ký tự.
GUILD_MERCENARY_RETURN_REWARD_GUILDPOINT,Giành {1} Điểm Guild
RESCOLLECT_PLUNDER_END_DAY_UNIT,Ngày
