KEY,"ChineseTraditional"
QUEST.QUEST_TYPE_MAIN,"主線任務"
QUEST.QUEST_TYPE_SUB,"支線任務"
QUEST.QUEST_TYPE_NORMAL,"一般任務"
QUEST.QUEST_TYPE_REPEAT,"反覆任務"
QUEST.QUEST_TYPE_DAILY,"每日任務"
QUEST.QUEST_TYPE_EVENT,"活動任務"
QUEST.QUEST_TARGET_CLEAR,"在{1}拿到{2}星以上勝利({3}/{4})"
QUEST.QUEST_TARGET_CLEAR_NONODE,"拿到{1}星以上勝利({2}/{3})"
QUEST.QUEST_TARGET_CLEAR_NOSTAR,"在{1}戰鬥勝利({2}/{3})"
QUEST.QUEST_TARGET_CLEAR__NOSTAR_NONODE,"戰鬥勝利({1}/{2})"
QUEST.QUEST_TARGET_BATTLE,"在{1}進入戰鬥({2}/{3})"
QUEST.QUEST_TARGET_BATTLE_NONODE,"進入戰鬥({1}/{2})"
QUEST.QUEST_TARGET_VISIT,"拜訪{1}"
QUEST.QUEST_TARGET_KILL,"在{1}消滅{2}({3}/{4})"
QUEST.QUEST_TARGET_KILL_NONODE,"消滅{1}({2}/{3})"
QUEST.QUEST_TARGET_KILL_NOCREATURE,"在{1}消滅敵人({2}/{3})"
QUEST.QUEST_TARGET_KILL_NONODE_NOCREATURE,"消滅敵人({1}/{2})"
QUEST.QUEST_TARGET_EVENTBATTLE,"在{1}贏得戰鬥"
QUEST.QUEST_TARGET_ITEMGIVE,"傳送{2}給{1}({3}/{4})"
QUEST.QUEST_TARGET_TEAMLEVEL,"團隊等級達成{1}"
QUEST.QUEST_TARGET_HEROLEVEL,"從等級{1}達成{2}"
QUEST.QUEST_TARGET_HEROLEVEL_NOCREATURE,"英雄等級達成{1}"
QUEST.QUEST_TARGET_HEROGET,"{1}加入"
QUEST.QUEST_TARGET_HEROSTAR,"{1}覺醒至{2}星"
QUEST.QUEST_TARGET_HEROSTAR_NOCREATURE,"1位英雄覺醒至{1}星"
QUEST.QUEST_TARGET_BUY,"在{1}購買{2}次({3}/{4})"
QUEST.QUEST_TARGET_BUY_NOSHOP,"在商店購買{1}次({2}/{3})"
QUEST.QUEST_TARGET_EQUIPUPGRADE,"嘗試{1}次裝備強化({2}/{3})"
QUEST.QUEST_TARGET_KILLRACE,"在{1}消滅{2}({3}/{4})"
QUEST.QUEST_TARGET_KILLRACE_NONODE,"消滅{1}({2}/{3})"
QUEST.QUEST_TARGET_NONE,"拜訪{1}"
QUEST.QUEST_TARGET_NONE_NONPC,"通過任務！"
QUEST.QUEST_TARGET_JOINMATCH,"參與決鬥{1}次({2}/{3})"
QUEST.QUEST_TARGET_MATCHVICTORY,"決鬥中勝利{1}次({2}/{3})"
ACCEPT_QUEST,"接取任務"
COMPLETE_QUEST,"通過任務"
QUEST_COMPLETE_REWARD,"過關獎勵"
GIVEUP_QUEST,"任務放棄"
QUEST_DIRECT_MOVE,"立刻前往"
QUEST_REWARD_SELECT_POSTFIX,"(選擇)"
QUEST_REWARD_SELECT,"選擇獎勵"
QUEST.REWARD_TEAM_EXP,"隊伍經驗值{1}"
SCENARIO_QUEST_GROUP_TITLE_1,"王之平原 - 1"
SCENARIO_QUEST_GROUP_TITLE_2,"王之平原 - 2"
SCENARIO_QUEST_GROUP_TITLE_3,"王之平原 - 3"
SCENARIO_QUEST_GROUP_TITLE_4,"王之平原 - 4"
SCENARIO_QUEST_GROUP_TITLE_5,"王之平原 - 5"
SCENARIO_QUEST_GROUP_TITLE_6,"王之平原 - 6"
SCENARIO_QUEST_GROUP_TITLE_7,"艾莉朵拉森林 - 1"
SCENARIO_QUEST_GROUP_TITLE_8,"艾莉朵拉森林 - 2"
SCENARIO_QUEST_GROUP_TITLE_9,"艾莉朵拉森林 - 3"
SCENARIO_QUEST_GROUP_TITLE_10,"艾莉朵拉森林 - 4"
SCENARIO_QUEST_GROUP_TITLE_11,"艾莉朵拉森林 - 5"
SCENARIO_QUEST_GROUP_TITLE_12,"艾莉朵拉森林 - 6"
SCENARIO_QUEST_GROUP_TITLE_13,"歐格利亞高山地 - 1"
SCENARIO_QUEST_GROUP_TITLE_14,"歐格利亞高山地 - 2"
SCENARIO_QUEST_GROUP_TITLE_15,"歐格利亞高山地 - 3"
SCENARIO_QUEST_GROUP_TITLE_16,"歐格利亞高山地 - 4"
SCENARIO_QUEST_GROUP_TITLE_17,"歐格利亞高山地 - 5"
SCENARIO_QUEST_GROUP_TITLE_18,"歐格利亞高山地 - 6"
SCENARIO_QUEST_GROUP_TITLE_19,"克盧雅平原 - 1"
SCENARIO_QUEST_GROUP_TITLE_20,"克盧雅平原 - 2"
SCENARIO_QUEST_GROUP_TITLE_21,"克盧雅平原 - 3"
SCENARIO_QUEST_GROUP_TITLE_22,"克盧雅平原 - 4"
SCENARIO_QUEST_GROUP_TITLE_23,"克盧雅平原 - 5"
SCENARIO_QUEST_GROUP_TITLE_24,"克盧雅平原 - 6"
SCENARIO_QUEST_GROUP_TITLE_25,"阿羅維納海岸 - 1"
SCENARIO_QUEST_GROUP_TITLE_26,"阿羅維納海岸 - 2"
SCENARIO_QUEST_GROUP_TITLE_27,"阿羅維納海岸 - 3"
SCENARIO_QUEST_GROUP_TITLE_28,"阿羅維納海岸 - 4"
SCENARIO_QUEST_GROUP_TITLE_29,"阿羅維納海岸 - 5"
SCENARIO_QUEST_GROUP_TITLE_30,"阿羅維納海岸 - 6"
SCENARIO_QUEST_GROUP_TITLE_31,"埃伊納沙漠 - 1"
SCENARIO_QUEST_GROUP_TITLE_32,"埃伊納沙漠 - 2"
SCENARIO_QUEST_GROUP_TITLE_33,"埃伊納沙漠 - 3"
SCENARIO_QUEST_GROUP_TITLE_34,"埃伊納沙漠 - 4"
SCENARIO_QUEST_GROUP_TITLE_35,"埃伊納沙漠 - 5"
SCENARIO_QUEST_GROUP_TITLE_36,"埃伊納沙漠 - 6"
SCENARIO_QUEST_GROUP_TITLE_37,"風地雪山 - 1"
SCENARIO_QUEST_GROUP_TITLE_38,"風地雪山 - 2"
SCENARIO_QUEST_GROUP_TITLE_39,"風地雪山 - 3"
SCENARIO_QUEST_GROUP_TITLE_40,"德拉吉亞火山 - 1"
SCENARIO_QUEST_GROUP_TITLE_41,"德拉吉亞火山 - 2"
SCENARIO_QUEST_GROUP_TITLE_42,"德拉吉亞火山 - 3"
SCENARIO_QUEST_GROUP_TITLE_43,"德拉吉亞火山 - 4"
SCENARIO_QUEST_GROUP_TITLE_44,"德拉吉亞火山 - 5"
SCENARIO_QUEST_GROUP_TITLE_45,"德拉吉亞火山 - 6"
SCENARIO_QUEST_GROUP_TITLE_46,"卡爾庫斯沼澤地帶－1"
SCENARIO_QUEST_GROUP_TITLE_47,"卡爾庫斯沼澤地帶－2"
SCENARIO_QUEST_GROUP_TITLE_48,"卡爾庫斯沼澤地帶－3"
SCENARIO_QUEST_GROUP_TITLE_49,"卡爾庫斯沼澤地帶－4"
SCENARIO_QUEST_GROUP_TITLE_50,"卡爾庫斯沼澤地帶－5"
SCENARIO_QUEST_GROUP_TITLE_51,"卡爾庫斯沼澤地帶－6"
QUEST_DETAIL_INFO_TITLE,"任務說明"
SCENARIO_QUEST_TITLE_101_RE,"通過\n1-4簡單難度"
SCENARIO_QUEST_TITLE_102_RE,"穿戴一般級別以上的裝備3個"
SCENARIO_QUEST_TITLE_103_RE,"使1名英雄達到4級"
SCENARIO_QUEST_TITLE_104_RE,"在一般戰鬥中勝利\n1次"
SCENARIO_QUEST_TITLE_105_RE,"製作+1裝備\n2個"
SCENARIO_QUEST_TITLE_106_RE,"通過\n1-11簡單難度"
SCENARIO_QUEST_TITLE_201_RE,"通過\n1-13簡單難度"
SCENARIO_QUEST_TITLE_202_RE,"使1名英雄達到5級"
SCENARIO_QUEST_TITLE_203_RE,"在一般戰鬥中勝利\n2次"
SCENARIO_QUEST_TITLE_204_RE,"製作2星英雄\n1名"
SCENARIO_QUEST_TITLE_205_RE,"製作+3裝備\n1個"
SCENARIO_QUEST_TITLE_206_RE,"通過\n1-16簡單難度"
SCENARIO_QUEST_TITLE_301_RE,"進行道具召喚\n1次"
SCENARIO_QUEST_TITLE_302_RE,"穿戴高級級別以上的裝備1個"
SCENARIO_QUEST_TITLE_303_RE,"使2名英雄達到6級"
SCENARIO_QUEST_TITLE_304_RE,"在一般戰鬥中勝利\n2次"
SCENARIO_QUEST_TITLE_305_RE,"學習技能特性Ⅱ\n1項"
SCENARIO_QUEST_TITLE_306_RE,"通過\n1-20簡單難度"
SCENARIO_QUEST_TITLE_401_RE,"進入上古皇室金庫\n1次"
SCENARIO_QUEST_TITLE_402_RE,"在梅伊的商店裡\n購買道具1次"
SCENARIO_QUEST_TITLE_403_RE,"進行道具分解\n1次"
SCENARIO_QUEST_TITLE_404_RE,"在一般戰鬥中勝利\n2次"
SCENARIO_QUEST_TITLE_405_RE,"使2名英雄達到9級"
SCENARIO_QUEST_TITLE_406_RE,"進入競技場\n1次"
SCENARIO_QUEST_TITLE_501_RE,"通過\n1-1普通難度"
SCENARIO_QUEST_TITLE_502_RE,"製作+5裝備\n1個"
SCENARIO_QUEST_TITLE_503_RE,"進行屬性強化\n1次"
SCENARIO_QUEST_TITLE_504_RE,"進入地下監獄\n1次"
SCENARIO_QUEST_TITLE_505_RE,"通過\n1-11困難難度"
SCENARIO_QUEST_TITLE_506_RE,"穿戴高級級別以上的裝備4個"
SCENARIO_QUEST_TITLE_601_RE,"通過\n黑色火藥倉庫1"
SCENARIO_QUEST_TITLE_602_RE,"進行道具召喚\n1次"
SCENARIO_QUEST_TITLE_603_RE,"在一般戰鬥中勝利\n3次"
SCENARIO_QUEST_TITLE_604_RE,"使2名英雄達到17級"
SCENARIO_QUEST_TITLE_605_RE,"製作+5裝備\n3個"
SCENARIO_QUEST_TITLE_606_RE,"製作2星英雄\n3名"
SCENARIO_QUEST_TITLE_701_RE,"通過\n2-1簡單難度"
SCENARIO_QUEST_TITLE_702_RE,"製作+7裝備\n1個"
SCENARIO_QUEST_TITLE_703_RE,"在梅伊的商店裡\n購買道具1次"
SCENARIO_QUEST_TITLE_704_RE,"重置梅伊商店的清單\n1次"
SCENARIO_QUEST_TITLE_705_RE,"使2名英雄達到19級"
SCENARIO_QUEST_TITLE_706_RE,"通過\n2-5簡單難度"
SCENARIO_QUEST_TITLE_801_RE,"在一般戰鬥中勝利\n3次"
SCENARIO_QUEST_TITLE_802_RE,"穿戴稀有級別以上的裝備6個"
SCENARIO_QUEST_TITLE_803_RE,"進行道具召喚\n1次"
SCENARIO_QUEST_TITLE_804_RE,"新增或申請好友1名"
SCENARIO_QUEST_TITLE_805_RE,"與1名好友交換友情點數"
SCENARIO_QUEST_TITLE_806_RE,"通過\n2-10簡單難度"
SCENARIO_QUEST_TITLE_901_RE,"製作+6裝備\n3個"
SCENARIO_QUEST_TITLE_902_RE,"進行道具召喚\n1次"
SCENARIO_QUEST_TITLE_903_RE,"進入地下監獄\n1次"
SCENARIO_QUEST_TITLE_904_RE,"進行屬性強化\n2次"
SCENARIO_QUEST_TITLE_905_RE,"使2名英雄達到21級"
SCENARIO_QUEST_TITLE_906_RE,"通過\n2-15簡單難度"
SCENARIO_QUEST_TITLE_1001_RE,"製作+6裝備\n4個"
SCENARIO_QUEST_TITLE_1002_RE,"進行道具召喚\n1次"
SCENARIO_QUEST_TITLE_1003_RE,"在一般戰鬥中勝利\n3次"
SCENARIO_QUEST_TITLE_1004_RE,"穿戴稀有級別以上的裝備8個"
SCENARIO_QUEST_TITLE_1005_RE,"學習技能特性Ⅱ\n2項"
SCENARIO_QUEST_TITLE_1006_RE,"通過\n2-21簡單難度"
SCENARIO_QUEST_TITLE_1101_RE,"通過\n2-1普通難度"
SCENARIO_QUEST_TITLE_1102_RE,"進入上古皇室金庫\n1次"
SCENARIO_QUEST_TITLE_1103_RE,"製作+7裝備\n1個"
SCENARIO_QUEST_TITLE_1104_RE,"在一般戰鬥中勝利\n3次"
SCENARIO_QUEST_TITLE_1105_RE,"進入競技場\n2次"
SCENARIO_QUEST_TITLE_1106_RE,"通過\n2-21困難難度"
SCENARIO_QUEST_TITLE_1201_RE,"通過\n血翼之族前哨基地1"
