KEY,"English"
QUEST.QUEST_TYPE_MAIN,"Main Quest"
QUEST.QUEST_TYPE_SUB,"Sub-Quest"
QUEST.QUEST_TYPE_NORMAL,"Normal Quest"
QUEST.QUEST_TYPE_REPEAT,"Repeat Quest"
QUEST.QUEST_TYPE_DAILY,"Daily Quest"
QUEST.QUEST_TYPE_EVENT,"Event Quest"
QUEST.QUEST_TARGET_CLEAR,"Win with {2}or more stars in {1} ({3}/{4})"
QUEST.QUEST_TARGET_CLEAR_NONODE,"Win with {1} or more stars ({2}/{3})"
QUEST.QUEST_TARGET_CLEAR_NOSTAR,"Win a battle in {1} ({2}/{3})"
QUEST.QUEST_TARGET_CLEAR__NOSTAR_NONODE,"Win a battle ({1}/{2})"
QUEST.QUEST_TARGET_BATTLE,"Enter a battle in {1} ({2}/{3})"
QUEST.QUEST_TARGET_BATTLE_NONODE,"Enter a battle ({1}/{2})"
QUEST.QUEST_TARGET_VISIT,"Visit {1}"
QUEST.QUEST_TARGET_KILL,"Eliminate {2} in {1} ({3}/{4})"
QUEST.QUEST_TARGET_KILL_NONODE,"Eliminate {1} ({2}/{3})"
QUEST.QUEST_TARGET_KILL_NOCREATURE,"Eliminate an enemy in {1} ({2}/{3})"
QUEST.QUEST_TARGET_KILL_NONODE_NOCREATURE,"Eliminate an enemy ({1}/{2})"
QUEST.QUEST_TARGET_EVENTBATTLE,"Win a battle in {1}"
QUEST.QUEST_TARGET_ITEMGIVE,"Send {2} to {1} ({3}/{4})"
QUEST.QUEST_TARGET_TEAMLEVEL,"Achieve team level {1}."
QUEST.QUEST_TARGET_HEROLEVEL,"{1} achieve level {2}"
QUEST.QUEST_TARGET_HEROLEVEL_NOCREATURE,"Achieve Hero Level {1}"
QUEST.QUEST_TARGET_HEROGET,"{1} has joined"
QUEST.QUEST_TARGET_HEROSTAR,"{1} awakened to {2} star(s)"
QUEST.QUEST_TARGET_HEROSTAR_NOCREATURE,"A hero is awakend to {1} star(s)"
QUEST.QUEST_TARGET_BUY,"Make {2} Purchase(s) at {1} ({3}/{4})"
QUEST.QUEST_TARGET_BUY_NOSHOP,"Make {1} Purchase(s) at Shop ({2}/{3})"
QUEST.QUEST_TARGET_EQUIPUPGRADE,"Try {1} Gear Enhancement ({2}/{3})"
QUEST.QUEST_TARGET_KILLRACE,"Kill {2} at {1} ({3}/{4})"
