KEY,"French"
QUEST.QUEST_TYPE_MAIN,"Quête Principale"
QUEST.QUEST_TYPE_SUB,"Sous-Quête"
QUEST.QUEST_TYPE_NORMAL,"Quête Normale"
QUEST.QUEST_TYPE_REPEAT,"Répéter Quête"
QUEST.QUEST_TYPE_DAILY,"Quête Quotidienne"
QUEST.QUEST_TYPE_EVENT,"Quête Événement"
QUEST.QUEST_TARGET_CLEAR,"Gagnez avec {2} étoile(s) ou plus dans {1} ({3}/{4})"
QUEST.QUEST_TARGET_CLEAR_NONODE,"Gagnez avec {1} étoile(s) ou plus ({2}/{3})"
QUEST.QUEST_TARGET_CLEAR_NOSTAR,"Gagnez une bataille dans {1} ({2}/{3})"
QUEST.QUEST_TARGET_CLEAR__NOSTAR_NONODE,"Gagnez une bataille ({1}/{2})"
QUEST.QUEST_TARGET_BATTLE,"Entrez dans une bataille dans {1} ({2}/{3})"
QUEST.QUEST_TARGET_BATTLE_NONODE,"Entrez dans une bataille ({1}/{2})"
QUEST.QUEST_TARGET_VISIT,"Visiter {1}"
QUEST.QUEST_TARGET_KILL,"Éliminez {2} en {1} ({3}/{4})"
QUEST.QUEST_TARGET_KILL_NONODE,"Éliminez {1} ({2}/{3})"
QUEST.QUEST_TARGET_KILL_NOCREATURE,"Éliminez un ennemi en {1} ({2}/{3})"
QUEST.QUEST_TARGET_KILL_NONODE_NOCREATURE,"Éliminez un ennemi ({1}/{2})"
QUEST.QUEST_TARGET_EVENTBATTLE,"Gagnez une Bataille en {1}"
QUEST.QUEST_TARGET_ITEMGIVE,"Envoyez {2} à {1} ({3}/{4})"
QUEST.QUEST_TARGET_TEAMLEVEL,"Obtenez niveau équipe {1}."
QUEST.QUEST_TARGET_HEROLEVEL,"{1} obtient niveau {2}"
QUEST.QUEST_TARGET_HEROLEVEL_NOCREATURE,"Obtenez Héros Niveau {1}"
QUEST.QUEST_TARGET_HEROGET,"{1} a rejoint"
QUEST.QUEST_TARGET_HEROSTAR,"{1} éveillé {2} étoile(s)"
QUEST.QUEST_TARGET_HEROSTAR_NOCREATURE,"Un héros est éveillé à {1} étoile(s)"
QUEST.QUEST_TARGET_BUY,"Faites {2} Achat(s) à {1} ({3}/{4})"
QUEST.QUEST_TARGET_BUY_NOSHOP,"Faites {1} Achat(s) à la Boutique ({2}/{3})"
QUEST.QUEST_TARGET_EQUIPUPGRADE,"Essayez {1} Amélioration d'Équipement ({2}/{3})"
QUEST.QUEST_TARGET_KILLRACE,"Tuez {2} à {1} ({3}/{4})"
QUEST.QUEST_TARGET_KILLRACE_NONODE,"Éliminez {1} ({2}/{3})"
QUEST.QUEST_TARGET_NONE,"Visitez {1}"
QUEST.QUEST_TARGET_NONE_NONPC,"Quête Terminée!"
QUEST.QUEST_TARGET_JOINMATCH,"Entrez dans une bataille dans l'Arène x{1} ({2}/{3})"
QUEST.QUEST_TARGET_MATCHVICTORY,"Gagnez une bataille dans l'Arène x{1} ({2}/{3})"
ACCEPT_QUEST,"Acceptez Quête"
COMPLETE_QUEST,"Quête Terminée"
QUEST_COMPLETE_REWARD,"Récompense d'Achèvement"
GIVEUP_QUEST,"Abandonnez Quête"
QUEST_DIRECT_MOVE,"Raccourci"
QUEST_REWARD_SELECT_POSTFIX,"(Sélectionnez)"
QUEST_REWARD_SELECT,"Sélectionnez une récompense"
