KEY,German
QUEST.QUEST_TYPE_MAIN,Hauptquest
QUEST.QUEST_TYPE_SUB,Seitenquest
QUEST.QUEST_TYPE_NORMAL,Normale Quest
QUEST.QUEST_TYPE_REPEAT,Wiederh.-Quest
QUEST.QUEST_TYPE_DAILY,Tagesquest
QUEST.QUEST_TYPE_EVENT,Event-Quest
QUEST.QUEST_TARGET_CLEAR,{1} ({3}/{4}) mit {2} oder mehr★ abschließen
QUEST.QUEST_TARGET_CLEAR_NONODE,Gewinne mit {1} oder mehr ★ ({2}/{3})
QUEST.QUEST_TARGET_CLEAR_NOSTAR,Einen Kampf in {1} gewinnen ({2}/{3})
QUEST.QUEST_TARGET_CLEAR__NOSTAR_NONODE,Gewinne einen Kampf ({1}/{2})
QUEST.QUEST_TARGET_BATTLE,Tritt einem Kampf in {1} bei ({2}/{3})
QUEST.QUEST_TARGET_BATTLE_NONODE,Betrete einen Kampf ({1}/{2})
QUEST.QUEST_TARGET_VISIT,Besuche {1}
QUEST.QUEST_TARGET_KILL,Eliminiere {2} in {1} ({3}/{4})
QUEST.QUEST_TARGET_KILL_NONODE,Eliminiere {1} ({2}/{3})
QUEST.QUEST_TARGET_KILL_NOCREATURE,Eliminiere einen Feind in {1} ({2}/{3})
QUEST.QUEST_TARGET_KILL_NONODE_NOCREATURE,Eliminiere einen Feind ({1}/{2})
QUEST.QUEST_TARGET_EVENTBATTLE,Gewinne einen Kampf in {1}
QUEST.QUEST_TARGET_ITEMGIVE,Sende {2} nach {1} ({3}/{4})
QUEST.QUEST_TARGET_TEAMLEVEL,Erreiche Team-Level {1}.
QUEST.QUEST_TARGET_HEROLEVEL,{1} Erreicht Level {2}
QUEST.QUEST_TARGET_HEROLEVEL_NOCREATURE,Erreiche Helden-Level {1}
QUEST.QUEST_TARGET_HEROGET,{1} schließt sich an
QUEST.QUEST_TARGET_HEROSTAR,{1} erweckt auf {2} Stern(e)
QUEST.QUEST_TARGET_HEROSTAR_NOCREATURE,Ein Held erweckt auf {1} Stern(e)
QUEST.QUEST_TARGET_BUY,Kaufe {2} Mal(e) bei {1} ein ({3}/{4})
QUEST.QUEST_TARGET_BUY_NOSHOP,Kaufe {1}x im Shop ein ({2}/{3})
QUEST.QUEST_TARGET_EQUIPUPGRADE,Verstärke {1}x deine Ausr. ({2}/{3})
QUEST.QUEST_TARGET_KILLRACE,Töte {2} in {1} ({3}/{4})
QUEST.QUEST_TARGET_KILLRACE_NONODE,Eliminiere {1} ({2}/{3})
QUEST.QUEST_TARGET_NONE,Besuche {1}
QUEST.QUEST_TARGET_NONE_NONPC,Quest erfüllt!
QUEST.QUEST_TARGET_JOINMATCH,Bestreite einen Arenakampf {1}x ({2}/{3})
QUEST.QUEST_TARGET_MATCHVICTORY,Gewinne einen Arenakampf {1}x ({2}/{3})
ACCEPT_QUEST,Questannahme
COMPLETE_QUEST,Quest erfüllt
QUEST_COMPLETE_REWARD,Questbelohnung
GIVEUP_QUEST,Quest abbrechen
QUEST_DIRECT_MOVE,Abkürzung
QUEST_REWARD_SELECT_POSTFIX,(Wählen)
QUEST_REWARD_SELECT,Belohnung wählen
QUEST.REWARD_TEAM_EXP,Team-EP {1}
SCENARIO_QUEST_GROUP_TITLE_1,Königsebene - 1
SCENARIO_QUEST_GROUP_TITLE_2,Königsebene - 2
SCENARIO_QUEST_GROUP_TITLE_3,Königsebene - 3
SCENARIO_QUEST_GROUP_TITLE_4,Königsebene - 4
SCENARIO_QUEST_GROUP_TITLE_5,Königsebene - 5
SCENARIO_QUEST_GROUP_TITLE_6,Königsebene - 6
SCENARIO_QUEST_GROUP_TITLE_7,Elidora-Wald - 1
SCENARIO_QUEST_GROUP_TITLE_8,Elidora-Wald - 2
SCENARIO_QUEST_GROUP_TITLE_9,Elidora-Wald - 3
SCENARIO_QUEST_GROUP_TITLE_10,Elidora-Wald - 4
SCENARIO_QUEST_GROUP_TITLE_11,Elidora-Wald - 5
SCENARIO_QUEST_GROUP_TITLE_12,Elidora-Wald - 6
SCENARIO_QUEST_GROUP_TITLE_13,Ogria-Gebirge - 1
SCENARIO_QUEST_GROUP_TITLE_14,Ogria-Gebirge - 2
SCENARIO_QUEST_GROUP_TITLE_15,Ogria-Gebirge - 3
SCENARIO_QUEST_GROUP_TITLE_16,Ogria-Gebirge - 4
SCENARIO_QUEST_GROUP_TITLE_17,Ogria-Gebirge - 5
SCENARIO_QUEST_GROUP_TITLE_18,Ogria-Gebirge - 6
SCENARIO_QUEST_GROUP_TITLE_19,Galluah-Ebene - 1
SCENARIO_QUEST_GROUP_TITLE_20,Galluah-Ebene - 2
SCENARIO_QUEST_GROUP_TITLE_21,Galluah-Ebene - 3
SCENARIO_QUEST_GROUP_TITLE_22,Galluah-Ebene - 4
SCENARIO_QUEST_GROUP_TITLE_23,Galluah-Ebene - 5
SCENARIO_QUEST_GROUP_TITLE_24,Galluah-Ebene - 6
SCENARIO_QUEST_GROUP_TITLE_25,Arrovina-Küste - 1
SCENARIO_QUEST_GROUP_TITLE_26,Arrovina-Küste - 2
SCENARIO_QUEST_GROUP_TITLE_27,Arrovina-Küste - 3
SCENARIO_QUEST_GROUP_TITLE_28,Arrovina-Küste - 4
SCENARIO_QUEST_GROUP_TITLE_29,Arrovina-Küste - 5
SCENARIO_QUEST_GROUP_TITLE_30,Arrovina-Küste - 6
SCENARIO_QUEST_GROUP_TITLE_31,Aegina-Wüste - 1
SCENARIO_QUEST_GROUP_TITLE_32,Aegina-Wüste - 2
SCENARIO_QUEST_GROUP_TITLE_33,Aegina-Wüste - 3
SCENARIO_QUEST_GROUP_TITLE_34,Aegina-Wüste - 4
SCENARIO_QUEST_GROUP_TITLE_35,Aegina-Wüste - 5
SCENARIO_QUEST_GROUP_TITLE_36,Aegina-Wüste - 6
SCENARIO_QUEST_GROUP_TITLE_37,Windland-Schneegebirge - 1
SCENARIO_QUEST_GROUP_TITLE_38,Windland-Schneegebirge - 2
SCENARIO_QUEST_GROUP_TITLE_39,Windland-Schneegebirge - 3
SCENARIO_QUEST_GROUP_TITLE_40,Dragia-Vulkan – 1
SCENARIO_QUEST_GROUP_TITLE_41,Dragia-Vulkan – 2
