KEY,"Japanese"
QUEST.QUEST_TYPE_MAIN,"メインクエスト"
QUEST.QUEST_TYPE_SUB,"サブクエスト"
QUEST.QUEST_TYPE_NORMAL,"一般クエスト"
QUEST.QUEST_TYPE_REPEAT,"繰り返しクエスト"
QUEST.QUEST_TYPE_DAILY,"デイリークエスト"
QUEST.QUEST_TYPE_EVENT,"イベントクエスト"
QUEST.QUEST_TARGET_CLEAR,"{1}を星{2}以上で勝利({3}/{4})"
QUEST.QUEST_TARGET_CLEAR_NONODE,"星{1}以上で勝利({2}/{3})"
QUEST.QUEST_TARGET_CLEAR_NOSTAR,"{1}で戦闘勝利({2}/{3})"
QUEST.QUEST_TARGET_CLEAR__NOSTAR_NONODE,"戦闘勝利({1}/{2})"
QUEST.QUEST_TARGET_BATTLE,"{1}で戦闘進入({2}/{3})"
QUEST.QUEST_TARGET_BATTLE_NONODE,"戦闘進入({1}/{2})"
QUEST.QUEST_TARGET_VISIT,"{1}を訪問"
QUEST.QUEST_TARGET_KILL,"{1}で{2}討伐({3}/{4})"
QUEST.QUEST_TARGET_KILL_NONODE,"{1}を討伐({2}/{3})"
QUEST.QUEST_TARGET_KILL_NOCREATURE,"{1}で敵を討伐({2}/{3})"
QUEST.QUEST_TARGET_KILL_NONODE_NOCREATURE,"敵を討伐({1}/{2})"
QUEST.QUEST_TARGET_EVENTBATTLE,"{1}で戦闘勝利"
QUEST.QUEST_TARGET_ITEMGIVE,"{1}に{2}を送る({3}/{4})"
QUEST.QUEST_TARGET_TEAMLEVEL,"チームレベル{1}達成"
QUEST.QUEST_TARGET_HEROLEVEL,"{1}レベル{2}達成"
QUEST.QUEST_TARGET_HEROLEVEL_NOCREATURE,"英雄レベル{1}達成"
QUEST.QUEST_TARGET_HEROGET,"{1}が合流"
QUEST.QUEST_TARGET_HEROSTAR,"{1}が星{2}に覚醒"
QUEST.QUEST_TARGET_HEROSTAR_NOCREATURE,"英雄1体が星{1}に覚醒"
QUEST.QUEST_TARGET_BUY,"{1}で{2}回購入({3}/{4})"
QUEST.QUEST_TARGET_BUY_NOSHOP,"ショップで{1}回購入({2}/{3})"
QUEST.QUEST_TARGET_EQUIPUPGRADE,"装備強化{1}回({2}/{3})"
QUEST.QUEST_TARGET_KILLRACE,"{1}で{2}を討伐({3}/{4})"
