KEY,"Korean"
QUEST.QUEST_TYPE_MAIN,"메인퀘스트"
QUEST.QUEST_TYPE_SUB,"서브퀘스트"
QUEST.QUEST_TYPE_NORMAL,"일반퀘스트"
QUEST.QUEST_TYPE_REPEAT,"반복퀘스트"
QUEST.QUEST_TYPE_DAILY,"일일퀘스트"
QUEST.QUEST_TYPE_EVENT,"이벤트퀘스트"
QUEST.QUEST_TARGET_CLEAR,"{1}에서 별 {2}개 이상으로 승리 ({3}/{4})"
QUEST.QUEST_TARGET_CLEAR_NONODE,"별 {1}개 이상으로 승리 ({2}/{3})"
QUEST.QUEST_TARGET_CLEAR_NOSTAR,"{1}에서 전투 승리 ({2}/{3})"
QUEST.QUEST_TARGET_CLEAR__NOSTAR_NONODE,"전투 승리 ({1}/{2})"
QUEST.QUEST_TARGET_BATTLE,"{1}에서 전투 진입 ({2}/{3})"
QUEST.QUEST_TARGET_BATTLE_NONODE,"전투 진입 ({1}/{2})"
QUEST.QUEST_TARGET_VISIT,"{1} 방문"
QUEST.QUEST_TARGET_KILL,"{1}에서 {2} 처치 ({3}/{4})"
QUEST.QUEST_TARGET_KILL_NONODE,"{1} 처치 ({2}/{3})"
QUEST.QUEST_TARGET_KILL_NOCREATURE,"{1}에서 적 처치 ({2}/{3})"
QUEST.QUEST_TARGET_KILL_NONODE_NOCREATURE,"적 처치 ({1}/{2})"
QUEST.QUEST_TARGET_EVENTBATTLE,"{1}에서 전투 승리"
QUEST.QUEST_TARGET_ITEMGIVE,"{1}에게 {2} 전달 ({3}/{4})"
QUEST.QUEST_TARGET_TEAMLEVEL,"팀 레벨 {1} 달성"
QUEST.QUEST_TARGET_HEROLEVEL,"{1} 레벨 {2} 달성"
QUEST.QUEST_TARGET_HEROLEVEL_NOCREATURE,"영웅 레벨 {1} 달성"
QUEST.QUEST_TARGET_HEROGET,"{1} 합류"
QUEST.QUEST_TARGET_HEROSTAR,"{1} {2}성 달성"
QUEST.QUEST_TARGET_HEROSTAR_NOCREATURE,"영웅1명 {1}성 달성"
QUEST.QUEST_TARGET_BUY,"{1}에서 {2}회 구입 ({3}/{4})"
QUEST.QUEST_TARGET_BUY_NOSHOP,"상점에서 {1}회 구입 ({2}/{3})"
QUEST.QUEST_TARGET_EQUIPUPGRADE,"장비 강화 {1}회 시도 ({2}/{3})"
QUEST.QUEST_TARGET_KILLRACE,"{1}에서 {2} 처치 ({3}/{4})"
QUEST.QUEST_TARGET_KILLRACE_NONODE,"{1} 처치 ({2}/{3})"
QUEST.QUEST_TARGET_NONE,"{1} 방문"
QUEST.QUEST_TARGET_NONE_NONPC,"퀘스트 완료!"
QUEST.QUEST_TARGET_JOINMATCH,"결투 {1}회 참여 ({2}/{3})"
QUEST.QUEST_TARGET_MATCHVICTORY,"결투 {1}회 승리 ({2}/{3})"
ACCEPT_QUEST,"퀘스트수락"
COMPLETE_QUEST,"퀘스트완료"
QUEST_COMPLETE_REWARD,"완료 보상"
GIVEUP_QUEST,"퀘스트포기"
QUEST_DIRECT_MOVE,"바로가기"
QUEST_REWARD_SELECT_POSTFIX,"(선택)"
QUEST_REWARD_SELECT,"보상선택"
QUEST.REWARD_TEAM_EXP,"팀 경험치 {1}"
SCENARIO_QUEST_GROUP_TITLE_1,"왕의 평원 - 1"
SCENARIO_QUEST_GROUP_TITLE_2,"왕의 평원 - 2"
SCENARIO_QUEST_GROUP_TITLE_3,"왕의 평원 - 3"
SCENARIO_QUEST_GROUP_TITLE_4,"왕의 평원 - 4"
SCENARIO_QUEST_GROUP_TITLE_5,"왕의 평원 - 5"
SCENARIO_QUEST_GROUP_TITLE_6,"왕의 평원 - 6"
SCENARIO_QUEST_GROUP_TITLE_7,"엘리도라 숲 - 1"
SCENARIO_QUEST_GROUP_TITLE_8,"엘리도라 숲 - 2"
SCENARIO_QUEST_GROUP_TITLE_9,"엘리도라 숲 - 3"
SCENARIO_QUEST_GROUP_TITLE_10,"엘리도라 숲 - 4"
SCENARIO_QUEST_GROUP_TITLE_11,"엘리도라 숲 - 5"
SCENARIO_QUEST_GROUP_TITLE_12,"엘리도라 숲 - 6"
SCENARIO_QUEST_GROUP_TITLE_13,"오그리아 고산지 - 1"
SCENARIO_QUEST_GROUP_TITLE_14,"오그리아 고산지 - 2"
SCENARIO_QUEST_GROUP_TITLE_15,"오그리아 고산지 - 3"
