KEY,Portuguese
QUEST.QUEST_TYPE_MAIN,Missão principal
QUEST.QUEST_TYPE_SUB,Missão secundária
QUEST.QUEST_TYPE_NORMAL,Missão normal
QUEST.QUEST_TYPE_REPEAT,Missão de repetição
QUEST.QUEST_TYPE_DAILY,Missão diária
QUEST.QUEST_TYPE_EVENT,Missão de evento
QUEST.QUEST_TARGET_CLEAR,Ganhe com {2} ou mais estrelas em {1} ({3} / {4})
QUEST.QUEST_TARGET_CLEAR_NONODE,Ganhe com {1} ou mais estrelas ({2} / {3})
QUEST.QUEST_TARGET_CLEAR_NOSTAR,Ganhe uma batalha em {1} ({2} / {3})
QUEST.QUEST_TARGET_CLEAR__NOSTAR_NONODE,Ganhe uma batalha ({1}/{2})
QUEST.QUEST_TARGET_BATTLE,Entrar em uma batalha em {1} ({2}/{3})
QUEST.QUEST_TARGET_BATTLE_NONODE,Entrar em uma batalha ({1}/{2})
QUEST.QUEST_TARGET_VISIT,Visita {1}
QUEST.QUEST_TARGET_KILL,Eliminar {2} em {1} ({3} / {4})
QUEST.QUEST_TARGET_KILL_NONODE,Eliminar {1} ({2} / {3})
QUEST.QUEST_TARGET_KILL_NOCREATURE,Elimine um inimigo em {1} ({2} / {3})
QUEST.QUEST_TARGET_KILL_NONODE_NOCREATURE,Elimine um inimigo ({1} / {2})
QUEST.QUEST_TARGET_EVENTBATTLE,Ganhe a batalha em {1}
QUEST.QUEST_TARGET_ITEMGIVE,Enviar {2} para {1} ({3} / {4})
QUEST.QUEST_TARGET_TEAMLEVEL,Atinger nível {1} de equipe.
QUEST.QUEST_TARGET_HEROLEVEL,{1} atingir o nível {2}
QUEST.QUEST_TARGET_HEROLEVEL_NOCREATURE,Atingir o nível {1} do herói
QUEST.QUEST_TARGET_HEROGET,{1} se juntou
QUEST.QUEST_TARGET_HEROSTAR,{1} despertou para {2} estrela (s)
QUEST.QUEST_TARGET_HEROSTAR_NOCREATURE,Um herói desperta para {1} estrela (s)
QUEST.QUEST_TARGET_BUY,Faça {2} Compra (s) em {1} ({3} / {4})
QUEST.QUEST_TARGET_BUY_NOSHOP,Faça {1} Compra (s) na Loja ({2} / {3})
QUEST.QUEST_TARGET_EQUIPUPGRADE,Experimente {1} Melhoramento da Engrenagem ({2} / {3})
QUEST.QUEST_TARGET_KILLRACE,Matar {2} em ({3}\{4})
QUEST.QUEST_TARGET_KILLRACE_NONODE,Eliminar {1} ({2} / {3})
QUEST.QUEST_TARGET_NONE,Visita {1}
QUEST.QUEST_TARGET_NONE_NONPC,Missão concluída!
QUEST.QUEST_TARGET_JOINMATCH,Entrar em uma batalha na arena x{1} ({2}/{3})
QUEST.QUEST_TARGET_MATCHVICTORY,Ganhe uma batalha na arena x{1} ({2}/{3})
ACCEPT_QUEST,Aceitar missão
COMPLETE_QUEST,Missão concluída!
QUEST_COMPLETE_REWARD,Recompensa de conclusão
GIVEUP_QUEST,Abandonar missão
QUEST_DIRECT_MOVE,Atalho
QUEST_REWARD_SELECT_POSTFIX,(selecionar)
QUEST_REWARD_SELECT,Selecionar uma recompensa
QUEST.REWARD_TEAM_EXP,Equipe XP {1}
SCENARIO_QUEST_GROUP_TITLE_1,Planícies do Rei - 1
SCENARIO_QUEST_GROUP_TITLE_2,Planícies do Rei - 2
SCENARIO_QUEST_GROUP_TITLE_3,Planícies do Rei - 3
SCENARIO_QUEST_GROUP_TITLE_4,Planícies do Rei - 4
SCENARIO_QUEST_GROUP_TITLE_5,Planícies do Rei - 5
SCENARIO_QUEST_GROUP_TITLE_6,Planícies do Rei - 6
SCENARIO_QUEST_GROUP_TITLE_7,Floresta de Elidora - 1
SCENARIO_QUEST_GROUP_TITLE_8,Floresta de Elidora - 2
SCENARIO_QUEST_GROUP_TITLE_9,Floresta de Elidora - 3
SCENARIO_QUEST_GROUP_TITLE_10,Floresta de Elidora - 4
SCENARIO_QUEST_GROUP_TITLE_11,Floresta de Elidora - 5
SCENARIO_QUEST_GROUP_TITLE_12,Floresta de Elidora - 6
SCENARIO_QUEST_GROUP_TITLE_13,Montanha de Ogria - 1
SCENARIO_QUEST_GROUP_TITLE_14,Montanha de Ogria - 2
SCENARIO_QUEST_GROUP_TITLE_15,Montanha de Ogria - 3
SCENARIO_QUEST_GROUP_TITLE_16,Montanha de Ogria - 4
SCENARIO_QUEST_GROUP_TITLE_17,Montanha de Ogria - 5
SCENARIO_QUEST_GROUP_TITLE_18,Montanha de Ogria - 6
SCENARIO_QUEST_GROUP_TITLE_19,Planicie Galluah - 1
SCENARIO_QUEST_GROUP_TITLE_20,Planicie Galluah - 2
SCENARIO_QUEST_GROUP_TITLE_21,Planicie Galluah - 3
SCENARIO_QUEST_GROUP_TITLE_22,Planicie Galluah - 4
SCENARIO_QUEST_GROUP_TITLE_23,Planicie Galluah - 5
SCENARIO_QUEST_GROUP_TITLE_24,Planicie Galluah - 6
SCENARIO_QUEST_GROUP_TITLE_25,Costa Arrovina - 1
SCENARIO_QUEST_GROUP_TITLE_26,Costa Arrovina - 2
SCENARIO_QUEST_GROUP_TITLE_27,Costa Arrovina - 3
SCENARIO_QUEST_GROUP_TITLE_28,Costa Arrovina - 4
SCENARIO_QUEST_GROUP_TITLE_29,Costa Arrovina - 5
