KEY,Russian
QUEST.QUEST_TYPE_MAIN,Основные задания
QUEST.QUEST_TYPE_SUB,Доп. задания
QUEST.QUEST_TYPE_NORMAL,Обычные задания
QUEST.QUEST_TYPE_REPEAT,Повтор. задания
QUEST.QUEST_TYPE_DAILY,Ежедн. задания
QUEST.QUEST_TYPE_EVENT,Задания события
QUEST.QUEST_TARGET_CLEAR,Победите: {1} с {2} зв. и выше ({3}/{4})
QUEST.QUEST_TARGET_CLEAR_NONODE,Победите с {1} зв. и выше ({2}/{3})
QUEST.QUEST_TARGET_CLEAR_NOSTAR,Победите в бою: {1} ({2}/{3})
QUEST.QUEST_TARGET_CLEAR__NOSTAR_NONODE,Победите в бою ({1}/{2})
QUEST.QUEST_TARGET_BATTLE,Вступите в бой: {1} ({2}/{3})
QUEST.QUEST_TARGET_BATTLE_NONODE,Вступите в бой ({1}/{2})
QUEST.QUEST_TARGET_VISIT,Посетите: {1}
QUEST.QUEST_TARGET_KILL,Устраните: {2} в {1} ({3}/{4})
QUEST.QUEST_TARGET_KILL_NONODE,Устраните: {1} ({2}/{3})
QUEST.QUEST_TARGET_KILL_NOCREATURE,Устраните врагов: {1} ({2}/{3})
QUEST.QUEST_TARGET_KILL_NONODE_NOCREATURE,Устраните врагов ({1}/{2})
QUEST.QUEST_TARGET_EVENTBATTLE,Победите в бою: {1}
QUEST.QUEST_TARGET_ITEMGIVE,Передайте игроку {1}: {2} ({3}/{4})
QUEST.QUEST_TARGET_TEAMLEVEL,Команда достигла {1} ур.
QUEST.QUEST_TARGET_HEROLEVEL,{1} достигает ур. {2}
QUEST.QUEST_TARGET_HEROLEVEL_NOCREATURE,Герой достигает {1} ур.
QUEST.QUEST_TARGET_HEROGET,{1} присоединяется
QUEST.QUEST_TARGET_HEROSTAR,{1} получает {2} зв.
QUEST.QUEST_TARGET_HEROSTAR_NOCREATURE,1 герой получает {1} зв.
QUEST.QUEST_TARGET_BUY,{1}. Совершите покупки: {2} ({3}/{4})
QUEST.QUEST_TARGET_BUY_NOSHOP,Совершите покупки: {1} ({2}/{3})
QUEST.QUEST_TARGET_EQUIPUPGRADE,Попытайтесь улучшить снаряжение: {1} р. ({2}/{3})
QUEST.QUEST_TARGET_KILLRACE,Устраните: {2} в {1} ({3}/{4})
QUEST.QUEST_TARGET_KILLRACE_NONODE,Устраните: {1} ({2}/{3})
QUEST.QUEST_TARGET_NONE,Посетите: {1}
QUEST.QUEST_TARGET_NONE_NONPC,Задание выполнено!
QUEST.QUEST_TARGET_JOINMATCH,Примите участие в дуэли {1} р. ({2}/{3})
QUEST.QUEST_TARGET_MATCHVICTORY,Победите в дуэли {1} р. ({2}/{3})
ACCEPT_QUEST,Принять задание
COMPLETE_QUEST,Задания завершено
QUEST_COMPLETE_REWARD,Награда за завершение
GIVEUP_QUEST,Отказаться от задания
QUEST_DIRECT_MOVE,Перейти
QUEST_REWARD_SELECT_POSTFIX,(Выбор)
QUEST_REWARD_SELECT,Выбор награды
QUEST.REWARD_TEAM_EXP,Опыт команды: {1}
SCENARIO_QUEST_GROUP_TITLE_1,Королевские равнины - 1
SCENARIO_QUEST_GROUP_TITLE_2,Королевские равнины - 2
SCENARIO_QUEST_GROUP_TITLE_3,Королевские равнины - 3
SCENARIO_QUEST_GROUP_TITLE_4,Королевские равнины - 4
SCENARIO_QUEST_GROUP_TITLE_5,Королевские равнины - 5
SCENARIO_QUEST_GROUP_TITLE_6,Королевские равнины - 6
SCENARIO_QUEST_GROUP_TITLE_7,Лес Элидоры - 1
SCENARIO_QUEST_GROUP_TITLE_8,Лес Элидоры - 2
SCENARIO_QUEST_GROUP_TITLE_9,Лес Элидоры - 3
