KEY,"Spanish"
QUEST.QUEST_TYPE_MAIN,"Mision Principal"
QUEST.QUEST_TYPE_SUB,"Mision Secundaria"
QUEST.QUEST_TYPE_NORMAL,"Mision Normal"
QUEST.QUEST_TYPE_REPEAT,"Repetir Mision"
QUEST.QUEST_TYPE_DAILY,"Mision Diaria"
QUEST.QUEST_TYPE_EVENT,"Mision de Ensayo"
QUEST.QUEST_TARGET_CLEAR,"Ganar con {2}o mas estrellas en {1} ({3}/{4})"
QUEST.QUEST_TARGET_CLEAR_NONODE,"Ganar con {1} o mas estrellas ({2}/{3})"
QUEST.QUEST_TARGET_CLEAR_NOSTAR,"Ganar una batalla en {1} ({2}/{3})"
QUEST.QUEST_TARGET_CLEAR__NOSTAR_NONODE,"Ganar una batalla ({1}/{2})"
QUEST.QUEST_TARGET_BATTLE,"Ingresar en una batalla en {1} ({2}/{3})"
QUEST.QUEST_TARGET_BATTLE_NONODE,"Ingresar en una batalla ({1}/{2})"
QUEST.QUEST_TARGET_VISIT,"Visitar {1}"
QUEST.QUEST_TARGET_KILL,"Eliminar {2} en {1} ({3}/{4})"
QUEST.QUEST_TARGET_KILL_NONODE,"Eliminar {1} ({2}/{3})"
QUEST.QUEST_TARGET_KILL_NOCREATURE,"Eliminar un enemigo en {1} ({2}/{3})"
QUEST.QUEST_TARGET_KILL_NONODE_NOCREATURE,"Eliminar un enemigo ({1}/{2})"
QUEST.QUEST_TARGET_EVENTBATTLE,"Ganar una batalla en {1}"
QUEST.QUEST_TARGET_ITEMGIVE,"Enviar {2} a {1} ({3}/{4})"
QUEST.QUEST_TARGET_TEAMLEVEL,"Lograr nivel de equipo {1}."
QUEST.QUEST_TARGET_HEROLEVEL,"{1} lograr nivel {2}"
QUEST.QUEST_TARGET_HEROLEVEL_NOCREATURE,"Lograr Nivel de Heroe {1}"
QUEST.QUEST_TARGET_HEROGET,"{1} se ha unido"
QUEST.QUEST_TARGET_HEROSTAR,"{1} despierto a {2} estrella(s)"
QUEST.QUEST_TARGET_HEROSTAR_NOCREATURE,"Un hero esta despierto a {1} estrella(s)"
QUEST.QUEST_TARGET_BUY,"Realizar {2} Compra(s) en {1} ({3}/{4})"
QUEST.QUEST_TARGET_BUY_NOSHOP,"Realizar {1} Compra(s) en la Tienda ({2}/{3})"
QUEST.QUEST_TARGET_EQUIPUPGRADE,"Intentar {1} Mejorar el Equipo ({2}/{3})"
QUEST.QUEST_TARGET_KILLRACE,"Matar {2} a {1} ({3}/{4})"
QUEST.QUEST_TARGET_KILLRACE_NONODE,"Eliminar {1} ({2}/{3})"
QUEST.QUEST_TARGET_NONE,"Visitar {1}"
QUEST.QUEST_TARGET_NONE_NONPC,"Mision Completa!"
QUEST.QUEST_TARGET_JOINMATCH,"Ingresar en una batalla en la Arena x{1} ({2}/{3})"
QUEST.QUEST_TARGET_MATCHVICTORY,"Ganar una batalla en la Arena x{1} ({2}/{3})"
ACCEPT_QUEST,"Aceptar Mision"
COMPLETE_QUEST,"Mision Completa"
QUEST_COMPLETE_REWARD,"Recompensa de Finalizacion"
GIVEUP_QUEST,"Abandonar Mision"
QUEST_DIRECT_MOVE,"Atajo"
QUEST_REWARD_SELECT_POSTFIX,"(Seleccionar)"
QUEST_REWARD_SELECT,"Seleccionar una recompensa"
QUEST.REWARD_TEAM_EXP,"EXP de Nivel {1}"
SCENARIO_QUEST_GROUP_TITLE_1,"Llanuras del Rey - 1"
SCENARIO_QUEST_GROUP_TITLE_2,"Llanuras del Rey - 2"
SCENARIO_QUEST_GROUP_TITLE_3,"Llanuras del Rey - 3"
SCENARIO_QUEST_GROUP_TITLE_4,"Llanuras del Rey - 4"
SCENARIO_QUEST_GROUP_TITLE_5,"Llanuras del Rey - 5"
SCENARIO_QUEST_GROUP_TITLE_6,"Llanuras del Rey - 6"
SCENARIO_QUEST_GROUP_TITLE_7,"Bosque Elidora - 1"
SCENARIO_QUEST_GROUP_TITLE_8,"Bosque Elidora - 2"
SCENARIO_QUEST_GROUP_TITLE_9,"Bosque Elidora - 3"
SCENARIO_QUEST_GROUP_TITLE_10,"Bosque Elidora - 4"
SCENARIO_QUEST_GROUP_TITLE_11,"Bosque Elidora - 5"
SCENARIO_QUEST_GROUP_TITLE_12,"Bosque Elidora - 6"
SCENARIO_QUEST_GROUP_TITLE_13,"Montaña Ogria - 1"
SCENARIO_QUEST_GROUP_TITLE_14,"Montaña Ogria - 2"
SCENARIO_QUEST_GROUP_TITLE_15,"Montaña Ogria - 3"
SCENARIO_QUEST_GROUP_TITLE_16,"Montaña Ogria - 4"
SCENARIO_QUEST_GROUP_TITLE_17,"Montaña Ogria - 5"
SCENARIO_QUEST_GROUP_TITLE_18,"Montaña Ogria - 6"
SCENARIO_QUEST_GROUP_TITLE_19,"Llanuras Galluah - 1"
SCENARIO_QUEST_GROUP_TITLE_20,"Llanuras Galluah - 2"
SCENARIO_QUEST_GROUP_TITLE_21,"Llanuras Galluah - 3"
SCENARIO_QUEST_GROUP_TITLE_22,"Llanuras Galluah - 4"
SCENARIO_QUEST_GROUP_TITLE_23,"Llanuras Galluah - 5"
SCENARIO_QUEST_GROUP_TITLE_24,"Llanuras Galluah - 6"
SCENARIO_QUEST_GROUP_TITLE_25,"Costa Arrovina - 1"
SCENARIO_QUEST_GROUP_TITLE_26,"Costa Arrovina - 2"
SCENARIO_QUEST_GROUP_TITLE_27,"Costa Arrovina - 3"
SCENARIO_QUEST_GROUP_TITLE_28,"Costa Arrovina - 4"
SCENARIO_QUEST_GROUP_TITLE_29,"Costa Arrovina - 5"
SCENARIO_QUEST_GROUP_TITLE_30,"Costa Arrovina - 6"
SCENARIO_QUEST_GROUP_TITLE_31,"Desierto Aegina - 1"
SCENARIO_QUEST_GROUP_TITLE_32,"Desierto Aegina - 2"
SCENARIO_QUEST_GROUP_TITLE_33,"Desierto Aegina - 3"
SCENARIO_QUEST_GROUP_TITLE_34,"Desierto Aegina - 4"
SCENARIO_QUEST_GROUP_TITLE_35,"Desierto Aegina - 5"
