KEY,Thai
QUEST.QUEST_TYPE_MAIN,เควสหลัก
QUEST.QUEST_TYPE_SUB,เควสย่อย
QUEST.QUEST_TYPE_NORMAL,เควสปกติ
QUEST.QUEST_TYPE_REPEAT,เควสทำซ้ำ 
QUEST.QUEST_TYPE_DAILY,เควสประจำวัน
QUEST.QUEST_TYPE_EVENT,เควสกิจกรรม
QUEST.QUEST_TARGET_CLEAR,ชนะด้วย {2} ดาวขึ้นไปใน {1} ({3} / {4})
QUEST.QUEST_TARGET_CLEAR_NONODE,ชนะด้วย {1} ดาวขึ้นไป ({2} / {3})
QUEST.QUEST_TARGET_CLEAR_NOSTAR,ชนะการต่อสู้ใน {1} ({2} / {3})
QUEST.QUEST_TARGET_CLEAR__NOSTAR_NONODE,ชนะการต่อสู้ ({1} / {2})
QUEST.QUEST_TARGET_BATTLE,เข้าต่อสู้ใน {1} ({2} / {3})
QUEST.QUEST_TARGET_BATTLE_NONODE,เข้าต่อสู้ ({1} / {2})
QUEST.QUEST_TARGET_VISIT,ไปที่ {1}
QUEST.QUEST_TARGET_KILL,กำจัด {2} ใน {1} ({3} / {4})
QUEST.QUEST_TARGET_KILL_NONODE,กำจัด {1} ({2} / {3})
QUEST.QUEST_TARGET_KILL_NOCREATURE,กำจัดศัตรูใน {1} ({2} / {3})
QUEST.QUEST_TARGET_KILL_NONODE_NOCREATURE,กำจัดศัตรู ({1} / {2})
QUEST.QUEST_TARGET_EVENTBATTLE,ชนะการต่อสู้ใน {1}
QUEST.QUEST_TARGET_ITEMGIVE,ส่ง {2} ให้ {1} ({3} / {4})
QUEST.QUEST_TARGET_TEAMLEVEL,ทีมถึงเลเวล {1}
QUEST.QUEST_TARGET_HEROLEVEL,{1} ถึงเลเวล {2}
QUEST.QUEST_TARGET_HEROLEVEL_NOCREATURE,ฮีโร่ถึงเลเวล {1}
QUEST.QUEST_TARGET_HEROGET,{1} มาสมทบ
QUEST.QUEST_TARGET_HEROSTAR,{1} สำเร็จ {2} ดาว
QUEST.QUEST_TARGET_HEROSTAR_NOCREATURE,ฮีโร่ 1 คนสำเร็จ {1} ดาว
QUEST.QUEST_TARGET_BUY,ซื้อใน {1} {2} ครั้ง ({3} / {4})
QUEST.QUEST_TARGET_BUY_NOSHOP,ซื้อของที่ร้านค้า {1} ครั้ง ({2} / {3})
QUEST.QUEST_TARGET_EQUIPUPGRADE,อัพเกรดอุปกรณ์ {1} ครั้ง ({2}/{3})
QUEST.QUEST_TARGET_KILLRACE,กำจัด {2} ใน {1} ({3} / {4})
QUEST.QUEST_TARGET_KILLRACE_NONODE,กำจัด {1} ({2} / {3})
QUEST.QUEST_TARGET_NONE,ไปที่ {1}
QUEST.QUEST_TARGET_NONE_NONPC,เควสสมบูรณ์!
QUEST.QUEST_TARGET_JOINMATCH,เข้าร่วมอารีน่า {1} ครั้ง ({2}/{3})
QUEST.QUEST_TARGET_MATCHVICTORY,ชนะในอารีน่า {1} ครั้ง ({2}/{3})
ACCEPT_QUEST,ยอมรับเควส
COMPLETE_QUEST,เควสสมบูรณ์
QUEST_COMPLETE_REWARD,รางวัลสำเร็จ
GIVEUP_QUEST,ยกเลิกเควส
QUEST_DIRECT_MOVE,ไปทันที
QUEST_REWARD_SELECT_POSTFIX,(เลือก)
QUEST_REWARD_SELECT,เลือกรางวัล
QUEST.REWARD_TEAM_EXP,EXP ทีม {1}
SCENARIO_QUEST_GROUP_TITLE_1,ที่ราบแห่งราชา - 1
SCENARIO_QUEST_GROUP_TITLE_2,ที่ราบแห่งราชา - 2
SCENARIO_QUEST_GROUP_TITLE_3,ที่ราบแห่งราชา - 3
SCENARIO_QUEST_GROUP_TITLE_4,ที่ราบแห่งราชา - 4
SCENARIO_QUEST_GROUP_TITLE_5,ที่ราบแห่งราชา - 5
SCENARIO_QUEST_GROUP_TITLE_6,ที่ราบแห่งราชา – 6
SCENARIO_QUEST_GROUP_TITLE_7,ป่า Elidora - 1
SCENARIO_QUEST_GROUP_TITLE_8,ป่า Elidora – 2
SCENARIO_QUEST_GROUP_TITLE_9,ป่า Elidora – 3
SCENARIO_QUEST_GROUP_TITLE_10,ป่า Elidora – 4
SCENARIO_QUEST_GROUP_TITLE_11,ป่า Elidora – 5
SCENARIO_QUEST_GROUP_TITLE_12,ป่า Elidora – 6
SCENARIO_QUEST_GROUP_TITLE_13,ภูขา Ogria - 1
SCENARIO_QUEST_GROUP_TITLE_14,ภูขา Ogria - 2
SCENARIO_QUEST_GROUP_TITLE_15,ภูขา Ogria - 3
SCENARIO_QUEST_GROUP_TITLE_16,ภูขา Ogria - 4
SCENARIO_QUEST_GROUP_TITLE_17,ภูขา Ogria - 5
SCENARIO_QUEST_GROUP_TITLE_18,ภูขา Ogria - 6
SCENARIO_QUEST_GROUP_TITLE_19,ที่ราบ Galluah - 1
SCENARIO_QUEST_GROUP_TITLE_20,ที่ราบ Galluah - 2
SCENARIO_QUEST_GROUP_TITLE_21,ที่ราบ Galluah - 3
SCENARIO_QUEST_GROUP_TITLE_22,ที่ราบ Galluah - 4
SCENARIO_QUEST_GROUP_TITLE_23,ที่ราบ Galluah - 5
SCENARIO_QUEST_GROUP_TITLE_24,ที่ราบ Galluah - 6
SCENARIO_QUEST_GROUP_TITLE_25,ชายฝั่ง Arrovina - 1
SCENARIO_QUEST_GROUP_TITLE_26,ชายฝั่ง Arrovina - 2
SCENARIO_QUEST_GROUP_TITLE_27,ชายฝั่ง Arrovina - 3
SCENARIO_QUEST_GROUP_TITLE_28,ชายฝั่ง Arrovina - 4
SCENARIO_QUEST_GROUP_TITLE_29,ชายฝั่ง Arrovina - 5
SCENARIO_QUEST_GROUP_TITLE_30,ชายฝั่ง Arrovina - 6
SCENARIO_QUEST_GROUP_TITLE_31,ทะเลทราย Aegina - 1
SCENARIO_QUEST_GROUP_TITLE_32,ทะเลทราย Aegina - 2
