KEY,"ChineseSimplified"
BASE_RESULT_TYPE.SUCCESS,"已按照要求完成命令处理。因网络环境不稳定，请再次尝试。"
BASE_RESULT_TYPE.FAIL,"因网络环境不稳定，未能正常处理，请稍后再次尝试。"
BASE_RESULT_TYPE.SESSION_ERROR,"由于长时间放置，已与服务器中断连结，请重新开始游戏。"
BASE_RESULT_TYPE.ACCOUNT_ERROR,"无效的账号。"
BASE_RESULT_TYPE.UNHANDLED,"无法处理该请求。"
BASE_RESULT_TYPE.EXCEPTION,"发生内部错误。"
BASE_RESULT_TYPE.HTTP_ERROR,"请求连接至网页时发生错误。"
BASE_RESULT_TYPE.PARSING_ERROR,"语法分析失败。"
RESULT_TYPE.SUCCESS,"已按照要求完成命令处理。因网络环境不稳定，请再次尝试。"
RESULT_TYPE.FAIL,"因网络环境不稳定，未能正常处理，请稍后再次尝试。"
RESULT_TYPE.LEVEL_DATA_NOT_FOUND,"找不到等级信息。"
RESULT_TYPE.CANNOT_UPGRADE_MORE,"无法再进行强化。"
RESULT_TYPE.NOT_ENOUGH_GOLD,"金币不足。"
RESULT_TYPE.NOT_ENOUGH_GEM,"红宝石不足。"
RESULT_TYPE.INSUFFICIENT_ITEM,"材料不足。"
RESULT_TYPE.GRADE_DATA_NOT_FOUND,"找不到级别信息。"
RESULT_TYPE.CANNOT_UPGRADE_YET,"无法再进行强化。"
RESULT_TYPE.REQ_GOLD_NOT_FOUND,"找不到所需的金币信息。"
RESULT_TYPE.REQ_ITEM_DATA_NOT_FOUND,"找不到所需的材料信息。"
RESULT_TYPE.SESSION_ERROR,"由于长时间放置，已与服务器中断连结，请重新开始游戏。"
RESULT_TYPE.ACCOUNT_ERROR,"无效的账号。"
RESULT_TYPE.UNHANDLED,"动作未被执行。"
RESULT_TYPE.HTTP_ERROR,"网页请求连接失败。"
RESULT_TYPE.PARSING_ERROR,"无效的回复。"
RESULT_TYPE.HERO_NOT_FOUND,"英雄不存在。"
RESULT_TYPE.EQUIP_DATA_NOT_FOUND,"装备信息不存在。"
RESULT_TYPE.EQUIP_NOT_OWNED,"未拥有该装备。"
RESULT_TYPE.EQUIP_NOT_FOUND,"不存在的装备。"
RESULT_TYPE.EQUIPPED,"配戴中的装备。"
RESULT_TYPE.EQUIP_CODE_NOT_FOUND,"找不到装备代码。"
RESULT_TYPE.MAX_JOIN_REQUEST,"入会申请数量已超过限制。\n请取消一部分的入会申请再继续。"
RESULT_TYPE.MAX_GUILD_MAX_JOIN_REQUEST,"此公会的申请加入数已超过限制。"
RESULT_TYPE.MATERIAL_EQUIP_ITEM_PRICE_ERROR,"所需的数值无效。"
RESULT_TYPE.NO_UPGRADABLE_MATERIAL_EQUIP_ITEM,"无效的装备材料。"
RESULT_TYPE.NOT_OWNED_MATERIAL_EQUIP_ITEM,"未持有的装备材料。"
RESULT_TYPE.NOT_ENOUGH_TEAM_LEVEL,"队伍等级过低。"
RESULT_TYPE.MAX_MEMBER,"公会成员数已达上限。"
RESULT_TYPE.INVALID_RANK,"非公会成员权限。"
RESULT_TYPE.GUILD_JOIN_NOT_REQUESTED,"找不到入会申请信息。"
RESULT_TYPE.NAME_DUPLICATED,"重复的名称。"
RESULT_TYPE.GUILD_MEMBER_EXIST,"公会中尚有公会成员。"
RESULT_TYPE.ALREADY_REGISTERED_MERCENARY,"该英雄已登录为佣兵。"
RESULT_TYPE.MAX_MERCENARY,"超过佣兵登录数上限。"
RESULT_TYPE.NOT_REGISTERED_MERCENARY,"未登录的佣兵。"
RESULT_TYPE.ALREADY_JOINED,"已加入公会。"
RESULT_TYPE.LOG_NOT_FOUND,"战斗记录不存在。"
RESULT_TYPE.INVALID_PLUNDER_RESULT,"无效的战斗记录。"
RESULT_TYPE.ALREADY_CHASED,"已反击。"
RESULT_TYPE.INVALID_CHAPTER_INDEX,"无效的任务场所。"
RESULT_TYPE.COLLECT_NODE_NOT_FOUND,"找不到任务场所。"
RESULT_TYPE.COLLECT_ENDED,"已采集完毕。"
RESULT_TYPE.DEAD_HERO_EXIST,"无法掠夺已死亡的英雄。"
RESULT_TYPE.USER_CHASE_INFO_NOT_FOUND,"找不到追击信息。"
RESULT_TYPE.COLLECT_INFO_NOT_FOUND,"找不到远征任务信息。"
RESULT_TYPE.INVALID_TEAM_SLOT,"无效的远征任务队伍。"
RESULT_TYPE.ALREADY_HARVESTED,"任务已完成。"
RESULT_TYPE.MAX_DAILY_QUICK_COMPLETE_COLLECT,"已达今日快速完成次数上限。"
RESULT_TYPE.COLLECT_NOT_ENDED,"任务尚未结束。"
RESULT_TYPE.RECORD_NOT_FOUND,"回放记录不存在。"
RESULT_TYPE.ALREADY_DEFEND_REWARDED,"已获得掠夺防守奖励。"
RESULT_TYPE.MAX_PLUNDER_DEFEND_REWARD,"已达到今日掠夺防守奖励次数上限。"
RESULT_TYPE.CHAPTER_NOT_COMPLETED,"该章节尚未完成。"
RESULT_TYPE.VIP_LEVEL_DATA_NOT_FOUND,"找不到VIP等级数据。"
RESULT_TYPE.MAX_RES_COLLECT_TEAM,"目前所有队伍都在进行任务中。"
RESULT_TYPE.NOW_COLLECTING,"目前队伍正在进行任务中。"
RESULT_TYPE.INVALID_HERO_INDEX,"该英雄不存在或正在任务中。"
RESULT_TYPE.CHAPTER_NOT_FOUND,"章节不存在。"
RESULT_TYPE.DUNGEON_NOT_FOUND,"副本不存在。"
RESULT_TYPE.EMPTY_HERO_INDICES,"英雄栏位空白。"
RESULT_TYPE.CANNOT_PLAY_DUNGEON,"副本无法进行。"
RESULT_TYPE.NOT_ENOUGH_STAMINA,"体力不足。"
RESULT_TYPE.NOT_ENOUGH_PLAY_KEY,"钥匙不足。"
RESULT_TYPE.INVALID_DIFF,"无效的难度。"
RESULT_TYPE.VERIFY_FAILED,"确认失败。"
RESULT_TYPE.CHECK_FAILED,"检查失败。"
RESULT_TYPE.USER_CAMPAIGN_INFO_NOT_FOUND,"网络环境不稳，未能完整处理服务器玩家信息，还请您稍后再试。"
RESULT_TYPE.WRONG_CHAPTER_INDEX,"此内容目前无法进行。"
RESULT_TYPE.WRONG_DUNGEON_INDEX,"此内容目前无法进行。"
RESULT_TYPE.INVALID_STAR,"无效的星等信息。"
RESULT_TYPE.ENCHANT_RESULT_NOT_FOUND,"重新鉴定信息不存在。"
RESULT_TYPE.EQUIP_ITEM_SLOT_INDEX_MISMATCH,"重新鉴定的对象不同。"
RESULT_TYPE.OPTION_SLOT_INDEX_MISMATCH,"需重新鉴定的属性栏位不同。"
RESULT_TYPE.OPTION_INDEX_MISMATCH,"需重新鉴定的属性结果不同。"
RESULT_TYPE.PREV_OPTION_INDEX_MISMATCH,"被覆盖的属性与目前欲进行的不同。"
RESULT_TYPE.INVALID_OPTION_SLOT,"无效的属性栏位。"
RESULT_TYPE.RANDOM_OPTION_DATA_ERROR,"无效的随机属性信息。"
RESULT_TYPE.NO_HERO,"英雄不存在。"
RESULT_TYPE.HERO_DATA_NOT_FOUND,"英雄信息不存在。"
RESULT_TYPE.ALREADY_OTHER_HERO_EQUIPPED,"已装备于其他的英雄。"
RESULT_TYPE.ITEM_DATA_NOT_FOUND,"道具信息不存在。"
RESULT_TYPE.EQUIP_ITEM_DATA_NOT_FOUND,"装备信息不存在。"
RESULT_TYPE.EQUIP_TAG_ERROR,"无效的装备标记。"
RESULT_TYPE.TOO_LOW_GRADE,"级别过低。"
RESULT_TYPE.TOO_LOW_LEVEL,"等级过低。"
RESULT_TYPE.LOCKED_PART_INDEX,"被锁定的装备栏位。"
RESULT_TYPE.EQUIP_PART_ERROR,"无法装备的栏位。"
RESULT_TYPE.REMOVE_FAILED,"移除失败。"
RESULT_TYPE.INVALID_HERO_PART_INDEX,"无效的装备栏位。"
RESULT_TYPE.ALREADY_UNLOCKED,"已解锁。"
RESULT_TYPE.UNLOCK_FAILED,"解锁失败。"
RESULT_TYPE.EQUIP_ITEM_NOT_FOUND,"装备不存在。"
RESULT_TYPE.UNEQUIP_FAILED,"装备卸除失败。"
RESULT_TYPE.STAT_DATA_NOT_FOUND,"属性信息不存在。"
RESULT_TYPE.EMPTY_MATERIAL_EQUIP_ITEM,"材料为空白。"
RESULT_TYPE.INVALID_MATERIAL_EQUIP_ITEM,"无效的材料装备。"
RESULT_TYPE.FRIEND_NOT_FOUND,"玩家不存在。"
RESULT_TYPE.REQUEST_MYSELF,"无法对自己发送邀请。"
RESULT_TYPE.CANNOT_SEARCH_MYSELF,"无法搜寻自己。"
RESULT_TYPE.GACHA_DATA_NOT_FOUND,"转蛋信息不存在。"
RESULT_TYPE.WRONG_GACHA_INDEX,"无效的转蛋编号。"
RESULT_TYPE.WRONG_GACHA_COUNT,"无效的转蛋次数。"
RESULT_TYPE.NO_MERCENARIES,"无佣兵。"
RESULT_TYPE.NO_GUILD,"无公会。"
RESULT_TYPE.INVAILID_RANK,"无效的排名。"
RESULT_TYPE.GUILD_MAX_JOIN_REQUEST,"超过公会的邀请数上限。"
RESULT_TYPE.TRIAL_DUNGEON_DATA_NOT_FOUND,"试炼的副本信息不存在。"
RESULT_TYPE.NOT_PLAYER_HERO,"未拥有该英雄。"
RESULT_TYPE.ITEM_NOT_OWNED,"未拥有该道具。"
RESULT_TYPE.ITEM_TYPE_MISMATCH,"道具种类不同。"
RESULT_TYPE.POTION_DATA_NOT_FOUND,"药水信息不存在。"
RESULT_TYPE.INVALID_ACTION,"无效的动作。"
RESULT_TYPE.RECIPE_DATA_NOT_FOUND,"配方信息不存在。"
RESULT_TYPE.MATERIAL_DATA_NOT_FOUND,"材料信息不存在。"
RESULT_TYPE.NOT_ENOUGH_MATERIAL,"材料不足。"
RESULT_TYPE.MATCH_RESULT_NOT_FOUND,"配对结果不存在。"
RESULT_TYPE.MATCH_UID_MISMATCH,"配对编号不一致。"
RESULT_TYPE.MATCHING_DISABLED,"当日战斗结果结算中。"
RESULT_TYPE.NOT_ENOUGH_SWORD,"入场道具已耗尽，无法入场。"
RESULT_TYPE.MATCH_USER_NOT_FOUND,"没有参与的玩家信息。"
RESULT_TYPE.NPC_INFO_NOT_FOUND,"没有NPC信息。"
RESULT_TYPE.WAIT_MORE,"因网络环境问题导致战斗信息处理延迟，请再次点击确认按钮。"
RESULT_TYPE.NOT_ENOUGH_CHEESE,"干酪不足。"
RESULT_TYPE.USER_PLUNDER_INFO_NOT_FOUND,"掠夺信息不存在。"
RESULT_TYPE.COLLECT_NODE_DATA_NOT_FOUND,"采集节点信息不存在。"
RESULT_TYPE.PLAYER_NOT_FOUND,"玩家不存在。"
RESULT_TYPE.V_I_P_LEVEL_DATA_NOT_FOUND,"VIP等级信息不存在。"
RESULT_TYPE.SHOP_DATA_NOT_FOUND,"商店信息不存在。"
RESULT_TYPE.SHOP_ITEM_DATA_NOT_FOUND,"商店物品信息不存在。"
RESULT_TYPE.PLAYER_SHOP_ITEM_NOT_FOUND,"没有该玩家的商店道具信息。"
RESULT_TYPE.SOLD_OUT,"已卖出。"
RESULT_TYPE.INVALID_COST,"无效的数值。"
RESULT_TYPE.NO_ITEM_DATA,"道具信息不存在。"
RESULT_TYPE.NOT_OWNED,"未拥有。"
RESULT_TYPE.INVALID_ITEM_COUNT,"无效的道具数。"
RESULT_TYPE.NOT_ENOUGH_STONE,"强化水晶不足。"
RESULT_TYPE.HERO_LEVEL_LIMIT,"英雄的等级不足。."
RESULT_TYPE.SKILL_LEVEL_NOT_FOUND,"没有技能等级信息。"
RESULT_TYPE.SKILL_PRICE_NOT_FOUND,"没有技能数值信息。"
RESULT_TYPE.TEAM_LEVEL_LIMIT,"不能超过英雄的等级。"
RESULT_TYPE.SKILL_NOT_FOUND,"技能不存在。"
RESULT_TYPE.REQ_GOLD_ERROR,"所需金币无效。"
RESULT_TYPE.STAR_DATA_NOT_FOUND,"星等信息无效。"
RESULT_TYPE.NO_TARGET_ACCOUNT_ID,"没有该玩家的编号。"
RESULT_TYPE.VERSION_ERROR,"无效的版本。"
